Counts_Central_moment_3rd_order,Counts_Central_moment_3rd_order.1,Counts_Central_moment_3rd_order.2,Counts_Central_moment_3rd_order.3,Counts_Central_moment_3rd_order.4,Counts_Central_moment_3rd_order.5,Counts_Central_moment_3rd_order.6,Counts_Central_moment_3rd_order.7,Counts_Central_moment_3rd_order.8,Counts_Central_moment_3rd_order.9,Counts_Central_moment_3rd_order.10,Counts_Central_moment_3rd_order
-609.4142849933368,0.0,1206.46875,85137.22265625,0.0,2087.7592592592628,56454.24092361514,-385.7867362270098,2167.73936899863,-6879.723456790121,-1744.0250697333538,4403.090971874543
388.9295778094061,0.0,948.375,67310.20886551465,0.0246913580246918,-3618.10818933133,3184.2720000000063,-222.8549269542512,1311.4787379972609,-5094.977777777775,946.9659118455004,2742.0438241814063
75.02313014306043,0.0,690.28125,45283.104432757325,0.0493827160493837,-2086.110094665664,-4824.160296296299,-134.64267100145236,-5793.0,-3310.232098765431,-6455.5006383065365,3048.5603704456803
2803.005397116699,0.0,432.1875,23256.0,0.0740740740740757,-554.111999999998,-12832.592592592604,-177.99216402189492,11138.169096209913,-1525.4864197530878,3628.092592592596,4328.906698349431
645.3874208925788,0.0,174.09375,-19699.25925925924,1.4567272129530635,0.0,6987.763213661056,61.17719141467183,11.407407407407405,259.2592592592601,850.5064023323616,8219.268014422785
1052.3990677646066,0.0,-84.0,286920.0,-45.49783359903168,2548.7407407407413,2848.5853105342394,-449.3712553793145,23781.216,1273.62962962963,3090.769679300291,5929.017034709911
4521.843272949315,0.0,-75.6,1027410.7434842248,-92.4523944110164,-2652.789019478917,-1290.5925925925778,-681.6480983959304,6080.291545189505,2288.0,14112.5,2490.1175417094614
-1355.142857142857,0.0,-67.2,0.0,-139.40695522300115,-8941.01457725948,6315.347081193694,-912.8051420021486,-1418.4139941690976,2097.333333333333,2782.4741977815147,6960.415097589552
1573.0814747382792,0.0,-58.8,213237.0,-186.3615160349859,0.0,13921.286754979965,-1761.3044842967688,69960.85714285714,1906.6666666666667,712.7770185574786,4427.266785332406
4263.928232903284,0.0,-50.4,58528.29629629629,12597.4074074074,0.0,9434.503164296866,-1684.435009868076,-5520.5,1716.0,163.60037876963673,1526.3039789171837
-660.5979841497923,0.0,-42.0,19451.887645023413,0.0,0.0,-5613.28125,-50.26759259259343,9987.907407407403,1525.3333333333337,5217.891999999999,-1810.642777595748
1856.295639387984,0.0,-33.599999999999994,65483.44552967692,0.0,0.0,0.0,-487.1406254486504,4306.944000000003,1334.6666666666667,-4068.10818933133,-339.14768308448134
1178.4374625115186,0.0,-25.2,15243.531178880296,-1744.2857142857142,0.0,0.0,-639.8285292842783,16688.73046875,1144.0,18213.218658892136,-5258.737813209447
2114.91037037037,0.0,-16.799999999999997,79914.13555872173,21738.18517794456,15846.740740740732,7010.495999999999,-390.1913524439208,-7883.135999999996,953.3333333333336,0.0,1396.9487430259833
1824.5346569919093,0.0,-8.399999999999991,35091.0,1539.0,25708.23702315521,0.0,-41.48844496506845,-240.0,762.6666666666667,12359.184592592594,-6379.143581688965
2758.674397033071,0.0,0.0,37884.05625,-1840.78125,-1291.3655172271642,6934.074074074076,-1516.5975189887984,780.0,572.0,-2537.2122576678225,1220.4043820675245
1395.1515095708166,0.0,-6750.0,72337.79901484464,0.0,72.82011345708523,4622.716049382718,25.57308707742704,6117.375,381.3333333333335,23571.384,1222.583057945123
1055.538191512172,0.0,-6000.0,954.5191099321734,9279.744000000004,305.49838379010674,2311.358024691359,621.8584561578572,1926.1440000000016,190.66666666666697,43536.463115139,4322.328562781038
2094.721643966955,0.0,-5250.0,15997.393960832334,636.0,-2725.8854370117188,0.0,-1286.2261402612644,24390.740740740734,0.0,12689.1755829904,8268.407647017335
570.1782899459736,0.0,-4500.0,3032.33271940741,774.0740740740744,843297.4718792865,6817.111823881033,-4450.131775465652,31200.65625,0.0,1237.24365234375,6744.720281510957
2308.58450081118,0.0,-3750.0,111.94855485447069,-1586.150016000002,43131.56322379242,13634.223647762066,-3598.425912227669,-353.07588279488647,0.0,3722.7704086289314,7235.998412262469
4260.775811993098,0.0,-3000.0,9218.722917925925,-188.8476960371848,25956.175999999992,11361.85303980172,-1706.4782026759256,952.7039999999994,0.0,1512.1811179451438,19483.584599104204
522.2546108468796,0.0,-2250.0,36330.06954366524,-349.68555299765586,1400.3266227668437,9089.482431841378,-19.21670325790068,77402.91681134263,0.0,15952.741935483871,13940.842135035396
2281.4626358769387,0.0,-1500.0,16877.656367130978,-1968.61544304636,-7710.7394030697615,6817.111823881033,127.04912926533106,4500.740740740744,0.0,1630.2857142857142,18597.35694885144
2467.8050401676246,0.0,-750.0,1883.13074680422,-2997.6259650118823,-4583.851234452733,4544.741215920689,41943.2074759735,24469.682441700967,0.0,444.3150395848113,19383.4503593608
2636.98086794363,0.0,0.0,3844.5990800276895,-4194.275509076041,-3046.9934030451027,2272.3706079603453,664.256068110466,2188.9451540195387,0.0,7588.47954406676,21969.79917454021
1054.4926779472585,0.0,-0.2239999999999929,1436.9651763358283,-1570.5834982281856,2868.70019649854,0.0,7334.532336140845,-1127.1525110743603,0.0,657.034509651907,39568.39089714412
392.08333847709457,0.0,-0.4479999999999859,3836.001319943847,-1344.2898191232266,-10251.802335921298,0.0,318.04412180422605,-432.4902981519699,0.0,2599.182441700961,25670.690283734868
-1832.0939182469383,0.0,-0.6719999999999788,1721.557994169094,-3438.0673093300206,-1469.299534243488,0.0,783.1337716002997,834.0,0.0,2154.1574344023325,33779.03772705869
341.9408932118772,0.0,-0.8959999999999718,-388.3843265925916,-5426.476262749575,-188.55287703648207,0.0,22994.75505427507,8741.12335002276,0.0,-355.371463464279,29257.05864150694
167.48191698063113,0.0,-1.1199999999999648,2355.452291713289,-8173.361722188333,1097.8645833333333,0.0,17565.424384286584,-2604.786978775357,0.0,128187.53399884264,24724.945990256805
708.1784925254829,0.0,-1.3439999999999577,795.1965799952037,-5041.726623195149,-479.5652076944455,0.0,12541.208466090124,-176.70142676341658,0.0,48362.456000000006,19885.76062460272
-213.8678298141177,0.0,-1.5679999999999508,-9809.446591626818,-7795.710918745825,0.5694142333273601,0.0,70541.91253644314,469.9750160828222,0.0,125.23128534729898,11899.619576629628
-478.8729187340412,0.0,-1.7919999999999436,4020.390185864976,-2129.2585059445923,-2338.848000000001,0.0,8163.972565157748,-2808.273036694103,1749.6,277.2810810082537,-7119.332716935124
-245.48581014648067,0.0,-2.0159999999999365,964.7543334960938,-2605.2872534870103,12563.459605324077,0.0,736.979127938896,5958.160956407635,874.8,227.9363354994084,3099.092900610725
-544.2846112178742,0.0,-2.2399999999999296,5140.004153358916,-2063.8117226689105,-2910.4826368639738,0.0,-4661.911819781798,2424.074074074075,0.0,99.38178701596448,465.57270846223673
-635.9584777381592,0.0,-2.4639999999999227,21551.31540624464,-1779.2301986485788,-1479.0366706912164,0.0,785.0740740740702,-1527.2004425613388,3999.272727272728,38.96936076017684,4159.361150117057
-1424.139870856728,0.0,-2.687999999999916,8884.545222038263,-3729.798713378227,2711.668857588216,0.0,61236.0,1215.7390670553923,7998.545454545455,116.36473920402834,1300.6632252931597
-9410.761736001186,0.0,-2.9119999999999084,-1594.638154132482,-3440.184297504577,-855.4932741568729,0.0,21174.32803615687,314.31599999999804,11997.818181818182,-2523.1667088481577,2496.3888192766653
-1757.398586873593,0.0,-3.135999999999901,2057.833544450865,-2677.2122724659807,-1549.8217432800154,0.0,-18887.34392768626,-240.0,15997.09090909091,-147.27113702623805,2590.9457089480657
-2085.1247658616803,0.0,-3.359999999999894,6500.811275132114,-3865.435270863057,-10621.303936027036,0.0,-7978.049219715319,-3548.943999999999,19996.36363636364,3662.060248320782,-4332.57593946326
-1603.42232129969,0.0,-3.583999999999888,507.20352300229655,-3472.5912084501306,-1411.744864021043,0.0,1746.1893371083725,-7354.048084147261,23995.636363636364,147.68175582990386,1989.7927740917
70.80470503673443,0.0,-3.80799999999988,3146.1313803961707,-5645.134262483964,-3321.2938039863066,240.0,2942.4178451669286,0.0,27994.90909090909,2008.252688046647,3736.610773013052
-800.1331722127717,0.0,-4.031999999999873,-251.05073056226453,-11128.110647002748,-1470.8238066906465,480.0,5104.587948828132,999.259259259258,31994.18181818182,-631.9007737824317,-1695.5049541669034
-553.6729374408206,0.0,45.41600000000011,2518.1215185737683,-5875.629456044195,-1197.3591556300214,720.0,17021.93218874851,655.59375,35993.454545454544,-348.27966619173594,-8859.938948212768
650.9973842284605,0.0,94.8640000000001,7620.410118447361,-6896.783994920004,-943.5590795540456,960.0,0.0,0.0,39992.72727272727,436.9925993357946,-7822.753785135658
