Rise-Time_Shape_factor,Rise-Time_Shape_factor.1,Rise-Time_Shape_factor.2,Rise-Time_Shape_factor.3,Rise-Time_Shape_factor.4,Rise-Time_Shape_factor.5,Rise-Time_Shape_factor.6,Rise-Time_Shape_factor.7,Rise-Time_Shape_factor.8,Rise-Time_Shape_factor.9,Rise-Time_Shape_factor.10,Rise-Time_Shape_factor
1.3697704801925576,1.0162085625451662,1.2715217303067632,1.3540461267794377,1.0014140187177727,1.0499181462778795,1.560155186529911,1.0684497063326597,1.0961264333688052,1.0021858636389085,1.474448993791316,1.27372295860662
1.0844835908362012,1.0144043251232229,1.278122541421899,1.3600659406232674,1.0077366343199858,1.42429797509928,1.4481677741861054,1.0142243312145591,1.0935448710554996,1.003285040211401,1.8498067099633189,1.199336118876417
1.3755035494883332,1.0126000877012795,1.284723352537035,1.342945673132231,1.007030985043078,1.2128336044334225,1.3361803618422998,1.1735220363169596,1.0258294579991,1.004384216783894,1.021761883241748,1.1627647739456544
1.3355871446582674,1.0107958502793366,1.2913241636521708,1.5371184382747014,1.0151936821513745,1.063871802210837,1.2241929494984942,1.3710207868629585,1.0771475722235384,1.0054833933563867,1.245874733634207,1.284050151244019
1.3461067190650184,1.0089916128573937,1.2979249747673067,1.647019944356262,1.0311200495093902,1.1702508464262606,1.1122055371546886,1.110305363408631,1.046155129942302,1.0065825699288795,1.29612163745029,1.236911190102281
1.0647053484676277,1.0071873754354503,1.2826377011777512,1.468975453960196,1.0140551257684909,1.4432474896170835,1.000218124810883,1.0216138310653675,1.0319840093482977,1.007681746501372,1.3737194375714867,1.2976235848778357
1.0371332147829342,1.005383138013507,1.2673504275881955,1.6222617128964207,1.010296335728107,1.3206180804164842,1.0009696891686708,1.0027559065190588,1.031710008483824,1.008780923073865,1.225121636091291,1.2129939533155556
1.0584006855876282,1.0035789005915638,1.25206315399864,1.3651289944245524,1.0099541706867596,1.0568517119263638,1.0017212535264588,1.0069230747102849,1.2937192264555002,1.0098800996463575,1.2192639880107825,1.4093814855019553
1.1479851158494223,1.0017746631696207,1.2367758804090845,1.3953886187855309,1.024415873881052,1.0633826865793237,1.0024728178842466,1.9759475476720765,1.72477061550647,1.0109792762188503,1.184994756226453,1.3845785004212985
1.1625003019866342,1.0033568465216445,1.2214886068195288,1.4519945734427109,1.022587482831087,1.376258965210556,1.0032243822420344,1.1045537256299314,1.0030141047301224,1.0120784527913431,1.5722654036028885,1.4094198853260096
1.1331696503595936,1.0049390298736676,1.206201333229973,1.2198657266366808,1.0185745197325549,1.2219806456392128,1.0049992615948236,1.1350116782165949,1.108298139516917,1.0069487077946802,1.1609152994011465,1.3443800070153402
1.06888872834777,1.006521213225691,1.1909140596404175,1.2354639030140175,1.0218777208132714,1.1623787966843202,1.0067741409476123,1.088790085810908,1.1316622890326336,1.0029924010198892,1.3167432913778694,1.255736086370135
1.0478436122111714,1.0081033965777144,1.1756267860508618,1.2880796326569388,1.0324538960348657,1.3199104700639823,1.0085490203004015,1.2209673766631068,1.319607650689202,1.0955818022738737,1.3063617280339406,1.3435760462250828
1.0265696317403838,1.009685579929738,1.1603395124613065,1.444155260007406,1.0204719660401844,1.3420072017693514,1.010323899653191,1.0103674518398529,1.5598100513766118,1.0931343802435285,1.3707542674107158,1.29625547942147
1.041872386387886,1.0112677632817613,1.1450522388717506,1.3794945609242872,1.0339316673226178,1.53396070436524,1.01209877900598,1.011271489493459,1.2934494473378142,1.0906869582131833,1.2692067610530442,1.3078874438080743
1.02644847922958,1.0128499466337848,1.129764965282195,1.3382101243329496,1.0236283901068175,1.1186643137482293,1.013873658358769,1.0273001321177662,1.1296161275192045,1.0873529344240818,1.045192210611876,1.247564672725853
1.0133404402947663,1.014432129985808,1.1144776916926395,1.3607439958524674,1.0324661977408351,1.1316638171350304,1.015648537711558,1.5214199477629604,1.272505541120904,1.0840189106349805,1.116519981708718,1.1423348115015224
1.067374092893341,1.0160143133378317,1.0991904181030838,1.2608241804768558,1.0406595473515117,1.1551484526569846,1.0174234170643472,1.4474385940899306,1.102647141113242,1.080684886845879,1.0220893771145996,1.1110482183050814
1.0328079869509608,1.017596496689855,1.0839031445135283,1.3613027926261954,1.0312620684083642,1.0563676541300038,1.0191982964171364,1.373457240416901,1.0677356871087156,1.0773508630567774,1.5354258020161162,1.1348764734760548
1.0446233904193711,1.0191786800418785,1.0686158709239726,1.3516648134305518,1.027648269915186,1.235065623986401,1.0209731757699254,1.273386069129457,1.128600873068677,1.074016839267676,1.1668027177430798,1.0964147927251002
1.0434130607564676,1.0242125693605366,1.053328597334417,1.3474188256659607,1.0387823047943685,1.1284769660344316,1.0227480551227146,1.2765937234030449,1.259305297457355,1.0706828154785746,1.1751643473593156,1.1479324141088854
1.0417427363894864,1.029246458679195,1.0380413237448614,1.405658861129796,1.0689961614945844,1.1052638175487628,1.0220173366489846,1.6294129846734946,1.4084413347848297,1.0673487916894733,1.5757960496990475,1.190337157221352
1.0440315713469572,1.034280347997853,1.0227540501553058,1.3298152699678931,1.0412950571399475,1.0937213236401992,1.0212866181752545,1.3865194444072897,1.0311058272312157,1.0640147679003715,1.219994443969823,1.136087701472654
1.0418744148633017,1.0393142373165114,1.0302835375993469,1.3215707401291052,1.0414037445326934,1.0740461897140514,1.0205558997015245,1.569154423178207,1.100092593248008,1.0606807441112702,1.2221842346320375,1.134439247160301
