Rise-Time_Crest_factor,Rise-Time_Crest_factor.1,Rise-Time_Crest_factor.2,Rise-Time_Crest_factor.3,Rise-Time_Crest_factor.4,Rise-Time_Crest_factor.5,Rise-Time_Crest_factor.6,Rise-Time_Crest_factor.7,Rise-Time_Crest_factor.8,Rise-Time_Crest_factor.9,Rise-Time_Crest_factor.10,Rise-Time_Crest_factor
1.465041248876651,1.191137489690413,1.2540654180997373,1.5322292566964668,1.3879101626690369,1.543509160619103,1.26106656034516,1.1731361303012122,1.0833223613936265,1.1591603886460184,2.518151256124859,12.698388413395705
8.718197450191642,1.182243359873911,1.2322900439385711,2.049522108478449,1.4302107022472754,1.9822708467236023,1.7072081847933371,1.1815666278802974,1.5030972859663323,1.152257722958244,1.6950840638080278,9.722145370917948
3.0596203794467085,1.1733492300574089,1.4154891641055012,3.519236023271416,1.352208260861107,1.767405752800346,1.5480723495914683,1.363086936125231,1.336559353103192,1.1453550572704696,3.0927220243130504,10.134212437069522
3.377493402079705,1.164455100240907,1.4146512822485529,4.846181331164156,1.5734477334361685,1.2169117252005242,1.3889365143895993,1.9289457758391493,1.5751010065008064,1.1384523915826952,2.3107427545455472,9.246214120256951
1.7542025307835931,1.1555609704244048,1.4138134003916047,3.9081612128872623,1.1885499193648066,2.588233054857348,1.2298006791877305,1.1084828154548307,1.6742540758658384,1.1315497258949208,2.270291264969985,9.489895923087332
2.0279080397040805,1.1466668406079028,1.4129755185346564,6.5495670500246215,1.1512213664047162,2.150392895640532,1.807582843428228,2.6830198386624686,1.5997414985661207,1.0885228616344582,2.470301750439888,9.078908527107275
8.414016765790814,1.1377727107914006,1.412137636677708,3.684553089641889,1.824927842908893,3.9766643339014736,2.3853650076687254,1.3742662621862165,1.531417153766328,1.045495997373996,3.732599020319897,8.951053193723848
6.941852822151845,1.128878580974899,1.41129975482076,4.049368850620236,1.031804024939187,1.8031441675675648,2.1579150224036834,2.817641345050007,1.661515678748472,1.0551562726649286,4.212350247543281,9.669943135716288
3.915720613311549,1.1199844511583965,1.4104618729638116,4.736294973709183,1.936856240119935,7.75260362872285,1.9304650371386407,1.3517765390818213,1.7511207434417857,1.0648165479558611,3.678226760746827,10.633281674163712
9.892536072940429,1.1110903213418946,1.409623991106863,5.387257759060502,1.3908286221516826,6.3726552188396655,1.7030150518735994,1.4758104440494304,1.1518717096784412,1.0744768232467945,1.4756589039529195,10.560435241649714
11.807324616059311,1.1021961915253924,1.4087861092499152,4.8790939351813725,1.9149164458662933,4.0754679667300815,1.4755650666085574,13.754923987074749,1.7065142055997076,1.084137098537727,2.623716396275866,13.24376497858154
17.00716260578804,1.0933020617088904,1.4079482273929669,5.8591661731370985,4.206307239230457,6.589708940154222,1.2481150813435151,2.817953249903609,1.3976253419082236,1.0937973738286595,1.6312426117793015,13.271667599520438
