Counts_Clearance_factor,Counts_Clearance_factor.1,Counts_Clearance_factor.2,Counts_Clearance_factor.3,Counts_Clearance_factor.4,Counts_Clearance_factor.5,Counts_Clearance_factor.6,Counts_Clearance_factor.7,Counts_Clearance_factor.8,Counts_Clearance_factor.9,Counts_Clearance_factor.10,Counts_Clearance_factor
1.8212759880248928,1.3772251653022436,1.4702021199953503,3.927543590143906,1.1115523567407588,3.548587457698661,2.4605502445369107,2.190913289646588,3.788612438713264,1.312431032191785,2.2773057284178413,1.7602555641885185
1.7613045818615232,1.3106495539337084,1.8551835606270493,2.3580642060906363,2.97119376845603,1.8324625713511973,2.8884966827574923,2.489735586788514,1.3676758202080834,1.306676853678645,1.72005337858785,2.21073814508346
2.654974443406466,1.244073942565173,1.4529397206990695,2.7133032920461093,1.344511191643183,5.41753974613973,3.277727707597741,1.8401301089576072,1.4107626191581044,1.300922675165505,1.5781409011585652,2.1626390403125235
2.9056471526770142,1.1774983311966378,1.1981830444485635,2.300140458948601,1.3396344897951136,2.067644277076321,2.9261178848618745,2.178235049290188,3.270115148778659,1.295168496652365,1.6294643919976963,2.296642670460309
2.8362761687509974,1.1109227198281026,2.1953682229289666,2.7375178915875145,1.2501137904927475,1.7427222839486447,2.574508062126008,1.3331243210045014,2.2158472776101976,1.289414318139225,1.9514494330927603,2.142327390800001
3.337510352196404,1.122163190865054,2.0464029600204325,3.174895324226428,1.160593091190382,1.8177239272354413,2.2228982393901413,2.4620810083481413,1.9403019663777603,1.2836601396260852,5.490529758122608,2.5767546237841787
2.350199949596259,1.1334036619020054,1.8974376971118987,3.197456848494498,1.071072391888016,1.8927255705222388,1.8712884166542747,1.599134483113538,1.953544609627074,1.277905961112945,2.4458824477667167,2.6250309150182654
2.5193127785659155,1.1446441329389567,1.7484724342033648,2.941707234235927,1.0661437318056777,1.7068263465478628,1.519678593918408,1.1363910915384252,1.966787252876388,1.2721517825998052,3.0844652745883447,2.445829995414899
2.759684306292705,1.155884603975908,1.5995071712948308,2.7220286304358017,1.0612150717233395,1.940806556265096,1.6789949490098586,1.2650916051334755,1.5122972473155762,1.2663976040866651,3.1591999334180585,2.523188175457814
2.3780027520850107,1.1671250750128594,1.450541908386297,2.502350026635676,1.0562864116410011,2.174786765982329,1.8383113041013093,1.401665734105188,3.592519070001468,1.2606434255735253,2.3290628148880312,2.589605385779889
2.403889243975996,1.178365546049811,1.301576645477763,1.5328644018827544,1.1070609920805432,1.035406502118534,21.06242301788271,1.4810772662471017,4.538204311176671,1.2548892470603852,2.448443487876979,2.664481647027864
2.7380758651827146,1.1896060170867624,1.152611382569229,3.240981178439347,1.192965558832164,1.998053320371824,11.414263441212713,1.7727399369076275,2.486336381434714,1.4755329731084887,3.3263451255013265,2.556517967331831
1.86334373321522,1.2008464881237138,1.1419497554671174,9.22182246143766,1.2788701255837849,1.1054661529658776,1.7661038645427152,1.6591322268180562,2.036692832928227,1.696176699156592,2.695276118495048,2.491371608008244
1.811094376916034,1.2120869591606651,1.131288128365006,1.4823529666206594,1.3647746923354056,1.7743128486131343,1.98810175966068,1.5665211753040662,1.453052535951372,1.645646957483938,2.9276482811311983,2.7159315896827394
1.5290392391325924,1.2233274301976165,1.1206265012628944,3.060057140548368,1.4506792590870263,1.2536541651090818,2.210099654778644,1.3407729908232422,4.1871807726772285,1.595117215811284,3.0780627367122686,2.7206295027290563
2.524095941052104,1.2345679012345678,1.1099648741607828,8.974886998556961,2.5856931215367625,1.212246173203726,10.928370867349308,1.7863532420290151,1.793974199119818,1.5445874741386298,3.081416960323556,2.6351826439821453
