Counts_Median,Counts_Median.1,Counts_Median.2,Counts_Median.3,Counts_Median.4,Counts_Median.5,Counts_Median.6,Counts_Median.7,Counts_Median.8,Counts_Median.9,Counts_Median.10,Counts_Median
21.0,34.81818181818182,21.57142857142857,43.0,21.33333333333333,48.0,66.0,40.0,50.0,64.2,23.5,73.0
33.0,35.59090909090909,23.92857142857143,35.0,21.166666666666668,42.5,68.0,41.0,63.0,60.46666666666667,59.0,70.0
31.0,36.36363636363636,26.285714285714285,27.0,21.0,37.0,70.0,38.0,13.0,56.73333333333333,25.0,68.0
28.0,37.13636363636364,28.642857142857142,121.0,22.0,57.0,3.0,39.0,1.0,53.0,21.0,73.0
27.0,37.90909090909091,31.0,43.0,25.0,20.0,36.5,42.0,46.0,46.0,21.0,73.0
34.0,38.68181818181818,32.3,26.0,28.0,69.0,70.0,42.0,56.0,39.0,37.0,73.0
35.0,39.45454545454545,33.6,32.5,31.0,56.0,62.5,40.0,52.0,40.5,22.0,71.0
49.0,40.22727272727273,34.9,52.0,34.0,44.5,55.0,40.0,21.0,42.0,23.0,69.0
37.0,41.0,36.2,7.0,18.0,47.5,2.0,41.0,54.5,43.5,19.0,68.0
37.0,67.0,37.5,48.0,26.5,44.66666666666666,52.0,43.0,30.0,45.0,18.0,70.0
35.0,65.28947368421052,38.8,11.0,27.0,41.833333333333336,31.0,41.0,36.0,46.5,47.0,70.0
26.0,63.578947368421055,40.1,24.0,54.0,39.0,43.5,42.0,25.5,48.0,44.0,71.0
24.0,61.868421052631575,41.4,39.0,35.0,48.0,24.0,37.0,57.0,49.5,50.0,73.0
26.0,60.1578947368421,42.7,26.0,27.0,42.0,55.0,38.0,81.0,51.0,37.0,73.0
26.0,58.44736842105263,44.0,62.0,30.5,39.0,14.0,39.0,23.0,52.5,38.0,74.0
27.0,56.73684210526316,46.0,31.0,16.5,34.0,10.0,40.0,40.0,54.0,35.5,78.0
38.0,55.026315789473685,41.72222222222222,32.0,24.0,36.0,6.0,40.0,42.0,55.5,10.0,76.0
40.0,53.31578947368421,37.44444444444444,31.0,47.5,32.0,2.0,39.0,40.0,57.0,4.0,76.0
27.0,51.60526315789474,33.16666666666667,24.0,18.0,30.5,1.5,38.0,33.0,31.25,15.5,73.0
27.0,49.89473684210526,28.88888888888889,37.0,72.0,57.0,1.0,38.0,44.0,5.5,15.0,69.0
40.0,48.1842105263158,24.61111111111111,41.0,76.0,56.5,8.5,36.0,23.5,11.55,17.0,69.0
26.0,46.47368421052632,20.333333333333336,40.0,75.0,54.0,16.0,36.5,33.5,17.6,10.5,69.0
30.0,44.76315789473684,16.055555555555557,34.0,77.5,80.0,23.5,38.0,8.0,23.65,16.0,68.0
38.0,43.05263157894737,11.77777777777778,35.0,75.0,78.0,31.0,26.0,36.0,29.7,14.0,66.0
41.0,41.34210526315789,7.5,40.0,78.0,93.0,38.5,28.0,36.0,35.75,17.0,65.0
38.0,39.631578947368425,8.36111111111111,43.0,78.0,94.0,46.0,38.0,46.0,41.8,12.0,62.0
40.0,37.92105263157895,9.22222222222222,36.0,86.0,85.0,45.0,36.0,37.5,47.85,11.5,64.0
40.0,36.21052631578947,10.083333333333334,44.0,86.0,79.0,44.0,39.0,18.0,53.9,24.0,60.0
39.0,34.5,10.944444444444445,33.5,88.0,67.0,43.0,2.0,6.0,59.95,24.0,51.0
50.0,34.13636363636363,11.805555555555555,44.0,86.0,52.0,42.0,43.0,50.0,66.0,24.5,50.0
52.0,33.77272727272727,12.666666666666668,47.0,85.0,42.0,43.68181818181818,38.0,53.0,62.0,22.0,70.0
42.0,33.40909090909091,13.52777777777778,77.0,86.0,46.0,45.36363636363637,23.5,49.0,65.0,12.0,72.0
60.0,33.04545454545455,14.38888888888889,28.0,82.0,34.5,47.04545454545455,23.0,49.0,80.0,12.0,75.0
59.0,32.68181818181818,15.25,26.5,83.0,44.0,48.72727272727273,59.0,15.5,53.5,16.0,76.0
60.0,32.31818181818182,16.11111111111111,27.0,84.0,39.0,50.40909090909091,68.0,16.0,27.0,18.0,74.0
59.0,31.954545454545453,16.97222222222222,25.0,84.0,51.0,52.09090909090909,38.5,50.0,31.0,19.0,74.0
59.0,31.59090909090909,17.833333333333336,45.0,84.0,46.0,53.77272727272727,35.5,20.5,35.0,25.0,70.0
61.0,31.227272727272727,18.694444444444443,59.0,83.0,64.0,55.45454545454545,52.75,43.0,39.0,52.0,51.0
58.0,30.863636363636363,19.55555555555556,59.0,84.0,63.0,57.13636363636364,70.0,43.5,43.0,29.0,54.0
56.0,30.5,20.416666666666668,49.0,85.0,62.0,58.81818181818182,68.0,42.0,47.0,8.0,55.0
54.0,30.29605263157895,21.27777777777778,52.0,87.0,51.0,60.5,62.0,49.0,51.0,8.0,47.0
53.0,30.09210526315789,22.13888888888889,51.0,88.0,48.0,57.75,56.0,19.5,55.0,28.0,45.0
46.0,29.88815789473684,23.0,49.0,85.0,50.0,55.0,35.0,24.0,59.0,25.0,58.0
46.0,29.68421052631579,23.5,49.0,82.0,51.0,52.25,33.0,13.5,63.0,22.0,69.0
42.0,29.480263157894736,24.0,50.0,83.0,49.0,49.5,37.0,4.0,67.0,9.0,59.0
40.0,29.276315789473685,24.5,54.0,85.0,53.0,46.75,22.0,11.0,71.0,11.0,59.0
40.0,29.07236842105263,25.0,55.0,84.0,53.0,44.0,90.0,23.5,92.5,17.0,60.0
36.0,28.86842105263158,25.5,56.0,84.0,46.0,57.5,84.5,9.0,74.75,12.0,59.0
39.0,28.664473684210527,26.0,55.0,84.0,58.0,43.0,89.0,49.0,57.0,58.0,58.0
46.0,28.46052631578948,26.5,59.0,85.0,60.0,43.0,90.0,6.0,58.0,9.0,58.0
57.0,28.25657894736842,27.0,29.0,80.0,39.0,46.0,87.0,20.75,59.0,31.5,60.0
47.0,28.05263157894737,27.5,25.0,82.0,42.0,46.5,87.0,35.5,60.0,16.0,59.0
23.5,27.848684210526315,39.5,27.0,82.0,43.0,47.0,86.0,1.5,61.0,17.0,59.0
45.0,27.644736842105264,28.75,37.0,84.0,68.0,93.0,87.0,14.0,65.5,19.0,62.0
47.0,27.44078947368421,18.0,39.0,84.0,62.0,81.375,90.0,30.0,70.0,20.0,63.0
43.0,27.23684210526316,24.0,34.0,86.0,62.0,69.75,92.0,40.5,53.0,20.0,76.0
36.0,27.032894736842103,21.5,37.0,85.0,60.0,58.125,94.0,35.0,53.75,18.0,89.0
35.0,26.82894736842105,38.0,71.0,90.0,85.0,46.5,92.0,48.0,54.5,28.5,99.0
31.0,26.625,17.0,51.0,89.0,80.0,53.5,86.5,23.5,55.25,27.0,88.0
27.0,26.42105263157895,23.666666666666668,47.0,85.0,50.0,60.5,87.0,30.5,56.0,23.0,99.0
43.0,26.21710526315789,30.333333333333336,65.0,80.0,48.0,73.0,88.0,34.0,69.5,24.0,98.0
45.0,26.01315789473684,37.0,80.0,77.0,49.0,73.0,90.0,37.0,47.0,48.0,92.0
25.0,25.809210526315788,4.0,32.5,76.0,52.0,70.0,54.0,44.0,63.0,54.0,93.0
55.0,25.605263157894736,9.583333333333332,47.5,77.0,52.0,58.0,42.0,44.0,79.0,101.0,98.0
55.0,25.401315789473685,15.166666666666666,64.5,75.0,73.0,46.0,44.0,45.0,66.0,47.0,89.0
55.0,25.19736842105263,20.75,61.0,76.0,75.0,51.66666666666666,48.0,43.5,53.0,19.0,88.0
56.0,24.99342105263158,26.33333333333333,74.0,76.0,83.0,57.333333333333336,49.0,42.0,45.5,24.5,94.0
56.0,24.789473684210527,31.916666666666664,72.5,76.0,53.5,63.0,51.0,41.0,36.0,93.0,87.0
56.0,24.58552631578948,37.5,65.5,76.0,46.0,62.375,52.0,33.0,37.0,91.0,85.0
53.0,24.38157894736842,34.35,61.0,77.0,44.0,61.75,54.0,33.0,38.0,95.0,85.0
54.0,24.17763157894737,31.2,55.0,76.0,89.5,61.125,56.0,38.0,46.0,3.5,85.0
54.0,23.973684210526315,28.05,47.0,74.0,51.0,60.5,58.0,38.0,54.0,21.0,85.0
53.0,23.769736842105264,24.9,39.0,74.0,51.0,50.2,61.0,30.0,66.5,33.5,86.0
50.0,23.56578947368421,21.75,29.0,74.0,54.0,39.9,59.0,28.0,60.2,29.5,86.0
47.0,23.36184210526316,18.6,32.0,72.0,56.0,29.6,62.0,30.0,53.9,25.5,86.0
46.0,23.157894736842103,15.45,25.0,69.0,54.0,19.3,56.0,31.0,47.6,14.5,86.0
10.0,22.95394736842105,12.3,33.0,68.0,87.0,9.0,53.0,35.0,41.3,21.5,85.0
10.0,22.75,9.150000000000002,24.0,68.0,56.0,14.333333333333332,50.0,38.0,35.0,28.5,79.0
38.0,22.54605263157895,6.0,61.0,72.0,42.0,19.666666666666664,53.0,44.0,37.75,35.5,70.0
37.0,22.342105263157897,5.416666666666667,45.0,74.0,80.0,25.0,53.0,44.0,40.5,33.25,70.0
33.0,22.13815789473684,4.833333333333333,40.5,78.0,87.0,30.33333333333333,57.0,47.0,43.25,31.0,75.0
6.0,21.934210526315788,4.25,,82.0,86.0,35.666666666666664,57.0,42.0,46.0,28.75,69.0
6.5,21.730263157894736,3.6666666666666665,,85.0,69.0,41.0,55.0,41.0,48.75,26.5,68.0
