Counts_Crest_factor,Counts_Crest_factor.1,Counts_Crest_factor.2,Counts_Crest_factor.3,Counts_Crest_factor.4,Counts_Crest_factor.5,Counts_Crest_factor.6,Counts_Crest_factor.7,Counts_Crest_factor.8,Counts_Crest_factor.9,Counts_Crest_factor.10,Counts_Crest_factor
3.232480298668784,1.109490457980084,1.645486968189232,2.2713605598953897,1.1199632460740383,1.5991479866234242,1.763615844222779,2.4229468977775483,1.6026194363449984,1.2113817757422238,3.749696449408469,2.4677799234898883
2.023578108532996,1.1176565759835246,1.5587877964807813,1.670730022714333,1.0671733636852594,1.6038118604763427,1.59410081332776,1.5769122811420155,1.6398011566182846,1.2136053587946296,1.8553266735606733,2.48181106996716
2.288713404186718,1.1258226939869656,1.4720886247723306,2.1611581252337326,1.0632575772361783,1.5108326740156988,1.424585782432741,1.1300280201075703,1.6769828768915709,1.2158289418470356,2.106337615501804,2.340492106518185
2.520876769571277,1.1339888119904065,1.38538945306388,1.9846734211167267,1.0593417907870977,1.5781548739578448,1.4249560693092662,1.25787495401229,1.3591473844679869,1.2180525248994414,2.752179700157356,2.4088421067887222
2.18186943181633,1.1421549299938474,1.2986902813554293,1.808188716999721,1.0554260043380168,1.6454770738999909,1.4253263561857916,1.387628894642515,2.291966044280541,1.2202761079518474,1.7712208385357486,2.466850746623709
2.2695374818757514,1.150321047997288,1.2119911096469786,1.3900086613374654,1.1031694019631348,1.0344511339248113,7.352349822279027,1.4728294783952065,1.708484392354498,1.2224996910042532,2.3458283305399914,2.528657880953084
2.614087850043369,1.158487166000729,1.125291937938528,2.0514210085043496,1.1767183924281115,1.5696698180552289,4.39970190346653,1.7510741242654264,1.93162504232648,1.3400327336052762,2.039136337135394,2.4179261257830613
1.6553720675344832,1.16665328400417,1.11720036425757,2.768012781295342,1.2502673828930886,1.085564207058796,1.4470539846540331,1.6256080881836563,1.633771401544979,1.4575657762062992,2.066362704109797,2.34645089970888
1.5544108793424545,1.1748194020076108,1.1091087905766124,1.3071030445204963,1.3238163733580657,1.468558369678256,1.6673948179095128,1.5299430237691158,1.3480351273625195,1.4263985008277795,2.6812096063093835,2.527494845976494
1.4560521699149265,1.1829855200110515,1.1010172168956545,2.1071736749159373,1.3973653638230423,1.2029223763329122,1.8877356511649928,1.2762387506681956,2.378349018699242,1.3952312254492605,2.936679325843278,2.5199109012687653
2.377898537545749,1.1911516380144924,1.0929256432146968,2.8351132756699773,1.6646233154323131,1.176696810829104,3.442681386459431,1.7151776368347595,1.4313691010630103,1.364063950070741,3.0222607505614527,2.457201352780276
1.5830520016243128,1.0716469174314038,1.0848340695337388,2.292019400085715,1.0549151577562412,1.195767820888806,1.5034247794470503,3.2080819593343897,1.8720355300347,1.3328966746922215,2.5601875904694658,2.5178359555070755
