RMS_Clearance_factor,RMS_Clearance_factor.1,RMS_Clearance_factor.2,RMS_Clearance_factor.3,RMS_Clearance_factor.4,RMS_Clearance_factor.5,RMS_Clearance_factor.6,RMS_Clearance_factor.7,RMS_Clearance_factor.8,RMS_Clearance_factor.9,RMS_Clearance_factor.10,RMS_Clearance_factor
1.4820648432697705,1.1241274417383114,1.3232012480438646,1.2049681461697113,1.0908439104663634,1.2138101005769089,1.229821408251253,1.9719904163942543,1.1711026492784673,1.1120598618085582,1.090944956534266,1.5014420442223106
1.336230197436586,1.1426562308836838,1.2912585798865193,1.7629112521757326,1.090998818765986,1.418715885569471,1.1397388952242538,1.945579060466284,1.2603032128729506,1.3430713156674292,1.1339310785441654,1.4337540602963368
1.3321369737601376,1.1611850200290563,1.2642887150964643,1.51838907136168,1.0911537270656089,1.1885926635417476,1.0496563821972544,2.0892749965593995,1.5132746388189406,1.5740827695263002,1.2351053459497527,1.4330358059384425
1.5057862808438698,1.1797138091744288,1.2373188503064096,1.0194864210894716,1.0913086353652317,1.459817908635045,1.2447321339320585,1.9791895086622848,1.3970786536137063,1.5269159476398544,1.190948331979956,1.5035498220053365
1.3882889884806455,1.198242598319801,1.2103489855163547,1.356467392667348,1.091463543664854,1.579551460268725,1.439807885666862,1.620185954255144,1.665908122426777,1.4797491257534083,1.3099472168795798,1.5866224533511233
1.325127872042028,1.2167713874651735,1.1833791207263,1.405038030324464,1.2444036979491229,1.3119274694809109,1.2561521792190988,1.9213198352874672,1.2576211616523796,1.4325823038669625,1.141437259047705,1.5746998682448743
1.1502033553488409,1.0850008788322238,1.156409255936245,1.517008088759918,1.0071048629033672,1.235330595113249,1.4480677819983712,1.841804716697257,2.365049144489548,1.3854154819805165,1.124718345732875,1.496524087063223
1.226853825988821,1.0909735353233,1.1294393911461902,1.5163472111134928,1.0351091722504195,1.1587337207455868,1.016793496758318,1.9268546343254485,1.699743290837401,1.3382486600940706,1.496380020658752,1.309749771831589
1.4225219182708324,1.0969461918143757,1.1024695263561357,1.3276888951529724,1.1233349317647918,1.0821368463779248,1.1391056892815965,1.922105932483299,1.2888914478612694,1.2910818382076246,1.1730286893077355,1.3578687972661474
1.1831765667667502,1.1029188483054515,1.0754996615660806,1.3017974577720015,2.501807688335615,1.6254172790888706,1.0546631193518603,1.894451989926465,1.219028647018109,1.2439150163211783,1.4787405013296464,1.3534686344194398
1.3998153255044417,1.1088915047965275,1.048529796776026,1.5076347582054634,1.193391363833673,1.167484314489733,1.2764723176331092,1.89135189575429,1.058409189853447,1.196748194434733,1.5342507488115256,1.3778361409775268
1.588324803516337,1.1148641612876036,1.021559931985971,1.3142010951133465,1.6361065650608897,1.1880823756281331,1.22006559771407,1.8650784771089,1.703663451500612,1.1495813725482869,2.4816493493438774,1.3572709135902716
1.7138501410471352,1.1208368177786794,1.1279030817533051,1.7106142217820322,1.8466708079808567,1.3000362041121674,1.369476718232348,2.3886672523492103,2.245623975081255,1.1024145506618408,1.9205741178233584,1.300254322977789
1.5224997857203455,1.1268094742697554,1.1383414712340931,1.5191623370685483,1.537260847588788,1.079489027270622,1.5188878387506255,2.7911623846011064,1.7137048894307312,1.0552477287753947,1.4382831226257249,1.286340633013132
1.3650421708589522,1.1327821307608312,1.1487798607148811,1.4393355112072996,1.1175839024035128,1.1912886078913547,1.6682989592689037,2.435420732502338,1.3836536018926,1.008080906888949,1.5084238033603017,1.3245329442596228
1.50637246752004,1.1387547872519073,1.1592182501956694,1.3595348756182732,1.19209622615505,1.2974012452935255,1.5283148548457492,1.569155842342758,1.3535708725245086,1.3368405252223274,1.1867239891014978,1.363902266448356
1.4798436738393117,1.144727443742983,1.1696566396764574,1.364011476368618,1.2560841895043855,1.1276975742739606,1.3883307504225946,2.043046749571091,2.2661757492759858,1.6656001435557062,1.3230629652573624,1.4393315635563786
1.4243440870682311,1.150700100234059,1.1800950291572454,1.4395919025332462,1.242552222629874,1.361053306792463,1.38554912888444,1.9946464111698377,1.4520179567568463,1.6508886414692918,1.1512392232222486,1.512667790679808
1.4037496250727024,1.156672756725135,1.1905334186380334,1.3889641648033988,1.3704718090895485,1.4066212344661666,1.3827675073462853,2.6600609248343803,1.612113993357304,1.6361771393828777,1.4237178667627313,1.5489461548561192
