Energy_Central_moment_4th_order,Energy_Central_moment_4th_order.1,Energy_Central_moment_4th_order.2,Energy_Central_moment_4th_order.3,Energy_Central_moment_4th_order.4,Energy_Central_moment_4th_order.5,Energy_Central_moment_4th_order.6,Energy_Central_moment_4th_order.7,Energy_Central_moment_4th_order.8,Energy_Central_moment_4th_order.9,Energy_Central_moment_4th_order.10,Energy_Central_moment_4th_order
6.974499187396622e+21,1.3613347515406005e+25,3.902564808320189e+20,2.3797207293226443e+23,1.926211582627244e+23,1.3308419307705006e+22,1.61162237910961e+22,2.259504252107939e+20,4.5338029833914255e+23,5.40985798959683e+22,1.0093877218056616e+26,4.4023051637335765e+28
1.4615329128593582e+24,1.281258357779651e+25,4.4045537524217925e+20,3.0052079845352343e+31,1.1918878245752376e+30,1.5993809915870223e+26,1.1004783725073564e+21,2.689639062793837e+19,4.554479719064703e+21,4.518601679597359e+22,1.62590400625e+19,1.1253183974054243e+26
5.323146354598195e+23,1.201181964018701e+25,4.906542696523396e+20,9.37122602603564e+24,6.919149283549046e+20,6.135239199834157e+28,1.52587890625e+19,4.049821469464444e+20,2.464150278832667e+24,3.627345369597887e+22,2.081512269473258e+27,1.0832237253972093e+26
3.705612929685052e+23,1.1211055702577511e+25,5.408531640625e+20,4.1376371091870206e+30,1.5400819003769307e+20,2.522106271844853e+22,3.2475734788313256e+19,2.072063824764373e+24,7.7686555469472e+17,2.7360890595984147e+22,6.792536303512979e+20,1.562989114994702e+26
4.8328507353281145e+23,1.0410291764968015e+25,1.2792027413834042e+23,2.1390924748081867e+31,1211736100000000.0,7.35102497586869e+21,2.165049013037759e+19,5.4795239698027045e+19,2.653995640002625e+23,1.844832749598944e+22,2.510433738584136e+26,1.2529353448936696e+26
2.463052881993962e+23,9.609527827358516e+24,1.1370691035192397e+23,2.0383042406314985e+24,8.398413080182809e+24,6.437058362748314e+21,1.0825245472441915e+19,9.745549850942828e+26,1.90823454322088e+21,9.535764395994726e+21,4.402250323124432e+27,9.785068238352184e+25
1.1573063521711763e+25,8.80876388974902e+24,9.94935465655075e+22,1.2231200477360107e+28,3.444862141851578e+25,4.3877744665646894e+18,814506250000.0,5.664776150841515e+22,3.48595813937738e+24,6.232012960000001e+20,7.681101042626444e+23,5.976107198366843e+25
2.192240470558668e+23,8.007999952139522e+24,8.528018277909102e+22,2.799203877650123e+23,2.466878191591852e+19,2.970972282513241e+31,4.2884916091207935e+23,3.2726667829513375e+20,2.167556310645433e+25,3.1160065360756566e+20,3.663265605453999e+18,2.332829326994569e+25
4.896364505366958e+23,7.207236014530024e+24,7.106681899267455e+22,2.856839518155957e+23,1.8247152586165864e+24,5.3806766422577154e+29,8.576983218233443e+23,1.0400806414635023e+22,6.22167517720954e+22,11215131210000.0,6.747565837436125e+21,3.5960576075489456e+25
4.111143690805756e+24,6.406472076920527e+24,5.685345520625809e+22,1.5636536866513828e+29,2.282537911302847e+24,4.589542950808546e+29,7.196069649708497e+23,4.3195453554326056e+24,1.3441384688360236e+22,6.821086712428059e+25,2.049953046768059e+21,3.6559638362447927e+25
5.789392516351639e+23,5.605708139311029e+24,4.264009141984161e+22,1.6373648261996355e+30,2.0343714833431576e+25,4.374593602419659e+28,5.8151560811835536e+23,1.5005318723051417e+22,1.109453772090187e+29,1.3642173424854995e+26,4.130997727767352e+21,1.604711325681511e+27
7.067278261941069e+22,4.804944201701532e+24,2.8426727633425155e+22,3.1448641034951614e+30,3.4344213542813984e+25,7.444513720273004e+25,4.434242512658609e+23,3.2362944459918027e+22,3.597968031055207e+18,2.046326013728193e+26,2.815802417795057e+20,1.5921740747193705e+25
1.4960725226924236e+23,4.004180264092034e+24,1.421336384700868e+22,2.40912025631492e+25,3.3554759128552027e+25,6.291485354032308e+29,3.0533289441336645e+23,9.73547384213085e+28,9.198604540959792e+28,2.728434684970887e+26,6.28702671486387e+17,1.5691151271969243e+25
1.0626015022835376e+23,3.2034163264825363e+24,60592212810000.0,4.394089362693748e+27,2.301426008158141e+25,1.8032772384299992e+27,1.6724153756087193e+23,9.00424027200325e+22,1.3547894071360415e+23,3.410543356213581e+26,1.527488456433218e+22,3.127632225828112e+25
3.143354460562857e+23,2.4026523888730384e+24,1.1412063024712127e+20,6.391372447974151e+28,7.841435973847925e+25,3.540056903583332e+27,2.91501807083776e+22,1.2099419900585508e+27,9.029244432338896e+18,4.092652027456274e+26,1.4281373363553303e+18,1.6038752192644415e+25
9.291382496177376e+21,1.6018884512635405e+24,2.282411999020297e+20,5.907848820492967e+23,6.192332178356851e+25,5.9796583827797634e+26,2.2462783186896075e+22,2.395042839434874e+23,1.824691305999199e+20,4.7747606986989686e+26,4.707923783108744e+18,1.5542259496822558e+25
1.5637755715602002e+22,8.011245136540426e+23,3.423617695569382e+20,3.1183854720048024e+25,5.221144726915091e+25,1.5732627970307556e+26,1.5775385665414554e+22,6.64975876373772e+28,5.925037646494105e+18,5.456869369941662e+26,3.624143543267784e+20,1.688171109534107e+25
2.973104424066868e+22,3.605760445456e+20,4.564823392118467e+20,1.6301465411501544e+22,9.552670026041242e+25,4.014346104840492e+25,9.087988143933032e+21,1.6700303638266966e+25,7.224719516105694e+20,6.138978041184356e+26,1.1974928891520013e+18,1.1549278345937404e+25
3.3561441782469986e+22,3.278923264029097e+20,5.706029088667552e+20,2.2951442529206507e+23,1.6156910807722548e+27,3.1096261184440874e+23,2.4005906224515063e+21,9.52126464293367e+28,1.1114436906578289e+19,6.82108671242705e+26,3.149985926230844e+29,7.249346277760665e+24
1.9839671614211013e+24,2.9520860826021934e+20,6.847234785216636e+20,1.8978052949212403e+24,7.0580818487926335e+25,3.249501496307161e+20,1.2268924862619095e+26,1.528980041914794e+27,1.7179061705692055e+21,5.281980641536e+24,6.271816737463562e+28,8.885019112208509e+24
6.877665800408963e+23,2.625248901175289e+20,7.988440481765721e+20,3.402645759873809e+28,6.333163383874812e+25,1.1179946460810152e+20,2.4537609666175945e+26,9.697564527364505e+29,1.2827613717820408e+21,8.4934656e+23,1.1449593165564189e+17,1.1887035748217144e+25
2.100553539396277e+24,2.298411719748386e+20,9.129646178314806e+20,1.7191894821884045e+25,1.1654925528926356e+26,6.989553258580088e+19,3.68062944697328e+26,1.0434739653057196e+24,1.1919183620264277e+20,1.1217487967616908e+30,7.404123201744566e+16,1.3258996722042312e+25
4.797708532632437e+21,1.971574538321483e+20,1.027085187486389e+21,8.435837935482782e+23,7.851235231984945e+25,1.9476779134205843e+26,4.9074979273289645e+26,1.8949461041752817e+29,1.6292764410933377e+23,5.60874398380938e+29,1.974348996599696e+19,5.130758389598738e+24
5.890501192094287e+23,1.6447373568945796e+20,1.1412057571412977e+21,1.485729958700724e+26,4.8720925572133246e+27,2.401003279313496e+22,6.1343664076846495e+26,1.5700497290240486e+22,1.0936116143943395e+22,1.8520544754275066e+17,2.807867862076244e+16,4.12600351742708e+24
1.5255354409576158e+22,1.317900175467676e+20,1.2553263267962062e+21,7.104802638938482e+24,2.188909697478976e+26,8.071336670671887e+21,7.361234888040334e+26,1.2329440272146978e+22,1.7424965428808204e+20,7.028106082210947e+30,2.8013978736551816e+16,4.532967115391687e+24
2.197230412490937e+21,9.910629940407729e+19,1.3694468964511145e+21,4.6686137028754864e+23,2.758753282820296e+26,2.8471484789011974e+28,8.588103368396019e+26,2.9418998448119977e+25,1.825813060140747e+18,1.4056212164421709e+31,5.576448968664148e+18,3.707073500041447e+24
6.071080331231489e+21,6.642258126138694e+19,1.483567466106023e+21,5.756011941674987e+27,2.004071694297287e+26,2.1791697525855926e+22,9.814971848751704e+26,5.392679877274278e+26,1.0961143685969198e+21,2.108431824663247e+31,1.0230906028975507e+21,3.0780398028497064e+24
4.921110037923519e+21,3.373886311869658e+19,1.5976880357609316e+21,8.9343907075463e+26,4.408226630339803e+26,7.61725230902126e+20,1.104184032910739e+27,1.0491169770067356e+27,8.370066104333332e+17,2.811242432884324e+31,1.7156902771370295e+20,2.98755348021496e+24
8.211404002112386e+20,1.05514497600625e+18,1.71180860541584e+21,3.620937465098027e+23,1.0362780174804288e+27,1.0191100102957563e+22,1.2268708809463074e+27,1.4999270744252123e+26,2.166010885589172e+18,3.5140530411054e+31,6.789600089984138e+20,3.2355091360646544e+24
7.0585369051492e+20,1.0431718074499068e+18,1.8259291750707484e+21,4.5403041457282335e+22,3.390593433176285e+30,3.902076582882513e+20,1.349557728981876e+27,3.449151114582512e+26,2.838115069883285e+21,4.216863649326476e+31,7157212259983026.0,2.871088778477528e+24
1.2362078803223886e+21,1.0311986388935634e+18,1.940049744725657e+21,8.202324662760538e+28,6.083357476195153e+27,5.776254746268882e+21,1.124632320935351e+27,8.438766846114512e+25,3.26868464886016e+18,4.919674257547552e+31,2.16660208202658e+23,3.452514329791791e+24
6.394122510828797e+20,1.01922547033722e+18,2.0541703143805653e+21,4.996440417110611e+22,7.768369676515647e+26,4.090939803013789e+20,8.99706912888826e+26,9.112345676065402e+24,8.307410000973824e+20,5.6224848657686285e+31,4.3855846426985536e+17,5.55242243797894e+24
5.724958956947044e+24,1.0072523017808768e+18,1.8273428148961896e+21,4.583739668564182e+28,5.930779016456833e+26,2.435990482904771e+23,6.747815048423012e+26,8.83722177475106e+25,1.4534552520896444e+19,6.325295473989705e+31,1.0477854447519731e+17,1.1156737400747593e+25
5.0016691341480896e+23,9.952791332245336e+17,1.6005153154118142e+21,1.010180552322714e+24,3.555915081269366e+26,4.051903142832758e+22,4.498560967957763e+26,2.2101422162495165e+22,5772006250000.0,7.028106082210781e+31,9765870119158632.0,8.570125603105324e+24
6.688009148475714e+20,9.833059646681902e+17,1.3736878159274388e+21,6.895615220463685e+22,3.140706886362997e+26,6.960648842884436e+21,2.249306887492514e+26,7.492295000819914e+22,293765888160000.0,7.730916690431857e+31,1.7575250086769718e+17,7.857601319796142e+24
