Duration_Central_moment_5th_order,Duration_Central_moment_5th_order.1,Duration_Central_moment_5th_order.2,Duration_Central_moment_5th_order.3,Duration_Central_moment_5th_order.4,Duration_Central_moment_5th_order.5,Duration_Central_moment_5th_order.6,Duration_Central_moment_5th_order.7,Duration_Central_moment_5th_order.8,Duration_Central_moment_5th_order.9,Duration_Central_moment_5th_order.10,Duration_Central_moment_5th_order
-6328633507.763863,-1.2999072695445072e-09,220743318.37150303,1284580169978.808,-889586160665.2169,-41318384414.35322,2280448075.331154,1192231506205.7834,-24064763028.98241,7008283882210.804,-63092479681.79262,295476644656.02466
2686016347.5754232,-1.282100320646637e-09,200234312.2092817,1962426932510.973,-512990678694.23145,133243752181.53488,3420672112.996792,2794315210787.032,6284041704.637658,7884319367487.154,-41132026986.89101,-520702193842.9286
33390964478.82123,-1.264293371748767e-09,179725306.04706043,10985481230115.977,-816607919778.3755,45962262798.90259,4560896150.66243,-1893513168.732606,-1.788139343261719e-07,8760354852763.505,22421748035.92201,493039066251.1602
97879056164.07082,-1.246486422850897e-09,159216299.88483912,8435008631897.217,-977357351237.8644,120456213909.7849,5701120188.328068,4407682085564.21,0.0,9636390338039.855,14674609735.771486,129633696119.63672
19033209244.18873,-1.2286794739530271e-09,138707293.72261783,14550860853591.19,-1059904777093.127,-11426390701.684645,6841344225.993706,-273051082794.798,-7990629682.511828,-30338597837.667866,-3720632634.911881,-30346328478.14585
171505632293.024,-1.2108725250551574e-09,118198287.56039654,1381335223423.7466,-1253273677385.286,-372568167915.5323,16846030486.165688,1.817941665649414e-06,16925171363.115532,-15169298918.833933,117254871352.73737,1392010600115.92
112878502860.02094,-1.193065576157287e-09,97689281.39817524,13618243159070.568,-1580769968153.3655,-44706137414.33372,9.999999999996213e-05,-704104936792.1249,1.9073486328125e-06,0.0,840213228262.2218,491773895447.90704
427125891106.4289,-1.175258627259417e-09,77180275.23595396,1555663296861.4182,-1088840779999.0771,-84052154699.37465,79221425990.75357,-784444214130.2211,623059485894.6339,-4.37721610069275e-08,432744840142.2583,2354546455629.7134
158623638504.26227,-1.1574516783615475e-09,56671269.07373264,2726722369572.3853,-781734114315.4453,-9018328471.096245,-396350.37704832223,-2635607083589.0625,311529742947.31665,-8.7544322013855e-08,-33055963025.924828,576171517087.0833
241805059989.7273,-1.1396447294636774e-09,36162262.91151136,1197502891017.9875,-796795725922.7277,-47834778029.67549,-198175.18861571385,-142023092.06504628,-0.00054931640625,-1.313164830207825e-07,202149208155.5676,1794258141070.0076
182506796221.40527,-1.121837780565807e-09,1.811981201171875e-05,79679365550.6099,-934855269859.0956,909851781530.4316,-0.00018310546875,-191980751.98754364,30174364.12296001,-1.7508864402771e-07,85279871060.72777,-163840930490.74167
314222204869.1259,-1.1040308316679375e-09,26327022229.208893,-2683285853.49808,-1009823392900.0876,-769863120720.9794,-250356855491.5633,-1567268582897.7378,-1285885675.0637298,-8.7544322013855e-08,2642170845.323867,-997022339437.299
1429847028899.706,-1.0862238827700675e-09,52654044458.41776,241795398797.1162,-1220000204845.8528,-498042669620.1402,-187767641618.6725,-288371337323.299,-13409443495.603546,0.0,39599590969.60469,-54813977944.67477
205535026472.38312,-1.0684169338721976e-09,-7939441.5595104145,177548737595.10715,-1240165413879.925,-123438734330.01422,-125178427745.78165,-295676245246.91223,-164904252257.83823,-7.62939453125e-06,19226247437.749184,2620513486155.819
118016627330.7588,-1.0506099849743274e-09,0.0,305941101830.68555,-1416343677724.462,1012674194863.928,-62589213872.89081,6568539814.966601,5125805691.914417,94363569052435.22,250693787160.8444,-784429009878.5299
114873025760.13982,-1.0328030360764575e-09,10617591502836.123,-446112228039.6204,-1956885929027.6648,-275068865720.183,0.0,1192076642.1113918,-29279713955.673622,188727138104870.44,259976010941.9357,308676364669.46515
102814644372.86829,-1.0149960871785875e-09,-4.4703483581542975e-08,7197652618.102837,4970926306122282.0,-106448768591.06152,-4.0531158447265625e-06,-1190746912185.9512,8013963364.463942,283090707157305.6,-63391140963.743614,2191018260002.2788
