Amplitude_Impulse_factor,Amplitude_Impulse_factor.1,Amplitude_Impulse_factor.2,Amplitude_Impulse_factor.3,Amplitude_Impulse_factor.4,Amplitude_Impulse_factor.5,Amplitude_Impulse_factor.6,Amplitude_Impulse_factor.7,Amplitude_Impulse_factor.8,Amplitude_Impulse_factor.9,Amplitude_Impulse_factor.10,Amplitude_Impulse_factor
1.1264465142534574,1.0123315170633784,1.0577041531469924,1.190476190476191,1.0478361331418222,1.0186335403726707,1.2438674410659378,1.0446688987453183,1.3203512791141656,1.080220688323987,1.1921871940473858,1.0811308613697144
1.2126917712691772,1.0069400630914829,1.0516795113678437,1.3769368781601696,1.1443298969072164,1.0282051282051283,1.2354040168145728,1.2520577045491554,1.1376947040498442,1.073153273429536,1.072099383095546,1.0765791867384589
1.0814123406276257,1.0452261306532662,1.0456548695886947,1.3095771941063423,1.0296774193548386,1.0432781859682445,1.1123613566950652,1.3504350933066247,1.1320013101867017,1.0660858585350843,1.1337112370790263,1.1125328154147858
1.1966718271725376,1.0467098985935672,1.039630227809546,1.346268656716418,1.0249520153550862,1.058351243731361,1.0312499999999998,1.2119596605802123,1.0928182525278711,1.0590184436406334,1.093726754277213,1.0880879295601638
1.1462434289625878,1.0481936665338685,1.0336055860303972,1.267822123284041,1.1287352001503477,1.073424301494477,1.0371302706104468,1.169339049203404,1.219945355191257,1.0519510287461822,1.192963166575041,1.1479512689515377
1.2251027505532723,1.0496774344741695,1.0275809442512485,1.3024823781795891,1.318870616100988,1.1290843081887858,1.151441000543774,1.1769502156017249,1.1158854166666667,1.044883613851731,1.0062893081761006,1.0904272547761242
1.1718214825709967,1.0511612024144703,1.0215563024720995,1.274764679515912,1.1216494845360827,1.2899548515801946,1.0413971539456663,1.194539258473824,1.054868624420402,1.0378161989572798,1.279211719567492,1.1084420105701396
1.1476311046262122,1.0526449703547718,1.015531660692951,1.2208521548040532,1.0902753572673407,1.145106281725888,1.1090733590733588,1.3010552899792551,1.0315265486725664,1.0307487840628284,1.1986409966024916,1.141211652347797
1.1667998216603912,1.0541287382950728,1.1160714285714284,1.3818339020210286,1.0248403122782117,1.1740564792821322,1.076712375273526,1.1296315231488705,1.1930864197530864,1.0236813691683773,1.3580599144079886,1.080119552641728
1.159344932587418,1.055612506235374,1.1050434444929855,1.25292911085558,1.173958063681077,1.0696141337786764,1.0443513914736935,1.354280245369988,1.0791460557146575,1.016613954273926,1.4022116702253098,1.09151893526055
1.227959948315489,1.057096274175675,1.094015460414543,1.3643233528042156,1.1602583820362964,1.056837754047537,1.0119904076738608,1.2249136709569584,1.191292875989446,1.009546539379475,1.3555501102670913,1.0995654910912978
1.197119661485064,1.058580042115976,1.0829874763361,1.2648545790347556,1.1042435424354242,1.3040643338404694,1.1912106085366694,1.1121861382029468,1.233249370277078,1.0119503031825603,1.1740689655172414,1.105913731011887
1.205270615054603,1.0600638100562774,1.0719594922576572,1.2014531786628904,1.0335413416536663,1.1667293940534438,1.370430809399478,1.2437143089122846,1.1885997521685254,1.014354066985646,1.2565223026644694,1.1100710752732863
1.235188187200451,1.0615475779965784,1.0609315081792146,1.3097119506849797,1.0259277654861705,1.2238903394255876,1.3253283893393282,1.2964509248900435,1.184761373150991,1.022509237965152,1.189572926194329,1.1163857562094517
1.2494918791064038,1.0630313459368794,1.0499035241007717,1.277253680507316,1.038316148072579,1.1895910780669146,1.2802259692791784,1.2223664894829167,1.3269932544509566,1.030664408944658,1.292609351432881,1.1797807170982606
1.1629685991633594,1.064515113877181,1.0388755400223288,1.3315157087150873,1.0793750685731205,1.0774068996678012,1.235123549219029,1.2453867375690444,1.093625498007968,1.0388195799241642,1.117739712541839,1.1395420405816958
1.1480365653265483,1.0659988818174817,1.0278475559438862,1.2456871423944724,1.0511443910709242,1.1058479635140608,1.1900211291588787,1.4716427083689008,1.3280226325193567,1.0469747509036702,1.0832064941653985,1.1846174747660414
1.1701937765795758,1.067482649757783,1.0168195718654434,1.3346747693730678,1.055909584098108,1.0420785842386877,1.144918709098729,1.3184634448574966,1.1527794821450483,1.0551299218831762,1.290898121013618,1.1631911572565563
1.196650349016408,1.068966417698084,1.022396897886538,1.3188889080866897,1.052189267086325,1.0804118337025936,1.0998162890385792,1.3658883412361702,1.0849677288283923,1.0632850928626822,1.163728100129622,1.168540848829874
1.0644909272912972,1.070450185638385,1.0279742239076328,1.1948246270298817,1.0402017293854278,1.0807547529335677,1.0934572581012485,1.233531541498001,1.1417679498848852,1.0714402638421885,1.1657872340425532,1.150432044959741
1.1014972378421508,1.0719339535786865,1.0335515499287276,1.1990681973524528,1.0532641573686423,1.0839545214379367,1.0870982271639176,1.371412898138307,1.085476025017373,1.0795954348216945,1.173422736970436,1.1612884375649282
1.135540457192255,1.0734177215189873,1.0391288759498225,1.1784826701584672,1.0534077039175798,1.0758865096924055,1.0807391962265869,1.4303433284316862,1.185247182234126,1.0877506058012003,1.1147773786651072,1.1720829835711717
1.1279085614389055,1.071357424850158,1.044706201970917,1.113240709431214,1.112862227160938,1.1246015442374442,1.0743801652892562,1.2241664866421833,1.0111743622180054,1.0959057767807066,1.3623204858943063,1.1889164428167749
1.167489305124475,1.0692971281813288,1.0502835279920115,1.1252398423698873,1.0441246895129035,1.0560711259602524,1.0784471314050024,1.2373023301640476,1.0666072171690149,1.062108262108262,1.4179033935154552,1.1780919605878584
1.1603589851282767,1.0672368315124994,1.0558608540131065,1.057238914849978,1.0409232393008714,1.0243326246161113,1.0825140975207483,1.2999071494893222,1.0981902277446924,1.045045045045045,1.099467200026892,1.158815620545688
1.1668274855633238,1.06517653484367,1.0614381800342012,1.2693964797434956,1.0426522618108662,1.1067247481622653,1.0865810636364943,1.2045454545454544,1.122031795385409,1.0993843447669305,1.0777876705010865,1.1480805089662318
1.0524627295996327,1.063116238174841,1.067015506055296,1.2515706574639414,1.0419586493326014,1.1606345294933007,1.0906480297522407,1.2155381989344645,1.2690485144791277,1.0805477123554148,1.1581517433180444,1.128246223327108
1.1317417514150292,1.0610559415060117,1.0725928320763904,1.2487958059451258,1.0969849986234332,1.1374258257627476,1.094714995867987,1.0160265028879971,1.2192513368983957,1.061711079943899,1.0891628635651522,1.1247713829203938
1.1107311917323115,1.0589956448371824,1.0781701580974852,1.2837057893604482,1.0387164366749484,1.0897591192750578,1.098781961983733,1.1575980923477132,1.1559286605306631,1.065367197644967,1.061388876885182,1.140833599732079
1.078101181712767,1.0569353481683532,1.08374748411858,1.1634140286393055,1.041223936329905,1.2657659461630786,1.102848928099479,1.212793733681462,1.1148566814695196,1.069023315346035,1.1638284562452217,1.1167547610531046
1.1255721089291275,1.0548750514995238,1.0893248101396746,1.2826075102478207,1.0412054415431404,1.0740274159798435,1.1069158942152253,1.2005274817659175,1.036122259956777,1.072679433047103,1.097349250331604,1.119946012346554
1.1005723321791336,1.0528147548306943,1.0949021361607694,1.2743456888534608,1.0385644813607704,1.0572734457547373,1.1109828603309717,1.188261229850373,1.0196078431372548,1.076335550748171,1.102040816326531,1.117140002207924
1.0315910748084764,1.0507544581618653,1.100479462181864,1.1201843240450358,1.0387978629808612,1.0619669804895802,1.1150498264467177,1.1209538867230977,1.067700987306065,1.0799916684492392,1.2141786438585664,1.1253391156585322
1.0463673698877942,1.051584907569455,1.1060567882029588,1.1408890053436118,1.0775521311959249,1.0516743479113553,1.1191167925624637,1.161566498145555,1.121441228588305,1.083647786150307,1.0728476821192052,1.1461654208427587
