RMS_Mean,RMS_Mean.1,RMS_Mean.2,RMS_Mean.3,RMS_Mean.4,RMS_Mean.5,RMS_Mean.6,RMS_Mean.7,RMS_Mean.8,RMS_Mean.9,RMS_Mean.10,RMS_Mean
67.9764705882353,31.43181818181818,36.135,70.58888888888889,28.333540372670807,46.54782608695652,29.566666666666663,26.268099547511312,25.457142857142856,14.233333333333334,52.85833333333333,52.513672111312765
56.54285714285714,31.00454545454545,34.97,54.150000000000006,29.70248447204969,31.714285714285715,29.206306306306303,22.56468926553672,21.357142857142858,14.080555555555556,59.25696202531646,55.57630180658873
68.5,30.577272727272724,33.805,70.75,31.071428571428573,42.650000000000006,28.845945945945942,24.11384615384616,26.214285714285715,13.92777777777778,57.75024390243903,53.03041237113402
64.53445945945946,30.15,32.64,76.94444444444444,25.133333333333336,45.3,29.547826086956523,23.57587131367292,23.25,13.775,63.42021276595744,54.84465150950429
57.64794520547945,39.7,31.475,68.79411764705883,35.25,40.56666666666666,25.9,25.06875,19.40833333333333,13.622222222222224,57.898333333333326,54.65886472539624
61.095380434782605,39.16578947368421,30.31,65.49090909090908,33.05,35.833333333333336,29.9,24.665376344086024,33.58,13.469444444444443,50.381818181818176,56.677896401739815
62.67461928934009,38.631578947368425,29.145,81.63846153846154,16.085714285714285,31.1,20.9,24.455841121495325,22.8625,13.316666666666666,48.41428571428571,55.426383526383525
63.21755555555556,38.09736842105264,27.98,81.8529411764706,22.867346938775512,37.8,33.86,22.655555555555555,18.74,13.16388888888889,45.3,55.39176582579724
61.61343085106383,37.56315789473685,26.815,65.63333333333334,17.616666666666664,62.333720930232566,23.5,23.97554671968191,23.066666666666663,13.011111111111113,53.57333333333334,58.44546436285097
60.88966685488425,37.02894736842106,25.65,66.005,14.55,64.40505050505051,28.7,23.340037593984963,26.160000000000004,12.858333333333334,31.84375,60.60530227948464
57.40178094390026,36.49473684210527,23.03333333333333,70.70055865921788,20.6,60.78387096774194,30.23333333333333,22.895180722891563,22.425,12.705555555555556,48.825,59.44810318664643
55.7039666993144,35.96052631578947,22.84629629629629,83.80436432637572,26.02,70.93953488372092,31.76666666666667,21.489173228346456,16.86,12.55277777777778,60.838636363636354,58.98837209302326
55.74775583482944,35.42631578947368,22.65925925925925,93.16017964071855,19.875,66.253125,33.300000000000004,23.26876310272537,23.950000000000003,12.4,54.79444444444445,56.23689041881813
58.21497816593886,34.892105263157895,22.47222222222222,96.61833333333334,21.33333333333333,58.911111111111104,34.62894736842105,26.220754716981133,22.0,15.25,66.38125,54.45882352941177
63.38090349075976,34.357894736842105,22.285185185185185,96.5906862745098,35.78799999999999,70.32580645161289,35.95789473684211,27.16714975845411,21.19090909090909,18.1,62.204430379746846,55.68311298076923
66.76320624712908,33.82368421052632,22.098148148148148,98.58733333333332,40.19103139013452,59.63000000000001,37.506578947368425,26.3035,29.410000000000004,17.345000000000002,70.58910891089108,53.67862380146644
67.70987780040734,33.28947368421053,21.91111111111111,105.3640350877193,40.89068825910931,53.73153846153846,39.055263157894736,24.411821705426355,22.8375,16.59,66.26935483870967,52.72371188222923
66.00041088854648,32.75526315789474,21.724074074074075,107.30761904761904,38.269926199262,49.75161290322582,40.60394736842105,21.229723991507434,22.73333333333333,15.835,70.97142857142858,51.88132603406326
66.66358839050132,32.22105263157895,21.53703703703704,118.63296703296702,35.95813253012049,43.277866242038215,42.15263157894737,20.191879350348028,25.23333333333333,15.080000000000002,65.99016393442623,51.48196721311476
66.6546803652968,31.68684210526316,21.35,121.22036474164132,31.859697386519944,48.724884792626725,43.70131578947368,24.85703125,22.05454545454545,14.325,58.02941176470589,51.22309505106049
66.10806045340051,31.15263157894737,20.817222222222224,125.0943231441048,33.0,46.260554885404105,45.25,26.2607210626186,12.532183908045976,13.57,29.907339449541286,48.79129368485592
67.0433637284701,30.618421052631582,20.284444444444446,127.15904761904764,36.97828773168579,42.68155737704918,44.4875,24.29659863945578,14.764453125,12.815,39.55555555555556,47.09867285998673
66.60444579780756,30.08421052631579,19.75166666666667,137.64642857142857,37.59520661157025,40.03745680718728,43.725,25.06090909090909,22.8625,12.06,60.16785714285714,46.71091151031271
67.32980466288595,29.55,19.21888888888889,146.601,34.99004739336493,38.8917943107221,42.962500000000006,38.54680851063831,19.13846153846153,11.305,71.34117647058824,47.98698588090853
69.35413300186451,28.786363636363635,18.68611111111112,142.55526315789473,36.013649851632046,50.21111111111112,42.2,43.32941176470588,11.954545454545457,10.55,45.81666666666666,47.49551435406698
66.70794979079497,28.02272727272728,18.153333333333336,144.1454148471616,33.53780415430267,39.2940251572327,38.97272727272728,44.9076923076923,12.72935779816514,15.4,54.080000000000005,47.26509308510639
66.41537132987911,27.259090909090908,17.620555555555555,150.81942857142857,34.06716077537058,39.65714285714286,35.74545454545455,44.65714285714286,13.49614147909968,14.2,37.46741573033708,48.72532504239684
66.3889400921659,26.495454545454542,17.08777777777778,121.70975609756096,33.71940220241216,52.55999999999999,32.51818181818182,47.08888888888888,16.335555555555555,15.220000000000002,33.58038277511962,50.01375259156876
68.1928813559322,25.73181818181818,16.555,115.975,33.976879795396414,45.74166666666667,29.290909090909096,54.84255319148937,33.88421052631579,19.160000000000004,34.518750000000004,47.05141304347826
68.92003034901366,24.96818181818182,16.022222222222226,124.24343434343436,37.33501945525292,41.336842105263166,26.06363636363637,60.56306306306306,22.116666666666664,23.1,30.953076923076924,49.12463768115941
67.99812734082397,24.204545454545453,15.489444444444445,135.13541666666666,38.1628715134888,42.779035639413,22.83636363636364,47.91666666666666,13.491772151898733,22.545454545454547,41.12916666666667,48.755576036866366
72.98449197860963,23.44090909090909,14.956666666666669,112.83661060802072,39.91140519730511,45.47555129434324,19.60909090909092,53.025,26.41428571428572,21.99090909090909,45.942788461538456,51.22237723214285
72.77090909090909,22.67727272727273,14.42388888888889,93.3862292051756,40.60541871921182,45.3475040257649,16.381818181818186,55.313815789473686,32.42666666666666,21.43636363636364,35.07272727272728,53.70298582995952
72.55250403877221,21.913636363636364,13.891111111111112,104.58523769808174,41.97839673913044,45.12107101280559,13.15454545454546,57.602631578947374,13.566666666666665,20.881818181818183,54.2952380952381,54.65188364329995
73.34534161490683,21.15,13.358333333333334,120.3214487300094,41.80997635933807,44.163696369636966,9.92727272727273,57.453658536585365,17.093333333333337,20.327272727272728,55.52352941176471,53.1028832951945
71.62446280991736,21.24736842105263,12.825555555555557,121.87368913857676,41.6127612272121,47.06025515210991,6.7,52.75155555555555,28.236363636363635,19.77272727272728,54.35555555555556,49.437093454096335
71.80017094017094,21.344736842105263,12.29277777777778,113.08351822503964,43.26123076923077,49.86705767350929,12.441666666666666,50.2,23.35,19.21818181818182,62.59714285714286,48.33618888424572
75.75386702849389,21.44210526315789,11.760000000000002,123.03154761904764,42.76944660950896,51.7627889634601,18.183333333333334,61.92254901960785,28.866666666666664,18.663636363636364,64.36923076923077,48.812401574803154
76.06785109983079,21.539473684210524,15.901481481481484,120.6720651242502,43.15890625,50.89081225033289,23.925,57.409523809523805,34.612500000000004,18.10909090909091,62.16470588235294,47.28286189683861
76.07354740061163,21.63684210526316,20.042962962962964,119.02062780269058,44.826493848857645,53.86230838593327,29.666666666666664,43.95,38.8,17.554545454545455,53.74358974358975,49.63970493906351
75.58726114649681,21.73421052631579,24.184444444444445,112.90809199318568,48.051093613298335,52.98248407643312,35.40833333333333,35.23333333333333,51.95,17.0,55.04038461538463,51.83992049971607
77.14035308953342,21.83157894736842,28.32592592592593,111.76101055806936,45.000179775280905,51.0761329305136,41.15,51.5,26.875,14.725,55.254945054945054,49.57769662921349
74.93779141104294,21.928947368421053,32.46740740740741,105.85307414104882,44.593832020997375,53.66122448979592,40.775,60.0,34.39651162790698,17.4875,56.64642857142857,47.353849787435045
76.10886766712142,22.02631578947368,36.608888888888885,101.67011627906976,45.95484167049106,53.7692789968652,35.6,59.52727272727272,17.6,20.25,68.01917808219179,46.18552792498981
79.17641791044775,22.12368421052632,40.75037037037037,100.52307692307691,49.77857811038354,58.67224489795919,34.40851063829786,60.392857142857146,28.200000000000006,18.1625,71.21944444444443,44.84717261904762
77.45605786618444,22.221052631578942,44.891851851851854,116.52555066079296,53.95854875283447,61.03963414634146,34.81923076923077,60.825,26.6,16.075,64.57222222222224,44.30793650793651
76.31709601873536,22.31842105263157,49.03333333333333,111.66542056074763,50.5404068423486,57.4096681096681,40.20961538461539,63.77894736842105,25.0,13.9875,53.99545454545455,43.10268336314848
75.99477611940299,22.41578947368421,51.65,56.86510067114094,49.17487462387161,48.78093145869947,45.6,63.02777777777778,41.48,11.9,52.62043010752689,43.8243561442237
72.01827956989247,22.51315789473684,57.5311403508772,57.57259713701431,46.97606538237011,50.1262156448203,40.36666666666667,62.35357142857144,42.38,14.925,51.557142857142864,47.51744284504657
67.82208976157082,22.61052631578947,63.41228070175438,73.26779184247538,46.754583333333336,59.40849802371542,38.825,61.39444444444444,27.62857142857143,17.95,51.4579268292683,48.607398171238565
65.50490196078431,22.707894736842103,63.785714285714285,69.29109243697478,44.6863503222027,63.97669491525424,37.28333333333333,69.4125,30.666666666666668,14.65,51.00841121495327,46.50202247191011
69.70696969696971,22.805263157894736,28.8,64.45425531914894,44.917142857142856,60.6336,35.74166666666667,67.35555555555554,29.444444444444443,17.63173076923077,54.72533333333334,45.873493975903614
66.23095823095824,22.902631578947368,52.79999999999999,76.37719298245615,43.46072766185126,51.27070707070708,34.2,71.05714285714286,38.35,20.61346153846154,55.35416666666666,45.07460840890354
65.24428274428274,23.0,56.85,72.00426229508196,41.78006756756756,54.168894952251016,38.325,58.81,23.80652173913043,23.595192307692308,63.01612903225806,42.50570497147514
64.42863247863248,23.097368421052632,50.45,69.76338582677165,42.04173963806188,64.46629213483146,42.45,61.24999999999999,20.366666666666667,26.57692307692308,59.86153846153846,42.77458745874588
60.48557312252965,23.19473684210526,44.05,73.30781250000001,41.39769533445756,74.3695652173913,33.03636363636363,61.176,21.02857142857143,17.75,66.28169014084507,45.27896522476675
58.1194729136164,23.292105263157893,37.65,70.904,40.4312087912088,70.08333333333333,40.26,63.33846153846154,19.38342541436464,15.866666666666664,63.325,47.20426884650318
60.05352941176472,23.389473684210525,57.96666666666666,95.87222222222222,39.72932049224185,41.319354838709685,38.4,50.87777777777778,20.221450151057404,16.766666666666666,61.58928571428572,49.79077306733167
47.525886524822695,23.48684210526316,56.03055555555555,76.12083333333334,40.59771665801764,38.7391304347826,35.766666666666666,36.91285714285714,26.85280373831776,17.666666666666668,55.09090909090909,51.06845140032949
47.02783083219646,23.58421052631579,54.09444444444444,77.17121212121211,39.44449000512558,27.933333333333334,33.13333333333333,32.741504854368934,27.383333333333336,18.458333333333336,50.575,50.0902394106814
44.592867132867134,23.681578947368426,52.15833333333333,68.78813559322035,38.71137897782064,42.5074074074074,37.797222222222224,35.46493506493507,29.59642857142857,19.25,58.080000000000005,48.46373801916933
43.8086075949367,23.77894736842105,50.22222222222222,67.34782608695652,39.43859649122807,39.6170731707317,42.46111111111111,34.90887573964497,28.976958525345623,21.95,50.875,46.69594370860927
