Counts_Peak,Counts_Peak.1,Counts_Peak.2,Counts_Peak.3,Counts_Peak.4,Counts_Peak.5,Counts_Peak.6,Counts_Peak.7,Counts_Peak.8,Counts_Peak.9,Counts_Peak.10,Counts_Peak
39.0,36.0,91.0,,,,59.7,141.0,69.0,108.0,,230.0
126.0,35.0,9.0,,,,59.6,159.0,80.0,106.0,,194.0
87.0,25.0,18.0,,,,59.5,161.0,66.0,80.0,,187.0
41.0,115.0,20.0,,,,59.4,185.0,80.0,103.0,,212.0
101.0,44.0,66.0,,,,59.3,158.0,94.0,100.0,,215.0
83.0,50.0,53.0,,,,59.2,178.0,162.0,80.0,,217.0
39.0,7.0,78.0,,,,59.1,172.0,66.0,83.0,,229.0
112.0,20.25,103.0,,,,59.0,157.0,99.0,80.0,,178.0
82.0,33.5,31.0,,,,61.75,149.0,69.0,80.0,,205.0
75.0,46.75,36.0,,,,64.5,184.0,67.0,78.0,,217.0
71.0,60.0,79.0,,,,67.25,211.0,69.0,52.0,,183.0
83.0,24.0,70.0,,,,70.0,193.0,67.0,79.0,,229.0
86.0,73.0,92.0,,,,65.66666666666667,179.0,92.0,80.0,,208.0
71.0,108.0,120.0,,,,61.333333333333336,147.0,158.0,80.0,,206.0
84.0,2.0,56.0,,,,57.0,207.0,92.0,61.0,,215.0
51.0,244.0,87.0,,,,55.0,189.0,91.0,297.0,,203.0
83.0,32.0,40.0,,,,53.0,187.0,98.0,81.0,,231.0
97.0,64.5,54.0,,,,55.0,199.0,98.0,85.0,,180.0
74.0,97.0,103.0,,,,57.0,200.0,89.0,85.0,,185.0
86.0,13.0,111.0,,,,54.5,197.0,90.0,85.0,,186.0
74.0,69.0,59.0,,,,52.0,200.0,91.0,90.0,,172.0
119.0,125.0,113.0,,,,55.0,205.0,97.0,90.0,,173.0
50.0,106.0,68.0,,,,54.66666666666666,202.0,96.0,90.0,,168.0
81.0,45.0,96.0,,,,54.333333333333336,182.0,152.0,92.0,,156.0
105.0,35.0,110.0,,,,54.0,199.0,140.0,106.0,,192.0
111.0,21.0,140.0,,,,67.0,201.0,158.0,87.0,,178.0
100.0,35.0,98.0,,,,68.75,201.0,157.0,108.0,,170.0
75.0,35.333333333333336,110.0,,,,70.5,199.0,148.0,108.0,,215.0
