RMS_Max_Min_difference,RMS_Max_Min_difference.1,RMS_Max_Min_difference.2,RMS_Max_Min_difference.3,RMS_Max_Min_difference.4,RMS_Max_Min_difference.5,RMS_Max_Min_difference.6,RMS_Max_Min_difference.7,RMS_Max_Min_difference.8,RMS_Max_Min_difference.9,RMS_Max_Min_difference.10,RMS_Max_Min_difference
19.0,1.249999999999999,5.0,24.6,18.700000000000003,66.4,15.100000000000003,20.7,28.700000000000003,2.5466666666666664,53.8,67.0
18.700000000000003,0.8999999999999986,16.400000000000002,24.55,16.200000000000003,39.5,14.500000000000002,19.7,32.099999999999994,2.44,43.3,54.2
50.7,1.9363636363636347,17.528571428571432,24.5,13.7,29.6,13.900000000000002,27.1,26.4,2.333333333333333,44.3,76.6
60.7,2.972727272727271,18.65714285714286,19.90000000000001,11.2,19.7,13.3,39.6,30.2,2.2266666666666666,62.2,65.0
43.2,4.009090909090907,19.78571428571429,55.400000000000006,9.233333333333333,31.2,12.7,28.2,34.0,2.12,64.60000000000001,71.10000000000001
64.6,5.045454545454543,20.914285714285715,58.8,7.2666666666666675,26.0,9.4,18.0,14.200000000000005,2.0133333333333336,55.3,73.7
65.4,6.081818181818179,22.042857142857144,62.2,5.300000000000001,20.800000000000004,6.099999999999998,42.7,20.1,1.9066666666666672,64.4,71.5
60.7,7.118181818181816,23.17142857142857,23.6,4.899999999999999,11.7,10.800000000000004,42.900000000000006,12.7,1.8000000000000007,15.200000000000005,79.3
48.0,8.154545454545453,24.3,47.7,4.974999999999999,34.0,7.500000000000002,30.700000000000003,12.1,6.6000000000000005,25.90000000000001,50.6
32.5,9.190909090909088,21.98,87.8,5.049999999999999,38.5,4.199999999999999,35.2,28.4,11.4,33.00000000000001,51.3
55.49999999999999,10.227272727272725,19.66,2.1000000000000014,5.124999999999999,19.8,18.5,40.2,20.5,10.466666666666669,33.9,73.0
49.6,11.26363636363636,17.34,54.1,5.199999999999999,41.1,32.800000000000004,34.599999999999994,33.1,9.533333333333331,62.400000000000006,56.2
44.400000000000006,12.299999999999995,15.02,89.89999999999999,15.8,25.800000000000004,23.2,27.6,19.6,8.6,57.7,71.3
53.39999999999999,6.600000000000001,12.7,62.0,0.5,18.86666666666667,19.1,27.4,31.6,7.666666666666666,34.800000000000004,74.8
37.6,6.836842105263159,10.38,83.19999999999999,2.3000000000000043,11.933333333333335,1.0,28.5,39.6,6.733333333333333,46.2,64.9
55.3,7.073684210526317,8.059999999999999,93.3,5.4,5.0,5.599999999999998,42.5,11.400000000000002,5.8,25.0,66.10000000000001
34.2,7.310526315789475,5.739999999999998,52.8,42.7,32.7,3.0,38.400000000000006,8.6,4.866666666666666,37.4,66.5
50.10000000000001,7.547368421052632,3.419999999999998,76.4,7.499999999999998,46.0,12.0,40.8,2.7,3.9333333333333327,65.5,71.60000000000001
73.4,7.784210526315791,1.099999999999998,77.0,15.4,37.2,16.499999999999996,31.0,34.800000000000004,3.0,60.10000000000001,71.60000000000001
81.30000000000001,8.021052631578948,8.0,94.3,26.200000000000003,38.4,22.933333333333334,49.9,38.2,2.0666666666666664,82.39999999999999,68.2
62.2,8.257894736842106,8.1,92.9,27.6,27.5,29.366666666666667,55.3,18.9,1.1333333333333329,56.4,64.1
41.1,8.494736842105263,8.200000000000001,93.70000000000002,6.800000000000001,44.5,35.800000000000004,51.5,13.299999999999995,0.1999999999999993,66.3,65.19999999999999
67.30000000000001,8.731578947368423,8.3,84.19999999999999,7.5,42.0,29.4,36.1,20.8,9.8,30.3,67.2
77.0,8.96842105263158,8.4,80.39999999999999,25.8,53.99999999999999,23.0,50.400000000000006,37.900000000000006,19.4,60.900000000000006,69.6
79.2,9.205263157894738,8.500000000000002,72.50000000000001,32.900000000000006,69.89999999999999,24.183333333333334,47.2,22.6,18.39,74.8,69.4
77.1,9.442105263157895,8.600000000000001,94.7,39.400000000000006,42.0,25.366666666666667,59.4,22.7,17.38,81.8,73.4
76.4,9.678947368421053,8.700000000000001,96.2,43.2,37.50000000000001,26.55,50.3,8.600000000000001,16.369999999999997,35.9,73.7
78.5,9.91578947368421,8.800000000000002,113.6,42.9,58.1,27.73333333333333,46.3,29.500000000000004,15.36,54.2,73.0
83.1,10.152631578947368,8.900000000000002,111.8,32.0,56.2,28.916666666666668,39.1,31.9,14.35,78.5,74.5
63.49999999999999,10.389473684210524,8.52777777777778,149.9,35.8,66.6,30.1,69.7,31.5,13.34,57.0,69.60000000000001
72.6,10.626315789473685,8.155555555555557,146.7,32.5,54.8,23.825000000000003,43.8,39.0,12.33,58.0,69.39999999999999
61.2,10.863157894736842,7.783333333333335,119.4,41.4,60.5,17.55,31.6,18.8,11.32,61.7,72.0
69.2,11.1,7.411111111111113,106.9,37.8,60.400000000000006,11.275,41.5,29.5,10.31,64.1,73.1
70.5,10.645454545454545,7.0388888888888905,138.6,51.1,23.8,5.0,32.1,18.3,9.3,72.5,73.4
65.9,10.19090909090909,6.666666666666668,158.20000000000002,36.1,34.0,4.727272727272728,46.39999999999999,9.9,0.1999999999999993,59.2,77.3
74.4,9.736363636363636,6.294444444444446,161.20000000000002,36.6,35.0,4.454545454545455,45.6,32.2,1.5999999999999996,61.5,71.3
75.8,9.28181818181818,5.922222222222224,148.2,34.1,41.1,4.181818181818182,39.8,36.8,2.0,57.900000000000006,74.2
49.8,8.827272727272726,5.550000000000002,137.29999999999998,42.7,39.0,3.909090909090909,51.1,27.9,8.7,58.00000000000001,80.4
71.9,8.372727272727271,5.177777777777779,152.3,38.400000000000006,56.9,3.6363636363636367,36.4,26.4,15.4,55.6,79.7
71.19999999999999,7.918181818181816,4.805555555555557,154.10000000000002,31.700000000000003,42.50000000000001,3.363636363636364,18.700000000000003,20.4,14.236363636363636,51.900000000000006,80.5
69.80000000000001,7.463636363636362,4.433333333333335,146.29999999999998,40.5,49.8,3.090909090909091,32.800000000000004,30.8,13.072727272727274,63.2,83.8
69.6,7.009090909090907,4.061111111111113,150.0,40.9,59.1,2.8181818181818183,38.7,44.1,11.90909090909091,89.5,84.8
71.0,6.554545454545453,3.68888888888889,154.70000000000002,53.2,48.900000000000006,2.545454545454546,44.6,10.2,10.745454545454546,75.8,83.7
68.39999999999999,6.099999999999998,3.316666666666668,154.5,40.5,36.5,2.272727272727273,43.10000000000001,42.1,9.581818181818182,35.39999999999999,87.69999999999999
68.9,6.239473684210524,2.944444444444445,154.6,53.3,45.4,2.0,58.2,29.4,8.418181818181818,52.6,86.5
68.6,6.37894736842105,2.572222222222223,154.0,52.7,48.39999999999999,4.5,41.7,18.700000000000003,7.254545454545456,46.6,83.60000000000001
73.9,6.518421052631577,2.200000000000001,163.0,47.3,39.3,7.0,58.7,25.5,6.090909090909092,76.5,79.60000000000001
75.3,6.657894736842104,2.722222222222223,156.70000000000002,49.2,72.0,9.5,39.0,51.0,4.927272727272728,48.0,80.8
75.5,6.79736842105263,3.244444444444445,141.7,54.9,59.9,12.0,62.6,35.6,3.763636363636364,34.8,76.2
83.2,6.936842105263156,3.7666666666666666,155.9,52.0,65.5,14.5,29.5,7.300000000000004,2.6000000000000014,41.3,76.3
88.9,7.076315789473682,4.288888888888889,146.9,59.6,68.89999999999999,17.0,32.099999999999994,41.3,7.5,50.900000000000006,74.89999999999999
86.5,7.215789473684208,4.811111111111111,141.2,51.1,50.400000000000006,16.6,0.4000000000000057,36.1,4.0,42.8,75.10000000000001
