Rise-Time_Max_Min_difference,Rise-Time_Max_Min_difference.1,Rise-Time_Max_Min_difference.2,Rise-Time_Max_Min_difference.3,Rise-Time_Max_Min_difference.4,Rise-Time_Max_Min_difference.5,Rise-Time_Max_Min_difference.6,Rise-Time_Max_Min_difference.7,Rise-Time_Max_Min_difference.8,Rise-Time_Max_Min_difference.9,Rise-Time_Max_Min_difference.10,Rise-Time_Max_Min_difference
134.4,30.791666666666664,44.8,337.7,31.9,368.5,219.8,74.1,52.00000000000001,104.60666666666668,249.7,566.9
107.2,31.4,100.7,186.95,27.166666666666664,286.6,188.5,28.9,146.9,97.32,297.5,699.1
277.3,32.32727272727273,92.18571428571428,36.2,22.43333333333333,206.2,157.2,74.80000000000001,25.3,90.03333333333335,203.9,919.1
404.0,33.25454545454545,83.67142857142858,45.8,17.699999999999996,125.8,125.9,82.10000000000001,62.2,82.74666666666668,285.4,886.0
68.3,34.18181818181818,75.15714285714286,81.8,13.033333333333331,88.0,94.6,71.3,99.1,75.46000000000001,213.2,853.9
99.7,35.10909090909091,66.64285714285714,50.65,8.366666666666667,75.5,77.05,220.1,66.2,68.17333333333335,322.1,804.6
102.6,36.03636363636364,58.12857142857143,19.5,3.700000000000003,63.0,59.49999999999999,67.3,61.2,60.886666666666684,264.4,996.2
98.0,36.96363636363636,49.614285714285714,51.10000000000001,39.5,38.7,31.90000000000001,62.8,43.1,53.60000000000001,35.3,743.1999999999999
317.8,37.89090909090909,41.1,94.6,48.4,43.8,25.350000000000005,204.7,172.4,37.05,64.9,1037.5
82.9,38.81818181818182,38.41,41.5,57.3,42.6,18.8,247.2,94.5,20.5,101.7,658.0
83.10000000000001,39.74545454545455,35.72,51.5,66.19999999999999,79.19999999999999,66.7,348.3,69.1,20.375,67.6,884.0
81.6,40.67272727272727,33.03,84.6,75.1,41.1,114.6,328.1,41.4,20.25,100.8,813.6
384.8,41.6,30.34,95.1,29.4,42.8,89.1,268.2,38.1,20.125,217.2,1030.3000000000002
91.4,35.900000000000006,27.65,191.1,1.6000000000000014,29.6,68.60000000000001,122.5,101.6,20.000000000000004,100.1,833.4
429.2,34.294736842105266,24.96,68.8,21.800000000000004,16.400000000000002,32.3,164.9,29.200000000000003,19.875000000000004,252.6,745.1999999999999
98.7,32.68947368421053,22.27,315.9,36.7,3.200000000000003,2.0,83.1,88.80000000000001,19.750000000000004,92.8,1083.6
92.7,31.0842105263158,19.58,81.4,724.3000000000001,37.2,45.1,67.6,17.800000000000004,19.625000000000004,8.200000000000003,951.6
86.5,29.478947368421057,16.889999999999997,49.400000000000006,47.0,148.3,26.0,65.1,7.299999999999997,19.500000000000004,123.9,1091.1
496.7,27.87368421052632,14.2,149.8,53.2,149.0,99.8,74.6,77.10000000000001,19.375000000000007,128.20000000000002,845.1
171.7,26.26842105263158,32.7,275.2,34.2,157.9,75.03333333333333,54.3,34.300000000000004,19.250000000000007,232.9,858.9
179.1,24.663157894736845,32.68888888888889,402.8,43.4,36.2,50.266666666666666,135.70000000000002,84.0,19.125000000000007,139.9,852.1
86.39999999999999,23.05789473684211,32.67777777777778,332.29999999999995,51.3,254.2,25.5,79.8,133.60000000000002,19.000000000000007,136.60000000000002,850.8
86.4,21.45263157894737,32.66666666666667,716.3,17.699999999999996,147.20000000000002,44.2,235.9,86.9,12.200000000000005,60.7,732.6
374.1,19.84736842105264,32.65555555555556,387.0,73.2,390.5,62.9,85.8,99.4,5.399999999999999,133.8,826.6999999999999
475.9,18.242105263157896,32.644444444444446,410.4,28.5,93.4,52.68333333333333,181.3,92.2,6.909999999999998,133.7,873.3
161.6,16.63684210526316,32.63333333333333,380.1,99.3,592.3,42.46666666666667,93.5,103.6,8.419999999999998,133.5,937.6
573.1999999999999,15.031578947368423,32.62222222222223,534.1,100.7,489.5,32.25,79.80000000000001,23.6,9.93,24.90000000000001,891.6999999999999
652.4,13.426315789473684,32.611111111111114,663.1,160.8,344.7,22.03333333333333,1150.6,82.19999999999999,11.44,120.9,1115.5
938.8,11.821052631578947,32.6,828.5,361.1,728.1,11.816666666666665,164.1,70.6,12.95,113.4,993.5
121.6,10.215789473684213,32.40555555555556,727.9,246.9,647.1,1.6000000000000014,346.70000000000005,253.4,14.46,170.3,1032.7
114.3,8.610526315789475,32.21111111111111,1015.6,259.2,734.9,2.7250000000000014,107.4,110.8,15.97,113.3,773.4
135.70000000000002,7.005263157894738,32.016666666666666,415.9,277.29999999999995,129.79999999999998,3.8500000000000014,200.7,87.8,17.48,113.5,1194.9
495.6,5.399999999999999,31.822222222222223,655.4,292.9,100.8,4.975000000000001,137.20000000000002,218.6,18.99,104.7,917.7
