Amplitude_Median,Amplitude_Median.1,Amplitude_Median.2,Amplitude_Median.3,Amplitude_Median.4,Amplitude_Median.5,Amplitude_Median.6,Amplitude_Median.7,Amplitude_Median.8,Amplitude_Median.9,Amplitude_Median.10,Amplitude_Median
78.0,80.66578947368421,66.02777777777779,75.9,90.4,93.7,81.65,72.6,74.6,78.57000000000001,65.5,88.0
78.6,80.11052631578947,66.65555555555557,77.45,91.2,90.65,80.9,71.6,72.35,81.215,65.5,88.9
78.2,79.55526315789474,67.28333333333333,77.3,90.8,87.5,80.15,72.6,71.0,83.86000000000001,70.5,87.1
78.6,79.0,67.91111111111111,75.7,90.5,85.7,79.4,61.2,65.7,86.50500000000001,71.0,85.4
80.1,78.44545454545455,68.53888888888889,79.7,90.8,78.0,78.65,80.5,76.1,89.15,70.75,84.0
80.8,77.89090909090909,69.16666666666667,81.7,91.0,79.1,79.32272727272728,76.5,76.5,87.75,70.65,87.9
80.6,77.33636363636364,69.79444444444445,97.5,91.3,79.7,79.99545454545455,73.35,74.9,88.8,66.5,89.0
80.4,76.78181818181818,70.42222222222223,74.9,91.8,77.1,80.66818181818182,75.8,74.5,94.4,66.2,89.0
83.1,76.22727272727273,71.05000000000001,71.25,91.1,79.9,81.3409090909091,82.2,69.5,82.85000000000001,67.4,88.6
83.5,75.67272727272727,71.67777777777778,76.8,91.5,78.6,82.01363636363637,84.2,66.4,71.30000000000001,66.8,88.5
83.4,75.11818181818182,72.30555555555556,74.7,92.1,82.4,82.68636363636364,75.44999999999999,75.2,73.09545454545456,70.3,88.3
82.9,74.56363636363636,72.93333333333334,75.9,92.1,80.1,83.35909090909091,76.05000000000001,71.5,74.8909090909091,70.6,88.6
82.4,74.00909090909092,73.56111111111112,77.7,92.2,82.1,84.03181818181818,81.275,82.4,76.68636363636364,77.4,88.2
82.2,73.45454545454547,74.1888888888889,78.1,92.6,82.3,84.70454545454545,86.5,73.85,78.48181818181818,71.4,88.3
82.4,72.9,74.81666666666666,78.6,93.1,82.3,85.37727272727273,86.1,72.8,80.27727272727273,64.7,88.8
