Energy_Median,Energy_Median.1,Energy_Median.2,Energy_Median.3,Energy_Median.4,Energy_Median.5,Energy_Median.6,Energy_Median.7,Energy_Median.8,Energy_Median.9,Energy_Median.10,Energy_Median
86950.0,51232.23684210527,17900.0,71800.0,4820000.0,421000.0,2643875.0,8370000.0,73000.0,2962000.0,16300.0,1120000.0
65200.0,50751.05263157895,27400.0,48400.0,5260000.0,611000.0,1807750.0,11500000.0,83550.0,582500.0,16900.0,1370000.0
69200.0,50269.86842105263,56700.0,51450.0,5570000.0,674000.0,971625.0,12800000.0,50100.0,593875.0,17100.0,1620000.0
62100.0,49788.68421052632,47100.0,320000.0,5760000.0,4240000.0,135500.0,12800000.0,112450.0,605250.0,24150.0,2120000.0
53300.0,49307.5,34730.0,111000.0,4275000.0,2690000.0,926500.0,7940000.0,26550.0,616625.0,24500.0,2160000.0
48600.0,48826.31578947369,54870.0,127000.0,3030000.0,310000.0,1717500.0,8490000.0,34500.0,628000.0,74900.0,2300000.0
63900.0,48345.13157894737,75010.0,256500.0,2480000.0,256000.0,163000.0,11800000.0,43950.0,1090500.0,88850.0,2270000.0
67100.0,47863.94736842105,95150.0,862000.0,1890000.0,326500.0,989000.0,13100000.0,64900.0,501000.0,124750.0,2230000.0
37300.0,47382.76315789473,5220.0,70800.0,2260000.0,235000.0,1110000.0,425000.0,74900.0,1340500.0,587500.0,2300000.0
91600.0,46901.57894736842,27308.33333333333,93450.0,2600000.0,254000.0,585050.0,257500.0,88500.0,2180000.0,7750000.0,2500000.0
102000.0,46420.39473684211,49396.66666666666,135000.0,2510000.0,954000.0,60100.0,352500.0,75250.0,1332750.0,97250.0,1660000.0
101000.0,45939.21052631579,71485.0,105000.0,2815000.0,963000.0,763400.0,372000.0,93200.0,485500.0,12950.0,1640000.0
103000.0,45458.02631578947,93573.33333333331,188000.0,1580000.0,918000.0,1466700.0,379000.0,61700.0,597800.0,20700.0,2665000.0
101000.0,44976.84210526316,115661.66666666666,185500.0,1480000.0,328700.0,2170000.0,430000.0,57300.0,81300.0,5990000.0,1755000.0
99200.0,44495.65789473684,137750.0,195500.0,1435000.0,116000.0,2191250.0,418500.0,52550.0,117850.0,6930000.0,1330000.0
89100.0,44014.47368421053,124615.0,128000.0,1500000.0,96400.0,2212500.0,483000.0,58900.0,154400.0,6360000.0,1420000.0
86900.0,43533.28947368421,111480.0,123000.0,1620000.0,1040000.0,2233750.0,457000.0,75400.0,192700.0,4025.0,1380000.0
81100.0,43052.10526315789,98345.0,108000.0,1560000.0,93300.0,2255000.0,383000.0,72400.0,231000.0,15850.0,1300000.0
73400.0,42570.92105263158,85210.0,79300.0,1890000.0,114000.0,1806799.0,416000.0,42200.0,549250.0,33300.0,1440000.0
60400.0,42089.73684210527,72075.0,30300.0,2270000.0,411000.0,1358598.0,394000.0,42900.0,450050.0,28800.0,1540000.0
52400.0,41608.55263157895,58940.0,35000.0,2030000.0,497500.0,910397.0,367500.0,57850.0,350850.0,24300.0,1510000.0
48700.0,41127.36842105263,45805.0,30100.0,1720000.0,451000.0,462196.0,256000.0,64900.0,251650.0,9540.0,1500000.0
8390.0,40646.18421052632,32670.0,56200.0,1560000.0,1685000.0,13995.0,233000.0,41450.0,152450.0,21126.666666666664,1440000.0
8130.0,40165.0,19535.0,29550.0,1560000.0,420500.0,42329.16666666667,225000.0,117000.0,53250.0,32713.33333333333,1340000.0
37700.0,39683.81578947368,6400.0,158000.0,1780000.0,74950.0,70663.33333333334,258500.0,89600.0,259921.875,44300.0,1310000.0
34900.0,39202.631578947374,5775.0,72000.0,1860000.0,1290000.0,98997.5,239500.0,124000.0,466593.75,39187.5,1260000.0
29550.0,38721.44736842105,5150.0,87700.0,1910000.0,1610000.0,127331.66666666669,299500.0,136000.0,673265.625,34075.0,1270000.0
7990.0,38240.26315789473,4525.0,,2390000.0,1670000.0,155665.83333333334,302500.0,124000.0,879937.5,28962.5,1240000.0
4015.0,37759.07894736842,3900.0,,2420000.0,335000.0,184000.0,286000.0,141000.0,1086609.375,23850.0,1310000.0
23000.0,37277.89473684211,3275.0,,1510000.0,180000.0,215500.0,387000.0,131000.0,1293281.25,160175.0,1240000.0
13900.0,36796.71052631579,2650.0,,1310000.0,595500.0,247000.0,457500.0,122000.0,1499953.125,296500.0,1180000.0
13450.0,36315.52631578947,20840.0,,1220000.0,58400.0,366666.6666666667,520000.0,125000.0,1706625.0,337000.0,1110000.0
12600.0,35834.34210526316,39030.0,,1500000.0,54000.0,486333.3333333334,372500.0,151000.0,1913296.875,302000.0,1070000.0
21850.0,35353.15789473684,57220.0,,1240000.0,66200.0,606000.0,460000.0,134000.0,2119968.75,267000.0,1130000.0
