RMS_Median,RMS_Median.1,RMS_Median.2,RMS_Median.3,RMS_Median.4,RMS_Median.5,RMS_Median.6,RMS_Median.7,RMS_Median.8,RMS_Median.9,RMS_Median.10,RMS_Median
54.2,30.485714285714284,39.2,,,61.0,46.48888888888889,41.7,16.0,22.0,61.3,67.1
57.5,30.601785714285715,52.85,,,61.0,46.41111111111111,43.9,15.6,21.3,61.8,66.4
58.650000000000006,30.71785714285714,53.23333333333333,,,64.25,46.33333333333333,46.2,15.4,23.450000000000003,61.7,65.0
40.2,30.83392857142857,53.61666666666667,,,64.5,46.25555555555555,49.8,15.4,22.0,61.7,64.5
59.0,30.95,54.0,,,61.5,46.17777777777778,49.0,15.3,21.6,61.7,63.8
59.6,28.625,42.8,,,64.3,46.1,51.150000000000006,15.6,28.9,60.9,63.3
58.35,26.3,32.400000000000006,,,63.2,46.02222222222222,52.2,15.0,34.95,60.9,62.4
59.1,28.5,38.125,,,66.4,45.94444444444444,55.0,15.4,32.0,61.2,64.5
61.8,30.7,43.85,,,67.4,45.86666666666667,53.5,15.3,26.2,60.6,58.3
64.1,30.85625,47.1125,,,72.8,45.78888888888889,53.3,15.35,31.9,60.5,55.5
65.2,31.0125,50.375,,,76.2,45.71111111111111,51.25,15.3,33.05,61.4,55.1
61.65,31.16875,53.6375,,,73.5,45.63333333333333,50.650000000000006,15.8,29.8,62.3,55.6
59.2,31.325,56.9,,,70.25,45.55555555555556,50.9,15.6,34.65,62.7,58.4
56.1,31.48125,59.85,,,80.45,45.47777777777778,49.55,15.1,39.5,61.650000000000006,58.7
54.95,31.6375,44.7,,,,45.4,48.2,14.6,20.9,63.2,59.3
53.650000000000006,31.79375,44.3,,,,45.32222222222222,47.7,14.8,22.3,63.7,59.9
52.7,31.950000000000003,48.9,,,,45.24444444444445,45.35,14.6,22.1,65.8,62.7
52.4,32.10625,53.5,,,,45.16666666666667,44.1,15.3,22.3,67.3,63.7
52.4,32.2625,52.6,,,,45.08888888888889,39.8,15.1,22.1,67.8,63.55
52.8,32.41875,48.9,,,,45.01111111111111,33.8,15.2,22.7,69.5,63.4
51.6,32.575,49.9,,,,44.93333333333334,41.6,14.6,22.6,69.5,63.6
49.9,32.73125,50.900000000000006,,,,44.855555555555554,33.9,15.3,22.5,66.9,61.1
52.3,32.8875,51.900000000000006,,,,44.77777777777778,44.4,15.7,24.6,66.4,60.7
48.7,33.04375,52.900000000000006,,,,44.7,44.9,15.6,23.5,68.4,60.8
51.2,33.2,51.825,,,,50.66666666666667,43.9,15.3,23.1,68.0,60.6
54.35,33.2,50.75000000000001,,,,56.63333333333333,43.3,15.9,23.15,73.0,61.5
53.4,32.56363636363636,49.675,,,,62.6,42.9,16.2,10.4,75.2,60.2
68.1,31.92727272727273,48.6,,,,60.9,42.8,16.7,10.4,72.0,60.1
70.9,31.290909090909093,47.525000000000006,,,,67.9,42.5,16.3,10.2,73.2,60.9
68.9,30.654545454545456,46.45,,,,66.75,42.7,17.3,10.1,76.3,61.4
54.7,30.01818181818182,50.45,,,,67.19999999999999,42.4,18.0,10.1,77.9,62.5
73.9,29.381818181818183,47.185,,,,41.55,40.7,20.3,10.2,78.3,62.7
74.7,28.745454545454542,43.92,,,,39.8,39.3,17.9,10.3,76.0,62.4
59.5,28.10909090909091,40.655,,,,46.1,41.5,17.2,10.9,74.3,62.55
55.1,27.47272727272728,37.39,,,,44.0,42.4,18.9,10.4,76.1,62.3
52.0,26.83636363636364,34.125,,,,59.3,42.3,22.75,11.3,85.2,61.1
55.4,26.2,30.86,,,,59.2,41.9,27.8,11.1,84.85,59.6
51.5,24.15,27.595,,,,51.25,41.3,28.3,10.4,82.5,59.0
52.6,22.1,24.33,,,,64.85,42.5,26.2,10.7,77.8,57.6
53.3,19.8,21.065,,,,59.9,41.5,28.4,10.5,79.5,58.650000000000006
54.4,23.8,17.799999999999997,,,,54.55,41.3,25.0,10.6,84.4,58.6
52.6,24.5,17.275,,,,50.85,41.150000000000006,24.75,10.6,79.1,60.1
55.45,24.75,16.75,,,,49.45,40.35,23.2,10.7,81.3,60.1
57.0,25.0,22.075,,,,48.5,34.349999999999994,22.05,10.7,79.0,62.6
54.8,25.25,27.4,,,,52.1,32.849999999999994,24.9,10.5,86.35,62.8
53.8,26.6,46.65,,,,49.7,33.1,23.7,10.4,92.8,62.7
55.0,42.650000000000006,52.2,,,,47.7,31.3,24.4,10.5,,59.4
56.9,31.525,53.65,,,,40.5,30.4,23.7,10.7,,55.5
57.3,20.4,18.75,,,,42.7,31.95,24.0,10.6,,54.5
54.7,29.2,34.800000000000004,,,,56.05,32.1,24.8,10.5,,54.5
53.6,26.5,31.25,,,,45.2,32.9,24.5,10.5,,55.6
54.6,41.2,25.6,,,,48.8,31.9,24.0,19.0,,58.5
52.4,40.2,20.55,,,,55.2,29.5,23.4,30.85,,59.05
52.4,45.2,17.5,,,,59.0,30.5,24.3,10.4,,56.45
53.2,46.650000000000006,19.9,,,,53.6,30.7,23.9,10.6,,57.4
50.7,43.95,30.266666666666666,,,,46.7,31.1,23.0,10.6,,57.3
56.45,34.825,40.63333333333333,,,,43.0,31.2,22.3,10.7,,57.0
57.5,25.7,51.0,,,,44.96,31.9,22.2,10.8,,57.5
59.1,34.7,50.35,,,,46.92,31.1,23.0,10.6,,58.6
56.1,25.9,28.200000000000003,,,,48.88,29.3,22.1,10.5,,60.4
56.1,46.400000000000006,32.75,,,,50.84,29.8,19.7,10.5,,59.7
55.3,37.15,24.0,,,,52.8,30.6,18.2,10.3,,61.1
59.1,25.55,10.8,,,,54.760000000000005,30.3,26.8,10.4,,59.5
54.2,29.0,28.6,,,,56.72,30.4,24.2,10.5,,60.3
55.8,42.0,18.55,,,,58.68,30.4,22.1,10.5,,60.0
56.0,46.8,19.05,,,,60.64,30.5,23.0,10.4,,57.7
59.4,42.6,19.55,,,,62.6,30.6,23.15,10.4,,56.4
57.4,38.4,15.4,,,,56.7625,33.0,23.8,10.4,,54.9
52.5,34.2,25.8,,,,50.925,33.8,23.6,10.4,,54.7
54.2,30.0,28.8,,,,45.0875,30.1,23.0,10.5,,54.1
55.0,42.95,48.45,,,,39.25,29.4,22.6,10.8,,54.7
60.5,47.2,34.15,,,,42.8,28.3,23.1,10.7,,57.8
60.0,34.55,23.9,,,,46.35,27.85,24.2,10.7,,58.7
58.0,39.1,26.3,,,,49.9,27.9,23.8,11.0,,59.2
60.0,28.450000000000003,33.75,,,,48.85,28.8,24.1,11.2,,60.1
59.5,29.8,44.5,,,,47.8,27.9,23.4,10.9,,60.9
59.1,24.725,49.55,,,,48.25,29.6,25.4,10.9,,61.7
59.5,19.65,59.5,,,,52.4,29.9,25.6,10.9,,62.9
60.55,48.2,15.6,,,,49.1,29.7,23.4,10.9,,63.1
57.2,45.400000000000006,36.2,,,,45.8,29.1,24.0,10.8,,62.5
54.5,42.6,46.7,,,,50.6,28.5,24.25,11.0,,61.2
51.2,15.15,57.9,,,,50.03333333333333,29.2,34.7,11.0,,63.6
54.4,21.4,50.25,,,,49.46666666666667,28.3,25.0,11.0,,61.1
52.2,15.3,37.9,,,,48.9,28.3,26.7,11.1,,58.1
52.0,45.05,34.6,,,,53.55,27.9,24.9,11.0,,60.6
59.5,40.2,39.6,,,,52.77916666666666,28.5,23.85,10.9,,62.0
61.0,41.333333333333336,39.0,,,,52.00833333333333,28.4,25.2,11.0,,65.0
53.1,42.46666666666667,41.2,,,,51.2375,29.2,24.4,11.0,,64.2
54.5,43.6,41.5,,,,50.46666666666666,30.2,24.8,11.1,,64.9
55.8,44.35,39.5,,,,49.69583333333333,29.5,24.700000000000003,11.2,,64.0
56.650000000000006,19.95,35.1,,,,48.925,29.5,27.95,11.1,,65.1
55.4,30.425,45.0,,,,48.15416666666666,29.4,23.5,11.1,,65.1
53.4,40.9,,,,,47.38333333333333,29.0,26.7,11.1,,64.6
54.1,46.6,,,,,46.6125,30.3,25.95,11.0,,64.8
53.8,35.900000000000006,,,,,45.84166666666666,30.2,26.6,11.0,,66.5
56.3,41.3,,,,,45.070833333333326,30.5,32.55,11.0,,65.75
53.3,50.3,,,,,44.3,31.1,27.3,11.2,,64.1
50.9,54.1,,,,,45.3125,31.1,24.4,11.4,,64.3
52.3,34.1,,,,,46.325,30.8,31.0,11.4,,63.9
54.3,29.9,,,,,47.3375,31.2,25.4,11.5,,64.0
51.85,25.6,,,,,48.35,30.7,24.5,11.5,,62.5
51.5,41.5,,,,,49.3625,31.4,24.4,11.6,,62.3
51.0,44.1,,,,,50.375,31.3,27.0,11.4,,63.0
55.2,46.150000000000006,,,,,51.3875,31.2,30.6,11.4,,64.5
