Amplitude_Clearance_factor,Amplitude_Clearance_factor.1,Amplitude_Clearance_factor.2,Amplitude_Clearance_factor.3,Amplitude_Clearance_factor.4,Amplitude_Clearance_factor.5,Amplitude_Clearance_factor.6,Amplitude_Clearance_factor.7,Amplitude_Clearance_factor.8,Amplitude_Clearance_factor.9,Amplitude_Clearance_factor.10,Amplitude_Clearance_factor
1.204935273002137,1.0677982406314657,1.0294603361298396,1.1169679033284907,1.0591637727224703,1.1186903527576977,1.2086201019222895,1.237370545067206,1.227194249114753,1.0393093993763214,1.0851309184184124,1.1020668920557222
1.2483525729713645,1.0674184466144705,1.0957458519552667,1.162394631571826,1.042390905559974,1.085957704663549,1.186962186082702,1.1096514932845924,1.1949820018643953,1.037711023103558,1.1772404396761411,1.137698532295112
1.2726529459367992,1.0619215140193854,1.093007755033778,1.207821359815161,1.0256180383974778,1.114449875324421,1.165304270243114,1.3448209594850122,1.1027359729387185,1.0361126468307946,1.3495153100970738,1.1022520171455594
1.1168665748144146,1.0564245814243003,1.090269658112289,1.2579838648761503,1.0088451712349815,1.142942045985293,1.1436463544035262,1.1443890064149564,1.121922364331607,1.0345142705580317,1.1081156114353916,1.1066849439007111
1.2012735793449794,1.050927648829215,1.0875315611908003,1.2068334059518266,1.0088032841553405,1.0993406286068137,1.1219884385639385,1.1344597578069209,1.1411087557244954,1.032915894285268,1.2249274911689825,1.1009618725328998
1.2784600099447374,1.04543071623413,1.0847934642693116,1.156406039178081,1.0087613970756997,1.149387392113071,1.1568102180792152,1.1063648302424156,1.0657396659815024,1.0313175180125047,1.261408625544741,1.1037194211896464
1.1845274417175988,1.0399337836390448,1.0820553673478228,1.1059786724043354,1.0087195099960584,1.1994341556193284,1.191631997594492,1.0936080079478685,1.1827391814388395,1.0297191417397416,1.1673163013111705,1.1340015655807454
1.1487803237563008,1.0344368510439597,1.079317270426334,1.0623938014516705,1.0227425421660643,1.0035917476830627,1.29546225145695,1.125351761191616,1.0286785267452367,1.0281207654669782,1.0814436426295346,1.128815411665518
1.1217063119082988,1.0289399184488746,1.076579173504845,1.2389990531693245,1.0290823524571802,1.055368552681318,1.2337766609079266,1.1990834215873554,1.2115481552277787,1.0618420935810071,1.0777496333903709,1.099943508007829
1.1155475216754762,1.0234429858537897,1.0704805474431032,1.3493355844089072,1.0354221627482958,1.0266307963769463,1.1720910703589031,1.187089811169029,1.1590504562320796,1.0955634216950365,1.1877392177262251,1.0946700514658951
