Counts_Central_moment_6th_order,Counts_Central_moment_6th_order.1,Counts_Central_moment_6th_order.2,Counts_Central_moment_6th_order.3,Counts_Central_moment_6th_order.4,Counts_Central_moment_6th_order.5,Counts_Central_moment_6th_order.6,Counts_Central_moment_6th_order.7,Counts_Central_moment_6th_order.8,Counts_Central_moment_6th_order.9,Counts_Central_moment_6th_order.10,Counts_Central_moment_6th_order
268906318.1954886,3147409.55078125,2509846.0,88466668.76872805,3874790064.4884286,77645125.26983236,277790337.8310696,7679033481.763345,49816.71285753052,12840400664.353678,68775.3459673424,32998497661.06352
167180985.3305765,3297286.1953125,1.0,1494739984.418008,5849236337.277954,866759.8385416666,337420983.8931203,13329067279.186522,55191337.25401881,3731088.62277092,122072360.5,19174194543.53964
670606520.4826629,3447162.83984375,173.6598079561043,145019923.90789756,2537880040.7777524,31422.02912697032,1022880853.6844996,336799835.42658544,172621449.65194118,2037419.31138546,306414599.3270373,29528650074.73104
143902272.7107436,3597039.484375,385654.8441107967,6176029491.257077,3262147566.174998,13443.353158260135,512062578.6104254,134038812.93438958,198995901.9764464,343750.0,6665714240.941654,29176468682.85334
221158421.771903,3746916.12890625,771136.0284136373,767386038.3426617,2245376130.706896,739064.4499314114,1244303.5363511671,44484479.35687117,36464960.34231966,173923.0,70795541.41772461,42740627279.21519
170410947.73816377,3896792.7734375,1156617.212716478,39897174.09513986,2061135801.789068,57032768392.99777,1298599.1660798143,28790208.311979186,93943102.97017854,4096.0,15013867939.76655,22594556291.498657
269633328.41690147,4046669.41796875,1542098.3970193183,236024204.10437256,2378897112.116107,3556291467.8316183,1352894.795808462,1015750185.1993527,171296363.1303876,9294114.390625,28518912.5,15209270835.58718
220443091.24728104,4196546.0625,1927579.5813221592,20413204.46018064,1735100238.5601144,9294114.390625,1407190.4255371094,180359822.04540125,31678514.48063861,50931144.66666666,7375830274.07246,21380230324.3071
284322030.60115284,4346422.70703125,2313060.765625,1855825861.995668,2175256952.38138,130285.5729501622,2568754.104309082,61481962.3544057,4205440.559350113,25467620.33333333,3261561209.0993066,23597069400.7145
142236894.96156317,4496299.3515625,2082909.477265518,1727081759.6500382,1621583821.0271256,7748263680.150693,3730317.783081055,87118654.55153066,514540.7298299625,4096.0,7240343825.496287,22573340610.470924
245375445.4799626,4646175.99609375,1852758.188906036,282423055.2302885,1440484772.5426774,5956545138.672272,4891881.461853027,65941527.26679452,5946762.926236576,139719361.1015088,281576804.3333333,15115189952.027122
328920227.3862719,4796052.640625,1622606.9005465535,212324678.80502093,2985182462.0804367,8176647855.53933,6053445.140625,20876456.15929652,9347519.35000534,279434626.2030176,439999372.6059888,12642210158.46488
276296138.82371217,4945929.28515625,1392455.6121870712,122545277.279364,2997818273.8784604,35707400098.43552,4949044.3125,148625221.6652226,243981850.13298872,1686221298.140625,244.140625,18394344038.27071
421045333.919054,5095805.9296875,1162304.3238275892,3688161007.8378673,2347564530.90727,1999095141.8667648,3844643.484375,159540335.00323454,4354657.941457477,1353053500.4370542,127.765625,15306806746.864222
87907838.4374418,5245682.57421875,932153.0354681072,2938960431.3648133,3199191821.8786635,194482274.2524824,2740242.65625,222603058.5454093,161085.69904096093,1019885702.7334834,11.390625,37599183972.60294
85894368.37944084,5395559.21875,702001.7471086248,1129044561.020621,3223354855.1565447,844358460.0881877,1635841.828125,391360657.9125188,716131391.2612369,686717905.0299127,3257556.2849121094,22649684063.062977
67605685.64604178,5545435.86328125,471850.4587491427,241530069.62435988,1584710563.3137455,5575477611.594845,531441.0,169729933.36418298,205956527.13923028,353550107.32634187,2171704.19514974,5709122493.728387
69170155.49382187,5695312.5078125,241699.17038966063,7234001162.551845,1716297510.1475835,955113283.1248128,442867.5833333333,159032037.78179473,217846376.19243664,20382309.62277092,1085852.1053873696,5108145929.108225
48735000.7354984,5845189.15234375,11547.882030178322,3029698459.6357965,2238259379.5797973,453379904.7070542,354294.1666666666,331151853.3613281,225551255.5438416,49027557.87199929,0.015625,2519707051.7446923
113122776.33342026,5995065.796875,9623.237629315268,890244663.4762534,4689143006.081712,2743583539.0132365,265720.75,436727366.0035509,286407057.299476,77672806.12122768,191571916.390625,5919177371.047438
189146939.64608,6144942.44140625,7698.593228452215,455767903295.7332,4203650941.128132,1254732944.473379,177147.3333333333,978619663.0700932,55720605.85023742,106318054.37045604,383143832.765625,5092282299.3284025
818926648.45833,6294819.0859375,5773.948827589161,,3402835164.1680274,1291693003.0141718,88573.91666666663,844070612.873201,14499416.95350659,134963302.61968443,574715749.140625,3723876754.737656
818004530.4997158,6444695.73046875,3849.304426726108,,7846182539.715011,6815599883.351928,0.5,1309577015.352415,291780477.93266225,163608550.86891282,766287665.515625,6694211525.57338
491627440.6388147,6594572.375,1924.6600258630533,,4654918905.726839,1940721934.392941,0.465811439111256,1853852067.55046,515987085.9776735,192253799.1181412,422681852.7234731,6872329311.659403
389753945.35528153,6744449.01953125,0.015625,,3427306559.756526,2871602956.805351,0.4316228782225121,2265461838.085309,194319115.37649813,220899047.3673696,79076039.9313212,6768194696.518559
499134748.1845215,6894325.6640625,2017815.0572916667,,3437706669.5370016,863030644.8809426,31104095.27723187,1923692634.0931249,1092527501.7788248,249544295.61659795,252883.585733882,1411708846.9790142
915624102.5815305,7044202.30859375,4035630.0989583335,,2366030129.109489,2085758886.670818,62208190.12284086,2368158088.356125,1224120881.593429,278189543.8658263,315016.550679441,1125519978.216887
299774131.0009108,7194078.953125,6053445.140625,,2353769177.5161147,972515903.7336313,93312284.96844985,3143401354.236899,441371820.85804135,306834792.11505467,377149.515625,5427365702.384436
1105018596.8577676,7343955.59765625,113379904.0,,1513264955.9858296,1261682316.2189984,225939879.6947913,1804826604.5798728,250115966.40459737,335480040.364283,1393198399.4499316,1580560405.7962337
3316324.1022480386,7493832.2421875,96219960.8157293,,2756068380.7776723,537131345.3017532,656.3857836731044,873169867.5712088,918374173.0898854,364125288.6135114,162369869.3635116,3698051066.964315
396274919.7520837,7643708.88671875,79060017.63145861,,1659978948.324164,1006621029.181126,266931.0855669161,568526299.4695866,883697321.8471243,392770536.8627398,648166780.2770917,1818402083.349661
170664127.4176178,7793585.53125,61900074.44718793,,1811276675.5153604,774677161.9304734,327116.28214423946,637299634.4264259,1850647419.3223383,421415785.11196816,220114512.2097168,9710085004.350151
393724068.9040995,7943462.17578125,44740131.26291724,,1473824871.0540965,703983281.1502024,387301.4787215628,812643488.3448442,919012943.9795214,450061033.3611966,205359670.1996801,6469519873.418742
130216182.49021038,8093338.8203125,27580188.07864654,,1931889422.5340004,234615453.05128667,447486.6752988861,692599739.710866,375900559.43941945,478706281.61042494,9632105.535259249,7632992431.699998
22691376.571166147,8243215.46484375,10420244.894375864,,2821786406.259928,134911230.3160675,507671.8718762095,592166233.4995252,108167211.53262906,20179187.015625,10355616112.50088,12887054262.98166
759442.1048025937,8393092.109375,626375193.6540527,,3273407606.5778203,18416460022.242943,567857.0684535329,361483206.1157028,76552238.20734298,49146019.865740746,17484690495.399574,6341250207.382184
1033225.7641279396,8542968.75390625,1949884622.3614376,,2428391222.9994817,1746027091.2534082,628042.2650308562,174670010.18274143,1740726.0703234426,78112852.71585649,86759407.33882035,4701164534.706984
2555.62556579801,8692845.3984375,1246022680.5216308,,2068903748.5550125,902591223.3315724,688227.4616081796,293685597.0087644,116668719.5677723,107079685.56597222,379882591.5,3048738128.8217835
31738.187782949768,8842722.04296875,6446914.616808364,,3599409505.9147453,334735914.0059676,748412.658185503,240110556.01697755,56029471.15124927,136046518.416088,192400071.1252785,4191322332.705836
32353131.459407907,8992598.6875,1186603210580.9646,,3440742152.8766093,1019835722.6847414,808597.8547628263,721141305.5107247,120592035.85637432,165013351.2662037,245227107.2162958,5203110510.207648
14802999.414970633,9142475.33203125,3471825233.24032,,4729465405.701922,50208466698.07687,868783.0513401497,633944360.408221,275008403.69596535,193980184.11631945,148173207.81426105,1567790556.6080728
37645408.94085875,9292351.9765625,61134.95240402222,,4194417843.72708,5997803883.593184,928968.2479174732,708978288.7156026,416372783.2916396,222947016.9664352,344209637.4917764,1761894910.3351123
47100956.91227719,9442228.62109375,63661474.93306128,,4921487581.000484,1025009460.4528556,989153.4444947965,1435946355.5200331,9422.931108087529,251913849.8165509,46656.0,1067564118.8946364
33203913.873479668,9592105.265625,127261814.91371854,,4230804189.147245,1292199645.4783757,1049338.6410721198,1257612515.9431024,14855.535800804186,280880682.6666667,182319533.24352,1868280008.4992056
7285.723631898582,9741981.91015625,190862154.8943758,,3662764263.007492,961032280.4218328,1109523.8376494432,1303537087.5605829,14127.040330463486,148694554.58333334,709844716.8120718,1189433946.377818
29522633.41450443,9891858.5546875,659070838.140625,,4498792796.262338,3199148560.095057,1169709.0342267666,2610916157.866518,136041.98814942373,16508426.5,202196523.14432007,1939523483.9697285
115204422.43072,10041735.19921875,355341586.75183105,,5357130550.206419,1412187507.9239292,1229894.23080409,2700526916.722289,2381681478.417293,11559050396542.492,174157674.0,1894952852.023194
48609772.29308776,10191611.84375,51612335.36303711,,4109744571.885335,446574331.5171905,1290079.4273814133,2984290783.151356,3950688576.0005727,23118084284658.484,893090259.3333334,2597957696.957438
13725093.283307713,10341488.48828125,1848.942034276748,,4370401697.520568,3060285243.636625,1350264.6239587364,2829503464.397545,1743096310.195432,34677118172774.48,914365870.5829906,3182004043.799176
6901157.769003829,10491365.1328125,17308.10473527187,,6940400095.288061,4114258807.027223,1410449.8205360598,2577108604.115384,4159072160.572578,216067156.69515648,935641481.8326478,3670451803.644264
2776117.2592031034,10641241.77734375,344872.0698235146,,6586500055.465715,1407365221.3722975,1470635.0171133832,2378107226.513537,4108678978.673956,896774.3511659809,2549914.400548697,4874771833.855179
1255724.2166505307,10791118.421875,672436.0349117573,,10002340406.13284,3689984466.54653,1530820.2136907063,914990043.862649,3546419496.745185,75418.890625,40089475.140625,2903713067.310972
4139497.785260855,10940995.06640625,1000000.0,,10591661072.113604,1478899736.3519592,1591005.41026803,974713886.218035,2007499401.784119,129746337.890625,4303335986.85568,2275674527.0666714
4472628.221893281,11090871.7109375,67652851.53333333,,13553022542.61568,751082287.8456117,1651190.6068453533,1112760471.6139758,3656243918.00082,377149.515625,1838.265625,2297662231.286519
4594960.861954693,11240748.35546875,134305703.06666666,,58616567968728.95,1135411899.0208857,1711375.8034226766,1364572676.2906115,11883640.029564193,52961317.21857834,231916719.6130371,3175886038.3131194
47297424.46790192,11390625.0,200958554.6,,,1545121083.6560392,1771561.0,2115599549.3222384,5258507736.816582,473257923.9482528,1073741824.0,2640517975.9177947
82402574.66577148,21895879.5,267611406.13333333,,,1103647878.1112783,120381913.0,1674725315.5518882,1776734096.5,161520919.42397973,1476865896.4,4260480627.060439
1207423447.050948,32401134.0,334264257.6666666,,,2774995637.51222,238992265.0,2261023196.316832,98771297.640625,1332384.7709285617,1093691819.6774902,2240496141.005852
865.7091906721529,2225391452.029958,400917109.2,,,1102187175.976452,357602617.0,2117860520.1805456,50271429.3203125,1068037.2716799998,710463653.2307693,1021164651.497272
4096.0,1113369300.014979,14073015060.937782,,,1561796734.8173454,476212969.0,3215239553.292317,1771561.0,95855.05398260932,3260639638.027508,1763228493.483023
14726066.170244586,1347148.0,10557608951.953337,,,844297027.0537398,594823321.0,2656847419.518273,1912213027.2284784,75418.890625,625243076.2700406,11208177112.150633
31029355.64706882,1250924.7142857143,7042202842.968891,,,968452464.1855972,680348557.0802947,2174974909.8960967,5199220890.729003,38073.9453125,1095978558.0548704,5676809966.479421
