Duration_Central_moment_3rd_order,Duration_Central_moment_3rd_order.1,Duration_Central_moment_3rd_order.2,Duration_Central_moment_3rd_order.3,Duration_Central_moment_3rd_order.4,Duration_Central_moment_3rd_order.5,Duration_Central_moment_3rd_order.6,Duration_Central_moment_3rd_order.7,Duration_Central_moment_3rd_order.8,Duration_Central_moment_3rd_order.9,Duration_Central_moment_3rd_order.10,Duration_Central_moment_3rd_order
151645.1735113048,-5.600572637233295e-12,37346.45550317687,4168906.749066763,-1921318.393202628,614531.1474570873,46714.72499999858,7747517.007925928,305106.558375,25014949.066764195,-866142.4717455733,-4525473.585826024
413705.0541605938,-5.5227869061606105e-12,34100.69201435383,11418660.26734244,-2443690.953224616,374526.8026481122,62286.29999999873,-63709.341468749975,-2.9103830456733704e-11,27794387.851960216,523097.59176577465,-2392243.6136200824
665714.349501128,-5.445001175087925e-12,30854.9285255308,9210073.135095656,-2765200.14862741,473022.36091420375,77857.87499999888,19386413.18674073,0.0,30573826.63715624,449341.8045723717,-1519262.1253408522
207371.92914339708,-5.367215444015241e-12,27609.165036707767,13652323.267021846,-3317951.928408757,49438.72806765242,93429.44999999902,-3654062.28,-200050.7309999992,-645537.7064062522,-150280.63373754412,-1811455.8600840569
1431805.565236929,-5.289429712942557e-12,24363.401547884736,1235995.870880745,-3735885.267791888,-2935308.5949925464,261874.49400000088,4.292814992368221e-10,222729.943566994,-322768.8532031261,1490930.3379966016,460918.1169608981
954659.9723705036,-5.211643981869872e-12,21117.6380590617,15453351.094667353,-4581807.94385218,-786208.639473896,0.001999999999999,-6157246.706168297,3.055902197957039e-10,0.0,1499557.4383969614,-406064.8192766661
1282733.550464583,-5.133858250797187e-12,17871.874570238666,1464877.242250468,-3797024.719650628,-368995.0689542637,800242.0686462154,-6072045.072892135,5249298.829014576,-2.3646862246096128e-11,3624461.9948840863,-804226.0654513091
560066.1976509572,-5.056072519724502e-12,14626.111081415636,6066313.680546193,-4172658.3696023314,-15411.673011272473,-1047.714068957638,-12189977.884914752,2624649.414507285,-4.729372449219227e-11,-828368.1474294899,-2132709.72925386
1214593.024489605,-4.978286788651818e-12,11380.3475925926,4690765.531088248,-3130525.8295544647,-99068.35092539965,-523.8570344802159,-35833.64800029161,-5.587935447692871e-09,-7.094058673828839e-11,1300882.0824195398,-1371594.6149316854
1484564.111323133,-4.900501057579133e-12,9.313225746154783e-10,236214.0532245328,-3810298.2381317625,904832.2722649504,-2.7939677238464355e-09,-46773.69925925916,10025.0856,-9.458744898438454e-11,702175.0078668722,-3716691.139568697
2610942.3669490963,-4.822715326506448e-12,336462.7732851731,41316.48554319306,-3544189.3352014525,-3179739.304028473,-3286649.2592592523,-5437768.743439508,-74336.21401659255,-4.729372449219227e-11,110382.05697458042,-6256037.864602526
4531063.030216123,-4.744929595433764e-12,672925.5465703453,1084747.5331426114,-4329609.185049649,-1691699.1122772065,-2464986.9444444394,-1846553.817499997,-386750.2753119542,0.0,255172.1414464456,-7088542.157664373
1543929.6699333033,-4.667143864361079e-12,107.23094633744508,866521.1491615968,-3971339.068305583,38688.5909389373,-1643324.6296296262,-1745266.7358289682,-2691593.6992592574,-6.402842700481415e-10,-63458.95233832004,-3583506.0261352104
1200083.1183019553,-4.589358133288394e-12,0.0,1713417.8140099354,-5144431.958169716,1553579.0272448545,-821662.314814813,217548.5456410648,162292.56212620126,49414254.09263335,490975.29070012,-8915049.795613963
1093807.3072283317,-4.51157240221571e-12,31266881.09925927,-3611253.004081229,-6858616.654367691,-1869021.616746248,0.0,64056.51749638234,-946148.9280000008,98828508.1852667,1891277.036893084,-9791348.833415415
1000978.0281348104,-4.433786671143025e-12,-2.182787284255028e-11,121953.98906790462,132330836.00194415,-1059335.3199985423,-3.2014213502407074e-10,-8076463.118543992,399896.05682140106,148242762.27790004,-581834.8149758006,-8068910.8321120115
2701614.9378925306,-4.356000940070341e-12,-1.4551915228366852e-11,1120607.8594697816,-7500266.878198344,2305058.709027038,-6.402842700481415e-10,-6293944.344157405,1092792.0719849104,197657016.3705334,708796.2745043233,-12618497.36813785
1617426.8235837768,-4.278215208997656e-12,-7.275957614183426e-12,-706360.281550782,-6617082.596296365,-58000.72212731108,-1012972.5607302764,-11167071.226591496,752766.9377136218,14466834.309999997,64279.40708454898,-14906519.992179114
1989682.4635354013,-4.200429477924971e-12,0.0,-178756.6507537918,-3943827.299159737,52500.76277734369,9001978.558848,-13100287.166261258,141131.21572986332,203294.9240740732,782615.1464999996,-15844885.357035382
2597000.827789757,-4.122643746852287e-12,-1704.3192592592568,434224.6477379961,-2858233.759134537,-41197.154335226776,-2228854.992592593,-2506196.700666671,3545785.164286419,18511.67203703616,-876565.0105848218,-7236854.336064633
922752.6602914394,-4.044858015779602e-12,-1420.266049382714,1943198.30668994,-3466744.5554729733,11666.497542265184,-1081483.4543333335,26535.06688799946,-555402.3106061264,-166271.58000000086,-5231971.59037417,-7194452.901836277
1545010.2194735345,-3.967072284706917e-12,-1136.2128395061711,-2211189.298425244,-2895248.0951234987,-33096.62074074062,65888.08392592616,-269578.78546681564,166500.5043910746,-83135.79000000046,1370702.0162812525,-13931209.653900182
649207.6986730433,-3.889286553634233e-12,-852.1596296296284,-358687.21813164034,-2255785.307243062,7616434.357617646,340293.7062839508,-115741.15632392927,-225399.3337116404,-6.002665031701325e-11,22808495.869632013,-9507753.948422397
936375.9881515828,-3.811500822561548e-12,-568.1064197530857,-974550.978275064,-2931623.099232512,-9431522.511955751,614699.3286419754,-931860.2802559158,-652667.9713510316,0.0,-151920.09421875005,-9453559.34503193
540359.7928489597,-3.733715091488863e-12,-284.0532098765429,-126624.77918385855,-2282064.943614983,0.0,889104.9510000001,-902239.0697038864,-73806.2034733164,316615.5045925915,-2547935.353068594,-2753298.74813415
-26690.357775005745,-3.655929360416179e-12,0.0,-3688819.766575543,-2368159.854922057,-23675.20703049604,666828.71325,-172328.03636778405,-9572.979080964458,158307.75229629574,-1224228.1880017277,1117008.6360466755
15258.195485259062,-3.578143629343494e-12,-609.0390000000009,-2082440.1719710613,-2462220.9510981333,9940062.3014229,444552.47550000006,-266478.1295045681,46642.10277419108,-1.4410694859634534e-13,-5718234.403092787,691688.4799019144
710538.0296881194,-3.5003578982708095e-12,-1218.0780000000018,-851808.4661807388,-2368230.421816803,-1570554.8800183588,222276.2377500001,-204909.0028654535,-14899.11493942299,1053692.136296294,1645321.7645925935,-1611766.2083878068
104451.34672392507,-3.422572167198125e-12,-1827.1170000000027,-1362571.139907372,-5234433.974470721,3884473.622766053,0.0,-197138.239528119,-29220.35253996076,2107384.272592588,1026600.9605925932,-3239863.8858420057
401017.3910480252,-3.34478643612544e-12,-2436.156000000004,587829.7724648973,-5072547.7138444185,14542119.780632494,1.7462298274040218e-11,-633113.4230426663,1061245.8516743905,4.6566128730773926e-09,-1.8189894035458565e-11,-2494019.863008955
665676.1500204196,-3.267000705052756e-12,-3045.1950000000043,71794.96966295937,-3898728.991135703,465705.067445816,3.4924596548080437e-11,-697892.7763337796,17434.116710451897,-20229.67451851478,2.7284841053187847e-11,-2307572.058060879
4616.107801759378,-3.1892149739800705e-12,-3654.234000000005,-192355.92878742988,-4669277.68868421,-343181.5864448042,5.2386894822120655e-11,-771443.3765290467,38065.48183034064,-40459.34903703422,7.275957614183426e-11,12434838.531846344
-39889.92077285145,-3.111429242907386e-12,-4263.273000000007,2158741.2939057685,-4156044.026434688,1772143.6830539803,6.984919309616089e-11,-1119512.0674273844,1004305.100427776,-60689.02355555366,-32573.53303125,4754927.232735369
