Energy_Root_standard_squared,Energy_Root_standard_squared.1,Energy_Root_standard_squared.2,Energy_Root_standard_squared.3,Energy_Root_standard_squared.4,Energy_Root_standard_squared.5,Energy_Root_standard_squared.6,Energy_Root_standard_squared.7,Energy_Root_standard_squared.8,Energy_Root_standard_squared.9,Energy_Root_standard_squared.10,Energy_Root_standard_squared
20720937.12690379,1627716.766704882,190129.4390366003,9156761.81899524,101739986.20338956,219948186.8706353,1294704.4637726075,95112185.67360336,38108375.74236011,4166321.480726009,152246.7037410006,85155759.37312579
20298387.697836988,1364553.974438651,11329.977934665189,41053368.83325032,96052069.9325314,366730571.04932415,1085526.5579256096,3891908.2830662895,1430912.926386508,5205524.620375989,856771.6739015126,84617008.78398739
11582188.9853333,1101391.1821724195,38231.31042456137,63260862.001557805,153423660.5869802,245238274.27259392,876348.6520786119,31941007.171837896,863136.8327791371,6244727.76002597,180906.3849066693,87326982.78520449
12167489.885622302,838228.3899061885,65132.64291445755,6270648.788830786,220330054.8070101,253357016.34381333,782250.8611071454,4317438.768714618,1214784.3606583022,7283930.899675949,117796.18160195176,81388384.97157311
16815096.344431095,575065.5976399565,92033.97540435374,19266852.763295308,208563275.1322905,166826652.95923072,688153.0701356791,73853444.11927855,162249.03358726055,8323134.03932593,518530.9322499479,80669344.47927354
16938060.183704626,311902.80537372536,118935.30789424993,3112192.139427288,212835337.6331232,94900005.9594645,594055.2791642126,6002765.173505873,405714.2770472836,9362337.178975912,176598.60418474433,77535698.63851877
19682525.13354168,292118.1867111013,145836.6403841461,9280808.769748626,219879855.6941204,2449529.6303576324,499957.48819274624,38588500.28104228,915905.9836577114,10401540.318625892,55371779.44500339,67799124.4406718
22336327.30012032,272333.5680484773,172737.9728740423,15307205.841285992,229328772.99029928,5179727.504203286,1563620.3258836698,22199655.82232752,2624677.2244220814,3633106.659595889,38437324.51633568,72631570.28001735
18886004.925094668,252548.9493858532,199639.30536393847,331979767.0884757,234332502.3682496,3711094.851927124,2627283.1635745936,78877580.12285557,2793587.0286962604,2530494.0229133125,198096.33565515545,81194066.10965568
17867088.420053225,232764.3307232292,226540.63785383463,5591441.775481526,282427750.0868047,336233.7838468942,3690946.001265517,2532673.2879311536,1917175.099775709,67479636.18751957,311120.4580222908,79415101.03510982
14100434.281255312,212979.71206060512,253441.97034373085,2484900.364363932,269411139.1574864,24208884.140085846,4754608.838956441,56400897.75109967,1803328.859855296,33765350.94563732,516943.9533450411,78144171.18645708
16535853.21657156,193195.09339798108,280343.302833627,13457958.643999469,313302351.0215273,2171519.650241508,5818271.676647364,10218125.745287146,651095.0015358742,51065.703755064416,432361.860135697,81964469.44965632
14450267.350813964,173410.474735357,307244.6353235232,7901933.467658406,342676598.7849072,8681021.594605096,6881934.514338288,844130.3491760025,1568146.479573895,16140957.311352314,431830.5230064221,81658495.64782053
13074661.430415705,153625.85607273298,334145.9678134193,12875092.080579463,326621899.678145,74646066.87497005,7945597.352029212,4434096.622041518,193763.6537124545,32230848.918949567,452964.1015577283,73162207.03297888
12266817.933453647,133841.23741010894,361047.3003033156,56127304.15282961,323618733.7960467,13371693.780669672,9009260.189720135,19818219.928784583,2718011.0687780506,48320740.52654682,4948384.898196583,72283045.8952056
11997336.71372526,114056.61874748488,387948.6327932117,48530084.48719811,396476195.7560176,9865847.02616557,10072923.02741106,35202343.23552766,211970.0922300125,64410632.13414407,694055.4800590512,73834950.45499523
10616186.988924036,94272.00008486085,414849.965283108,20175238.17947025,449408566.1093928,8180647.58467201,11136585.865101982,40321156.136271946,251542.45566106727,80500523.74174131,408621.00056164514,73608692.47474445
9693205.160033496,93577.20023036614,441751.2977730041,15055186.199070936,589883611.7455539,6545604.8930776445,12200248.702792907,50103964.61159037,1003098.5744182871,96590415.34933858,51550.229873396296,69432590.04333216
8914278.83953043,92882.40037587144,468652.63026290026,121444487.7405814,504674978.6420764,9174493.893659748,10281066.895281307,7047918.275100811,86817.84148434007,112680306.95693582,1804569.368713766,66460605.73114848
