Duration_Peak,Duration_Peak.1,Duration_Peak.2,Duration_Peak.3,Duration_Peak.4,Duration_Peak.5,Duration_Peak.6,Duration_Peak.7,Duration_Peak.8,Duration_Peak.9,Duration_Peak.10,Duration_Peak
281.7,202.42894736842103,491.35,,1182.9,782.9,402.0,663.1,892.2,575.55,525.4,1680.9
446.4,201.33552631578948,518.6,,1186.3,888.4,541.1,695.5,605.6,588.9125,573.6,1339.1
474.7,200.2421052631579,545.85,,1347.9,732.2,538.912,684.9,616.2,602.275,538.4,1600.8
558.0,199.1486842105263,573.1,,1215.4,614.7,536.724,689.2,585.3,615.6375,533.1,1572.1
516.6,198.0552631578948,600.35,,1426.6,603.0,534.5360000000001,742.3,799.1,629.0,536.9,1714.1
493.9,196.9618421052632,627.6,,959.5,636.2,532.3480000000001,742.1,680.0,337.1,925.9,1549.4
378.9,195.8684210526316,576.2,,1115.2,1426.3,530.16,704.5,487.8,408.8888888888889,1142.8,1285.6
254.7,194.775,784.9,,1425.1,1033.4,527.972,638.6,678.3,480.6777777777778,540.8,1436.3
231.3,193.6815789473684,646.8,,1335.3,713.3,525.784,748.5,460.6,552.4666666666667,632.7,1178.0
227.5,192.58815789473684,222.4,,1497.3,815.7,523.596,776.8,634.4,624.2555555555556,632.8,1399.4
520.3,191.49473684210528,1392.4,,1413.7,977.4,521.408,714.3,436.1,696.0444444444445,629.0,1673.5
531.7,190.4013157894737,618.4,,1464.8,1916.3,519.22,611.8,681.7,767.8333333333334,625.2,907.6
532.1,189.3078947368421,116.4,,1449.4,1342.2,517.032,702.2,634.1,839.6222222222223,629.1,1432.9
524.3,188.21447368421053,220.8,,1419.5,854.7,514.844,729.0,245.4,911.4111111111112,226.3,1299.6
531.9,187.1210526315789,325.20000000000005,,1500.0,1134.1,512.656,716.0,305.1,983.2,617.6,1328.4
285.7,186.02763157894736,429.6,,1412.2,612.6,510.468,686.4,297.9,777.25,541.1,991.0
547.2,184.93421052631567,390.8,,1539.1,1164.5,508.28,785.4,292.9,571.3,540.8,1471.0
543.5,183.8407894736842,293.5,,1535.7,912.0,506.092,792.3,586.4,1388.5,629.1,1276.1
520.6,182.7473684210526,196.2,,1577.0,855.6,503.904,795.7,581.8,2205.7000000000003,618.2,1457.6
494.0,181.65394736842103,94.9,,1548.4,943.3,501.716,783.8,828.0,3022.9,616.4000000000001,1483.3
543.2,180.56052631578947,119.1,,1858.3,1259.3,499.528,843.2,731.6,425.8,614.6,1423.4
483.3,179.4671052631579,151.73333333333332,,1685.5,810.0,497.34,864.5,713.2,277.4,626.0,1531.0
276.8,178.3736842105263,184.36666666666667,,2469.5,704.2,495.152,782.2,801.1,165.6,618.3,1468.7
272.4,177.28026315789475,217.0,,1738.9,869.4,492.964,849.3,731.7,419.8,750.0,1234.5
440.4,176.18684210526317,274.68333333333334,,1731.4,1224.3,490.776,745.5,680.8,116.1,618.3,1467.0
433.5,175.09342105263158,332.3666666666667,,4571.9,910.5,488.588,773.8,582.0,364.8,625.9,1282.9
