RMS_Impulse_factor,RMS_Impulse_factor.1,RMS_Impulse_factor.2,RMS_Impulse_factor.3,RMS_Impulse_factor.4,RMS_Impulse_factor.5,RMS_Impulse_factor.6,RMS_Impulse_factor.7,RMS_Impulse_factor.8,RMS_Impulse_factor.9,RMS_Impulse_factor.10,RMS_Impulse_factor
1.389569196625848,1.1695685257784325,1.0726040658276863,2.4004178026413627,1.5597396147252505,1.929032455636278,1.043859649122807,1.14394006170119,1.2391513982642235,1.2100840336134453,1.408198295768028,1.7113771107823892
1.3482688086955223,1.1715193325440765,1.1126888084014626,2.4595034276986465,1.6625487759413446,1.3845050759815605,1.176713459950454,1.2236668766825132,1.6068900424728645,1.1482175042719036,1.452756996397894,1.614144099675506
1.7133060984776811,1.1734701393097209,1.1527735509752386,1.596881754694453,1.6447585352594665,1.259079129893848,1.1383830481792148,1.1483123699212745,1.704756980351603,1.086350974930362,1.4575013923285656,1.4627402962306777
1.459432762104318,1.1754209460753648,1.142889137737962,1.636573995469121,1.7589263708776657,1.312978110408319,1.1000526364079757,1.1453268503511616,1.170652173913043,1.044368600682594,1.493871269169461,1.6967003972281018
1.504871040242052,1.1773717528410088,1.597222222222222,2.113126578308878,1.7699255772533553,1.4216540004222082,1.0617222246367364,1.1194325305179813,2.088679245283019,1.421047796387488,1.4362635220738718,1.5978726198292843
1.3754896868971656,1.179322559606653,1.2045454545454548,1.6798208338118754,1.7970246749585426,1.5135348122463452,1.023391812865497,1.0751909931644552,1.5697522816166884,1.7977269920923824,1.4813699661272113,1.4376164827024902
1.4070198358958017,1.181273366372297,1.0765171503957784,1.7554516353767766,2.0224955324293075,1.4602476212543256,1.0688219370570122,1.2361843223941509,1.432380604511004,2.1744061877972767,1.3932940875351931,1.5362643683670634
1.4900207610620644,1.1832241731379411,1.061192929834459,1.229871500403501,1.7839414031311835,1.2890457516339868,1.1142520612485276,1.1477551020408163,3.358428805237316,2.5510853835021705,1.1092264199434594,1.5803776030615628
1.5838487601982636,1.1851749799035851,1.0458687092731391,1.1744996483151091,1.9976957492888323,1.110669394913768,1.1290588882773804,1.2357787367595134,1.640625,1.3690140845070422,1.1556736081597958,1.6652324015293003
1.8444764659055413,1.1871257866692293,1.0305444887118194,1.2270111700327204,2.089969667648753,1.1472057074910822,1.2419274714356685,1.2109545785766336,1.846938775510204,1.2920168067226891,1.422818791946309,1.569773281330873
1.6052345456504489,1.1890765934348737,1.033352501437608,1.263139595526453,1.9053937762359248,1.2173471777656333,1.2578125,1.4387420834243283,2.467676631855736,1.2233668939273823,1.4483038561902002,1.4520762692764235
2.013639449945159,1.1910274002005177,1.0326481201300457,1.5961464776397174,1.9607014027543788,1.2881032547699216,1.1948016222334004,1.8530128874956464,1.802418863656139,1.1547169811320752,1.4085808580858084,1.4470773632960254
1.7457747582053529,1.1929782069661616,1.031943738822483,1.521292678617007,1.94957521291332,1.4248210023866348,1.1317907444668007,2.2937247488787573,1.2927571515520389,1.1202156334231803,1.5719228868017794,1.415445420787529
1.5652727552150143,1.1949290137318058,1.0312393575149206,1.144092645065911,2.012328210902333,1.4844471551799254,1.1435634140830837,1.866632488648015,1.8313020393387232,1.0857142857142856,1.5013774104683195,1.3845403335058324
1.545358405954555,1.1968798204974498,1.030534976207358,1.6095545513234346,1.818016014234876,1.4009111617312076,1.155336083699367,1.644280968201234,1.5115458015267174,1.0478359908883828,1.2088452088452089,1.5247577058148831
1.770749721967023,1.198830627263094,1.0298305948997954,1.6739635391004437,1.996033890714521,1.0918499353169469,1.16710875331565,1.9283628103196493,1.3538532024115704,1.6275659824046922,1.2058187064198125,1.4437388874777752
1.6234042021635395,1.2007814340287382,1.029126213592233,1.3761967475103212,1.897436390745996,1.1501953125,1.1284722685043254,1.893718044448498,1.3867075239777016,1.4554942211488702,1.168150512346716,1.5078017918251383
1.7732898661221583,1.202732240794382,1.0332657784107249,1.374310840975715,1.9662376064183864,1.4526141132836647,1.0898357836930008,1.7225506892452045,1.1956889491963107,1.2834224598930482,1.0975103734439835,1.4480044600400093
1.5698811318377195,1.2046830475600263,1.0374053432292163,1.5393638205701512,2.138429078158764,1.440348812326129,1.0511992988816763,1.7334116265413977,1.258689656432081,1.1920423557743387,1.4475247524752477,1.5156353731785843
1.6918558596789024,1.2066338543256705,1.0415449080477084,1.1373826340621511,1.7109439036295482,1.362547422197367,1.0125628140703518,1.7137496203959453,1.3478194024496488,1.100662251655629,1.2771428571428571,1.54319920882603
1.732783071999913,1.2085846610913145,1.0456844728662005,1.4152693605668143,1.7799219040925611,1.228798708972802,1.011637552843583,1.7057162033670783,1.6167022823630617,1.0479704797047968,1.7216338880484117,1.559540214799746
1.7377281405900349,1.2105354678569586,1.049824037684692,1.439552602935105,1.8237539514347367,1.7312845096948166,1.0107122916168143,1.7211007066122823,1.3930354787698245,1.1017910179101789,1.4310032794279324,1.5781278141956945
1.611046605821677,1.2124862746226026,1.0539636025031838,1.4392624822297853,1.7764907008252249,1.370494147638071,1.0097870303900454,1.6812593592803018,1.292461701804945,1.155611556115561,1.1403726708074533,1.5173086078302465
1.513391733949361,1.2144370813882468,1.0581031673216756,1.7799918505763748,1.9048497913689737,1.4183873847069324,1.0088617691632766,1.6854349956793309,1.3264254046808948,1.2094320943209431,1.068953197570561,1.464254414032265
1.46159554456544,1.2163878881538908,1.0622427321401675,1.2448418804465131,1.7771431275583842,1.636577178545071,1.007936507936508,1.6762148955824336,1.7547410358565738,1.2632526325263254,1.197016207421168,1.5148829775060386
1.4710576884848323,1.218338694919535,1.0663822969586592,1.210170813702243,1.8125627339051928,1.699377645008713,1.008691894602119,1.770187707029812,1.3606515652837872,1.3170731707317074,1.3250792172717747,1.5129763261172298
1.484152644960121,1.2202895016851791,1.070521861777151,1.850504846155261,1.887705176767677,1.308089322685596,1.0094472812677302,1.753935568149374,2.0105704392199746,1.3194699529826623,1.4531422271223815,1.5390965294365606
1.7209315189733378,1.222240308450823,1.06198883006389,2.0677215466713323,1.7618068432324194,1.4983723849091557,1.0102026679333411,1.6699435879531797,1.7714083636982187,1.3218667352336175,1.3916684246502262,1.5391053708886668
