Energy_Root_mean_squared,Energy_Root_mean_squared.1,Energy_Root_mean_squared.2,Energy_Root_mean_squared.3,Energy_Root_mean_squared.4,Energy_Root_mean_squared.5,Energy_Root_mean_squared.6,Energy_Root_mean_squared.7,Energy_Root_mean_squared.8,Energy_Root_mean_squared.9,Energy_Root_mean_squared.10,Energy_Root_mean_squared
1693327.2728793223,245562.43119567315,262840.32972437533,50634922.5538725,121739.48962162332,169139.72034977473,3698739.1095534894,69124.75030640673,6576753.161831235,677249.5076935872,103990.61118971152,2619471.737757757
525255.5877856037,222352.1981002212,316988.6944289248,2963564.49678986,528048.998862795,121710.9074816222,68904.39630701936,135178.3743531538,1261188.255766495,683042.4459037143,66956.28163410777,3002377.538292883
73700.59443822652,3756148.293132208,371137.0591334744,2328582.260465456,125473.68249955845,250620.47760459376,434520.3968889148,3489168.070229994,607961.1222767456,688835.3841138415,117728.22409402656,2954724.9832077506
274166.36166126595,3570064.098164769,425285.4238380239,8554454.43085435,139336.66064607693,379530.0477275653,46955.297890653404,105439.07016779624,431099.58246326336,694628.3223239685,134448.8108064654,3030736.1128411167
160456.98992904508,3383979.90319733,479433.7885425734,398749.9874656376,689473.653283016,508439.6178505369,546741.0538819999,107763.44346714795,570542.7002972696,700421.2605340956,2312013.114458604,3650061.6878489647
335304.8456302281,3197895.708229891,533582.1532471229,38809134.40249071,12774132.189835832,3996613.274594712,167281.50907975453,66306.19344109073,306537.573325033,706214.1987442226,196067.5903865807,3736372.519321244
461304.7535829124,3011811.513262453,587730.5179516724,1384012.566356727,151499.913586334,5309727.343714837,132206.27821703476,99124.32501230529,1776475.630755082,712007.1369543497,3725695.21253506,3656960.566470988
574920.448058727,2825727.318295013,641878.882656222,24061912.520293247,123296.3889373894,179553.63180662622,89238.3140808924,275469.13087365293,59367.971162909045,717800.0751644769,124323.82155157354,4098539.7472232888
624723.4679748416,2639643.1233275747,935610.618793951,22284305.892708503,20181.67485616593,183796.3834018856,60791.39289153565,162906.07760449554,576139.6434459271,723593.0133746039,2005724.9393835133,4220334.219494458
494492.38884631416,2453558.928360136,832544.0505088782,430250.37949045136,1548682.0009285314,216157.403888495,32344.47170217889,1192756.8794860994,231869.26057586848,729385.951584731,4021362.0475188494,3755624.038694493
580223.7827698392,2267474.733392697,729477.4822238054,3648998.8760108952,2936295.995382618,83054.50499540196,3897.550512822124,176514.67522506823,1086907.7291411017,735178.889794858,503840.0919659155,3230767.348252464
295456.00255711604,2081390.538425258,626410.9139387326,282524.0117331917,92532.33669011788,38331397.87007486,246438.9681661461,138489.73263625134,1486892.2808537611,370951.3565559947,39180.51476818547,2824439.9909683843
325707.6900585637,1895306.343457819,523344.3456536598,361957.9625974961,2262241.101209153,12192982.288873143,488980.38581947016,140220.43015498933,399846.6202865112,6723.823317131407,96517.0021717824,3091742.521063711
