CWT,EMD,FFT,Hilbert,SPWVD,STFT,Time
"[0.00017620085156042076, 0.666600913405037, 0.6643176560203481]","[7.049202449890477e-05, 0.6916616603351297, 0.828135092250132]","[np.float64(5.40342883326439e-05), np.float64(0.588117324852019), np.float64(0.7659075820254101), 'Amplitude_P8']","[3.251769423867623e-05, 0.6058039579468151, 0.7273009690586026]","[0.0005235630656344747, 0.5028471477659385, 0.22295533132576872]","[np.float64(0.017762758562746554), np.float64(0.6935332921047207), np.float64(0.7559842858962361), 'Duration_Skewness']","[0.0004326901548067086, 0.5875377683540949, 0.6605154330399208]"
"[6.643058625621645e-05, 0.64645170408057, 0.5733968614387238]","[9.41708843799488e-05, 0.690442765850929, 0.7532146970247179]","[np.float64(8.087314419247301e-05), np.float64(0.6297876726448157), np.float64(0.2455798689402446), 'Amplitude_P9']","[7.820791348681078e-05, 0.5863721765762585, 0.7801847558819568]","[0.0005253237286223771, 0.6382603608353056, 0.19016506998129687]","[np.float64(0.02281621164435986), np.float64(0.6683178726035869), np.float64(0.6219870537227055), 'Duration_Standard_deviation']","[7.409410995873333e-05, 0.5767162146243777, 0.7316119871536857]"
"[0.00013229941747337033, 0.6523605718451078, 0.613534394268869]","[0.00023533362870857555, 0.6043880495921311, 0.8349244759191258]","[np.float64(0.002083340884728724), np.float64(0.6055395058456283), np.float64(0.7877070815827599), 'Amplitude_Skewness']","[0.0002450986307752784, 0.6438031922725801, 0.8495617901154003]","[0.8099399438180882, 0.5890282218202563, 0.37296070049197644]","[np.float64(0.06397155621802236), np.float64(0.567437641723356), np.float64(0.8167271070695288), 'Energy_Kurtosis']","[0.0001490472732222775, 0.6400000736225232, 0.8284157350794531]"
"[0.0001889032751519193, 0.5701010101010099, 0.25507577192228836]","[9.780009634086095e-08, 0.6554236239950526, 0.3241410466912244]","[np.float64(0.0030862980979038113), np.float64(0.578957357834909), np.float64(0.9749567102635945), 'Amplitude_Variance']","[5.87097222411459e-05, 0.6081511912124157, 0.7220541562761426]","[0.0003573002445697894, 0.6081729618986538, 0.21856980643612017]","[np.float64(0.05685673787736179), np.float64(0.5848258091115234), np.float64(0.4426526859786697), 'Energy_Mean']","[0.00021248388669071333, 0.5894560768030156, 0.6545109150740481]"
"[0.0001057941875947585, 0.6972386605376297, 0.5224908178465832]","[1.308821967022089e-05, 0.6246806254969519, 0.3205162611168495]","[np.float64(0.0008385765798036571), np.float64(0.6132485938098186), np.float64(0.7352924817726965), 'Counts_Kurtosis']","[7.187225165886102e-05, 0.6033919368613246, 0.7370986948392264]","[0.6451705480999094, 0.5826436566407369, 0.3411112397783199]","[np.float64(0.0036736722239710112), np.float64(0.5920820449391878), np.float64(0.7645003370305221), 'Energy_Skewness']","[2.1431725978016125e-05, 0.5860018552875697, 0.6716382968362951]"
"[4.314743908787055e-06, 0.5366626500647119, 0.2730475140232677]","[0.0035291109727461634, 0.574270989781194, 0.8492064413441957]","[np.float64(0.0016839765987657629), np.float64(0.6425810583973852), np.float64(0.9507030696751736), 'Counts_Mean']","[0.0024896081731730912, 0.6330774214447683, 0.7733992149927185]","[0.0015975394697308365, 0.5856282632219537, 0.3538216212586342]","[np.float64(0.023847140621754484), np.float64(0.593003504432076), np.float64(0.3005978019052765), 'Energy_Standard_deviation']","[0.0004991684298842058, 0.6375517566333893, 0.7724913839213032]"
"[7.161433245527447e-05, 0.6360686392645152, 0.38007470211071664]","[0.0003161252835433559, 0.669723768295197, 0.38091562433459225]","[np.float64(0.00020482869066731912), np.float64(0.6052382424831403), np.float64(0.8932403344986997), 'Counts_P10']","[8.506530706967053e-05, 0.6378028094354625, 0.4445974491752481]","[0.047944512136057674, 0.5802363148450256, 0.3134168884450989]","[np.float64(0.04403316137598912), np.float64(0.7172665429808287), np.float64(0.6594660307887809), 'Rise-Time_Kurtosis']","[8.982173901241758e-05, 0.6330732985835029, 0.39005412377312365]"
"[0.2694941372250501, 0.6692419035718005, 0.6713957499893479]","[1.0976239116953015e-05, 0.6504870866095356, 0.3786762360855898]","[np.float64(0.00014292089527374874), np.float64(0.6185842388903612), np.float64(0.342108580443034), 'Counts_P11']","[6.459912574717465e-05, 0.6224865270783638, 0.493520455428252]","[9.624002929395359e-05, 0.6604656266459389, 0.29726338997576074]","[np.float64(0.007055652108522548), np.float64(0.6760214388785817), np.float64(0.7899165641038441), 'Rise-Time_Mean']","[4.4051400153664357e-05, 0.6160657596371881, 0.49111047341935216]"
"[0.0011912824988367376, 0.7137681676856935, 0.5873564598669052]","[0.00020357075142479752, 0.6014581676826576, 0.35489201117101277]","[np.float64(0.00017158478403558886), np.float64(0.6708207438819683), np.float64(0.6066079288260101), 'Counts_P12']","[2.5642041984338948e-05, 0.6161119945813824, 0.595951243761931]","[0.0024759630471152885, 0.5669471238832966, 0.1592006344643238]","[np.float64(0.07521625948088206), np.float64(0.6767635539064111), np.float64(0.5289112262829428), 'Rise-Time_Skewness']","[3.670405994487397e-05, 0.6012782342374179, 0.4805223610076908]"
"[0.19873156398531253, 0.6095977447523842, 0.5409003389026202]","[2.7073388127731197e-05, 0.6013537709456076, 0.24884816903207713]","[np.float64(0.00046353078197033937), np.float64(0.6595302883057986), np.float64(0.9429094290233154), 'Counts_P13']","[2.025561580923374e-05, 0.6124109903701743, 0.2536236408721897]","[0.0003500510847771884, 0.7013881357707131, 0.19759229204002843]","[np.float64(0.02609250775156073), np.float64(0.6436013193156052), np.float64(0.6944951479191523), 'Rise-Time_Standard_deviation']","[3.2863193750613806e-05, 0.6211529287039493, 0.2301358914070599]"
"[0.0001974605103074456, 0.640854941164219, 0.3678585066597798]","[0.0001827250208053799, 0.6167452955208055, 0.4967345832796895]","[np.float64(0.0021460282499398964), np.float64(0.5909958182407165), np.float64(0.7559074193877989), 'Counts_P14']","[0.0003596164707171806, 0.6067279206054715, 0.4910197244293932]","[6.505595930642732e-05, 0.4494155767572689, 0.16936359809911533]","[np.float64(0.0009098552963791619), np.float64(0.6854957740672026), np.float64(0.4607741606903765), 'RMS_Kurtosis']","[0.00032812264667388125, 0.6400503578054596, 0.49066401183105385]"
"[7.639300400005128e-05, 0.5686459588521445, 0.8300115214298617]","[7.688156207996677e-05, 0.5866889006684924, 0.26083120446005287]","[np.float64(0.0016067924567588487), np.float64(0.5821035427157878), np.float64(0.7797598443145026), 'Counts_P5']","[2.05148890910882e-05, 0.6274451512206615, 0.27163845991014696]","[0.0024959547093875364, 0.591545580669556, 0.03015782823709078]","[np.float64(0.03161546898422668), np.float64(0.6874871160585447), np.float64(0.7696087643143605), 'RMS_Mean']","[0.00012866238331953744, 0.6401266307388759, 0.2640014040360399]"
"[0.00020916265857297278, 0.6904482230255428, 0.7072975458985833]","[0.0002787002032315425, 0.6146890184645287, 0.47483706575384765]","[np.float64(0.001437167675310394), np.float64(0.6008126454044822), np.float64(0.8225143307373612), 'Counts_P6']","[1.2050643429989405e-05, 0.6055091733663159, 0.4634358084065549]","[0.008803908182357576, 0.4297921515640355, 0.11108090470437348]","[np.float64(0.04198617429605213), np.float64(0.5245372088229231), np.float64(0.7860724574195527), 'RMS_Skewness']","[0.0002172232638439891, 0.6429577112230171, 0.448767471710049]"
"[0.0005940331739459348, 0.5280361791701997, 0.7103362630005948]","[7.157489837443867e-05, 0.7457618458638867, 0.5671444433677566]","[np.float64(0.0005087114095925493), np.float64(0.5831557558088171), np.float64(0.7730264145426885), 'Counts_P7']","[3.556603579562764e-05, 0.633012044644698, 0.6602091339531486]","[0.0002014304417036622, 0.557874180356073, 0.3939149847317899]","[np.float64(0.0334973145517024), np.float64(0.7924675324675324), np.float64(0.6403969379201865), 'RMS_Standard_deviation']","[3.890140051754365e-07, 0.6721234207968901, 0.5617237704717138]"
,"[2.970069143648328e-05, 0.7376763259416321, 0.691566855229975]","[np.float64(0.0018727548905103086), np.float64(0.587976705833849), np.float64(0.7662268234454006), 'Counts_P8']","[0.00026879013008909713, 0.6183992991135849, 0.7244998069087425]",,,"[0.00014551435691337322, 0.6650148717495658, 0.7269403002836315]"
,"[6.326154988527122e-05, 0.7085424212975235, 0.3410230211107302]","[np.float64(0.0001271724115716813), np.float64(0.6905780840474719), np.float64(0.3220860587534683), 'Counts_P9']","[0.00028034918157619597, 0.7223537120475895, 0.30843743814085534]",,,"[0.00011447479423903201, 0.7284280118974001, 0.2692033517050669]"
,"[2.4416690565007282e-05, 0.5831776953205526, 0.2953815939111106]","[np.float64(0.0011882136252945596), np.float64(0.6551196365992287), np.float64(0.7640409518267751), 'Counts_Skewness']","[0.0001739759603748281, 0.6261114056012018, 0.6851601747232908]",,,"[3.0014143119077435e-05, 0.6608640339252585, 0.6580164666466194]"
,"[6.326154988547938e-05, 0.7085165061695675, 0.446248778441486]","[np.float64(0.00045333285836085535), np.float64(0.606923609270548), np.float64(0.9803062261713702), 'Counts_Variance']","[0.0002803491815762463, 0.7242634802838882, 0.38745171725127364]",,,"[0.00011447479423903374, 0.7298079924610542, 0.3332153482382829]"
,"[0.00147512655407242, 0.6260560414642049, 0.8074482791251133]","[np.float64(0.004548548303751551), np.float64(0.6155291986924641), np.float64(0.7421246884118636), 'Duration_Kurtosis']","[0.0009480331433656952, 0.6046458756662837, 0.8210352456046319]",,,"[0.0014871232047388109, 0.6299709927260948, 0.8238863649735483]"
,"[2.0362942551345464e-06, 0.7142690755956064, 0.7198855652007325]","[np.float64(0.0006569929234590682), np.float64(0.6310258562299381), np.float64(0.9525247128333679), 'Duration_Mean']","[0.00030143728630296907, 0.6202687222074978, 0.7363537641456436]",,,"[7.836090783763794e-05, 0.5798010719439292, 0.6987514515675278]"
,"[4.597859910814494e-06, 0.6724445622404804, 0.5273709401424425]","[np.float64(0.0002168457432528137), np.float64(0.6010510351326677), np.float64(0.8885430065271174), 'Duration_P10']","[6.359753636658166e-05, 0.6200780398739583, 0.7302460355679653]",,,"[0.00023082306286459353, 0.5981112141826431, 0.7018359750884601]"
,"[0.00014693583703703772, 0.6342711370262389, 0.8115267394347272]","[np.float64(1.3716981285827323e-06), np.float64(0.628934534852902), np.float64(0.352295822823784), 'Duration_P11']","[0.0008254291467017921, 0.5966604823747679, 0.7966761718289785]",,,"[0.00046015272989384515, 0.6158750036811259, 0.7982091581503348]"
,"[0.0003565021584730488, 0.6150827517154045, 0.44174367429894523]","[np.float64(8.938988270290604e-05), np.float64(0.6715175074358748), np.float64(0.5954845395125151), 'Duration_P12']","[8.342181900207121e-05, 0.6208610890243544, 0.7230744835511879]",,,"[6.709306117672065e-05, 0.5833992991135849, 0.6546320482585347]"
,"[0.0001474042959048183, 0.5979397473275022, 0.5206865601968645]","[np.float64(0.0012533917263772287), np.float64(0.6397358423889037), np.float64(0.9441731110299234), 'Duration_P13']","[0.00028801207890834235, 0.6099169537945046, 0.7547276397073586]",,,"[0.00026112968215202814, 0.587943133963542, 0.7537432649102478]"
,"[0.0011895922672625486, 0.6101213299172483, 0.8589651880120474]","[np.float64(0.00010663192199267257), np.float64(0.591221397649969), np.float64(0.7595172845401834), 'Duration_P14']","[0.0008930092923528921, 0.637228553759166, 0.7815245054084424]",,,"[0.0005724088168903851, 0.6510232058191241, 0.7667116016893465]"
,"[4.789636512363138e-05, 0.5896170156374236, 0.2972748669424919]","[np.float64(0.0017897735154527028), np.float64(0.583373383985629), np.float64(0.7777872647064143), 'Duration_P5']","[5.312366883163111e-07, 0.6895569396589806, 0.4294421853940587]",,,"[8.650261556289278e-05, 0.7002622434255088, 0.40683566288907835]"
,"[8.58278337817972e-05, 0.6786170745354417, 0.41940554526896645]","[np.float64(0.0014229803606652935), np.float64(0.6002548811732484), np.float64(0.8188275965299365), 'Duration_P6']","[0.0002939404364169125, 0.6573622522602117, 0.20933043530002277]",,,"[2.701486869992331e-05, 0.6630348676267043, 0.18541244892630626]"
,"[0.00012785088793261512, 0.6133632240775098, 0.6357870226354505]","[np.float64(0.0029420688456150285), np.float64(0.5857291574638515), np.float64(0.7727601404488885), 'Duration_P7']","[0.0001362856805520729, 0.6099901345819715, 0.6077429980907771]",,,"[0.0002750888990346728, 0.6294765438642986, 0.6544100214704952]"
,"[0.00017403606096381974, 0.5879990870807198, 0.27642334612194414]","[np.float64(0.0006536705017631816), np.float64(0.5897536590393733), np.float64(0.7674163784450483), 'Duration_P8']","[2.3247056384292746e-05, 0.6208379715522574, 0.25066781251301457]",,,"[4.72868233617205e-05, 0.6071592013428749, 0.23351060194633622]"
,"[0.00013635410502547962, 0.6338310215861236, 0.4837787583244826]","[np.float64(0.000153877300694584), np.float64(0.6876942898371471), np.float64(0.4909282494959577), 'Duration_P9']","[6.558693273961413e-05, 0.611569484936832, 0.47613365137562946]",,,"[5.843438798530665e-07, 0.6526808905380336, 0.46966237756246676]"
,"[2.8545601613119177e-05, 0.5843345996407221, 0.30030295466901696]","[np.float64(0.0008707695344805089), np.float64(0.6566121859999413), np.float64(0.7696615172323156), 'Duration_Skewness']","[6.60943039659384e-05, 0.6120684983950292, 0.287377708102214]",,,"[8.492088640403919e-05, 0.614911358482787, 0.26671753228234996]"
,"[5.115443216713311e-06, 0.6308640339252585, 0.45140351769567055]","[np.float64(0.0004376710091761951), np.float64(0.5787718290779514), np.float64(0.9677902150874899), 'Duration_Variance']","[1.0864803098987671e-05, 0.6079983508554937, 0.4416211449921501]",,,"[6.424560033314582e-06, 0.6512035809994995, 0.42269397796651115]"
,"[0.00028559232026087195, 0.7381719527637894, 0.5350052142461839]","[np.float64(0.001487400229025021), np.float64(0.5992875548487795), np.float64(0.6620514697686003), 'Energy_Kurtosis']","[0.00045263806150475094, 0.6132944606413994, 0.6985317257362454]",,,"[0.0001546502799290514, 0.6468492505227198, 0.6606759236840498]"
,"[0.0006136685137744652, 0.7350973289748799, 0.7156218371455758]","[np.float64(0.00024529755629513345), np.float64(0.6551895043731777), np.float64(0.9707719508416358), 'Energy_Mean']","[0.0006749599398565564, 0.6050890832523486, 0.7446892571068076]",,,"[0.000225627956223641, 0.634686368053715, 0.7622567632777857]"
,"[8.28978195302893e-05, 0.7105689548546691, 0.35621391575198663]","[np.float64(0.00011699002114818474), np.float64(0.6683423152810912), np.float64(0.889335417110261), 'Energy_P10']","[0.00040899572548484114, 0.7317799717289512, 0.35526559149667436]",,,"[6.145898269926606e-05, 0.7314820950025033, 0.3075744093508515]"
,"[0.0002717631698046664, 0.6038528138528138, 0.2757847973343747]","[np.float64(0.00011935593444274348), np.float64(0.6207778955738139), np.float64(0.1826953113555314), 'Energy_P11']","[0.00038549314485736286, 0.6091562858909799, 0.7154810352910133]",,,"[0.00020558708404035814, 0.6380089524987483, 0.7241218368598793]"
,"[8.289781953051308e-05, 0.705897384927997, 0.44623538373939303]","[np.float64(3.697458859941265e-05), np.float64(0.6558747828135585), np.float64(0.3535645201280343), 'Energy_P12']","[0.0004089957254850545, 0.729157316606296, 0.4167113341772589]",,,"[6.145898269920014e-05, 0.7335037694731569, 0.36386677822066893]"
,"[0.00022575377595254742, 0.6389326206673144, 0.796328870657492]","[np.float64(7.008164011485657e-05), np.float64(0.6546137762464294), np.float64(0.9523338444435365), 'Energy_P13']","[0.0002617568068191689, 0.6051135259298526, 0.8060473650862714]",,,"[0.0006968375213300057, 0.6401176487911183, 0.8187057705060925]"
,"[8.733154014528566e-05, 0.6953084783697029, 0.7477533231767322]","[np.float64(0.0010927939610722165), np.float64(0.6060544217687076), np.float64(0.7703559812192394), 'Energy_P14']","[2.1390748211128074e-06, 0.5938672438672437, 0.7493094521171106]",,,"[0.00027098049697490967, 0.5828220985363843, 0.7373460575353834]"
,"[4.5996338754975e-05, 0.6726580675560271, 0.6279590076225388]","[np.float64(0.0006618607193875914), np.float64(0.6139751744853786), np.float64(0.7691829015920436), 'Energy_P5']","[2.0880513615678664e-05, 0.5845644491562861, 0.7363324423372822]",,,"[0.00013119812892466165, 0.5925061842918984, 0.723509171280376]"
,"[0.0012878550932339805, 0.6454819330329531, 0.8038719006292928]","[np.float64(0.00043386216833785074), np.float64(0.5910871101687432), np.float64(0.6873114610988184), 'Energy_P6']","[0.0019466110687339777, 0.5911142032570605, 0.794485864009026]",,,"[0.0014503665927207213, 0.6175672173631359, 0.8006642607461558]"
,"[9.637657529142085e-06, 0.6318943075065523, 0.49505058667996366]","[np.float64(0.0019530860499631375), np.float64(0.6121929204582269), np.float64(0.769790712125922), 'Energy_P7']","[5.2191613486692046e-05, 0.6016450216450215, 0.7405923242878079]",,,"[0.0001813678610959324, 0.5913063580410518, 0.7022911594769976]"
,"[0.00010195072945567638, 0.6110445563506788, 0.5468954203868608]","[np.float64(7.613849680283835e-05), np.float64(0.6084465647730957), np.float64(0.7697684875674927), 'Energy_P8']","[0.00013991162293319065, 0.5817844627028301, 0.7613589903859296]",,,"[0.00014513230637305807, 0.5901283976794178, 0.7798000409599481]"
,"[0.0030344506323535525, 0.6198683629295877, 0.8515571486823151]","[np.float64(0.0001483581363878935), np.float64(0.6592779102983183), np.float64(0.6490988339660134), 'Energy_P9']","[0.001135200549404497, 0.6417591365550549, 0.7851750289713992]",,,"[0.013555757066925384, 0.6561376152192476, 0.775358923934846]"
,"[6.759769424449346e-05, 0.6169428983714699, 0.29988155583224624]","[np.float64(0.0006609171188883042), np.float64(0.5987208822923109), np.float64(0.7208253436392361), 'Energy_Skewness']","[1.3910582194350679e-05, 0.6965491651205934, 0.4776285775645646]",,,"[2.0657207795043205e-05, 0.7032588273404595, 0.4252605332832374]"
,"[6.661623469263883e-06, 0.6785821774597283, 0.32250912694714995]","[np.float64(0.00023120232322103307), np.float64(0.6597433518862091), np.float64(0.9831276064872868), 'Energy_Variance']","[9.19149758130261e-05, 0.6561957770121036, 0.22678343624999733]",,,"[0.00012011088868079181, 0.6466392790882588, 0.20723216423374333]"
,"[0.0003106491190810797, 0.635463527402303, 0.6453189895622352]","[np.float64(0.00017551642277136015), np.float64(0.6194671938039287), np.float64(0.702570276480871), 'Rise-Time_Kurtosis']","[0.00012120250132596766, 0.6091735135612688, 0.6101658899040842]",,,"[0.00039274909326061577, 0.6422219277321317, 0.6675698628344321]"
,"[0.00042344370189628536, 0.6774337397296578, 0.010516399477764832]","[np.float64(1.6421766074289912e-05), np.float64(0.5748751362016666), np.float64(0.8500812175574736), 'Rise-Time_Mean']","[0.00019272963865475516, 0.6582695762287599, 0.019822730083305873]",,,"[4.751094094928264e-05, 0.6522023441411197, 0.03607611707817377]"
,"[0.0006697529142906666, 0.6326568895956649, 0.0030187699708592937]","[np.float64(5.8418811482691124e-05), np.float64(0.5509461966604823), np.float64(0.740669222727195), 'Rise-Time_P10']","[0.0003997444910156002, 0.6129580057131078, 0.11013511976032238]",,,"[0.0008966331698480497, 0.6539046441087255, 0.01687594515876222]"
,"[0.00022177665075665519, 0.6629891480401683, 0.0003939674459295017]","[np.float64(0.00013113929415820014), np.float64(0.6449930794828754), np.float64(0.8739779126256955), 'Rise-Time_P11']","[0.00022528912049073375, 0.6648529021998411, 0.005081368528711938]",,,"[0.00023389753328525303, 0.6627986865741968, 0.018375959466994565]"
,"[0.000297951289211347, 0.6312200724445622, 0.0005453239496281875]","[np.float64(0.0001221337092596615), np.float64(0.601821126719086), np.float64(0.4533779640654497), 'Rise-Time_P12']","[0.0018091239336654671, 0.6178048708660955, 0.0386099127755805]",,,"[0.0006846017372382825, 0.6572421003033247, 0.009921254988429941]"
,"[3.1624382857871336e-06, 0.7216955266955268, 0.25132740593159264]","[np.float64(0.000504157606307426), np.float64(0.581216244073387), np.float64(0.8416461935936352), 'Rise-Time_P13']","[0.0002108997806263141, 0.6231394116087992, 0.31813863274207865]",,,"[3.178912741371581e-06, 0.7090499749683418, 0.19893725477282487]"
,"[9.895865303340612e-05, 0.7201864122272287, 0.5487021471429274]","[np.float64(0.0003486163017288324), np.float64(0.6046424890302443), np.float64(0.7659125542085518), 'Rise-Time_P14']","[3.376361048934573e-05, 0.6051170598109371, 0.4339033108094354]",,,"[9.231325191498031e-05, 0.685635215125011, 0.4236658117963436]"
,"[1.469991740915208e-05, 0.7078669346526488, 0.11590753893822477]","[np.float64(0.0006149493336613243), np.float64(0.6059476691109343), np.float64(0.7719978782810378), 'Rise-Time_P5']","[1.174828442418235e-05, 0.7278338045174778, 0.16577369960120542]",,,"[0.00026221172447188357, 0.7021692876284714, 0.08131413535468812]"
,"[0.0001900920786962728, 0.6174260093647851, 0.2231139552890408]","[np.float64(0.00232421360930668), np.float64(0.6264117854934184), np.float64(0.7872844524115127), 'Rise-Time_P6']","[4.4163081980016367e-05, 0.6100731807874663, 0.34490062320412007]",,,"[6.50536276273761e-05, 0.6933243513855761, 0.2572525144470653]"
,"[1.4699917409131263e-05, 0.708751214771623, 0.15895326924647468]","[np.float64(0.0009863759757959556), np.float64(0.606551521041317), np.float64(0.7703171830722813), 'Rise-Time_P7']","[1.174828442411643e-05, 0.7314920340430542, 0.24058136708443903]",,,"[0.0002622117244719113, 0.7027240333362783, 0.09099543651002318]"
,"[7.2597452564176e-05, 0.6054461524869689, 0.3361822790694427]","[np.float64(0.0020912018411862465), np.float64(0.6013904349618634), np.float64(0.7685229173819836), 'Rise-Time_P8']","[0.0006291767659349807, 0.5747639661925376, 0.30060283578975305]",,,"[0.00014460893836478307, 0.6537697676473188, 0.3818563475824833]"
,"[3.291482731529851e-05, 0.6845719586535916, 0.8570493469167694]","[np.float64(0.00012724881560388125), np.float64(0.6737139617751862), np.float64(0.2531818590580187), 'Rise-Time_P9']","[0.00010634850484953634, 0.6586565362075565, 0.2772412525175449]",,,"[7.005481486334342e-06, 0.628208469535, 0.35037758090636656]"
,"[4.1483664180483326e-05, 0.6766721147333391, 0.7864972406549834]","[np.float64(0.00019939465258652506), np.float64(0.5959881614983656), np.float64(0.738235287369566), 'Rise-Time_Skewness']","[3.001420171116695e-05, 0.6711539594192654, 0.3012948302055555]",,,"[0.0001659956160340037, 0.5777966251435641, 0.38947068425546005]"
,"[2.6531334714040983e-06, 0.6663783608681568, 0.4291908437457604]","[np.float64(0.0003027178257624663), np.float64(0.5813378684807253), np.float64(0.9475006281142084), 'Rise-Time_Variance']","[1.634572523932787e-05, 0.5967388167388165, 0.24168016533220169]",,,"[2.8396381374341806e-05, 0.6582241511323143, 0.377117229798633]"
