Counts_Mean,Counts_Mean.1,Counts_Mean.2,Counts_Mean.3,Counts_Mean.4,Counts_Mean.5,Counts_Mean.6,Counts_Mean.7,Counts_Mean.8,Counts_Mean.9,Counts_Mean.10,Counts_Mean
203.3816227412445,45.03679024028131,88.05388847055981,110.27353351268218,1065.150476858165,243.71403782503543,149.039235681001,672.8285107548635,240.95632342051564,703.5452293709579,229.7286484662412,2158.349576141054
194.311198532098,43.8894322569287,85.90629283263739,104.45486452226716,1003.1429823104952,229.64659595549472,141.2355535403665,630.852374632724,228.2335708886951,663.8306099713808,216.01553032756368,1998.2166213018395
185.01796194724807,42.69268619119662,84.06667000087066,98.63409486805688,932.1290355619584,216.16106034271155,133.52824482849562,583.6521789848077,215.07253095865823,615.099880964791,201.0284298269635,1827.262891357225
175.98312762062642,41.43759265878231,82.59062111934666,93.2145292182287,856.5596519314148,203.8161109265568,126.1830013662286,536.7699409502914,201.91484944472376,564.35775670438,186.01670582029857,1658.0220921237435
167.89870042269027,40.14988617316085,81.40216210557135,88.38136667060996,782.0933647787432,193.15284054644115,119.43925021500526,495.05752608563125,189.06545204928025,518.5498197364723,172.36110995223274,1505.910831693553
161.24410189706816,38.86721158853934,80.52951181216169,83.96905315164538,713.6939096126657,183.78828934408685,113.4916149245024,461.38316563842585,176.72380074193114,482.2302436191072,160.97189229987683,1381.4877125561038
156.13124194133067,37.72520660121494,79.76664369368174,79.92051064384465,653.6386919996002,175.22571547620225,108.208888153055,435.6487409401825,164.79255654991027,455.75109156836646,152.18035807766006,1282.9730249227396
152.10116612416343,36.65611839580736,78.9752684557785,76.16161985838191,601.6453349735298,166.87918821549536,103.38159145101356,414.544094888965,153.25716387186864,435.1539859855255,145.01507205547782,1202.4249937585616
148.88038624341485,35.52617753427059,78.13903478525444,72.59197090730059,555.3047451340107,158.27090531428144,98.72886834471696,393.56450884403534,142.11512177975635,414.2296813350212,138.34526644271176,1126.971001147623
146.2268552292734,34.26510873234088,77.27736160932558,69.06913833166765,510.0074285537575,149.06054753767083,93.83468152444031,368.6514836336285,131.3960119798635,387.8081537549576,131.21910332164848,1044.227268219238
143.88805004930745,32.899027836262974,76.31347439850892,65.50442393799986,462.4915173031332,139.06044728636635,88.54850808052234,337.6912559551714,121.2247251656634,354.0602533023137,122.64647627830746,945.5838009214614
141.82730591287475,31.497717433864384,75.22115619992815,61.94464376045482,414.59136823534845,128.3987280500105,83.03583368037592,303.6440865934016,111.7862329011717,316.5145091233049,112.6329993295458,839.8441906185595
140.3611376156096,30.16081702947718,74.01594270553433,58.18609183594636,372.3730095123805,117.93428564465388,77.65081520978636,275.8074044015045,103.40475798151168,286.76954462450874,102.25144488686776,750.6167763656783
139.88774528659062,29.10120839666106,72.70929601574453,54.28813068806701,345.16728120361887,108.95612230689096,72.98462436374662,267.76390641678114,96.46367117936762,281.1372684315527,93.80458938269324,722.6608155428692
139.26442823743017,28.125596744362703,71.28894738450414,50.53787221791979,348.32640944893427,102.15582158461991,69.26918777470114,289.9242221678775,91.28938130424444,311.6604585310547,89.90054786272107,786.7874071130976
138.424041308642,27.193237822768864,69.75423692706049,47.14156535277443,389.143595777518,98.03943701814664,66.53364800539897,340.5927733530747,88.0917562314716,370.94548279871634,91.33254883584058,950.8740844304358
137.3742084181051,26.305915287682783,68.11687281942879,44.24323990267051,454.5765668798909,96.66588241344058,64.59151459387803,405.7373915789136,86.80726225187752,439.87775354521614,97.06374397935647,1170.5258659863246
136.21061825458384,25.44165769959152,66.41033081499933,41.93593233628224,526.1335013133939,97.21812567749993,63.372906348217775,469.6952709396154,87.03475280458512,503.7594982151606,104.33028930973724,1387.41879756855
134.84872801376687,24.58642961967688,64.68609011310542,40.07329112217601,589.6169478301157,98.4024904790844,62.58653206863228,521.4969919644808,88.13929096698112,554.0243905610548,111.16753933136016,1565.821854322199
133.18046422413886,23.732953829990013,62.97074660595985,38.5217035374904,637.1109746107796,98.964588469284,61.91440038482197,554.7046980312542,89.54131067320724,585.2266320969155,116.3360340686654,1685.3428479921076
131.19871314086873,22.855820941186337,61.29910367318303,37.19623245614605,663.4011829908346,97.76086548021227,61.03138596066041,565.6207976668477,90.82881296830818,593.7644662506806,118.60942422136424,1734.2325007105949
128.93157103849356,21.966438381339582,59.705891038026245,36.05342091621698,665.6360181388815,94.14309653537336,59.63820356701044,552.463426922593,91.71987326727668,577.7913431766161,117.13609660858415,1706.0387561504606
126.50132269081143,21.080621660591937,58.19901105718913,34.980886017974946,643.4910347523165,88.03120809000065,57.57877154343628,515.0371483048053,92.07178709642284,537.2613628905286,111.49805753057554,1599.5135336938822
124.01204228257828,20.26007027195915,56.84000824263575,34.07981153951905,599.3069451633643,80.12526075641176,54.94982594826484,454.6953341121941,91.87091890000234,473.60588611163655,101.82385703444427,1419.0271540939175
121.74083212172334,19.539636655740267,55.69625892597237,33.534752155732335,536.8977429577728,71.78109417023022,52.12401185073646,374.6039160614359,91.2236911460596,390.38087349955816,88.85874040799072,1177.9954846086762
120.07598279632928,18.940342283433694,54.75829095029263,33.772215390252526,465.8768450137496,65.01911952776672,49.686266526321496,280.1921586504501,90.50316313975355,293.1049785139338,74.79915710036003,897.1691940072275
119.17362765569166,18.508813658142657,54.04428353409541,35.30555305338738,405.12889190201344,63.56399696383712,48.881834803737696,185.03011367659423,90.22047284917568,192.6603447050013,61.82659654066266,615.8020869783078
119.89370621716536,18.273239204494857,53.62021184053536,38.0034265036724,406.57698541453846,69.46137927730106,51.9809527676691,152.52745270516098,91.68285824234567,141.64748735893005,56.96476033722426,502.8883813948663
121.92914804250536,18.683615534207387,53.3027885725247,41.55912390986251,504.4531195411083,84.16035750150486,58.55921779966714,254.40905517462008,95.0686422697587,254.1955890608174,75.97825905831867,713.2963508045831
