Amplitude_Skewness,Amplitude_Skewness.1,Amplitude_Skewness.2,Amplitude_Skewness.3,Amplitude_Skewness.4,Amplitude_Skewness.5,Amplitude_Skewness.6,Amplitude_Skewness.7,Amplitude_Skewness.8,Amplitude_Skewness.9,Amplitude_Skewness.10,Amplitude_Skewness
0.3072949076263445,0.7074662939708407,0.9432969122545912,0.1259143590284765,-1.6509837977721875,0.0576636642103319,0.2889243093051907,-1.3701412132948705,-0.4006958245146644,-0.8682353442177915,0.3212782715485423,-1.3719868597115052
0.8409031653459376,0.8012673667448718,0.9682571791390876,0.433717208514762,-1.1993249963591446,0.360531628038069,0.512490591400244,-0.6254396946199458,-0.0501737045329641,-0.2493558305175237,0.523429426760486,-0.2258091873146883
1.326968477047746,0.8881652347561142,1.0050838140096507,0.6343227772277293,-0.7229791522535893,0.5536531116716771,0.7759229299305596,0.2478803677147669,0.2998105652104805,0.3838396771776213,0.7075020211725417,0.9902590689603492
1.7269480472067116,1.042963783564625,1.0891768886925413,0.8138250391020366,-0.2445279500861349,0.7803734394682414,1.063725329523049,1.1389975144614068,0.610751804487772,1.0719134668469192,1.0023026238446413,2.0580816633427643
2.0266049496004275,1.2750085652892973,1.2582533252459038,1.043654727665447,0.391937179697114,1.02112922308318,1.362189922920027,1.927347629340988,0.9684355387579368,1.8083878263646904,1.2845237760812265,2.838844278300252
2.278512359062824,1.5979406297708991,1.479256563346154,1.1931998458239867,1.2142402569993966,1.3243096792132398,1.6773367570200108,2.607329809772334,1.4815861069665155,2.4702931474993868,1.569462800194951,3.3306799462228622
2.5560860720293035,1.9613763145273884,1.681466255108509,1.5389189449373275,1.9680974614696007,1.6407904885060662,1.9893408715362908,3.133063413281497,1.9665682780421017,3.0176374126223218,2.004026744496453,3.6077184533607047
2.902034547613824,2.2478515712166587,1.852472950486044,1.8568680889390865,2.551191898891938,1.978027502729856,2.2067898761956166,3.494618882231168,2.301135457712758,3.304262105823327,2.398379160616208,3.768871892908507
3.274089177568525,2.256674335641117,1.9422451878406888,1.983754196006243,2.794378068342564,2.168765519258349,2.30845650822932,3.8047313833152985,2.4410010087971434,3.302289121664722,2.456620525394107,4.064343778228407
3.414232121768958,1.995054752198573,1.956265410021036,1.945804495654442,2.745289750885489,2.2013755182861696,2.2968397463190087,4.151037425721798,2.3626169647412185,3.2479847422713446,2.2864204422685845,4.375709014845823
3.1173823691504543,2.0929474645109067,1.9649629879194328,1.917543646807876,2.7151423149813008,2.2120668050965264,2.3692977825852006,3.76515563201997,2.3835981888351823,3.2709602109600406,2.2902372962939963,4.271803962422846
2.72654862896612,2.102351568154148,1.942202565822146,1.8670748501986425,2.635269456938228,2.138323131650345,2.422540728535546,3.1050052561022072,2.331693982078574,3.2944439653889264,2.3466785508245325,3.788469015628469
2.4208043920693685,2.0691200285785314,1.92235116740975,1.861642946671752,2.538977774182377,2.0895411440322222,2.454651136782915,2.43487701653397,2.261765356779308,3.290074623051144,2.393376067098349,3.132148526169648
2.301970980915,2.061865645231387,1.936662607575188,1.9115155328490827,2.527780477291284,2.10220970431426,2.5029478470393234,1.9528068588321887,2.2395732211612795,3.301943431267824,2.458551100698239,2.4990620835177246
2.417022059482379,2.1200609955952023,1.9962527767424123,2.001063944882055,2.6484187217340343,2.2164878555661764,2.582542413242522,1.8160962059278112,2.296825351191361,3.391133412776369,2.56006721778087,2.200667615891661
2.761831667929774,2.263358638664838,2.0949119669347898,2.112501038369869,2.91852132787325,2.456307808051138,2.686990675714758,2.08299580705068,2.4443767291368963,3.55910753843162,2.6872143870872534,2.323261533200126
3.2901998486272586,2.4659410919210303,2.2177572636088216,2.21652039100923,3.285074360486171,2.8363625804190167,2.7891404531929966,2.786726776006556,2.6544492608086205,3.7598584611458414,2.802995340500576,2.9024321903965653
3.941774189926664,2.668952204356686,2.330287970372145,2.293783253304608,3.6057740860310736,3.3408526580999043,2.859727662149803,3.886032577056069,2.869081212222279,3.95844136203625,2.8680970919862863,3.865275273985461
