Counts_Standard_deviation,Counts_Standard_deviation.1,Counts_Standard_deviation.2,Counts_Standard_deviation.3,Counts_Standard_deviation.4,Counts_Standard_deviation.5,Counts_Standard_deviation.6,Counts_Standard_deviation.7,Counts_Standard_deviation.8,Counts_Standard_deviation.9,Counts_Standard_deviation.10,Counts_Standard_deviation
544.0659942644272,36.42530245116362,108.13590078058166,39.51972571986719,1324.914253292509,97.70340292268358,95.9372859427388,322.06268651116613,785.6629021390177,481.7579596384922,135.06523564286348,1279.6348261459634
540.5230500119075,35.03725493848813,106.27814429305432,41.6286460125356,1396.7325578985956,97.98612679583331,97.52482903193336,323.81520892519313,786.71998283541,462.1572529511983,130.24579098540266,1131.49922622174
536.6504629830503,33.86425470007426,104.13828566734765,43.83647715768871,1466.8112388843413,100.3454638446157,99.8282750139417,325.5176857628127,783.5741030425299,495.6786227008256,136.49836166751604,1050.70472336286
532.3654066121114,32.6250909410308,101.82630006702784,46.166072878313,1525.7665529022188,102.91432634065929,102.84444485303436,305.0855675121635,776.3112283347004,556.1136373700414,148.43859912838897,1065.7292877170398
527.6505563562863,31.370872797593982,99.4196940016959,48.466429135404304,1576.1674740767,106.11102062475996,106.98564208717224,297.8609625621508,765.4859354296375,653.1825472228836,167.73352234515488,1176.841206375893
522.0147160788304,30.235049920150512,96.93368484908814,50.93037807017985,1626.0879316188184,111.2720482822577,112.22953377545934,303.750939719147,750.8003259669423,766.3338099005932,192.08627742598387,1378.9817785560508
515.8755765282618,29.25261141977024,94.45060767174972,53.722117205258,1672.7922588676695,118.02676956920156,118.0060635099448,318.6190119726156,734.0834685796564,878.9861232970248,217.15249106580427,1610.6453804325583
509.124483409848,28.39266631736493,92.0323077191098,56.77713322987075,1711.8480305818764,125.16010581025834,123.59701073687567,337.0626135635581,716.1591031884346,979.9626662705116,239.56314481872465,1828.3101905045835
501.6641032504559,27.653497385904085,89.76606927203188,59.98106202352405,1739.0616630235952,131.59812854270788,128.336205163932,353.45462511633684,697.9381499069391,1062.2078172623967,256.9477887842179,2005.738223616151
493.4383216182245,27.04380822072625,87.64776763267024,63.21806688884598,1750.966792848557,136.5194929670195,131.6853637435528,364.4168636983974,680.3883370636573,1121.629009096732,267.7167520937461,2127.40842238469
484.42178337950304,26.55252977904129,85.7101679366408,66.38011568318879,1745.1677881345256,139.38975345096068,133.25944252208265,368.154495879903,664.4960690126375,1156.6078491553546,270.917825503587,2185.111503643846
474.61314250097854,26.1683979147146,84.07737302500884,69.37378475283454,1720.552580289159,139.95199144033666,132.83382656577015,364.0257024893354,651.2186780453424,1167.9871059742711,266.15928787021403,2176.709826655367
464.0361064435776,25.88071016055895,82.81567821714523,72.12442876297041,1677.3975332195157,138.19782248602525,130.34179889438929,352.7416696012634,641.4269374863566,1158.851702404619,253.5675621376835,2105.9466005074023
452.7356465532437,25.678947680287223,81.96530276196302,74.57792820762428,1617.382981195272,134.3591594161669,125.8658727953143,336.4189496037424,635.8399022264485,1134.4717489573372,233.78267945788,1982.935998180547
440.7789952588376,25.54526712708828,81.54515069969985,76.69991828244648,1543.526679833586,128.89583499843766,119.63403714221964,318.6644647823425,634.9337766928455,1102.0830363447194,207.97524716374764,1825.348006402039
428.2444336207571,25.470898382598904,81.54582330894053,78.48199374844914,1460.0076306311985,122.47419726368554,112.03484513033422,304.4799432720781,638.96806216229,1070.6982451077129,177.93999476184084,1660.242049561437
415.196994625118,25.439364033441606,81.94802832549692,79.89871669601592,1371.9920255255165,115.89348134164103,103.540953100957,299.3881695811781,647.9408361796907,1049.823190798864,146.3796343687886,1525.0736960474255
401.6839567422629,25.43386769193358,82.6785536738125,80.87453746119292,1284.0309609938276,109.88683549901243,94.38808057527244,307.2787109306873,661.5447876066885,1047.1828939222205,117.24789299192236,1457.8604389619177
387.70941894369577,25.34267688096452,83.70603871332273,81.26650642600393,1195.9339448785763,102.71657666701164,84.7097748828806,313.3236284879701,679.12040184025,1058.4539659858276,95.12730447868331,1454.3486523855786
373.518447195887,24.914619509473983,85.029464240312,80.86380736787385,1100.0805020553728,94.27325066321808,75.23620821014806,302.92607522935555,699.7738526857793,1074.41173503097,82.6744919113812,1508.8766356685303
359.41396045134894,24.45124099061542,86.6133734235775,79.73132175750631,1007.65295234021,87.47078150177195,67.04396901283313,300.6937086771851,722.8306347971649,1107.7687885353391,89.78687033161152,1628.3519815017391
345.6300475299868,24.03569690209356,88.40394002346092,78.07932657101321,934.0646232575734,83.88249200689535,61.27151900255311,307.3470078065984,747.5457367226412,1152.823155553844,110.49976075511464,1796.2715574983647
332.39942876679675,23.67139451745588,90.268102123907,76.23305539697755,881.3347738597297,83.30410762290704,58.10252757243426,318.8855996551334,773.0536601798857,1201.6918992918863,134.7651116231878,1977.267542303796
320.04669497798943,23.3505883865278,92.10683210547164,74.31556094653679,844.9081926948479,84.72086507265631,56.96291685562146,331.37570090383366,798.4645237182855,1246.917640038794,156.2518163033868,2140.5482986493903
308.8027305452796,23.100328993844418,93.84890119782897,72.33605487572943,818.1807852041485,86.40932637826477,56.98512066337841,341.43523807225387,822.922880095979,1283.079499868965,171.8410900253367,2265.3068742119235
