Energy_Standard_deviation,Energy_Standard_deviation.1,Energy_Standard_deviation.2,Energy_Standard_deviation.3,Energy_Standard_deviation.4,Energy_Standard_deviation.5,Energy_Standard_deviation.6,Energy_Standard_deviation.7,Energy_Standard_deviation.8,Energy_Standard_deviation.9,Energy_Standard_deviation.10,Energy_Standard_deviation
283134442557.35785,5759943809066.4375,6290098994451.64,42864460433852.766,156975846587.6659,2363326767940.791,6136017221532.378,747709526121.078,2874091456853.337,21113097429856.01,3614854617300.3936,32776983004.31617
278937917350.258,5760952601146.069,6180537225644.45,43757477002730.695,158724921279.4934,2508421599632.802,6063036143066.034,757463952953.763,2859408345575.5938,18632298626902.555,3617637144177.433,33599351791.41984
274504724747.47385,5762210407826.51,6066882461932.072,44657968576602.31,159975495710.53943,2657290941408.549,5996689532022.295,761147000927.5752,2843706576919.784,16450036946962.271,3620100665509.0073,34077944731.55325
269848283743.22607,5763651498411.923,5949189840023.926,45555414240165.445,160754547224.6272,2808460746114.499,5936711312667.076,761676890095.702,2826843627381.2905,14546386426500.188,3622121772366.712,34204055017.78817
264982791858.8585,5765196541892.493,5827098355469.887,46437970707563.92,161189674283.04065,2960627328288.852,5882780226667.156,762904202771.0167,2808686061030.956,12899991863504.924,3623595990848.773,33999608289.54055
259923108809.6866,5766743773173.378,5700316953354.119,47292499267427.96,161473048658.18118,3112679425565.5083,5834369832495.786,769050223179.7456,2789111513176.769,11488549257031.334,3624432010352.98,33512194341.182056
254683249460.2733,5768121204962.828,5568624367238.919,48104956785124.695,161768228709.2879,3263637212326.718,5790736520771.835,783859752170.3601,2768009836375.8506,10289259279423.33,3624555628539.059,32806660481.791912
249278958863.1725,5769299747329.698,5431307403420.829,48859981409736.63,161722105759.32446,3412619116907.2363,5750995772399.05,809412976337.5487,2745283096403.704,9279089819065.574,3623940719837.9766,31909011162.359188
243726363237.5692,5770266992142.746,5289512397022.649,49542822182631.01,160954170971.89734,3558863583521.83,5714193132493.958,841836820278.2323,2720852699950.474,8435509397004.633,3622572715721.678,30617252304.65634
238050769879.2536,5771045641244.843,5144379279126.478,50139053876367.49,158826123984.86703,3701720212024.816,5679316887388.397,874990762003.1655,2694661595322.561,7736819423464.016,3620491894101.494,29036847889.55533
