Amplitude_Mean,Amplitude_Mean.1,Amplitude_Mean.2,Amplitude_Mean.3,Amplitude_Mean.4,Amplitude_Mean.5,Amplitude_Mean.6,Amplitude_Mean.7,Amplitude_Mean.8,Amplitude_Mean.9,Amplitude_Mean.10,Amplitude_Mean
173.51389011180234,171.47137619094326,173.80773382008874,184.8165192721244,231.3364111042993,199.4710674840866,203.00825902222024,245.4323347762592,182.6663548125835,215.5003417562196,180.43125052263755,215.6306311609585
192.86042940496603,190.6241906062476,193.2837212509628,205.4930729195096,257.1442917723714,221.7628503266265,225.6900831976507,272.78948380372475,203.03414937638263,239.5240228345581,200.56742658225744,239.69706367360047
210.6888755654096,208.288304578498,211.2706763093707,224.57545999892628,280.93102687218845,242.32522817597115,246.6132626801805,297.99872615871215,221.8059215162481,261.6633373917459,219.12977304886743,261.88504849987646
226.26580042371447,223.7400813513821,227.0362197825013,241.28314054172185,301.71796524059886,260.3154909629131,264.9218588707518,320.02339210937004,238.21045922394563,281.00848143363066,235.35543167797056,281.2835898483437
238.89482558803445,236.2921880861891,239.8839011827788,254.8738367748968,318.57561017714033,274.93271452316293,279.8027429699127,337.87932219193,251.5156170754328,296.695758004714,248.519808938022,297.0273046964728
247.9621729973807,245.33853362023683,249.19863012011447,264.6919488899158,330.6843972097589,285.4700510587863,290.5387085607608,350.6992258823596,261.0762117774367,307.9640545321595,257.9839465900779,308.3529459750361
252.97799712414223,250.39505827067265,254.4879684691424,270.212593578086,337.3898906373889,291.3622237310914,296.55668238458827,357.7910542128076,266.3774638105338,314.20607079461104,263.237527390438,314.65072875869066
253.6106722369705,251.1335958593256,255.41647281215344,271.07821316609574,338.2486103711226,292.22499898691865,297.4677534228106,358.68642228788536,267.07103907138486,315.01080864300457,263.93459082170955,315.50692148864016
249.7117237893445,247.4065070203912,251.8307610404412,267.1252687889838,333.06137505449254,287.88395510708784,293.0963028978841,353.1757874711092,263.0012297685453,310.1944291119627,259.91954471179247,310.7348555105372
241.32968611801368,239.2604176896016,243.773607341564,258.39929242819096,321.8919003142166,278.39058984442914,283.496262875223,341.3279855451627,254.21950277674225,299.8173899213399,251.2416588111269,300.39222053905945
228.71198158956605,226.938144649594,231.48613555281287,245.15717317945624,305.069401957724,264.0246762086028,268.95345820278044,323.49281741865747,240.98643604151465,284.1867050354624,238.15711453927912,284.783484040705
212.2946430089755,210.8687036389946,215.3980556009858,227.85661700002044,283.1750219402789,245.28275445843727,249.97396025023733,300.2865081671448,223.7609123693023,263.8431786390254,221.11847009435908,264.4472621893533
192.68062869698952,191.6461898970933,196.1073319723692,207.1335625620859,257.013011586148,222.85351412877705,227.2620618587584,272.5610031279576,203.1774185851416,239.5345045504198,200.7524182034257,240.1295102543576
170.60816789301384,169.99967709763322,174.3955338572187,183.76904388349428,227.56867278818007,197.5819573719301,201.76085041100123,241.3591725943744,180.01518782835635,212.17644534297744,177.8282829411909,212.74430166126183
146.91118682726082,146.8003403659202,151.21301857268278,158.64895446058864,195.956028669616,170.42920601370332,174.5593491654576,207.85888726880103,155.20679766429112,182.820702903416,153.27177063514935,183.32478902744117
122.4745582377818,123.19320547128387,127.79222853886942,132.81929912501306,163.36268919900263,142.55597703457656,146.78409182654323,173.30973246293172,129.69070300956443,152.62351397061033,128.31118881652054,152.96756842658803
98.18752813592688,100.3396003376394,105.73547979820484,107.46464562758318,131.1969763914389,115.07927514215476,119.61111130713228,138.9703388681814,104.57058318629086,122.76081135807487,103.88119229481345,122.77406016196412
