Duration_Mean,Duration_Mean.1,Duration_Mean.2,Duration_Mean.3,Duration_Mean.4,Duration_Mean.5,Duration_Mean.6,Duration_Mean.7,Duration_Mean.8,Duration_Mean.9,Duration_Mean.10,Duration_Mean
3045.7146648871912,3658.4462190039176,4373.669715691829,7426.67078657645,12227.218090869032,9357.213716453143,7480.822384962977,19730.26698480987,5345.846161745747,10472.141330206689,5542.963930042391,13275.204057447583
2965.256271515979,3718.094226964237,4525.222354179849,7289.905214921503,11875.103816372952,9099.320058140594,7354.344905683926,19081.47520015654,5236.078368602739,10216.753534155048,5442.251109855195,12849.230380757692
2838.051992773769,3743.0111940681777,4653.235456795089,7053.725646075259,11330.132438433464,8700.082889181103,7125.555859248632,18101.760427342964,5055.591155758516,9800.4558610052,5274.493472742211,12199.477025726666
2668.491908989298,3737.2534912191536,4756.513873316959,6754.257647054478,10620.056263045475,8182.285094644566,6808.529585720694,16824.404026691238,4813.458182296934,9239.747861127038,5059.514729611943,11348.44375473312
2467.381938629508,3704.183436255752,4832.454971855106,6423.233239729258,9771.096854632882,7568.987517509035,6425.482417211057,15297.259675367266,4522.703430885333,8557.332203604788,4813.219001120909,10327.456657126815
2244.898441345764,3649.669042711304,4878.831357833411,6069.223342431845,8813.494029035412,6898.215454488484,5998.681799602019,13581.295869230704,4196.260479990621,7782.215589238871,4543.303196934736,9175.046050783165
2011.69743298346,3575.4905623796176,4897.025581762058,5694.75051232661,7788.632040924333,6203.797790986597,5548.06767658215,11742.53047654794,3855.652542686165,6946.531484951232,4261.069755138405,7935.091693340282
1781.5911474355582,3482.9680162195946,4886.298292128044,5318.339365479518,6733.1445321053325,5525.6237438998505,5099.681808053381,9854.376040419942,3522.609328961674,6083.75059004664,3973.413671132236,6661.594276914654
1571.8215111779275,3377.4793388446487,4848.733167109337,4991.602197975503,5690.098030540077,4886.919305990296,4677.80352192997,7989.706788660418,3206.719505119588,5230.459937590363,3689.17146406674,5414.513994649107
1394.60844442692,3261.027217741251,4787.351169494448,4721.302725357215,4714.151858007347,4312.750156019035,4298.180969444243,6230.043921657927,2918.2122463811124,4423.633544091799,3421.923820825866,4242.600814966477
1254.2735188803297,3136.7203163718764,4700.721553321819,4518.932385569051,3852.530059834322,3826.4088941853342,3970.738172486839,4702.943389413675,2672.848874572216,3709.182993635344,3179.000649797804,3224.2524128687774
1152.2954878421465,3008.9505562918625,4590.824774822193,4361.564843518642,3151.6139099206275,3433.390577554688,3703.701586953518,3548.889798872522,2480.921293073097,3153.8102378439617,2974.209725885128,2440.458790299507
1080.6909189525472,2881.9695402318703,4465.215713468467,4229.401231192655,2670.192390576736,3154.9036441472163,3490.879470305354,2854.103443135677,2342.0674728730173,2805.092748742302,2821.0055167309392,1946.892872965444
1029.788052524228,2767.1638322391864,4340.094946656551,4113.110769818701,2407.8189923278737,2967.407840278324,3323.018623549748,2578.769027815493,2241.95669181888,2653.1544261063214,2714.322403142387,1706.121066747604
989.897699398704,2710.5805828469456,4232.587207705182,4000.487606298238,2359.032973153119,2843.5600284418483,3200.410911517636,2547.555163589393,2168.293936860532,2629.084597521161,2639.7886758760865,1642.961631135124
952.3126168491482,2659.329121167381,4129.230942526905,3879.085078858421,2377.762558812506,2745.750974619664,3087.30927887669,2581.534694512656,2095.7510791572568,2639.1797673156966,2572.5838804622213,1638.1912690049148
909.9514376688217,2595.432145018047,4025.543395272295,3752.842441385512,2369.0703796843086,2643.169580134417,2963.4197783393856,2580.8269435299458,2013.116673402787,2628.258304707862,2492.720042118622,1619.6757107479311
860.7636811419078,2522.1889939367334,3923.0703011578166,3614.6407357587127,2308.762164164963,2525.3203173609672,2826.678850691503,2505.030080242149,1919.1496100870463,2574.239709676785,2394.2775019501128,1556.7250649226348
805.6658885535163,2446.741013016316,3823.81825392152,3464.252711139143,2195.790624714363,2393.930640557667,2683.700755611448,2354.3072714652867,1816.059786885387,2479.3421576105907,2279.2811417208163,1448.8532078696649
748.0169981336336,2371.0660514971373,3734.745870307044,3305.347679325931,2047.521766850748,2254.400103714982,2538.727692531373,2152.8549245735894,1711.0677762924258,2358.9846867899805,2154.6630556527307,1310.4674711628818
693.0424599862826,2294.543818078156,3656.979693584657,3152.802733924354,1898.2752991552925,2119.474968112567,2396.9430771272496,1936.3780504461952,1617.9993418747763,2235.031687030997,2033.088021632963,1163.0314819129785
