Duration_Standard_deviation,Duration_Standard_deviation.1,Duration_Standard_deviation.2,Duration_Standard_deviation.3,Duration_Standard_deviation.4,Duration_Standard_deviation.5,Duration_Standard_deviation.6,Duration_Standard_deviation.7,Duration_Standard_deviation.8,Duration_Standard_deviation.9,Duration_Standard_deviation.10,Duration_Standard_deviation
1988.4623803971133,5723.806383378894,8433.187309356827,4585.621360789553,4262.874695580739,3930.778859568324,5075.043758709068,5201.3043345843,3288.4206075586862,15809.713795141995,3691.251808259524,3151.572861682594
1987.151756662164,5928.829272021769,8561.032464222699,4595.689346119707,4062.315321071736,3824.5709385841337,5106.122312730723,4860.979369155619,3308.018169500199,16931.727098299983,3554.5955981989323,3080.802590550747
1973.903378379412,6101.287592907702,8633.817879588392,4601.061231960728,3889.977342137443,3675.895177657539,5113.95861685182,4521.914514363972,3317.986333711837,18017.046145447333,3424.9374705420537,3003.302864550968
1949.6077462695,6241.934135668299,8658.753120526895,4610.713070948501,3778.388861948808,3492.555771743976,5101.119982201756,4201.780531257157,3317.7783222086086,19049.151093670866,3326.6510443830944,2905.320441237414
1912.934261322152,6349.304355588585,8642.419792131748,4592.022414101044,3735.7978065425086,3308.5712864294483,5069.845012609419,3920.385949303631,3317.216934770589,20010.93444313584,3272.822165880226,2771.3117620415446
1866.6102123647809,6423.968866633824,8591.227574198523,4558.836262502711,3740.461418922846,3144.452169655772,5025.115808779597,3674.110013919544,3318.38555927008,20886.440888874164,3259.159801154049,2617.205402749621
1815.8943625138068,6466.003229976632,8513.853832264722,4507.652098583729,3775.961282768953,3007.790559163818,4968.98391622968,3398.649802339116,3312.473050261356,21660.05771535977,3276.7708762572606,2417.486591629917
1762.5296368752,6475.180201042304,8416.40006924051,4458.07199061787,3820.26184278801,2908.485302726624,4896.892304408789,3073.4775725476293,3291.1203354146605,22316.83136685439,3302.102596139402,2173.5080910331244
1709.130772926839,6451.893241203133,8301.061216134625,4416.539051525262,3837.450865987606,2815.6941501391707,4808.70258424498,2753.6276437036418,3249.803681913825,22848.71632366349,3309.590103869305,1918.1317053539492
1655.404418437213,6394.117441944337,8164.650581171785,4375.266071269902,3822.187232561029,2733.1503125263466,4701.755063763476,2503.363200659352,3190.450028486486,23254.39527424556,3289.1973303800432,1714.1667784796207
