Energy_Mean,Energy_Mean.1,Energy_Mean.2,Energy_Mean.3,Energy_Mean.4,Energy_Mean.5,Energy_Mean.6,Energy_Mean.7,Energy_Mean.8,Energy_Mean.9,Energy_Mean.10,Energy_Mean
28902957049.38164,886417482924.2673,802893018117.4808,10578995924128.14,70746909744.18214,1091638744547.186,584810913855.5253,439158866298.1795,202337620330.38632,807361426640.722,880514673927.9922,13696847066.000916
28328431067.1552,888400621683.47,802293386970.9032,10226702346371.217,80153130528.01668,1091782948842.78,573278796931.1095,489039743649.3987,197736781679.13968,869775655987.8643,880014342271.2706,15485586981.959366
27718097269.009872,890269486686.0345,801935988042.6786,9857677452682.518,87677403291.45195,1090212730557.8856,561313303999.1841,529505934362.2288,193065720372.49432,934331547964.7938,879464340400.5065,16968130897.684149
27082307324.44108,892204005762.5541,802195094333.7573,9474648098280.254,92997051215.9847,1087046119948.738,548963201842.35583,558989512330.3015,188322302810.48785,1000075309490.8004,878790358111.7172,18078179632.63463
26422503638.795765,894447395389.2662,804504771362.0315,9080615783394.855,95891122656.45024,1082479209579.7638,536195477671.457,576433849071.4974,183507448554.108,1066058842279.721,877935347632.085,18767348204.4414
25740988098.01438,896874249650.694,811215621965.5834,8678685039886.772,96247049055.95683,1076676441296.596,523098800474.768,581322397061.3381,178623840687.90704,1131363447920.4426,876834259688.6079,19006640620.830387
25047349822.52172,899007141128.9733,819732571668.2423,8272005326832.005,94064567187.85306,1069838561016.2916,509927423852.676,573703207449.6527,173677235831.96927,1195067079476.7114,875435923086.4629,18787445430.544987
24373634683.29201,900807910137.9948,826163832138.3584,7863740051080.672,89457468752.92847,1062308697157.7946,496767138335.7288,554123285059.412,168674649423.7254,1256217649771.2122,873690214006.732,18121491567.31457
23768874526.86563,902401292381.8708,830172844110.1245,7457055910146.811,82654182227.83113,1054539651257.8296,483363387782.3412,523620837441.7052,163625497888.80002,1314035559856.327,871576226808.7504,17039837135.574526
23358187467.096306,903564569735.6968,831801784552.9646,7055105232565.893,74040846580.80164,1047133709930.3464,469791547297.8832,483688457500.3131,158540193008.10687,1367837831793.4202,869077051330.3042,15591092894.955328
23091086287.39598,904292509778.0756,831077082499.7008,6660987850820.089,64086740511.30159,1040906690806.4656,456235149802.7211,436215160861.3015,153432687735.63763,1417076173959.9775,866215579630.371,13839080121.903269
22900974922.94484,904616560324.1688,827646469970.4966,6278081460222.296,53246128901.96354,1036914378615.0072,442872867086.7976,383440772621.3432,148326598996.23218,1461387750399.1155,863091351245.1312,11860604117.479692
22779923367.25587,904758880499.3636,824628618020.7598,5911267821866.828,43269668242.28024,1034040199583.7554,429888542557.39417,329111002008.1062,143271351668.17328,1502219569561.6626,859700941192.8673,9806025375.19576
22721572762.18696,904726719673.8853,819638828223.9104,5562135492148.997,36313697520.16037,1031324231065.5032,417333188978.8294,290929287784.7515,138276643306.1428,1540445297678.2256,856105400952.8441,8347589959.404377
22702046312.7118,904384493336.9528,812113691385.0569,5230948335110.025,36689870571.41429,1028301692991.9574,405209337417.6636,294097655397.5764,133352875156.7477,1576496908984.775,852315970425.1935,8021086278.253011
