Time (cycle),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
14001,17.86458612,47.01046185,6.727092167,47.9200992,18.64906763,62.80761568,6.859286744,48.98412587,1153.532292,3915.745666,6.855791242,48.93619249,1.66578E+12,5.76384E+12,6.748213873,47.77513052,3.52501491,10.31674617,6.848046692,49.18415313,1.204992643,2.511902063,6.351975855,44.39347117
14501,18.05667434,50.5582409,6.674771951,46.73804845,22.81319666,88.51736671,6.554712663,44.45964858,1439.345839,5593.011186,6.529055714,44.1826961,2.80429E+12,9.922E+12,6.091954783,39.67870841,3.984274401,12.97674128,6.601360521,45.16795751,1.177339683,2.320550331,6.32242239,45.11886722
15001,17.55772641,46.53501162,6.376906487,42.87242283,28.5661793,103.4799587,5.600890219,32.32203588,1829.06769,6670.796944,5.58658562,32.24193223,4.42917E+12,1.56888E+13,5.329741245,29.85610001,4.649998923,12.44339667,5.273774479,28.35090191,1.26356327,3.067672444,6.5742324,47.18187794
15501,15.15483496,35.24150766,6.597844176,47.18011971,15.10526843,34.31650168,3.761264356,14.63008268,967.1292413,2266.229285,3.706587988,13.94988425,2.72687E+12,8.88676E+12,4.720471496,22.83935934,4.053445867,6.004334667,2.990993797,9.594604906,1.647520336,5.13758608,6.313312987,41.38419721
16001,14.1332751,30.1020806,6.19770601,42.1764486,9.716693639,18.15010654,3.338129521,11.76376013,581.9185422,1124.224939,3.759972047,15.86307198,6.03916E+11,1.78327E+12,5.77025946,36.9624026,6.505207468,12.1600571,2.981512457,8.943763304,1.825417926,5.01064656,5.631559446,32.88580694
16501,13.07644495,25.10810613,5.959444965,40.84914558,7.245166812,14.58637758,4.071804818,18.7495645,421.6733004,896.6604991,4.655123942,24.57531711,1.95101E+11,3.42029E+11,4.769528451,25.34939802,8.47000088,18.39772862,3.059652239,9.291994634,1.410409301,1.996314465,4.177867371,21.58177182
17001,13.18977984,29.75988026,6.464364832,45.39718965,4.694363212,10.67388628,5.4002019,33.14292289,252.8558673,520.5283136,5.053240778,30.22030105,1.16073E+11,1.78571E+11,5.008693389,30.65294458,12.31242188,42.52552798,5.06562223,26.16739104,1.587810775,2.608034151,4.717177661,27.87126242
17501,13.36320095,31.16517753,6.241086046,41.9585978,4.81788342,13.26638638,4.71987245,22.33976177,337.4338398,1041.370299,4.879160286,23.88614445,74541826547,1.28506E+11,5.885054742,40.35259521,5.690327149,17.36269903,5.12730344,27.53075142,1.937192783,3.98905452,4.059913607,17.29476804
18001,11.90086712,25.40217696,6.46770754,46.06603493,2.316113884,3.25209727,3.938248405,18.31787766,147.5988258,269.2547806,4.947576127,27.90661291,53743129802,99578797145,6.106595703,42.4732945,3.147788108,5.389223407,4.538435403,23.1402921,3.691561632,13.36187077,5.309586295,28.55776586
18501,11.85137943,25.34774759,6.47056572,46.20039262,2.273512334,4.376351386,6.06540976,42.78541296,143.0532302,317.3250685,6.7137883,50.61774205,41705894047,79225750861,6.194380252,43.3938858,3.079534195,4.874030321,4.363455666,21.6209682,4.353675772,16.18356878,5.250798447,27.81560221
19001,12.11255496,28.52247988,6.567003119,46.32919932,2.183780878,4.662311697,5.868778845,38.77895933,136.7652755,292.7890888,5.367278218,32.16536454,33814223346,65725393249,6.261088472,44.03868531,2.64365577,5.158684174,6.163810176,42.95187337,2.39411565,5.694583355,4.231837466,18.6152053
19501,12.47189333,29.07119583,6.395721541,43.97500243,2.875187784,8.206292184,5.272089107,28.03258617,187.7778183,567.8029146,5.291812201,28.14698486,28254250048,56174170778,6.290972677,44.16526522,2.624991026,7.232181269,6.824685269,49.2758419,2.382549441,6.860252088,6.111321659,41.79930118
20001,11.86314157,25.39661964,6.446132751,45.52579163,1.825808327,2.858855062,5.079384902,31.20493298,123.4784855,214.791573,5.022846011,29.53293184,24011777737,47877067555,6.302671227,44.28647734,3.759681201,12.10561273,6.110779215,39.32818682,1.870036249,4.976355491,5.172040519,28.6156915
20501,11.71384847,23.58992141,6.35924369,45.16963837,1.954404131,2.692249161,3.661296401,15.58799522,133.7928405,193.2806938,3.36122284,12.18839933,20750160898,41121003307,6.289253487,44.19167885,4.356576454,11.24197447,4.435204932,20.59661453,1.988039935,6.503159763,5.40989704,29.63657255
21001,12.25609571,26.84188208,6.514626913,46.73403938,2.381628687,4.32498571,4.162783201,18.95032295,180.7753014,355.8711825,3.993225038,17.89656702,18228406512,36019887085,6.301197307,44.3924706,3.36572385,7.682428716,4.900599081,27.98047844,1.165418294,2.305108004,5.604072391,35.34164508
21501,13.51335125,34.31841971,6.450129337,44.16000306,3.265463372,9.87418231,5.535012317,31.3314152,233.5319761,745.3959835,5.433217902,30.12335203,16297529939,32602269804,6.30946495,44.3631594,2.094815993,3.27701879,4.562124841,24.88115935,1.090099482,1.452973972,3.681060604,16.10953823
22001,13.35740821,34.1987865,6.581860924,45.92758214,2.836386463,8.281659957,6.2967054,41.54908332,213.1278184,728.5898002,6.006740637,37.41572642,14708780988,29570026966,6.319968114,44.41271199,2.356174216,4.284735068,4.760130231,25.73257725,1.013958702,1.213262032,3.07678998,11.23515315
22501,13.2455028,31.72255925,6.489028007,45.12528836,2.651852195,6.580466129,6.50705709,45.63400091,179.9529142,560.3874722,6.415608163,42.96438117,13419633354,26797211015,6.297024705,44.17706137,2.211938392,3.544117558,5.42532965,35.66280767,1.137969985,2.190339377,4.688848379,24.82791523
23001,12.62859021,26.76200393,6.463648361,45.88818923,2.527227285,5.930651675,6.620847437,47.17622335,140.181613,360.4903858,6.643430637,47.15353316,12307646362,24149231001,6.261478185,43.85942476,2.376587906,3.755197626,5.302319117,34.23416046,2.04462066,6.809443206,5.611898822,33.28486151
23501,12.85174339,26.70241207,6.360192157,45.21749995,2.519555987,5.62505327,6.434531153,44.94385145,135.0381997,293.7168079,5.986534527,39.88846302,11410097504,21968868244,6.242375065,43.85984047,3.06228343,6.336178019,5.750306459,38.01427419,2.876224937,10.66294603,5.204032138,27.25368391
24001,13.39439439,31.88731595,6.555067053,46.06981737,2.401396015,4.890191908,6.368694522,44.9264595,113.7567743,193.436043,5.043745169,29.85876446,10797171137,20963439704,6.24387253,43.75497382,4.842742681,15.36385306,6.171022794,39.48382532,1.287630905,2.899233253,4.21460821,17.96714744
24501,14.01904005,33.70427322,6.46602378,44.7559431,2.447266576,4.713063254,6.189615501,43.35437981,109.337429,168.6420165,4.351711968,22.11758375,10382734521,19984552762,6.179472299,42.92331343,5.832013919,17.67917329,5.604540463,32.62165414,1.084418272,2.483184274,6.06627012,40.97486358
25001,13.80864775,31.79020578,6.528512412,46.05604701,2.506812924,4.8625402,6.179752314,42.7751207,104.639676,164.6476807,5.285799323,33.74576656,10110676227,18533381409,6.050904078,41.71192443,4.982890114,11.68964109,6.258325321,43.0494234,0.857413667,1.380632578,4.614067008,24.71202406
