Frequency (Hz),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
0.0261,7.758541356135832,1.328672529663577,0.8393787460400751,8.289640369272313,8.0613055914803,10.123716331413124,2.2051308642309557,4.891149997074518,343.4444467734729,518.2467715069148,3.5169163494318845,13.857823351924502,792817809843.9312,2119272821994.9954,3.6551085544396456,13.406116034803357,30.215782896453074,57.298046128737624,3.852030637804561,16.00916606777339,8.522571341017338,3.7358157711619215,0.41925684275982816,0.1958189527981693
0.02615,6.7404468457719,1.3225340455589896,2.005876194081412,9.427756081562665,8.154309219206201,10.255089523623784,1.997472551462136,3.702824533355897,329.1443195426671,508.85228643894845,3.4055140184386237,13.11693825388922,762044492997.5739,2026662744996.3743,3.6119773752625255,13.050402009267412,30.13325323561765,55.50166562073724,3.7045805426460654,14.956822930005394,7.4728623757973445,3.5837403394564555,0.6769616527488737,0.901931002180941
0.0262,5.4786749280147164,1.4256048107620287,3.0191514035053233,11.472744459714075,8.356662764813697,10.474145538818075,1.7975497878527416,2.6777207352982906,317.60881844994015,498.72592432685275,3.2645497386302025,12.190892540003514,732342142117.284,1931806760471.9868,3.5576333625450527,12.608234068561286,30.28063690742948,53.75408423647072,3.5463128179438135,13.856301541879986,6.178063580339005,3.563579454795549,1.162952557900214,1.876353823763318
0.02625,4.025854615659324,1.671320317613046,3.409501367885302,12.386928827830895,8.797186229898765,10.693143773508424,1.6523941619007831,1.9917930553839813,316.9441503672239,484.17713200809465,3.132104670182189,11.31845814863432,703915663225.0765,1835846392740.0547,3.4911901730380768,12.076819000578837,30.733068330477114,52.0206562488441,3.385063322525514,12.767708909559223,4.7066152674548025,3.835643586669893,1.772542558883884,3.298809950407482
0.0263,2.452525212304862,2.0338929040572222,3.417257755629223,11.78186971451689,9.539524847644566,10.846566397660027,1.5900684114311674,1.6969430385089215,325.8426246358097,466.9208866549081,2.973837469414585,10.335244903368206,678374556279.2878,1739275705048.21,3.4136861569495083,11.46631491847725,31.55539506023289,50.2501957437246,3.2318193758596854,11.76306626020125,3.342891679744655,4.334032263310478,2.312641527903604,4.844152461731543
0.02635,1.067271076883927,2.4069260539351016,3.322315683424901,10.753868438017367,10.425164203490512,11.031012041509417,1.5844978823069367,1.691055390088735,343.4118722088715,447.46661424143497,2.782936530305211,9.22654249094662,654584640661.4384,1643531308638.986,3.324966717286701,10.780554008741088,32.68139924086903,48.44775544455507,3.0917151179476665,10.872165690863401,3.047488724332031,4.808690707031025,2.444413481088397,5.334377429358394
0.0264,2.4167109882661615,2.0051739037185676,3.6301553303668834,13.579486949369425,11.379013014506187,11.271278039917613,1.627044751257935,1.9077832652673017,371.71434518437394,422.68354177579397,2.622442090283083,8.280382020000816,631722895326.0624,1549864539563.473,3.225967278980866,10.032043945122997,33.97024437017631,46.659063578448475,2.9652634277450938,10.093921516952394,4.6473924059325045,4.842682479337856,2.37973174578709,5.589197145474307
0.02645,3.9803344834049774,1.6171029752618296,3.847192497132413,16.716413651701014,12.353101031637575,11.562315252487663,1.710505457105109,2.268970363669159,404.40381591464785,395.071319922897,2.4892909599893587,7.394160723172902,609727928930.8625,1459173387210.9546,3.119164243267228,9.244570107038662,35.249140927148225,44.961701496794255,2.847586553667604,9.399289701000209,6.63131502083139,4.808537616731675,2.3366895105654892,5.966545037756244
0.0265,5.4266971400725605,1.3689734430660288,3.1034659905102306,16.096607253108985,13.275605660739432,11.92222188425972,1.809484621013266,2.6635885565082225,434.5406026432713,369.51591329007397,2.3301653134050015,6.310741163142984,588310007634.4219,1372418797413.1082,3.0076408649665476,8.447391904282297,36.40705532651846,43.402127424182325,2.7365886121516674,8.773650869559706,8.472821614321646,4.945063021127733,2.122791780276861,5.510522703833859
0.02655,6.688446130493061,1.27649985998179,0.9700115570482998,11.894567908135995,14.09851499112429,12.34608062354844,1.904951763974452,3.014904841218369,460.3784240425468,347.1759910112448,2.1528709290797505,5.094837438084893,567458992772.5103,1290438347325.8892,2.8953855924318463,7.675939645157062,37.37635438662884,41.999134071353694,2.632946996577283,8.212057900768242,10.096016874559695,5.20114760443077,1.8294154734612667,4.55550232552875
0.0266,7.71005988167965,1.301786377117411,-1.2353780464617883,9.97708953016887,14.77721377405882,12.828055578642743,1.9798594032373473,3.280392756016491,480.2703745604227,329.41818400837815,1.966342917184709,3.879252467171966,547256524972.2504,1214028283247.3235,2.7868238302940305,6.967429437621988,38.10338091241977,40.76331119176035,2.5371814090833245,7.704378975179942,11.435373008819205,5.510712791923952,1.5508740862978994,3.5640021386360416
0.02665,8.447971202659122,1.3715022430112518,-2.4744696075105934,10.359321167764524,15.287079057623853,13.344820518939676,2.0313291090138716,3.467715211677487,493.15637265501994,317.0643437405039,1.7932331815784266,2.8772890701938323,527865889404.9339,1143934161962.1177,2.686314372427948,6.355675703750615,38.547076111438656,39.698883041711774,2.449241142851628,7.235502555367498,12.437859837842051,5.813280513337729,1.3330685820502703,2.771897669714665
0.0267,8.871542128387158,1.4225270016158158,-2.961308020275759,10.853188248510323,15.615745952839166,13.86749966430702,2.0644888883799917,3.611239859573562,498.36239618674625,310.4415350600671,1.6586203104814468,2.2685537930066735,509654202091.2807,1080751013402.8354,2.5975952649758463,5.865205374174598,38.68053576814433,38.80370099834617,2.3685854545550904,6.789079916302462,13.064814748958756,6.064357235971677,1.1843563163296036,2.2191447406407008
0.02675,8.96389720091049,1.4172739847237452,-3.092468169711803,11.074084633471557,15.764067758925282,14.364387855223816,2.089170240141968,3.755526459790822,495.640776201525,309.2614903505306,1.5797789813892873,2.1006055994405086,493303831956.05286,1024790396060.404,2.5231732315909063,5.505516790404068,38.491188160438234,38.07078736997547,2.2942274306033315,6.351437443390136,13.293622434529677,6.237992315491411,1.0999420610370427,1.8714582558687436
0.0268,8.722407298765301,1.3399706804957436,-3.0912352114388946,11.405165720389789,15.740732253321493,14.809870318851125,2.1142818834998054,3.9376595775179197,485.72938819286276,311.84499409078876,1.5800208061859073,2.3087257229091316,479581097861.1496,976084908211.474,2.4636396781363286,5.266612327077098,37.981440927835926,37.48941621436617,2.225048990204292,5.915489128759566,13.11818264426574,6.328108958101093,1.0756251435038007,1.6920150482923981
0.02685,8.1587745016867,1.1942390678105563,-3.0751655128542783,12.366656411688167,15.548820931581751,15.19928051465599,2.141330493985219,4.169381792417807,470.7986650184706,314.89106095125993,1.700311612797795,2.8406946556790684,468299796098.97656,934800331548.1631,2.4166249004949503,5.115065423704701,37.16882814053655,37.04627664598493,2.1601763079902403,5.482748584361177,12.549157241146046,6.348514903663597,1.1162415251356606,1.6796809659839855
0.0269,7.298592617199706,1.01168886945531,-3.060533907359484,13.778636240807696,15.188243528897162,15.543423901312542,2.16765700276804,4.44330685659651,450.1260243418725,320.3274937032606,1.853210190389167,3.535202071793716,458805653711.44116,900946587056.4978,2.378273268679153,5.0051134976359055,36.08554588229814,36.72657025039634,2.099290819462507,5.06281166040946,11.613724904410553,6.332262619487536,1.2408977725883674,1.9099037637471303
0.02695,6.180658774284012,0.8799575110373647,-2.2444755791639923,11.054126686659988,14.668098106008841,15.852919523632096,2.1926407025146593,4.74996848714127,424.4842477305424,328.1990838970582,2.0028068598551125,4.274882241528347,450126581358.5014,874273344140.0453,2.3445499148166724,4.893343239919608,34.77730971754432,36.51490487402302,2.0427790049434686,4.670662674462098,10.35462569927069,6.329475678024028,1.4804004664612707,2.5803809629657986
0.027,4.855973285113653,0.9522189467647975,0.9920019859796326,8.84952311699736,14.008746511641535,16.134518685059657,2.2179651638782305,5.081670480614418,394.4452713331826,339.02112043699736,2.114549228563728,4.920862682994439,441984911591.0259,853767213634.5396,2.3136398481023823,4.758962797787339,33.30437481770996,36.393257964644576,1.9920782723924129,4.324080344351616,8.828844243091085,6.4005331380947865,1.8556355356513117,3.973869394618088
0.02705,3.388032476154259,1.28802510211745,3.326578164915025,14.46566665403962,13.241442628149589,16.39043111183067,2.246662566204739,5.432953894605143,361.0005950422771,352.6864718636172,2.181774658737707,5.384081293251139,434314747823.3117,837981179748.995,2.2854349864026955,4.603939443651394,31.769431112721602,36.31520600604676,1.9529233786148974,4.051069833933055,7.115229138355265,6.593080330525553,2.3470534629403748,6.232522253541626
0.0271,1.862501347840753,1.8032422874200529,3.743759918383509,14.957238871500842,12.50190460440587,16.547641241282296,2.303942942477113,5.889822771740896,325.61889695142287,368.44805127306023,2.21710901415242,5.659208888744828,427419356847.0154,825111087804.3527,2.261243653490934,4.446073209295896,30.3269930142291,36.20213761847862,1.9340835916270163,3.8856791337615633,5.342507077886708,6.9176600835553455,2.8769395319354887,9.0989341889806
0.02715,1.1969195187746198,2.18984568301456,3.705028539317074,14.115729911266108,11.871359623214534,16.592855253648047,2.3911742279572823,6.470668084430569,294.01216451283346,382.25299083197245,2.2752251722530623,5.9600369079451525,421031372370.7809,813666674851.3666,2.2414874341172166,4.300537715868166,29.013217978933806,36.08327057481326,1.929018027701386,3.8086641273669404,3.8926412848775707,7.285382678030691,3.3557354704809104,12.122969319946751
0.0272,2.760722226434398,2.017868135173814,3.8263002447704415,16.031183462292297,11.381186921776797,16.548248036829847,2.500173984941561,7.148994093060095,277.5822793801773,387.56023704169303,2.41302213088223,6.6169569110407735,414788860789.1063,802394920881.449,2.225952430125079,4.175697360899266,27.928045277297006,35.9280038542593,1.939462982959931,3.824472454493219,4.1825056489401256,7.2807686685856945,3.8653926323874517,15.977389108009856
0.02725,4.338145057520682,1.835497080514783,4.044078481583625,18.64741212910509,11.070851645680802,16.419962512805167,2.630369144894214,7.9221151114114345,273.21690817022164,388.3320742434792,2.5592296914201067,7.380042002309812,408571250368.86487,790245696425.3596,2.214088557977552,4.073424419292053,27.17299994888804,35.69631830772596,1.9681589140262756,3.939457048811514,5.479531763671265,7.245979367428139,4.180818150553573,18.94597312003641
0.0273,5.752132395159016,1.700006788986151,4.090202664369765,20.37081060615061,10.854427300299426,16.285290145237543,2.7592473283901673,8.673404413256081,275.3222238740525,387.80074913287666,2.675432836895217,8.050944674030227,402103861160.78937,776679503720.773,2.2044045932776206,3.988617841579609,26.75493193467323,35.40434492854727,2.0122087069556804,4.136820810645994,6.991890665977509,7.300632334249548,4.341052802980007,20.735391761199928
0.02735,6.942962939044547,1.6099440466644976,3.880709406788723,20.694203349758318,10.721812818455748,16.15790694518631,2.883715179519627,9.376597212117069,281.2368962476383,386.0994800746212,2.770323386381475,8.634121872537351,395398108374.20044,761507409154.8107,2.1953756055084837,3.915829542501844,26.540116850958075,35.15416174169271,2.0590534925747557,4.35987507898708,8.405456151784076,7.45963307491829,4.37487636401077,21.373259334743
