Specimen #1,,Specimen #2,
Crack density,Cumulative AE energy,Crack density,Cumulative AE energy
[mm-1],[eu],[mm-1],[eu]
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.5125,2.29E+09
0.5,3.13E+09,0.525,2.29E+09
0.5,3.13E+09,0.5375,2.29E+09
0.5,3.13E+09,0.55,2.34E+09
0.5,3.13E+09,0.55,2.34E+09
0.5,3.13E+09,0.55,2.34E+09
0.5,3.13E+09,0.55,2.34E+09
0.5,3.13E+09,0.55,2.34E+09
0.5,3.13E+09,0.55,2.34E+09
0.5,3.13E+09,0.55,2.34E+09
0.5,3.13E+09,0.55,2.34E+09
0.5,3.13E+09,0.55,2.34E+09
0.5,3.13E+09,0.55,2.34E+09
0.5,3.13E+09,0.55,2.34E+09
0.5,3.13E+09,0.55,2.34E+09
0.5125,3.13E+09,0.55,2.34E+09
0.5125,3.28E+09,0.55,2.34E+09
0.5125,3.28E+09,0.55,2.34E+09
0.5125,3.28E+09,0.55,2.34E+09
0.5125,3.28E+09,0.55,2.34E+09
0.5125,3.28E+09,0.55,2.34E+09
0.5125,3.28E+09,0.5625,2.34E+09
0.525,3.28E+09,0.5625,2.40E+09
0.525,3.41E+09,0.5625,2.40E+09
0.525,3.41E+09,0.575,2.40E+09
0.525,3.41E+09,0.575,2.40E+09
0.525,3.41E+09,0.575,2.44E+09
0.525,3.41E+09,0.575,2.44E+09
0.525,3.41E+09,0.575,2.44E+09
0.525,3.41E+09,0.575,2.44E+09
0.5375,3.41E+09,0.575,2.44E+09
0.5375,3.41E+09,0.575,2.44E+09
0.5375,3.41E+09,0.575,2.44E+09
0.5375,3.41E+09,0.575,2.44E+09
0.5375,3.41E+09,0.5875,2.44E+09
0.5375,3.41E+09,0.5875,2.52E+09
0.5375,3.41E+09,0.5875,2.52E+09
0.55,3.41E+09,0.5875,2.52E+09
0.55,3.49E+09,0.5875,2.52E+09
0.55,3.49E+09,0.5875,2.52E+09
0.55,3.49E+09,0.5875,2.52E+09
0.55,3.49E+09,0.6,2.52E+09
0.55,3.49E+09,0.6,2.52E+09
0.55,3.49E+09,0.6,2.52E+09
0.55,3.49E+09,0.6,2.52E+09
0.55,3.49E+09,0.6,2.52E+09
0.55,3.49E+09,0.6,2.52E+09
0.55,3.49E+09,0.6125,2.52E+09
0.55,3.49E+09,0.6125,2.52E+09
0.55,3.49E+09,0.6125,2.52E+09
0.55,3.49E+09,0.6125,2.52E+09
0.55,3.49E+09,0.6125,2.52E+09
0.5625,3.49E+09,0.6125,2.52E+09
0.5625,3.49E+09,0.6125,2.52E+09
0.5625,3.49E+09,0.6125,2.52E+09
0.5625,3.49E+09,0.6125,2.52E+09
0.5625,3.49E+09,0.6125,2.52E+09
0.5625,3.49E+09,0.6125,2.52E+09
0.5625,3.49E+09,0.6125,2.52E+09
0.5625,3.49E+09,0.6125,2.52E+09
0.5625,3.49E+09,0.6125,2.52E+09
0.5625,3.49E+09,0.6125,2.52E+09
0.5625,3.49E+09,0.6125,2.52E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.625,2.53E+09
0.5625,3.49E+09,0.6375,2.53E+09
0.5625,3.49E+09,0.6375,2.59E+09
0.5625,3.49E+09,0.6375,2.59E+09
0.5625,3.49E+09,0.6375,2.59E+09
0.5625,3.49E+09,0.6375,2.59E+09
0.5625,3.49E+09,0.6375,2.59E+09
0.5625,3.49E+09,0.6375,2.59E+09
0.5625,3.49E+09,0.6375,2.59E+09
0.5625,3.49E+09,0.6375,2.59E+09
0.5625,3.49E+09,0.6375,2.59E+09
0.5625,3.49E+09,0.6375,2.59E+09
0.5625,3.49E+09,0.6375,2.59E+09
0.5625,3.49E+09,0.6375,2.59E+09
0.5625,3.49E+09,0.6375,2.59E+09
0.575,3.49E+09,0.6375,2.59E+09
0.575,3.59E+09,0.6375,2.59E+09
0.575,3.59E+09,0.6375,2.59E+09
0.575,3.59E+09,0.65,2.59E+09
0.575,3.59E+09,0.65,2.63E+09
0.575,3.59E+09,0.65,2.63E+09
0.575,3.59E+09,0.6625,2.63E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.6625,2.72E+09
0.575,3.59E+09,0.675,2.72E+09
0.575,3.59E+09,0.675,2.73E+09
0.575,3.59E+09,0.675,2.75E+09
0.575,3.59E+09,0.675,2.75E+09
0.575,3.59E+09,0.675,2.75E+09
0.575,3.59E+09,0.675,2.75E+09
0.575,3.59E+09,0.675,2.75E+09
0.575,3.59E+09,0.675,2.75E+09
0.575,3.59E+09,0.675,2.75E+09
0.575,3.59E+09,0.675,2.75E+09
0.575,3.59E+09,0.675,2.75E+09
0.575,3.59E+09,0.675,2.75E+09
0.6,3.59E+09,0.6875,2.75E+09
0.6,3.59E+09,0.6875,2.83E+09
0.6,3.67E+09,0.6875,2.83E+09
0.6,3.67E+09,0.6875,2.83E+09
0.6,3.67E+09,0.6875,2.83E+09
0.6,3.67E+09,0.6875,2.83E+09
0.6,3.67E+09,0.6875,2.83E+09
0.6,3.67E+09,0.6875,2.83E+09
0.6,3.67E+09,0.6875,2.83E+09
0.6,3.67E+09,0.6875,2.83E+09
0.6,3.67E+09,0.7,2.83E+09
0.6,3.67E+09,0.7,2.86E+09
0.6,3.67E+09,0.7125,2.86E+09
0.6,3.67E+09,0.7125,2.86E+09
0.6125,3.67E+09,0.7125,2.86E+09
0.6125,3.77E+09,0.7125,2.86E+09
0.6125,3.77E+09,0.7125,2.86E+09
0.625,3.77E+09,0.7125,2.86E+09
0.625,3.78E+09,0.7125,2.86E+09
0.6375,3.78E+09,0.7125,2.86E+09
0.6375,3.83E+09,0.7125,2.86E+09
0.6375,3.83E+09,0.7125,2.86E+09
0.6375,3.83E+09,0.7125,2.86E+09
0.6375,3.83E+09,0.7125,2.86E+09
