Energy_Standard_deviation,Energy_Standard_deviation.1,Energy_Standard_deviation.2,Energy_Standard_deviation.3,Energy_Standard_deviation.4,Energy_Standard_deviation.5,Energy_Standard_deviation.6,Energy_Standard_deviation.7,Energy_Standard_deviation.8,Energy_Standard_deviation.9,Energy_Standard_deviation.10,Energy_Standard_deviation.11,Energy_Standard_deviation.12,Energy_Standard_deviation.13,Energy_Standard_deviation.14,Energy_Standard_deviation.15,Energy_Standard_deviation.16,Energy_Standard_deviation.17,Energy_Standard_deviation.18,Energy_Standard_deviation.19,Energy_Standard_deviation.20,Energy_Standard_deviation.21,Energy_Standard_deviation.22,Energy_Standard_deviation
1141041.021126433,364983.3823510082,211998.6924164605,2557187.15955684,301347.51737884025,389549.50859451503,1021306.355213238,1152793.737577331,155089.0342000913,304549.37331113126,401113.5537400843,199940.32449978887,1141041.021126433,364983.3823510082,211998.6924164605,2557187.15955684,301347.51737884025,389549.50859451503,1021306.355213238,1152793.737577331,155089.0342000913,304549.37331113126,401113.5537400843,199940.32449978887
993556.6194755572,419305.2390416693,202700.8394179064,2489390.0929866075,275867.0736591926,381400.5127485764,1126192.878728537,1117232.4288414188,147522.94148150543,300036.8607303578,372957.40267506015,185086.859467419,993556.6194755572,419305.2390416693,202700.8394179064,2489390.0929866075,275867.0736591926,381400.5127485764,1126192.878728537,1117232.4288414188,147522.94148150543,300036.8607303578,372957.40267506015,185086.859467419
856580.4457301274,594393.2404402426,178178.67158428289,2398744.9348284574,248347.8258983731,357368.8209768311,1189334.7117042178,1054705.7828186292,138585.41746475612,291557.41598127875,338345.78956864466,185130.16741955752,856580.4457301274,594393.2404402426,178178.67158428289,2398744.9348284574,248347.8258983731,357368.8209768311,1189334.7117042178,1054705.7828186292,138585.41746475612,291557.41598127875,338345.78956864466,185130.16741955752
734587.240652413,785022.0875698347,128346.88769068869,2292221.8050009604,223776.77307965327,398442.62929314974,1059203.3054341471,999705.1077371646,130143.37781304018,283123.4475822451,299341.37407686503,201007.68659894264,734587.240652413,785022.0875698347,128346.88769068869,2292221.8050009604,223776.77307965327,398442.62929314974,1059203.3054341471,999705.1077371646,130143.37781304018,283123.4475822451,299341.37407686503,201007.68659894264
673669.2926110085,790198.4160495352,115042.94072578054,2099562.8150887084,205737.4066662769,487958.8674499778,857468.9746110833,942185.1444050856,122588.3124848371,275797.6705970602,262780.1587671103,187993.7373653345,673669.2926110085,790198.4160495352,115042.94072578054,2099562.8150887084,205737.4066662769,487958.8674499778,857468.9746110833,942185.1444050856,122588.3124848371,275797.6705970602,262780.1587671103,187993.7373653345
572402.3877437455,552426.9044966337,150207.39801993006,1861784.4090465,180367.3087875981,475920.61394697824,716271.421318122,834569.7578994355,112818.92212469663,267635.8368453919,226784.96630948933,149678.25373113112,572402.3877437455,552426.9044966337,150207.39801993006,1861784.4090465,180367.3087875981,475920.61394697824,716271.421318122,834569.7578994355,112818.92212469663,267635.8368453919,226784.96630948933,149678.25373113112
385033.10637646186,359400.82758516405,193603.29222688783,1486820.227839198,153478.1140739568,334861.4588452414,473331.2839045885,718903.9494613423,117366.80035036914,252776.12663221903,173098.8196998266,131272.52198525795,385033.10637646186,359400.82758516405,193603.29222688783,1486820.227839198,153478.1140739568,334861.4588452414,473331.2839045885,718903.9494613423,117366.80035036914,252776.12663221903,173098.8196998266,131272.52198525795
320167.7049509864,476485.7930993614,176737.40899821266,900382.104457576,143918.6369494335,217485.9678518592,295911.9292683055,572895.5989456552,100350.62380199152,231859.3426083072,151234.88316887023,113896.40285458667,320167.7049509864,476485.7930993614,176737.40899821266,900382.104457576,143918.6369494335,217485.9678518592,295911.9292683055,572895.5989456552,100350.62380199152,231859.3426083072,151234.88316887023,113896.40285458667
189215.4838158205,433714.7472089017,91825.50921374554,374688.3400855029,121001.3407592014,134477.9774934203,177310.9165543232,364240.408471569,63293.20687632664,176508.01106578123,122114.69680359431,81304.52203592609,189215.4838158205,433714.7472089017,91825.50921374554,374688.3400855029,121001.3407592014,134477.9774934203,177310.9165543232,364240.408471569,63293.20687632664,176508.01106578123,122114.69680359431,81304.52203592609
95150.0945429705,152733.30202853895,47157.79009554938,274427.10136418,44325.236601116085,70044.58156458639,100090.97829147094,165066.80051513237,27959.663697227013,67102.03397222262,49286.77390195683,33568.65302396354,95150.0945429705,152733.30202853895,47157.79009554938,274427.10136418,44325.236601116085,70044.58156458639,100090.97829147094,165066.80051513237,27959.663697227013,67102.03397222262,49286.77390195683,33568.65302396354
