Rise-Time_Standard_deviation,Rise-Time_Standard_deviation.1,Rise-Time_Standard_deviation.2,Rise-Time_Standard_deviation.3,Rise-Time_Standard_deviation.4,Rise-Time_Standard_deviation.5,Rise-Time_Standard_deviation.6,Rise-Time_Standard_deviation.7,Rise-Time_Standard_deviation.8,Rise-Time_Standard_deviation.9,Rise-Time_Standard_deviation.10,Rise-Time_Standard_deviation.11,Rise-Time_Standard_deviation.12,Rise-Time_Standard_deviation.13,Rise-Time_Standard_deviation.14,Rise-Time_Standard_deviation.15,Rise-Time_Standard_deviation.16,Rise-Time_Standard_deviation.17,Rise-Time_Standard_deviation.18,Rise-Time_Standard_deviation.19,Rise-Time_Standard_deviation.20,Rise-Time_Standard_deviation.21,Rise-Time_Standard_deviation.22,Rise-Time_Standard_deviation
11.096601376772655,19.21721535279657,17.696389541736142,13.055812043204552,5.114308303028971,15.8337686517727,23.31909123558854,11.109441189656856,18.018535432368903,10.618255412903656,7.601644017189523,6.368743266454106,11.096601376772655,19.21721535279657,17.696389541736142,13.055812043204552,5.114308303028971,15.8337686517727,23.31909123558854,11.109441189656856,18.018535432368903,10.618255412903656,7.601644017189523,6.368743266454106
10.703986989416077,18.526262358221413,15.319889431998453,12.93735253676394,4.918587563913238,15.02855636586306,23.09581702297025,11.013911015468254,16.513294619455447,10.215152828264264,7.218094254603431,6.33766891050416,10.703986989416077,18.526262358221413,15.319889431998453,12.93735253676394,4.918587563913238,15.02855636586306,23.09581702297025,11.013911015468254,16.513294619455447,10.215152828264264,7.218094254603431,6.33766891050416
10.38621231589364,17.25185577815277,13.40610365653328,13.246844677008772,4.752828929719805,14.111892375412276,22.170606530911726,10.850691377569255,14.94612600829643,9.84782750333875,7.3500781893797775,6.382861490643657,10.38621231589364,17.25185577815277,13.40610365653328,13.246844677008772,4.752828929719805,14.111892375412276,22.170606530911726,10.850691377569255,14.94612600829643,9.84782750333875,7.3500781893797775,6.382861490643657
10.180235442757622,16.05249210665992,12.816413908993818,13.509464995930475,4.707042470515404,13.580737781414882,20.692897491904933,10.694550916134917,13.758282245891635,9.707202841858368,7.9852898788375315,6.472825364932376,10.180235442757622,16.05249210665992,12.816413908993818,13.509464995930475,4.707042470515404,13.580737781414882,20.692897491904933,10.694550916134917,13.758282245891635,9.707202841858368,7.9852898788375315,6.472825364932376
9.865607382150024,14.164352299949083,12.277788474529869,13.475684695453388,4.681532144741307,13.34937567922092,18.58061512089404,10.370038971683522,12.831386447149164,9.687848494838374,8.795983067451273,6.390917626182902,9.865607382150024,14.164352299949083,12.277788474529869,13.475684695453388,4.681532144741307,13.34937567922092,18.58061512089404,10.370038971683522,12.831386447149164,9.687848494838374,8.795983067451273,6.390917626182902
9.3556966294731,10.521292920159391,11.528518508977877,13.804649003080216,4.627286657507625,13.299278054876012,16.47284557896365,9.93360160199016,12.062426632900522,9.681869817556382,9.29650929587256,6.089533012310075,9.3556966294731,10.521292920159391,11.528518508977877,13.804649003080216,4.627286657507625,13.299278054876012,16.47284557896365,9.93360160199016,12.062426632900522,9.681869817556382,9.29650929587256,6.089533012310075
8.766391398273617,8.242323908119827,10.66845318207979,14.17699269441528,4.632341517567542,13.248418081813162,15.532420191851712,9.621406047655544,11.03492253096165,9.650613890520171,9.166881969031518,5.730553394793713,8.766391398273617,8.242323908119827,10.66845318207979,14.17699269441528,4.632341517567542,13.248418081813162,15.532420191851712,9.621406047655544,11.03492253096165,9.650613890520171,9.166881969031518,5.730553394793713
8.111377158989837,8.368229025404526,10.359239896494795,15.268529089686664,4.651151326982426,12.873625789314088,16.25461492014939,9.423323807713814,9.575079197408604,9.34009028709249,8.405535044800219,5.363652092593351,8.111377158989837,8.368229025404526,10.359239896494795,15.268529089686664,4.651151326982426,12.873625789314088,16.25461492014939,9.423323807713814,9.575079197408604,9.34009028709249,8.405535044800219,5.363652092593351
7.378747432161615,8.834593783467033,10.074770076016735,16.27769711340451,4.516836219512158,12.159167641598671,17.760138581486274,9.343433663328303,8.072572530743486,8.749342619391914,7.336267618634652,5.083688682843515,7.378747432161615,8.834593783467033,10.074770076016735,16.27769711340451,4.516836219512158,12.159167641598671,17.760138581486274,9.343433663328303,8.072572530743486,8.749342619391914,7.336267618634652,5.083688682843515
6.7434002103608615,8.265145968549051,10.135593140198068,16.003702683073218,4.213052416189017,11.738516414259916,18.44438111213235,9.50344000037701,6.962850632003632,8.138463260062737,6.6968010965677935,4.8498994134067175,6.7434002103608615,8.265145968549051,10.135593140198068,16.003702683073218,4.213052416189017,11.738516414259916,18.44438111213235,9.50344000037701,6.962850632003632,8.138463260062737,6.6968010965677935,4.8498994134067175
5.966853928275259,8.781028621462427,10.140888162526377,13.704574704089092,3.8552268515195856,11.0534499313547,16.52197942463481,9.706690361074786,6.157347335655465,7.700712063494214,6.632600521847886,4.525204120190139,5.966853928275259,8.781028621462427,10.140888162526377,13.704574704089092,3.8552268515195856,11.0534499313547,16.52197942463481,9.706690361074786,6.157347335655465,7.700712063494214,6.632600521847886,4.525204120190139
5.461070341717886,7.729503924170217,10.903161816258436,10.327675055470548,3.363590533985888,10.231958297954336,13.301422756341916,9.524723200733389,5.8131812434863015,7.446172872763911,6.745131328661189,4.281097120860991,5.461070341717886,7.729503924170217,10.903161816258436,10.327675055470548,3.363590533985888,10.231958297954336,13.301422756341916,9.524723200733389,5.8131812434863015,7.446172872763911,6.745131328661189,4.281097120860991
4.994949159118886,8.480347862789536,11.64925177340031,9.50822397156536,2.9896426582018787,9.316359706301252,12.780474100598838,8.99194117768893,5.943567110387615,6.983608617344332,6.331097413125349,4.275710252465012,4.994949159118886,8.480347862789536,11.64925177340031,9.50822397156536,2.9896426582018787,9.316359706301252,12.780474100598838,8.99194117768893,5.943567110387615,6.983608617344332,6.331097413125349,4.275710252465012
4.205398192820232,8.606177037548722,10.224511684810198,8.701632067159052,2.7638303583988946,8.177811920643041,13.246150564245706,8.261752125321474,5.70843699328804,6.746967361648736,5.842056145265705,4.254727704691306,4.205398192820232,8.606177037548722,10.224511684810198,8.701632067159052,2.7638303583988946,8.177811920643041,13.246150564245706,8.261752125321474,5.70843699328804,6.746967361648736,5.842056145265705,4.254727704691306
3.914054398237172,9.198970516181184,8.531893222067495,7.814603402702836,2.4599545764536104,6.597891073594874,11.4998201582748,7.167456098267184,5.052816773899746,6.901499566500313,4.733511564897655,4.0862589331712575,3.914054398237172,9.198970516181184,8.531893222067495,7.814603402702836,2.4599545764536104,6.597891073594874,11.4998201582748,7.167456098267184,5.052816773899746,6.901499566500313,4.733511564897655,4.0862589331712575
3.454580451121098,6.195148093573783,8.55590382204863,7.347399265494801,2.5101171375169566,4.643460940296885,7.500542064591119,6.225607837321883,3.82653688114665,6.207664720243942,3.378863482898692,3.940308259160452,3.454580451121098,6.195148093573783,8.55590382204863,7.347399265494801,2.5101171375169566,4.643460940296885,7.500542064591119,6.225607837321883,3.82653688114665,6.207664720243942,3.378863482898692,3.940308259160452
1.907958191208372,4.435281922850914,4.752771020587157,4.50161146407134,2.150536192569777,3.044461844667121,4.245800863852738,4.706075037132928,2.745697117949153,4.557221632210541,2.374197426653013,3.038741027710106,1.907958191208372,4.435281922850914,4.752771020587157,4.50161146407134,2.150536192569777,3.044461844667121,4.245800863852738,4.706075037132928,2.745697117949153,4.557221632210541,2.374197426653013,3.038741027710106
0.9477538932053092,2.019099379111849,2.393749304578088,1.993066608318318,0.7421842399612356,1.429129416843612,2.264140574237975,1.8443118154176328,1.1471334516272074,1.7757843288419115,1.0598950470515878,1.1406327350784218,0.9477538932053092,2.019099379111849,2.393749304578088,1.993066608318318,0.7421842399612356,1.429129416843612,2.264140574237975,1.8443118154176328,1.1471334516272074,1.7757843288419115,1.0598950470515878,1.1406327350784218
