Counts_Standard_deviation,Counts_Standard_deviation.1,Counts_Standard_deviation.2,Counts_Standard_deviation.3,Counts_Standard_deviation.4,Counts_Standard_deviation.5,Counts_Standard_deviation.6,Counts_Standard_deviation.7,Counts_Standard_deviation.8,Counts_Standard_deviation.9,Counts_Standard_deviation.10,Counts_Standard_deviation.11,Counts_Standard_deviation.12,Counts_Standard_deviation.13,Counts_Standard_deviation.14,Counts_Standard_deviation.15,Counts_Standard_deviation.16,Counts_Standard_deviation.17,Counts_Standard_deviation.18,Counts_Standard_deviation.19,Counts_Standard_deviation.20,Counts_Standard_deviation.21,Counts_Standard_deviation.22,Counts_Standard_deviation
5.953035960953451,6.370596297676282,8.532202383809436,13.220514318331077,3.704302394065731,7.95491286309655,6.174463797617102,4.746099352475342,8.623362123193132,5.342167954661505,6.6191450183872185,3.098659279708757,5.953035960953451,6.370596297676282,8.532202383809436,13.220514318331077,3.704302394065731,7.95491286309655,6.174463797617102,4.746099352475342,8.623362123193132,5.342167954661505,6.6191450183872185,3.098659279708757
5.891230637569873,6.5609323222662335,8.76676220479785,12.86030565048237,3.4267352846575934,7.313407662919015,5.850053461109361,4.438981319092498,8.46312502119052,5.529987393299079,6.653200844982876,2.97871620063918,5.891230637569873,6.5609323222662335,8.76676220479785,12.86030565048237,3.4267352846575934,7.313407662919015,5.850053461109361,4.438981319092498,8.46312502119052,5.529987393299079,6.653200844982876,2.97871620063918
5.813723804286314,6.518063994430381,8.646933877576272,12.506610864120828,3.1226562442244226,6.664574332042592,5.51381820517684,4.058663224647663,8.180944854047354,5.554308838367362,6.424472434655814,2.854915166660036,5.813723804286314,6.518063994430381,8.646933877576272,12.506610864120828,3.1226562442244226,6.664574332042592,5.51381820517684,4.058663224647663,8.180944854047354,5.554308838367362,6.424472434655814,2.854915166660036
5.62512117383182,6.223329404558475,8.335164715326412,12.051547917958455,2.835747131126228,6.137488136751102,5.259911286270424,3.74931442384594,7.655620766299831,5.445850212468092,6.073333560813073,2.745686886280182,5.62512117383182,6.223329404558475,8.335164715326412,12.051547917958455,2.835747131126228,6.137488136751102,5.259911286270424,3.74931442384594,7.655620766299831,5.445850212468092,6.073333560813073,2.745686886280182
5.197887335519439,6.3739319723035655,8.058734270470342,11.55833755557286,2.6024407875696896,5.695945647613097,5.100730368958859,3.574302432815903,6.943408723617403,5.252962219079478,5.906288019579915,2.648206575015028,5.197887335519439,6.3739319723035655,8.058734270470342,11.55833755557286,2.6024407875696896,5.695945647613097,5.100730368958859,3.574302432815903,6.943408723617403,5.252962219079478,5.906288019579915,2.648206575015028
4.618662958411493,6.569341255627044,8.201255442399967,10.88842042406038,2.398403299653472,5.24668402100515,4.932602927088977,3.48402819262501,6.236361102581045,5.06200330965406,6.156963191209935,2.5253505505176714,4.618662958411493,6.569341255627044,8.201255442399967,10.88842042406038,2.398403299653472,5.24668402100515,4.932602927088977,3.48402819262501,6.236361102581045,5.06200330965406,6.156963191209935,2.5253505505176714
4.010461616500301,6.53233137556191,8.379927858035781,9.945150369971673,2.2108352601841625,4.931868786096092,4.744313477844974,3.427433007077683,5.52832337459237,4.841884442722281,6.375824013073192,2.3480139075677844,4.010461616500301,6.53233137556191,8.379927858035781,9.945150369971673,2.2108352601841625,4.931868786096092,4.744313477844974,3.427433007077683,5.52832337459237,4.841884442722281,6.375824013073192,2.3480139075677844
3.3807524637849213,5.77035258187463,7.680835300843444,8.795263468414419,2.042509262993937,4.694685695473733,4.538616885008062,3.3712478506748527,4.630576622901708,4.673290707016466,5.842096331775615,2.107984050170939,3.3807524637849213,5.77035258187463,7.680835300843444,8.795263468414419,2.042509262993937,4.694685695473733,4.538616885008062,3.3712478506748527,4.630576622901708,4.673290707016466,5.842096331775615,2.107984050170939
2.970886746684009,5.713390206449034,6.01351779939549,7.46427526328541,1.870368310929442,4.334266191537892,4.1894437077622015,3.321626635796522,4.098130002317044,4.632542365035711,4.964399717553737,1.9242781310845591,2.970886746684009,5.713390206449034,6.01351779939549,7.46427526328541,1.870368310929442,4.334266191537892,4.1894437077622015,3.321626635796522,4.098130002317044,4.632542365035711,4.964399717553737,1.9242781310845591
2.879162443361943,7.024171264644111,4.326536303807783,6.254411162332078,1.617944301835894,3.664877767537899,3.858016517685776,3.2144143966166463,4.08076248914418,4.243511100534046,4.306242745332948,1.7767578122183587,2.879162443361943,7.024171264644111,4.326536303807783,6.254411162332078,1.617944301835894,3.664877767537899,3.858016517685776,3.2144143966166463,4.08076248914418,4.243511100534046,4.306242745332948,1.7767578122183587
2.626321215454678,7.210421145697411,3.918027427165628,5.156870398527029,1.2960896032189544,3.0523058142917443,3.4288569622510345,2.817330078437412,3.5597867327997808,4.021754373031353,3.450841854781781,1.65132406689832,2.626321215454678,7.210421145697411,3.918027427165628,5.156870398527029,1.2960896032189544,3.0523058142917443,3.4288569622510345,2.817330078437412,3.5597867327997808,4.021754373031353,3.450841854781781,1.65132406689832
2.150243755335919,5.228157138198148,3.9604838657764985,3.424449160050277,1.1384792373430803,2.66608280482907,2.9292614786236086,2.472142340276553,2.997295883093208,4.292662296126815,2.6189214921192825,1.5578530588339392,2.150243755335919,5.228157138198148,3.9604838657764985,3.424449160050277,1.1384792373430803,2.66608280482907,2.9292614786236086,2.472142340276553,2.997295883093208,4.292662296126815,2.6189214921192825,1.5578530588339392
1.878618040442181,2.837403804815856,3.666240858045814,2.916207739939235,1.157004532346675,2.278185791402767,2.477235207909564,2.1131172728680303,2.4984055487245773,3.760694654335237,1.903067528482585,1.3866502191101953,1.878618040442181,2.837403804815856,3.666240858045814,2.916207739939235,1.157004532346675,2.278185791402767,2.477235207909564,2.1131172728680303,2.4984055487245773,3.760694654335237,1.903067528482585,1.3866502191101953
1.2561538935693075,2.9613242339003216,1.9059877479646228,2.2430223305780896,0.8813452905532148,1.4469840150749946,1.4766889984320213,1.473961726066738,1.4427143068648869,2.778178173878285,1.313074862633261,0.9944792088193252,1.2561538935693075,2.9613242339003216,1.9059877479646228,2.2430223305780896,0.8813452905532148,1.4469840150749946,1.4766889984320213,1.473961726066738,1.4427143068648869,2.778178173878285,1.313074862633261,0.9944792088193252
0.5542799149279838,1.1592716521924746,0.9822056762125456,0.9425590618260004,0.3432295914435134,0.6614052552231722,0.7101675710757367,0.6103532250034824,0.6952904459588848,1.086812754965346,0.6125396626550791,0.3959250234577789,0.5542799149279838,1.1592716521924746,0.9822056762125456,0.9425590618260004,0.3432295914435134,0.6614052552231722,0.7101675710757367,0.6103532250034824,0.6952904459588848,1.086812754965346,0.6125396626550791,0.3959250234577789
