Duration_Central_moment_4th_order,Duration_Central_moment_4th_order.1,Duration_Central_moment_4th_order.2,Duration_Central_moment_4th_order.3,Duration_Central_moment_4th_order.4,Duration_Central_moment_4th_order.5,Duration_Central_moment_4th_order.6,Duration_Central_moment_4th_order.7,Duration_Central_moment_4th_order.8,Duration_Central_moment_4th_order.9,Duration_Central_moment_4th_order.10,Duration_Central_moment_4th_order
10072203.273428457,3130294.9652095404,40462841.33348391,724238283.2658787,125404234.64318004,323565799.5857384,1116305719.188853,38599064.41402716,1466498099.783992,153833502.4499243,2986958.085794703,5059246587.70697
9088426.541922703,3584414.5165060987,43893513.42816153,3660136196.855091,96306202.3064274,104851524.95064224,1323646720.8429596,743918608.3593012,140552070.94193074,950355978.4400322,5594784.613152572,6070263568.516534
50578153.69393908,4038534.067802657,47324185.522839166,2426433455.2981243,232347433.8374637,363846432.052099,1530987722.4970665,13025742108.283918,214673226.01451635,1746878454.4301405,23243272.824482687,3582203094.647137
318891785.8991764,4492653.619099215,50754857.61751679,1841743052.9639127,328531439.987069,36836320.941924505,1738328724.1511729,7799042608.863775,681658212.5640975,2543400930.4202485,44704160.93899892,3885611017.155874
17366914.41856747,4946773.170395773,54185529.71219443,2471533021.180534,283390730.3382122,53443224.52425061,1945669725.8052795,2572343109.4436326,9762623.604163677,3339923406.4103565,283965771.8245752,2558016631.7787967
27447088.86398134,5400892.721692331,57616201.806872055,2165742641.038311,433051124.7202224,424248376.2180662,2153010727.459386,601279422.5407789,166655520.90781963,4136445882.400465,637545525.0132285,3206919102.269902
39838571.9123869,5341140.031923434,61046873.90154969,1353383985.052515,904247810.0873684,124176711.4068522,2360351729.1134925,609658866.9849706,437732289.6999754,4932968358.390573,18884341.52792973,4872024576.916828
29012868.805630684,5281387.342154536,64477545.99622733,1603863222.8259532,462718332.0778862,132087982.5617514,1972615089.349291,4486603078.346386,648805613.6874036,5729490834.38068,663149530.0992736,4960968985.218417
18574209.167383462,5221634.652385639,67908218.09090495,1131251076.340166,637883786.5906644,34594181.894117124,1584878449.5850897,848886741.57292,344514167.5076166,6526013310.370789,544917454.8437386,4136995710.923454
34807972.8952635,5161881.962616743,119991874.58171324,1067387882.82178,321772638.01866,46341493.73985746,1197141809.8208883,203333482.9328549,12712659.060147114,7322535786.360897,123091917.88512927,3531050044.388366
30019397.82691369,5102129.272847845,172075531.0725215,2921072524.416452,384112737.04690313,36124027.661666766,809405170.0566871,315483837.7657281,5818938.079591541,8119058262.351005,23673339.257264707,2567753091.805878
109269786.63094716,5042376.583078948,224159187.56332976,2791353214.870341,442661420.30103725,315272146.3401721,421668530.2924857,11617316183.937813,5659272.033109151,8915580738.341112,13392471.004079103,1957942385.8586268
