Energy_Root_mean_squared,Energy_Root_mean_squared.1,Energy_Root_mean_squared.2,Energy_Root_mean_squared.3,Energy_Root_mean_squared.4,Energy_Root_mean_squared.5,Energy_Root_mean_squared.6,Energy_Root_mean_squared.7,Energy_Root_mean_squared.8,Energy_Root_mean_squared.9,Energy_Root_mean_squared.10,Energy_Root_mean_squared
72905.0547038117,2075244.6030806703,7443389.191846795,22301692.92539448,7430.659414384772,346039.8122349032,1398012.1976302122,37420.13426113537,138928.28098662978,171046.53565203934,73235.28931645819,1838491.0262538027
25327.806324446618,2226042.286656108,8376404.83944736,68105877.10431346,35732.854804411945,66147.40384387669,5234281.032091452,67299.53573762794,2203275.9521355643,319263.12260801846,615592.025575465,1505306.0593251588
143542.096642574,2376839.970231544,9012807.258284496,34880510.41610736,118083.88195298798,114525.62162709243,9070549.866552692,38195.37538879618,2488432.720854179,467479.7095639976,930012.130095838,1325630.9585241114
103195.63018323522,2527637.6538069816,9649209.677121634,16139415.152874203,200434.90910156403,734919.309723674,5862443.111332458,31493.42026572596,1386958.8768974617,579558.4916805802,141841.74403426007,1470439.9686585262
1086806.937553909,2678435.337382418,10285612.09595877,45580603.398034126,282785.9362501401,58756.40857369792,2654336.356112225,11601.91092507638,4655224.870383902,691637.2737971627,64077.752574264974,1394317.296891842
465900.3416934852,2829233.0209578555,10922014.514795909,11963761.675664634,297943.0828361546,784372.5669560911,150744.29800196528,77877.82393413162,1266671.733828641,803716.0559137453,25727.817773997827,1558642.5666363998
32714.17605379613,2366800.654858543,11558416.933633044,1725429.92895735,809913.6252998308,772587.6717714517,150834.3993967578,3803990.755181342,520142.3353387934,915794.8380303278,69288.04234428806,1522497.2241602936
202921.6861873524,2548647.2852937626,12194819.35247018,6792710.213049468,7857337.477251845,760802.7765868122,141774.7513484599,38280.65211202031,393530.1651719906,1027873.6201469104,50224.93869565409,1705332.909707212
84237.72847878808,2730493.915728982,12831221.771307318,6982767.009407396,22556076.211554248,749017.8814021728,337024.2583884196,35695.79826176336,425701.2669358252,1139952.402263493,1666912.4119701905,2705660.997823588
252324.8510724461,2912340.5461642016,13467624.190144451,27803230.44360109,13294474.683039157,5657028.260670517,128584.04603842772,21759.797499533743,82062.15438074444,1252031.1843800754,5424847.565435858,2352706.533372437
