Energy_Median,Energy_Median.1,Energy_Median.2,Energy_Median.3,Energy_Median.4,Energy_Median.5,Energy_Median.6,Energy_Median.7,Energy_Median.8,Energy_Median.9,Energy_Median.10,Energy_Median
945.2723804471132,792651.9954631084,-50086.57367251639,-2692141.8456365764,705.7422334350695,-156545.6346163124,-15933.03855347738,92.85154568186395,-29424.20696979355,49044.61969359458,2237.706831760804,-236605.44817331448
1779.8772740470183,434177.4425319083,-960107.2553712626,-6660690.966206155,-2894.4088429610083,43279.70685877602,56511.3405665218,306.3514716517108,-190618.4519523292,9395.772038481957,8515.732473297063,-34280.233649931324
38.9537662312294,75702.88960070815,-1870127.9370700088,35983.580677679274,-2487.200434158732,18951.54921273602,128955.71968652098,-103.04653277756572,-351812.69693486486,-30253.075616630667,2565.083042498783,-152508.4031661548
-267.253969299431,-282771.66333049187,-2780148.618768755,51931794.05946668,-2079.992025356455,-14357.651044935175,-2278584.8345696423,-116.20227136854032,-17961.383953146535,-69901.92327174329,-1214.4837778886972,-87327.83631257113
-977.8509742131156,-641246.2162616919,-3690169.300467501,-3477806.2870509103,-1672.7836165541785,-47666.85130260637,-4686125.388825805,177.34287811461672,-4323.671425802526,-109550.77092685593,-6932.47186464338,-89424.77168939586
-204.8084886167176,-999720.769192892,-4600189.982166247,-3963035.8555756127,-447.62689132479136,330532.5603888221,9123.240945176669,686.3097240078764,153778.22481055523,-149199.6185819686,15.011344098415066,-186040.54732581333
-399.7391047614096,-1358195.322124092,-5510210.6638649935,-57528660.77691943,-35726.15090348832,-74730.98100588826,-3991150.554937088,1035.827598735101,28085.447093288763,-289974.5616017712,135249.11673427408,-192831.60705320167
8255.880524955835,-1716669.8750552922,-6386713.344934882,11825821.353158206,-17474.05225441824,10772.193352748784,-7991424.350819353,252.8861026207896,-1020235.7937345356,-430749.5046215738,95875.66960760464,-205579.24484883863
-44962.11104036047,-2075144.4279864924,-7263216.02600477,16045053.02325931,778.046394651843,76162.08886578395,-4076410.8129219054,252.9521243421516,408140.35546590784,-252930.5237860635,63.71953389407906,-215881.2059157585
-400989.6985629848,-2433618.980917692,-8139718.707074658,-36345536.48022547,19030.145043721925,2290.876788372534,-161397.27502445987,146.92625242764325,42723.59447611634,-75111.54295055324,-161.7044218688941,-126256.07045632503
1498.8450609092042,-2792093.5338488924,-9016221.388144543,-5746981.618307227,-227578.88385135465,-627783.7756690786,6571.352244705516,522.6619341020871,159849.58318228222,102707.437884957,-152.36666378969954,-16175.627349085116
