Energy_Central_moment_6th_order,Energy_Central_moment_6th_order.1,Energy_Central_moment_6th_order.2,Energy_Central_moment_6th_order.3,Energy_Central_moment_6th_order.4,Energy_Central_moment_6th_order.5,Energy_Central_moment_6th_order.6,Energy_Central_moment_6th_order.7,Energy_Central_moment_6th_order.8,Energy_Central_moment_6th_order.9,Energy_Central_moment_6th_order.10,Energy_Central_moment_6th_order
6.251746917814074e+36,9.099638741695498e+33,6.736337939831556e+40,1.942335111909065e+43,8.183912771860788e+32,1.0812605508906564e+34,2.276381971061012e+32,1.3482085320623434e+33,2.1062967466828624e+37,2.540029022988228e+34,1.571813681516384e+30,1.4929696879548291e+38
6.755455207295953e+29,1.6582537283121935e+38,5.654601547054814e+40,1.0261851437804607e+39,9.545250880795072e+34,3.1855087750219937e+34,1.7897611769869417e+31,2.2110081813127528e+43,9.011930123403614e+34,2.888962357630293e+34,6.09751953040558e+30,2.062164488790276e+38
4.637577586391825e+34,1.5719119691434076e+38,4.572865154278072e+40,8.09365360736376e+41,7.037244123570394e+38,5.289756999153331e+34,1.670146863890002e+30,2.158231759164083e+31,9.43395292620568e+33,3.237895692272359e+34,5.5544972409557375e+28,3.41051405901282e+38
3.0912145397686534e+32,1.4855702099746217e+38,3.4911287615013293e+40,8.270173046370342e+42,6.0556756230126025e+44,7.394005223284669e+34,1.4515003707870245e+33,1.168882727681016e+30,4.994505734514913e+34,3.5868290269144246e+34,4.2785349667217046e+38,1.7574619945941184e+43
3.9031785075339546e+35,1.3992284508058355e+38,2.4093923687245872e+40,1.0015211740781844e+46,1.134060565816178e+45,1.1759239294414454e+37,2.0555918526074634e+31,1.8877881521711595e+29,6.585806195005655e+29,3.93576236155649e+34,1.8954476036490444e+36,1.2716239838652911e+39
1.2785762547555793e+35,1.3128866916370498e+38,1.3276559759478443e+40,1.0439783445630652e+37,4.144470260535292e+30,4.0320389597004535e+42,6.246106555229324e+26,3.117798192263912e+30,2.1569380219875425e+36,4.284695696198556e+34,7.881033151980985e+39,1.1389821845251128e+39
9.72013999046252e+34,1.2265449324682637e+38,2.4591958317110283e+39,1.9758511769958863e+45,7.967002574080108e+29,1.986845381274296e+33,1.300366215851133e+27,8.294972504541645e+35,6.993155964145965e+35,4.633629030840621e+34,1.1569768663616204e+31,1.475994317414596e+39
3.746791423192522e+35,1.140203173299478e+38,1.124162046780956e+39,2.781776567348692e+46,1.852789037273893e+20,4.5099863079259015e+31,1.3240480748000974e+30,2.792160521886345e+29,3.522874970700406e+34,4.982562365482687e+34,5.8102636395423605e+38,1.391847483289037e+39
8.913535856929424e+34,1.0538614141306918e+38,9.99255152694183e+38,9.984166056357164e+35,6.650915593827917e+36,1.0082890755404029e+32,2.646795783384344e+30,1.8660967026273264e+40,1.2547180604305369e+32,5.331495700124752e+34,4.163481669738941e+40,9.034867723736467e+38
2.873066199611142e+37,9.675196549619059e+37,8.7434825860741e+38,7.602434730178743e+41,2.8522233644964982e+38,2.6953321079618084e+40,3.96954349196859e+30,1.6156126193414706e+34,1.6465206997237304e+36,5.680429034766818e+34,8.6749924847957e+34,3.8767289471115526e+38
