Energy_Root_amplitude,Energy_Root_amplitude.1,Energy_Root_amplitude.2,Energy_Root_amplitude.3,Energy_Root_amplitude.4,Energy_Root_amplitude.5,Energy_Root_amplitude.6,Energy_Root_amplitude.7,Energy_Root_amplitude.8,Energy_Root_amplitude.9,Energy_Root_amplitude.10,Energy_Root_amplitude
14215.198593783944,696523.976584843,10008.60951662019,,759553.3199357693,234169.4429673116,5823435.616679356,87072.85543372316,10805.48069651646,661908.2659477827,277645.98404071503,579846.0122013092
1484.9490518945172,683630.625435928,24936.39926354524,,684019.9937590708,146650.55355937246,6906503.297044546,141405.85287487606,112220.9922296573,783152.1486686983,334813.6577011026,608314.0559619283
33601.238602356614,670737.2742870129,39864.18901047029,,753822.0724949463,110889.88707441757,4139837.80504545,163770.85485058368,305881.1906876694,904396.0313896138,196467.7633966615,533984.6610130708
49213.37515011725,657843.9231380979,54791.97875739534,,826037.1322475971,150487.23672966103,1373172.313046354,95827.51352304028,96816.43093388452,1025639.9141105292,58121.86909222036,541184.1296135448
31355.05465225464,644950.5719891828,99872.57158021192,,619786.8994478665,187540.6846554386,1427248.9988217652,136282.91692599794,138678.89351698098,1146883.7968314446,89286.62718615516,578868.030094339
54055.004531923165,632057.2208402677,144953.1644030285,,498693.2459818409,75412.13465672231,1481325.684597176,232172.1528799056,379442.82148986624,1268127.6795523602,137969.42169389006,556873.0670987939
43763.91455316001,619163.8696913527,190033.7572258451,,408743.9150769642,145324.89685618153,1535402.3703725871,202824.54149274508,215175.7064846753,1389371.5622732758,56652.533553719135,563342.1007329995
33780.34350838938,606270.5185424376,283918.7137605092,,424640.03250063246,148289.10790927918,133157.89503478506,229456.7449487209,235039.2126659692,1510615.4449941912,259181.4793736867,545589.3907415675
1728.5460013719796,593377.1673935226,269170.7442727463,,457375.98888941866,91442.67461782537,9280.700819758378,104191.96086763524,233674.31267288345,1631859.3277151068,74424.18198570964,688704.1558883293
20112.136324768293,580483.8162446076,254422.77478498349,,423724.1540899607,294697.4596729676,18476.85419743529,111227.23987351343,304562.8382741048,1753103.210436022,366088.53946629446,718811.8066631354
14380.223213810374,567590.4650956925,239674.8052972206,,412522.5110996182,195287.6327235556,86254.05903128594,115095.16662396034,114016.23591317148,1874347.0931569373,190291.6810221042,602504.9528526614
12518.221081482248,554697.1139467774,224926.83580945773,,410487.92860407406,120878.03544853658,154031.2638651366,270114.89915623155,7227.204918029764,1995590.975877853,116921.4362047538,560888.1234158151
5407.290875414938,541803.7627978623,210178.8663216949,,421189.2296544155,61641.74408916834,221808.46869898724,213137.1024922352,58886.94299137613,2116834.8585987687,519810.0106453365,635586.2507670706
4706.969995125187,528910.4116489473,195430.896833932,,366460.2504414618,49870.608176654896,289585.67353283794,205493.02970042668,33082.348353735135,964605.2521941436,19169655.57363771,631674.3801341922
2156.381834388423,516017.06050003227,836576.9276790082,,399775.77843173087,120173.98187154996,357362.8783666886,74271.13803313373,28348.527882127888,2227779.5036845887,21799132.63292444,652293.4223329813
2360.227630303382,503123.7093511172,3972652.367481502,,437509.1989688463,69361.31047889625,425140.0832005392,60955.56581152938,11598.055786063676,3490953.7551750336,21875454.08123067,687110.407674084
1481.0850936731692,490230.3582022022,174464.60517024025,,394318.2986872022,34353.579561795064,492917.2880343899,46167.36618018335,7771.787077939784,4754128.006665478,11499361.548276778,673036.2680151951
652.6740290956275,477337.0070532871,1017606.7913394724,,548514.7352542501,64253.6213296897,560694.4928682406,64190.35665318964,5982.240006547399,6017302.258155923,1705784.1825656097,652332.813658948
4302.214989939747,464443.6559043721,21518693.35284934,,686486.4568856858,48322.709876600624,628471.6977020912,26037.066135873087,43938.08746839863,7280476.509646368,312975.1760429165,586242.3000080606
1040.443836553145,451550.304755457,4060922.494502365,,540940.7750460617,90851.4297531793,696248.9025359419,35233.62614313073,6159.006815332836,8543650.761136813,123750.60742191972,648929.7028198205
1988.613480185108,438656.953606542,7853809.812458319,,616254.7747545087,47841.08282782115,764026.1073697925,146947.45779571592,6300.017735808665,9806825.01262726,167895.40852779703,638297.7881616089
3196.6424406653146,425763.6024576269,5665257.932734896,,655493.3774013639,27161.032368545715,831803.3122036431,159573.832135812,1385.1959494773232,11069999.264117705,177012.66550562583,662204.4051114742
1941.449802993902,412870.2513087118,3476706.0530114733,,625017.0460065838,30605.88112417181,899580.5170374939,158262.87217366806,1537.8572628726993,12333173.515608149,214582.7940763096,679512.0413362383
