Energy_Max_Min_difference,Energy_Max_Min_difference.1,Energy_Max_Min_difference.2,Energy_Max_Min_difference.3,Energy_Max_Min_difference.4,Energy_Max_Min_difference.5,Energy_Max_Min_difference.6,Energy_Max_Min_difference.7,Energy_Max_Min_difference.8,Energy_Max_Min_difference.9,Energy_Max_Min_difference.10,Energy_Max_Min_difference
47928.36552542848,1624660.0778433343,43421.34024122318,499419.2267896432,5512862.694307633,46157802.46418762,9325267.892412314,2128654.46854633,857174.4011292804,1204620.7234236344,365415.0188908951,4726955.846008006
164630.60653216075,1581499.5222294212,25627.13273364665,9757373.072745174,4082029.1103293737,2840812.6232180507,12054591.890347494,1111481.9605564943,142026.27424018603,1502207.8080846956,605415.6524857313,5178256.182933448
202997.0303571151,1538338.966615508,7832.925226070118,,3677221.9995314633,2049674.1522867945,14783915.888282672,1019560.2889462848,2154856.750162338,1799794.892745757,845416.2860805674,4950367.500227926
105627.7793949868,1495178.411001595,17540.65643300568,,4847560.497752307,1391582.138641289,17513239.88621785,821671.5297873128,743851.8506225133,2097381.9774068184,1085416.9196754035,5603948.083963119
204472.6967579168,1452017.8553876816,27248.38763994124,,4634174.108286753,901406.5330310544,11963921.28900367,1295220.089099252,2062755.0759554545,2394969.06206788,759433.3189584046,5107589.0815967545
230809.9597137749,1408857.2997737683,36956.1188468768,,61553311.68577072,1057481.4592805644,6414602.691789491,1485871.45810731,2486956.1761435973,2692556.146728941,433449.7182414057,5629348.6449324265
145890.34610982705,1365696.7441598554,29138.96137177119,,3789934.98383421,877748.040263815,5844330.263853936,966541.9466007628,2056774.7645966988,2990143.231390002,280129.09006737184,6125853.596331982
1778841.927052401,1322536.1885459423,21321.80389666558,,3741067.615390436,2043652.8316706785,5274057.835918381,1364238.7100410052,2272751.0582040567,3287730.316051064,276286.4638298161,4871705.718419498
881461.2523824673,1279375.6329320292,13504.64642155997,,3323976.2715328624,943218.3565983868,4703785.407982826,1239189.5986125548,1950399.9501875376,3585317.400712125,115650.19358038304,4648450.122796388
191483.79586510715,1236215.077318116,568363.9308451496,,17594803.09845124,16993277.865527697,8150479.513609573,1346704.7105009928,1756484.3974857458,3882904.485373186,818587.5779403559,3908146.6145432247
