Rise-Time_Central_moment_6th_order,Rise-Time_Central_moment_6th_order.1,Rise-Time_Central_moment_6th_order.2,Rise-Time_Central_moment_6th_order.3,Rise-Time_Central_moment_6th_order.4,Rise-Time_Central_moment_6th_order.5,Rise-Time_Central_moment_6th_order.6,Rise-Time_Central_moment_6th_order.7,Rise-Time_Central_moment_6th_order.8,Rise-Time_Central_moment_6th_order.9,Rise-Time_Central_moment_6th_order.10,Rise-Time_Central_moment_6th_order
62443500.87502683,41431919.85179856,8460442.85369739,391153198.0367732,40304170259168.375,16918264.094299827,22712308.31658994,452033469.1305692,14628.791016828563,388468.5643203477,40579.053846054536,19211009499193.223
43683667.00623391,51418534.90980753,4838232.863434069,56772070.46043242,89001484.7780479,370386042.7953484,1757454.3126402197,17363866.63021508,9326937.230169185,347455.92909767985,4988399409.447806,26335617733546.703
358672462786.4992,61405149.96781652,1216022.873170746,7816155580.224489,10917496.885478469,6861536605.595369,8920967218.671003,250844282.2717937,1818589837.6089249,306443.293875012,2626401619.3679824,6444080848053.883
118444604.65344654,71391765.0258255,112318770.58431455,139317869491.25925,10151954.835894411,15606250096.841211,5957789103.618814,2366686.402593245,11015021.239875307,265430.658652344,540088513604.9493,7101986748619.162
542409277.566645,81378380.08383447,100096628.30346872,351020368721.7543,10283399.430838678,4626422.852343905,2994610988.5666265,162099144.98771343,138258769.53891253,224418.02342967613,9179083621.337725,11236888989691.473
116715460.5625836,91364995.14184344,87874486.02262287,893870486349.8488,506506653.0517146,44699993283.36094,31432873.51443832,896736008.8609974,9838661329.901804,183405.3882070082,16407366320.090708,10827231976249.12
157030504.7490441,101351610.19985244,75652343.74177703,13460698939411.33,1075414.4359043234,2425320288.4826303,80401168.1141368,72838526828.28523,2995571036.8085594,104634.2714491486,139677205.02935523,1467514705703.4724
17253357208.018253,111338225.25786142,63430201.46093119,854989557978.8037,75395628.27254553,2469842446718.541,129369462.71383528,6527649078.921644,96781556.89550433,25863.15469128902,638514674.3829871,11257012453258.545
1570685578358.9534,121324840.3158704,51208059.18008535,755196492668.3892,343609.78815488954,7131676591.284056,107807885.74700604,465912469.0045643,306724107.4576408,23276.96646171476,1831915467.269127,10019655762823.557
159369120.45590296,131311455.37387936,38985916.89923951,488609929869.1316,22936312.73684528,5398334618668.387,86246308.78017682,121278112.20428264,231659284.4021678,20690.77823214049,3763139937.926182,11894021204395.805
1423587863141.63,141298070.43188837,26763774.61839366,1006784607105.0992,9832461.704091156,1149912464075.5872,64684731.81334758,1750406466.5611258,11196886.384749817,18104.590002566227,23213447.42808531,9100707491380.986
1338590902873.9146,151284685.48989734,14541632.337547824,7897294052509.915,105353024.2334448,159108181950.4648,43123154.84651834,204491163612102.0,320698758.2306801,15518.40177299196,4464195201.463999,17855974502860.95
10413089578725.758,161271300.54790634,2319490.056701991,36481124405084.18,11713000156.365309,10144630697646.2,21561577.879689097,376985911.9993509,171972895.47848704,12932.213543417694,7546626660.746685,11740836677316.97
49564553.68691941,171257915.6059153,2257471.7924933573,11085747116167.203,320348717.8635195,66838110916202.336,0.9128598688824272,66502749616.91792,69336730378.11707,10346.025313843433,30921296128.68557,22112367694741.79
19108397.126387853,181244530.66392428,2195453.5282847234,114671574825119.52,614887229.8818115,18498852047068.84,354.32238219439466,19791299.228613783,5154972766.931835,7759.837084269166,14823630447.215364,2167855899582.2373
188114859.58843,191231145.72193328,2133435.26407609,2463421376723.3154,1120321586.0779216,28510972.246770337,707.7319045199068,1874270092.67526,121334174.80411796,5173.6488546949,8681950952.066837,68567252745204.086
268359162312.60184,201217760.77994224,2071416.999867456,4103643957529.624,5638750433.202493,32583569.03249145,1061.1414268454191,201020146.94888723,94813096546.64355,2587.460625120635,157515416.3814025,12480110838129.557
1054417453847.3176,182925311.5615742,2009398.7356588223,1012709627670753.6,2469260113.414387,60699005454.27154,1414.5509491709313,1546898549.8795228,110757434.58507226,1.272395546370077,69992210597758.88,5130145435367.576
266148773929.0006,164632862.34320614,1947380.471450189,1461390742596.5513,1496116222.6412818,192273062203.40088,20240.75911147425,557258215.8786025,84389070273549.8,302566.856784793,1125575077.2659528,40428826749061.29
42504205874.0292,146340413.1248381,1885362.2072415552,25922870631822.33,1080718145.1148553,1776325971.6836605,39066.96727377757,26613840.54924903,2081795965139.8208,10479673.650361087,13733222468.261112,27005389609407.867
85314503.56375603,128047963.90647005,1823343.9430329213,3851909055066.279,6836770817.483875,141846840334.40454,57893.17543608089,13159381725.783602,8608180761721.961,787422806.8288519,4193147958.701936,24069087975046.965
6876564.841616336,109755514.688102,1761325.6788242878,602056037660.188,78694371.78792201,377420865069.52747,76719.38359838421,4414200.973862172,30342821110432.8,22007419316.496933,3995772652.583344,12624324242689.312
16719343.012101311,91463065.46973395,1699307.4146156542,6389905942429.981,22098164655.845016,240626480409.5409,95545.59176068752,120915854.85632436,13777480644.858725,43227415826.16501,3345260305.554056,30830457088693.77
558988534.4045978,73170616.2513659,1637289.1504070205,2297544838471.814,5109706400.813889,176764237282.613,114371.79992299086,146809695702.5402,1336427990.4651222,39305050615.20166,7895736709.094737,3700063082149.2666
8691487.360258898,54878167.03299785,1575270.886198387,9822132679543.965,8730118102.157082,118028340116.01784,133198.00808529416,4464794598699.456,4889903732.37999,35382685404.238304,52466068.98394461,241373997370.73065
1160252151.6688852,36585717.81462979,1513252.621989753,8228041263849.373,51981302925.34744,23684558743.73998,152024.21624759748,3559654841287.246,39085826.91282031,31460320193.27496,9025024865.842382,412394541145.0261
1086959150.684053,18293268.59626174,1451234.3577811196,633778616282249.1,12680473039.789295,1686318811.6033156,170850.4244099008,2654515083875.036,186310193.29913545,27537954982.311604,812661701.5604308,3142494045607.2603
255298771.59022504,819.3778937012729,1389216.093572486,42936720202172.07,157113229.25956166,26486576214.24782,189676.6325722041,665604639225.5446,4030261337.1371903,23615589771.34825,48374237.787345424,14030738054.09839
104253779.81826684,28353.66609494061,1327197.8293638525,35822263526404.016,1467040372.7838695,311615490551.3394,208502.84073450745,1427158272496.3623,5630781531.862298,19693224560.384903,482110663.16559,24096848036.812
92613491.3177055,55887.95429617996,1265179.5651552186,73724462645607.45,181365953579.5616,24401097816.70602,5309343.754504982,36386881452173.03,8749991125.48943,15770859349.42155,1730590271118.3987,2862596403883.755
197466150.61687607,83422.2424974193,1203161.300946585,7140187241757.782,3520512856.9437103,11998355000.05767,10410184.668275457,83505810613.2995,46487972.567059286,11848494138.4582,400785445.55335367,9278093844.979813
133379059.19082752,110956.53069865864,1159555.7692396964,12714866478457.04,8460875530.500595,184351680877.1645,15511025.582045931,142517347932.1011,154778432.59364215,7926128927.49485,1862432780.3727927,639048465001.3136
282146577.97200793,138490.818899898,1115950.2375328082,105148663557428.05,2376947501.1835885,14875695447.3711,20611866.49581641,2124047186.023076,39316391.42661492,4003763716.531494,38699946.57314035,63213160633.862274
86185433.2096138,166025.10710113734,1072344.7058259198,118931907758825.4,2657996815.476902,265424536102.2518,25712707.40958688,1051179320.9084752,2408265577.714054,81398505.56814468,13504221.84759569,386774908692.97327
57865282.90372717,193559.39530237668,1028739.1741190312,166834990456809.06,5467776802.077268,57424945715.70306,30813548.323357355,1531634.59994076,159992848.4517872,476168.1204241932,22027136426.060524,37885416490.89222
292158988.89967006,221093.683503616,985133.642412143,12557950653190.572,5797890027.480607,153345493358.099,489103.36390261305,193302.03691639748,7112621.549861363,339007.4899884734,190676453982.3891,489152305219.7863
23067453079.787235,248627.97170485536,941528.1107052546,343145190641632.0,10309753900.758974,10058420561302.518,17.538429059945354,764851.1883738879,83340922.26463331,201846.85955275365,122328424.8245725,1454633168428.6023
183944472.9539882,276162.2599060947,897922.5789983661,5104317437168.981,5663301248.114953,605806766784.3987,2635197.721627513,1968849944205.868,396037659.3345089,761849.6838567045,154050641536.0642,11563270695132.682
492487436138.38007,303696.548107334,854317.0472914777,786804825236.4075,78663051719.89044,47248972547.04894,222902.51375923463,367395.9129739618,25031135.33337352,1321852.5081606554,1133773007.0243022,5799997977338.328
9822441026.943018,331230.8363085734,810711.5155845893,9717162618502.422,1794513794088.5725,26934284667.181904,125865.48688075632,4949.601010685251,1281646735.9009724,1881855.3324646065,1341043324203.52,10013984697096.154
697504562.692769,358765.1245098127,3420936.3044505096,1097253728913.5188,442279439162.8029,96562864564.93884,28828.46000227805,9653.024933035527,286279065.5108588,2441858.156768557,672410068305.8325,439203810220.12897
291033300.92220724,386299.4127110521,2853255.2423749063,191198138422.28708,32768078588.292885,176564585847.058,45207969.16178727,4898976.606386863,170377169.09994683,1220929.099217811,16908563550.345531,2570441230805.523
479795570013.4207,413833.70091229136,2285574.1802993035,813726061716.9103,2010493225694.109,60726042936.27965,34023453.76153481,4299635.133125411,185901482.1452104,0.0416670646811075,27615056.88537974,5894314719874.26
436556701.3770495,441367.9891135307,315067.44299605425,23767518938.437008,606062936682.102,3981195860.832432,22838938.36128234,47229.9883450354,319766341.2475073,1181588.767829524,219017201303.7389,5117323113291.486
1209739656.52977,468902.2773147701,167408.54690453684,18564217633.718124,69656837799.50197,123343887754.1487,11654422.961029876,442.7975060141339,30553984718.85008,67896075.2414858,2516353680764.922,16958934572421.32
80010302.9740281,496436.5655160094,955693808.824903,899958067562.0106,114228126902.06728,589602799.0074396,469907.5607774125,545.6767823340871,4239590051.322092,134610561.71514207,30260406769858.85,17970639755076.055
11171872.763626384,523970.8537172488,6330900.449017713,632514003734.2535,3.312625798522657e+16,304288792.2513098,5321105.015382485,921.6933430988144,107192407498.47427,201325048.1887984,3391011147937.035,62320350954769.37
626564579.3789759,551505.1419184882,8330839.744914865,1051470013673.5342,10261047423.615726,520594704.02479607,10172302.469987558,535.8366170455886,61403323.03943977,268039534.66245463,145336958773.12122,8664304514833.933
3785595854.59223,579039.4301197275,10330779.040812016,13094167705.45529,73560321112.08855,1183172947.4746954,7605179693386.818,73563514.43099709,8624338.931420514,365016953.73183006,4497792.161828182,9925193658012.746
176159796.57078832,606573.7183209668,12330718.33670917,2920435056.245548,12887105401.330347,28561437862.07136,268956022631.96817,105976050.87878802,112568976578.11238,393127.1316723314,3265748.605774049,1378575692032.335
1488454299.964851,634108.0065222061,55137240.57306036,1015093511.6337208,12191014575.86424,1734147238.457824,2917378.7806876097,42189975.029676,287902297581.8727,200901.51187984456,86155338.56406565,22682675277325.34
532884.2410085606,661642.2947234455,49627122.65830018,3091254860.8354087,11523475134.532438,43267.74602763671,342310897585.5891,60810028.14816706,874725494383.1622,8675.892087357728,13381781231.518274,60301549314689.9
31945572.415770065,689176.5829246849,44117004.74354001,1865553571.413572,55551345309.723976,20921219.95532937,684618877792.3975,14126979257.021318,71495310608.00026,13121.000136631974,758085555711.9235,46091561440900.34
4550573.87416077,716710.8711259242,38606886.82877983,45544162.35133588,28292138068.958908,5076355591.679953,456412728690.8138,405096769.8561559,62599450013.911446,17566.108185906218,1230231985.5747764,5802117223660.609
22799536.81688152,744245.1593271636,33096768.91401965,1083293558.209103,175301624095.56403,210423096491.0757,228206579589.23016,43788201.765782766,1071935448328.5204,20286.19018845533,2063307706.250796,30366440124928.773
7088034.618362932,771779.4475284029,27586650.99925948,41194569147.0881,154197005098.4069,161457470.64453223,430487.6465311742,80172762.242785,32091093.1435404,996321.7274616325,24382759.217457738,22104400803228.645
6597085.675774768,799313.7357296422,22076533.0844993,569964270365.546,108591267069.02551,298038901204.9264,70905242.81584305,1048829215.7794172,9984046.78153446,3584076.1278171013,576348561.4735428,46978162245437.12
22274822.699072868,826848.0239308815,3568178.091496716,2098007192494.9624,9217736200.808435,8640986481088.106,141379997.9851549,23410988614.40117,19936155.31207816,6171830.52817257,1112414862.956806,30377369525656.6
43054817036.3632,854382.312132121,3216564.6618395816,12852457268.679966,8618462787.404041,927922521914.5808,211854753.15446675,313909053.71038294,820924042.274139,3085979.268756173,11533192.522089534,30541885446987.58
50790799.76395137,840613.0510083348,2864951.232182447,263595164276.5489,44183085499.57571,401268172687.1862,282329508.3237786,15692234242.21685,21131926.17252925,128.00933977545202,6382290574.494775,2123064187785.622
344256.24517124594,826843.7898845488,2513337.8025253126,402719185081.9542,138459786686.37076,38079311185977.43,225863787.56031227,241816013.8971282,11915296049.992653,23881282.95379836,631970.6877128789,47136075895550.414
2115712.924976436,813074.5287607627,2161724.3728681784,41024776238.309685,36787058299.47642,284163929.59716123,169398066.7968459,17739085038.54797,2061545.217521443,24295034.70099269,61054130.71749152,38915363870943.71
2126874.868528468,799305.2676369766,1810110.943211044,658240949794.9059,110521406965.24496,3391851418.6107945,112932346.03337955,104998994789.6087,4131844.899678523,24708786.448187016,121476290.74727017,111939886579398.7
77490432.10411601,785536.0065131905,1458497.5135539095,111217592019.92735,13310528740.342634,65221993717.82884,56466625.2699132,326386647172.2977,1389214227.310079,25122538.195381343,510189.2687928007,30403344112514.523
1691543265.999101,771766.7453894044,1106884.0838967748,2971656926183.655,49342733544.68982,16490996274.58069,904.5064468596254,227752596915.78336,73533594.3613931,25536289.94257567,3681160.9719167617,3699689207812.754
29414840.25217592,757997.4842656183,755270.6542396406,733375171.473359,585312885470.4935,2195600855852.035,3873130.015310065,548305130160.8847,100015193.33605357,25950041.68977,6852132.675040723,1203444314375.8262
197629964.74482045,744228.2231418322,403657.2245825063,9531594535.279957,63443995628.99612,54183591175.401344,7745355.52417327,213332400029.0906,15421296215.180534,25745141.773679,10023104.378164684,178830579360.50012
3868468797.416819,730458.9620180461,269105.42524194263,17714324134.894085,100359613821.53249,3184468394.039473,11617581.033036474,321221547137.0577,511860196.5065683,25540241.857588,29196635.46636772,12182735463300.275
261698659.19096872,716689.70089426,134553.62590137892,20246633540758.297,79776079174.68271,31551205032.42729,15489806.54189968,323639329872.1076,5184875.0089582335,25335341.941496987,48370166.55457074,329438402607.1673
11771429.452285726,702920.4397704739,1.826560815207612,,118696685259.23448,6234155998.204252,19362032.050762884,843249479712.8066,48109964945.59665,25130442.025405984,67543697.64277376,1423103567197.14
44687835.184778064,689151.1786466878,15695.18505402244,,29948665356.738293,24557874773.13337,23234257.55962609,1970573462074.6887,1298424373.0534909,24925542.10931498,86717228.73097679,10880218369273.629
119466181.80168667,675381.9175229017,31388.54354722968,,43706134769.09445,14003762768.294895,27646359.876648888,1797098062885.6145,20934627021.48613,24720642.19322398,43413463.19363353,1395694026700.6692
97098107.79418394,661612.6563991156,47081.90204043691,,230070095883.3773,27966100483.753723,32058462.19367168,600833343170.4169,150387519169.8952,24515742.277132977,109697.65629026853,5583376295422.629
30877676.012055088,647843.3952753295,31388.15407237123,,178590896592.29752,572019971245.2285,213434533399.3063,183527047689.34,276957727479.983,24310842.36104197,111581692.93881686,36078930950.9096
366513067.270246,634074.1341515434,15694.40610430556,,45438110241.85241,964218202614.6676,426837008336.41895,214434431077.0781,245873771922.97272,24105942.444950968,443.5824361685532,1958375401077.66
468998571.3517977,620304.8730277573,0.6581362398882387,,508044645729.76666,190915666.7291789,640239483273.5316,58259282700.69738,254096596538.4024,23901042.52885997,901500.4193111884,9940255301866.87
42325186.43951144,606535.6119039712,38436355.72750142,,112948136973.61974,3080175215.808951,6156351602244.016,100571967504.38356,20964282232.651424,23696142.612768963,258771801.95198885,123300055290.40495
15975843.891925208,592766.3507801851,9442943106999.123,,63045313293.84013,88168089784.55693,21550385.268771887,853794533275.1638,5246261337.026857,23491242.69667796,99046133.82543744,5605828809404.893
104787369.66901596,578997.089656399,18885847777642.52,,504307127624.60406,99351264670.75133,1511867402.6888466,51097621995.190186,105883853000.85847,23286342.78058696,10457243.57803235,15114553939.65912
84570471.92995828,565227.8285326129,28328752448285.914,,2575119580491.0835,3927040060.4559474,1451551186.673411,1504766860057.012,43567096949.54467,23081442.86449595,37441.80346459695,10597243087.009487
120356002.0748828,551458.5674088268,37771657118929.31,,359520456256.86395,304069322631.3479,1391234970.657975,1039623666538.9944,336935002.2448574,22876542.94840495,3575639.532728928,838648151054.666
15975508.813970825,537689.3062850407,47214561789572.71,,1227455676085.449,1791215144.1180315,1330918754.642539,158794796719.99445,2773714847229.4155,22671643.032313947,32499.57718440474,193078326372.54
529769639.4567248,523920.0451612546,56657466460216.1,,52381016157.34768,42397699872.13022,1270602538.627103,108514918219.3273,363661338764.29736,1461716.3162646757,910625.9371698956,9767330720043.896
9277087.6818014,510150.7840374685,712754637024.4435,,316664463738.09155,474335320.9459112,1210286322.6116674,463223068795.9572,144165943.16264367,74076471.02620433,958835765.2550932,427572329608.2152
5589458.406267413,496381.5229136824,603694030.5830095,,512978043901.46674,8786012627.449608,1149970106.5962317,379285914126.21344,1391082493.895948,146691225.736144,1974164.3616213368,55189186464.791145
2489461.348431018,482612.2617898963,5008500.851468439,,127177368495.70473,12918031925.73304,1089653890.5807958,456734339222.9617,13325661908.62864,219305980.4460837,28115086.29250612,711143228954.0472
20269.33818197085,468843.0006661102,158269111.32748258,,8091257134970.118,99680612969.06732,1029337674.56536,598584028107.5139,34266130080.612804,291920735.1560233,54738478972.594086,691744676145.0496
180568232.9546556,455073.7395423241,4352725.032746232,,2972522250338.252,64965293258.49351,969021458.549924,194831136741.8766,2989528581.650042,364535489.865963,2695478113098.657,5200702752474.002
