Energy_Standard_deviation,Energy_Standard_deviation.1,Energy_Standard_deviation.2,Energy_Standard_deviation.3,Energy_Standard_deviation.4,Energy_Standard_deviation.5,Energy_Standard_deviation.6,Energy_Standard_deviation.7,Energy_Standard_deviation.8,Energy_Standard_deviation.9,Energy_Standard_deviation.10,Energy_Standard_deviation
207985.8148438152,1296796.694036448,103391.85562329594,3881783.445097189,1456472.6536370618,2494269.546496657,133691.6371456873,1321411.5669096438,30606.018265963696,2754203.876107759,7985.954924453357,1340343.358643158
259787.5354246432,1231351.809333363,205939.24713991792,309783.4647660215,1552882.4084135976,4124930.456049538,253541.58012114585,143345.2288527051,28352.15135463564,3191184.6778461034,35561.57891604425,1293779.7985618338
294228.9353740388,1165906.9246302785,308486.6386565399,751445.6998544863,1734351.452163319,2646187.08145626,373391.5230966043,3102551.1394895185,71278.44340143677,3628165.479584448,64149.68209459804,1352299.023786419
302782.21955483715,1100462.0399271934,411034.0301731619,132423.62021926255,2353494.833926232,1937820.968402579,493241.4660720628,573598.7845082962,68789.44700017005,4065146.2813227926,219650.5320573735,1263708.8424702685
334592.6114228842,1118114.2641753068,513581.4216897839,265939.9334731629,2490061.8551965444,308247.4626569752,613091.4090475213,7214004.462314706,39268.63798813755,4502127.083061137,13045693.943084234,1085202.6737267575
395385.7009026889,1135766.48842342,616128.8132064058,408826.7739805493,2215653.382553262,49033.74839005819,1123018.6480805867,3068881.6058003223,85782.44663289607,437194.8828407354,7393057.166335737,1191408.674800218
375349.3973067944,1153418.7126715337,718676.2047230279,2866233.164153575,2117953.470732636,20389.21057286918,1632945.8871136522,11615256.63442036,67606.66303015339,5849028.69520766,294915.0486930331,1152016.4482993593
343081.41850645153,1171070.9369196468,821223.5962396498,709019.6299643904,2377669.8332975297,1422890.8717368634,2142873.126146717,10538743.305227902,64789.55931069594,24156484.297072284,10540.335207397507,1174158.7712987708
245373.3852987972,1188723.1611677604,923770.9877562716,501333.450496113,2014434.905250719,785918.7801021824,2652800.3651797827,8597956.499692207,221023.23659157395,14265990.996068433,23967.29759974948,958479.224396956
229366.322681984,1206375.3854158735,1026318.3792728938,1131768.6653571231,2872266.330616919,173957.4946706468,3162727.604212848,88978.14476519091,224878.7024340688,4375497.695064577,8137.260839458229,907394.8125316692
108960.8100706238,1224027.609663987,1128865.7707895157,440948.1019608861,2748286.9693554565,186754.9877289885,3672654.8432459137,324690.3934104849,46767.50491270781,9574352.80836346,9868.799873147029,920408.4767928132
120332.39591572437,1241679.8339121004,1231413.1623061378,312951.8764308527,2789617.505003655,1953654.0941614592,4182582.082278979,1493431.687239763,24933.553561234567,14773207.921662342,19963.55522853107,879913.673277101
168402.44492225387,1259332.0581602138,1333960.5538227595,1543991.7974679824,2624095.3457931685,225544.7842693941,4692509.321312045,2132848.010818626,70731.19249625254,19972063.034961224,62279.17602239476,896725.365221891
97949.1223237624,1276984.282408327,1436507.9453393817,1121544.347322026,3100678.0114618177,93334.58447392644,5202436.560345111,2772264.3343974887,15536.53562218699,25170918.148260105,28182.58124708788,861585.300861807
80778.6039971351,1294636.5066564404,1539055.336856004,400459.907569717,3953137.761587768,102654.02424515777,5712363.799378175,1904249.341741894,26145.361062304928,30369773.261558987,72626.27619734446,907650.6344364834
73306.39848533433,1278215.7433990582,1641602.7283726255,241652.9534878076,7606546.026150499,69901.46044541076,6222291.038411241,2389717.119577032,170125.13525273214,35568628.374857865,27138.66620261242,897925.1711939861
61464.25214110047,1261794.980141676,1744150.1198892477,2904668.15534436,3951549.0469169454,114172.17509387112,5306472.159839479,1544197.8623975357,64072.21303240798,40767483.48815675,281149.2246209897,896489.1701903564
66884.84119738979,1245374.216884294,1846697.5114058696,212009.93932753545,3719623.2138530607,79602.07470105066,4390653.281267718,706221.257533217,134068.756138279,45966338.60145563,20871.043061012144,937717.405678518
288495.56951028405,1228953.453626912,1773627.813290649,2191581.2343998915,3494149.151655917,132324.05364381697,3474834.402695957,1283521.971355772,43427.22976288712,51165193.71475451,11910.636035094723,1008824.3488781116
171629.61346123792,1212532.6903695296,1700558.1151754293,314761.3490420246,2975492.548127059,115536.56208697376,2559015.524124196,628010.383177841,1228.1053984741088,56364048.82805339,5626.008947164593,827033.9072758266
87098.0246341807,1196111.9271121474,1627488.417060209,248190.2064545061,2796375.848648448,186777.53992344704,1643196.645552434,2746285.5083117816,8907.14026035231,61562903.94135228,7597.671788193439,820971.1413071312
106908.52450799516,1179691.1638547657,1554418.718944989,455119.27864452254,2535484.3033856736,193156.006306225,727377.7669806734,4691647.986832218,16926.98898063625,22034226.21995323,11490.208230444,919741.1537757512
125039.07104480952,1163270.4005973833,1481349.0208297686,119750.0791784194,2805305.360737148,347948.4539015862,2024303.513902543,1434955.4977519517,57197.32238715455,11292992.63296512,149498.36873568658,750671.7573729582
212276.30710882705,1146849.637340001,1408279.3227145486,248105.2830539896,2339853.4505775617,610306.5690081922,486032.9864771616,2166024.356528114,153385.8199934793,551759.0459770117,126108.77555649582,759547.061555197
130610.88935883352,1130428.8740826189,1335209.6245993285,627512.330625802,4155538.378160754,700973.0408493897,972055.1233374324,3080967.100657432,752754.5961201692,529949.1956761675,80556.18879992909,866508.003159702
238797.9813342848,1114008.110825237,1262139.926484108,561828.9058195316,4253366.154653108,661099.2231154105,351890.6196435193,2585486.0808229726,90643.15306520564,508139.3453753232,101811.24913044146,944191.3635776882
175712.15517251828,1097587.347567855,1189070.228368888,81840.99314268919,2670984.313316624,346504.282367026,607464.7844499783,1223792.7308817378,399747.1227524041,486329.49507447897,21409.27679670345,966483.1967810672
263982.26717704587,1081166.5843104725,44006.91090987613,23893.02878755747,2344644.1831432795,3246242.629124888,863038.9492564374,1748316.505523183,213521.50745125383,464519.64477363473,311096.76393514685,935977.1803664684
655241.0292369319,1064745.8210530905,36845.031499403936,30312.763038602625,2333176.789257601,820751.6007849807,3903448.084650435,1423590.0555798863,13574.870607806792,1242501.22183708,9492.11148039638,1018202.9813291194
399997.8704680124,1048325.0577957082,29683.152088931747,47053.006235910645,2537001.854486368,804351.9162915234,2952863.129699868,1374716.183639953,28300.868839392624,2020482.7989005256,78637.75106869025,1043141.9522917756
420296.02584026894,1031904.294538326,1801795.4471962,592621.8240213883,2253368.523870638,647933.6253653687,2002278.174749301,1603008.8260656917,45979.42476814878,4479099.073972058,37480.70204527926,1087589.6529066944
338078.54540904553,1015483.531280944,3672746.946992155,394249.7545066096,2666988.65899504,6996514.753876464,1051693.219798734,2241423.71949754,75939.04059445615,11413656.020134486,19015.24927687936,1053306.0241838167
74214.43979867411,999062.7680235616,16444995.277591946,223951.4327467603,2736914.2771882927,1505825.0163259164,101108.26484816687,1111034.985583388,32562.60794208242,18348212.96629691,605779.3957339558,1155822.4007801942
57213.76354787027,982642.0047661796,2281478.293946037,500901.2244421061,2281630.685958699,2138434.232880811,636336.8435883104,4048947.875821816,29285.588376619795,25282769.91245934,48373.62863343111,1160846.2754668882
312793.2051546503,966221.2415087976,1862498.1845850693,419388.4517915037,1684791.2641029656,729208.5185070368,1171565.422328454,1804424.7302381543,57466.5192138344,32217326.85862177,6269.336324295717,1003728.2687898068
149035.22217827104,949800.4782514152,1443518.0752241015,208024.78628404136,1303655.043932339,32208.50111656028,1898587.8182719727,3690381.683717373,32500.16995074177,22482989.130663853,16687.45731748773,1045183.0258175876
83407.1399405136,933379.7149940332,1024537.965863134,3487150.784708767,5366810.096384524,51522.8243091215,7355452.160559357,4664183.529632642,55026.28338098089,3187930.1472601234,251547.2564281748,1162380.9057904014
175496.23660981993,916958.951736651,180824.2887591,3653937.351958783,1109198.563040199,53042.53183259562,1340650.6944786725,5232960.833322255,8014.697191799215,1933295.0368069536,1029409.7598481084,946224.9230217576
29529.7226835216,900538.1884792688,165287.51627367912,1641549.317565034,1298892.71440763,486104.88779849146,864695.1429082872,787273.3528966743,20084.35190997043,678659.9263537842,1946597.705287196,1148222.1127035571
35089.755734631646,884117.4252218867,149750.74378825826,455789.3042115658,1303553.6519157377,1853310.2891665297,388739.591337902,96735.90735189308,10304.42630194816,520169.08088242495,336745.61150588345,993894.741610394
34902.15727222196,867696.6619645045,134213.97130283742,71889.87778817456,1472494.646568557,12208269.76382482,1771595.9843214247,323658.42186577,23568.456415277684,361678.2354110657,2538626.920420423,1091619.8097876122
47544.346876074334,851275.8987071223,118677.19881741656,70965.38398702434,1576469.6955864986,190416.38088765013,3154452.3773049475,1431396.600261466,6303.68423906916,337340.67278572515,1913116.8339595832,1050146.645170358
59867.61262231989,834855.1354497402,103140.4263319957,79174.54316473982,1456839.3532962736,174442.27777952258,4537308.77028847,101052.21226499222,5820.164591250619,2067851.3826546588,7146892.600954161,1272105.9139161175
38369.78206213906,818434.3721923581,87603.65384657483,101122.8371822412,1340978.526721584,29971.273286412845,4067348.561772157,48169.5673860742,3022.035247430598,3322341.9243004927,851653.7888185567,1414136.1698834142
35651.57400336178,802013.6089349759,30509.26236369348,218086.73623557927,1179257.8850241108,694473.5243151215,3597388.353255844,101124.97712162336,3671.0858804589775,4576832.465946326,603011.4577553804,1384746.214758888
53130.16986749856,785592.8456775938,29901.063915102568,85820.36956404812,1380455.6822230413,911706.7408642232,3127428.14473953,155154.75181246045,6345.478436043841,7482418.845634023,102324.84161143872,1340029.237065265
54418.14634399132,768922.7832818968,29292.86546651166,49433.72377334542,1339857.5393570974,212699.4174585294,2657467.9362232164,292378.9435360524,6454.33355490226,10388005.22532172,203396.57880078684,1219013.4280268154
40774.67734490655,752252.7208862,28684.667017920747,994061.7914502588,1701741.108435013,917124.2792952454,2239703.9388392507,170900.15463480714,306641.17167597986,83182.77488316782,54136.529346706,1266644.4059735977
47213.07096804274,735582.658490503,28076.46856932984,971512.8003939,2640872.5669885096,520901.7208677207,1821939.941455285,195889.18793810968,11574.27451042498,109934.32271895556,44797.34814620565,1204667.7365069345
24098.10923285208,718912.596094806,27468.270120738925,945413.4410205956,2473718.5158108845,181715.81080278536,1404175.9440713197,195971.0166874475,3435.3718539347124,136685.87055474328,35458.1669457053,1284581.8646266717
21228.807539508503,702242.533699109,26860.071672148017,65386.11090540775,2199178.966558283,690877.1296874196,986411.946687354,142815.72254575836,69861.59528826807,163437.41839053098,13762.327677519152,1244833.2420596315
20793.120975576923,685572.471303412,26251.873223557104,149775.3757615435,1901079.897266053,5781430.306647506,568647.9493033884,149861.3446052408,78234.13878809965,190188.9662263187,30077.28266768928,983890.6124863108
22886.332854950044,668902.4089077151,25643.674774966195,1697075.7616767208,1322833.7155207235,415336.3344202834,1573755.296274049,239789.74026208965,54256.86142690548,216940.51406210643,46392.23765785939,885378.1184093003
17809.45360051642,652232.3465120181,25035.476326375283,3121217.2090226635,1099262.1225980786,489758.23347290646,2578862.64324471,182815.1657079153,20955.23535914116,346022.33250651445,62707.19264802951,932970.2292654748
10855.386123064063,635562.2841163211,17995.805088595207,89696.68553642074,1086221.4797874014,2122293.9317092234,3583969.9902153704,158496.61901739668,32321.9770456838,475104.1509509224,155758.98531430733,884831.7877893277
24423.06474977267,618892.2217206242,10956.133850815131,866482.6665724645,829958.3662445561,598005.335382071,4589077.337186031,141505.48867074726,12230.801523747552,604185.9693953304,248810.77798058515,878474.6194006646
44196.41140088989,602222.1593249273,3916.462613035059,,897809.7976303305,408167.3439512071,5594184.684156692,140112.82675119775,104576.34686696796,733267.7878397384,341862.57064686297,769831.0698929277
10953.477077426624,585552.0969292303,8770.32821650284,,867706.7705355922,277632.7960593729,6599292.031127352,189590.60589944635,166929.48365803692,862349.6062841464,434914.3633131408,819404.6137379021
49496.75011548239,568882.0345335333,13624.19381997062,,949944.577871384,193522.19355263084,4413589.206355225,220956.8220809672,431031.66929574776,991431.4247285544,265300.4436591285,704763.0898946633
65063.8938404762,552211.9721378363,18478.0594234384,,1545232.0576984112,246138.4329515317,2227886.3815830983,155205.2544504705,385886.23047981353,1120513.2431729625,95686.52400511614,756603.4119204776
40271.66217384981,535541.9097421394,14569.480685885595,,802839.9020393539,247415.2465974748,2127258.518389762,180817.7345521449,352152.85141533933,1249595.0616173705,114380.57015497371,775481.5898245539
174499.87549450458,518871.8473464424,10660.90194833279,,663881.9742324983,172449.09379678807,2026630.6551964253,297365.39339875366,573593.078216886,1378676.8800617782,138143.23191490804,728914.1613991612
154960.2079940991,502201.7849507454,6752.323210779985,,565343.8258013469,220761.3957339761,1926002.7920030896,265633.77874860243,413793.93972100544,1507758.6985061865,57825.09679019152,709880.0721213793
51308.59881773907,485531.7225550485,284181.9654225748,,661123.4720406696,607255.1861119787,1065191.968180922,300873.1922871231,399962.0830041044,1636840.5169505945,282466.78457579005,645481.535761209
7060.912352891359,468861.66015935154,267514.48044774187,,644751.4709854425,265465.89379659033,15490.94271887386,205514.5746127409,357262.1604003618,1765922.3353950025,105698.34933165196,789696.8859716967
30488.585707320017,452191.59776365454,250846.9954729089,,598993.2880338649,539553.42982542,36159.10253967249,524543.8402744137,443086.8123433905,1895004.1538394105,376427.9533373912,2624491.421624116
27089.40378788427,435521.5353679576,234179.510498076,,595411.1009756009,416132.9995657086,43580.344476031736,185337.6656816245,345756.9403135704,2024085.9722838183,248744.8035997752,706984.7948910004
56785.591265604045,418851.4729722606,217512.025523243,,1653646.7109594285,227590.3583775616,51001.586412390985,319449.648469356,54686.225038097975,2153167.7907282263,148722.70176499872,652647.2154322151
18383.847395048124,402181.4105765637,200844.5405484101,,609865.8502189482,110548.68136237672,58422.82834875024,303473.7033497582,228626.1998418868,2282249.6091726343,1336270.224569839,747551.7918017348
10120.965153396295,385511.3481808667,184177.05557357715,,538179.2918039255,81355.68956020259,65844.07028510948,285204.1839196836,59497.966472171305,1670473.026788975,26821611.651796594,765218.8745272146
4482.193911980459,368841.2857851697,1081609.3976384986,,611696.6941534457,2148439.953077969,73265.31222146872,143880.89552559552,51871.00046656891,2644805.843629799,29778526.83601374,756576.2463250331
5106.760826996348,352171.22338947275,6202142.109065752,,1399068.7786335426,434927.9631571088,80686.55415782798,103936.72868211834,42823.34143469686,3619138.660470623,13900988.83852658,762509.7546835579
2854.160003728468,335501.1609937758,543469.8697965851,,576392.8415135012,63225.8034132504,88107.79609418722,95762.1261028182,27360.7126128028,4593471.477311446,14099096.33534661,755824.3021266671
1257.0830290489164,318831.0985980788,5572338.299128911,,1040308.434483595,102697.40329151649,95529.03803054648,102258.61560573356,10970.372799917986,5567804.29415227,2812775.2087448915,729264.7889803867
16719.34023697433,302161.03620238183,25829822.41097438,,1409359.4734784688,70245.7557015031,102950.27996690571,67591.11442954358,52299.10489775924,6542137.110993094,288884.61392576754,682798.6126861635
8276.841448317373,285490.9738066849,6171354.817570239,,898372.4877740538,2928871.222651128,110371.52190326496,96507.98868724814,24290.59221723734,7516469.927833918,153328.60258821043,720635.594584126
14862.36444003739,268820.911410988,10329370.534791218,,1011610.9752074276,1774743.9091245113,117792.7638396242,211580.9928465174,30366.62376416303,8490802.744674742,188778.6458935651,688289.659383951
63187.234292990885,252150.84901529097,7399044.583474413,,1079113.8947262978,132437.84557503954,125214.00577598346,206330.86585597324,3814.95461508967,9465135.561515566,180261.69724830825,712990.021810858
10805.172584861371,235480.786619594,4468718.632157607,,983854.268379136,457169.4056032189,132635.2477123427,200919.3163639705,2029.6859705855536,10439468.378356388,215863.4235891525,738967.8021999213
3069.6482209378883,218810.7242238969,1538392.6808408012,,874776.3327225951,38460.33249032528,140056.48964870197,211658.2395866914,1778.2467604567537,15257471.863520348,166604.27876273703,674543.9413739654
13979.276124280132,202140.6618282001,226280.1334210353,,1073550.3796340362,949028.7667173808,147477.7315850612,292962.6278808048,1956.683759642264,20075475.348684307,140946.19154125004,717983.4322690294
34447.18716962687,185470.5994325031,124957.52890555296,,1125963.087366533,282722.9728028751,154898.97352142044,235456.13267520536,52018.60302500633,28860246.370960377,221786.26217011083,649525.6040846377
18034.77105395609,168800.5370368061,23634.92439007062,,965840.7768432332,113664.98563836107,162320.2154577797,263584.00855807035,75794.52337790291,37645017.39323644,175264.6478720062,642265.0179800215
13638.769769372488,152130.47464110923,6632.566945598826,,1098046.4395146754,205566.61243001733,169741.45739413894,222275.500821748,123591.39511327849,46429788.41551251,261310.911798218,614570.7999346487
13468.751879979214,135460.41224541224,506337.25388366776,,1218578.730013063,2698179.917193856,177162.6993304982,217601.553389932,77879.61584149911,1291987.39257209,347357.1757244297,615820.88730213
7598.770608784833,118790.34984971525,461678.7451290053,,1698112.3029984704,120509.07376744389,184583.94126685744,228908.57900878805,87761.45903992254,6255.248587118719,316895.22077400755,595436.0657256142
1914.6543916718088,102120.28745401824,417020.236374343,,1709446.64529632,117348.2015855432,192005.1832032167,169172.91692091533,111740.42170281206,107541.34287570056,283321.3318501754,565251.0084021761
4283.291334771535,85450.22505832126,372361.7276196806,,1694396.7319516037,201687.73650703163,199426.425139576,186885.58495891152,81182.7657411821,435605.0673014025,368196.8161934003,559585.817172302
5902.1336506604,68780.16266262438,1135740.4161260133,,2412521.6745668184,2671849.6378052146,206847.6670759352,197622.3573622997,322167.4513537179,52133.67599983968,415401.2125381935,573706.7989094566
13639.48084973931,52110.10026692739,1899119.1046323453,,2392439.355049517,190309.9937403743,214268.90901229443,300180.9991996131,32554.15570636279,87813.65609774047,284199.2624144912,485245.65354133176
