Energy_Mean,Energy_Mean.1,Energy_Mean.2,Energy_Mean.3,Energy_Mean.4,Energy_Mean.5,Energy_Mean.6,Energy_Mean.7,Energy_Mean.8,Energy_Mean.9,Energy_Mean.10,Energy_Mean
-85639.98869987186,-3448053.8436186463,-87579.69870706275,-101814.79845399894,85866.71638406783,-2020452.50357838,-341840.3301405125,2005.2056143102247,784077.1170073769,2877021.460400172,-1273.4223122515752,-240798.4270415372
1157.2504663964,-3731664.004274657,-368640.2026028726,-711462.8479239434,46637.01898402615,-201375.22789099,-392011.680548768,4720.659195738897,-1247210.874959418,2449546.172197556,-10134.19917405222,-186263.03826714927
-613.5482992656451,-4015274.164930667,-649700.7064986825,-274299.5847973737,13565.989664967654,175730.4915866938,-442183.0309570235,-8850.060301882568,-3836983.492874744,2022070.88399494,22684.93163205177,-125068.09781522378
-24959.8242324026,-4298884.3255866775,-930761.2103944924,-57689.53071811962,-14567.668772562689,-453828.3369632412,-492354.38136527897,139529.94199774065,1081299.9436622818,1594595.5957923245,6102.017795802926,-57323.13225356437
-45541.36607623538,-4582494.486242687,-1211821.7142903022,-87520.84125491152,-1101.8684825017674,206086.0116728592,-542525.7317735344,-10397.656996097234,-9612.329332610028,1167120.3075897088,-17368.463133266225,-122401.05701870544
-51880.39420524107,-4866104.646898698,-1183324.0953435514,-205526.2221643008,-38660.231330348295,203704.8460298292,-592697.0821817899,-102153.42815301887,-3584.1578899980595,739645.0193870934,251.8567998724781,-141811.76637107326
-33820.055142484685,-5149714.807554709,-1154826.4763968007,-36331.87829174964,-52350.053034789,-314646.6787607785,-542900.0990219797,-6058.951492982883,1857.1154312095448,312169.73118447745,11867.687609534976,-129418.04580289862
-57237.96753665868,-5433324.968210719,-1126328.8574500498,-34990.59402164142,-44038.99057647304,-516879.411257198,-493103.1158621696,-19523.51169147578,-41988.05894135499,-115305.557018138,6466.618752778855,-137197.19785256902
-51255.875316982565,-5716935.128866728,-1097831.238503299,-11097.921106126474,-62293.13568457736,-278256.45974469587,-443306.13270235946,-24876.84299531073,6070.494697511254,-542780.8452207535,91766.27752201796,-120124.16471306156
-59415.82762614487,-5214129.862367194,-1069333.619556548,-10560.802035154413,8484.443915897165,-61670.57434324584,-393509.1495425493,-15318.447700257992,2843.928414855048,-970256.1334233694,580895.4088234121,-103657.17878368637
-42586.63419097955,-4711324.595867661,-1040836.0006097974,-15964.930400460751,128226.75768181527,-1387.2341007101638,-398404.45950841,-607000.4250080617,-10881.778139067235,335376.57555703865,-112258.1283786234,-89150.347111405
-45739.1248149602,-4208519.329368127,-1012338.3816630464,167726.65457584773,247887.57776191348,1461.7103481876122,-403299.7694742706,744014.7311648758,-2630.028578105469,-3934733.705863171,-14928.704980330329,-65470.42669185076
-24281.90866859101,-3705714.062868593,-983840.7627162958,-76480.44034038164,152749.81741559473,811403.123685898,-408195.0794401313,3035959.2844515643,772.8174924175223,-17648276.021478437,-1875.6423280267093,-40473.93297069692
19552.870916808217,-3202908.796369059,-955343.143769545,94771.76761358464,89066.08104113792,36663.01540701727,-413090.389405992,-861162.6193657527,-25959.623175886005,-14300173.456512883,-568.9661894612312,-27042.116087477727
20484.096216712045,-2700103.5298695248,-926845.524822794,-107038.01509537996,114791.38659419391,-11167.916882835769,-417985.6993718527,-6142.588578620216,-103630.51113722636,-10952070.891547332,-1098.3583776027,-33587.335626776214
8936.187889735287,-2197298.263369991,-898347.9058760434,-48625.59229848599,120734.2129696422,5480.020124770675,-422881.0093377134,291401.0634557496,4779.33277399956,-11454259.35917005,157.721327635991,-36684.57765928795
20203.08591059991,-1694492.9968704572,-869850.2869292926,-32730.4869764003,145647.54098317405,-29554.66695190904,-427776.3193035741,-95951.31097278096,-3059.679746051841,-11956447.826792764,-997.8549819574326,-19289.31104611931
13548.172962874794,-1191687.730370923,-841352.6679825417,-82448.43182015549,169067.2229013855,8621.889549391097,-432671.6292694348,-189166.99241868907,6040.407012892258,-12458636.294415483,1380.8891730658422,-73106.18081748996
8824.261998241382,-688882.4638713896,-812855.049035791,-61671.95545945398,149342.88039959202,-3379.6080141965854,-437566.93923529546,-282382.6738645972,-10311.258681368943,-12960824.7620382,705.8904351919564,-62344.6747886681
