Energy_Central_moment_3rd_order,Energy_Central_moment_3rd_order.1,Energy_Central_moment_3rd_order.2,Energy_Central_moment_3rd_order.3,Energy_Central_moment_3rd_order.4,Energy_Central_moment_3rd_order.5,Energy_Central_moment_3rd_order.6,Energy_Central_moment_3rd_order.7,Energy_Central_moment_3rd_order.8,Energy_Central_moment_3rd_order.9,Energy_Central_moment_3rd_order.10,Energy_Central_moment_3rd_order
2.401536754259336e+18,10.666666666666666,-2126115175377178.0,-5.280363886803248e+21,-5266076133580437.0,-1.0315534579151366e+21,-49.40625,-3.077887675837084e+16,-2.852150157422142e+20,-5.556316009263394e+16,-8038348429917003.0,-1.693610839303715e+18
5.497501501110371e+19,12.0,-4252230350754356.0,1.980888001150206e+18,1.5743358925460082e+16,-5506217843014.347,-65.875,-69981214744957.18,-4.068419592107775e+18,-4.970602645016651e+16,1049919988504.0066,-6.261679887478558e+18
-6.961334658760681e+17,13.333333333333332,-555745274909687.0,-1278891806778881.0,2281327174992.657,-3.253165855081394e+16,-1.8082686806430847e+22,-1789613723348029.8,3.907160287635017e+19,-4.384889280769908e+16,-36395179441686.71,-7.221260372748703e+18
-535085388645793.6,14.666666666666666,45750479024227.77,-2.853156994554241e+21,-1980823362038.1096,285507325510559.6,-1.446610310200437e+22,-678883410635480.0,-5.353424867185968e+18,-3.799175916523165e+16,-48359332409659.6,-5.311229561060492e+18
-3203719100326289.0,16.0,1.5546908692785546e+18,0.0,-1320548908025.4062,6208179239562.143,-1.0849519397577893e+22,-69523396600238.54,1.0343755927390682e+18,-3.2134625522764216e+16,-45299338627268.13,-6.860374498828822e+17
-1.1995966856348182e+16,14.545454545454543,-8.801957064945669e+17,8.163400673116375e+18,-660274454012.7031,0.0,-7.232935693151415e+21,-7.796426282050404e+17,4311609619149548.0,-2.6277491880296784e+16,-5.33552206991537e+16,-5.712695178092562e+17
-7954148521562.741,13.09090909090909,-3.3150822822676884e+18,2.101782856044299e+21,0.0,-1.29891481097854e+16,-3.616351988724938e+21,-4957551024441.592,-2339012517428628.0,-2.042035823782936e+16,-84513762186567.77,-1.865646203351652e+18
-1245014483919194.8,11.636363636363637,-5.749968858040809e+18,-9.380298382530572e+20,486422452.6289631,-528912112086878.9,2.317157015381752e+17,-2254178917893.693,-8989634654006805.0,-1.4563224595361928e+16,-8949581013212006.0,-1.2879133026255355e+18
-1.1943074125984496e+16,10.181818181818182,-8.184855433813932e+18,-270336.0,972844905.257926,1.2442675622175272e+16,7.320620061764975e+19,-3846136589131.485,7.797865864461611e+16,-8706090952894496.0,-8.452385780193085e+19,-1.239841488525265e+18
-2228409219265110.5,8.727272727272727,-1.0619742009587057e+19,-1.4256160283287804e+22,1459267357.8868892,2.541426335643742e+16,1.4618068553376132e+20,-6038608146551.068,67322233526129.0,-2848957310427072.0,-818818581984386.5,-1.7626188513514848e+19
-225328915520823.12,7.272727272727273,-1.3054628585360175e+19,2.1847741158863843e+21,-698978225396.7937,0.4375,-8.324193506429915e+18,-73982623874344.94,-355849308990761.06,3008176332040362.0,-316936110097599.0,-4.605172796878221e+18
-16378404968661.377,5.818181818181818,-1.5489515161133296e+19,1.5484092540584046e+23,0.0,105777249639904.58,2.1457766524961414e+20,-683731190744465.9,9.5843669176861e+17,2.5896050737900296e+16,5.813024554671397e+16,-1.035909059627541e+18
485215394973855.0,4.363636363636363,-1.3940563645019963e+19,7.553625980279878e+21,8071817881513197.0,-56334114431153.39,4.374795240056582e+20,-44469372372716.11,2.72094727271606e+18,4.878392514376023e+16,-3.367145926258865e+17,-2.269546454492419e+17
421373549088263.3,2.9090909090909083,-1.2391612128906635e+19,0.0,1.6143635763026392e+16,3.602188341963468e+16,2.272100044460027e+20,-33365318730428.96,1.440418129811294e+18,4.471859804844688e+16,-2067440313115412.8,-2.1546321192438426e+17
5.343720701546444e+17,1.4545454545454533,-1.0842660612793307e+19,6.713025719119378e+22,2.4215453644539588e+16,0.0,1.694048488634716e+19,267918441379.4706,-1.930923634108988e+19,4.065327095313353e+16,25217165551894.65,-2.1630073107668944e+17
