Energy_envelope_Central_moment_3rd_order,Energy_envelope_Central_moment_3rd_order.1,Energy_envelope_Central_moment_3rd_order.2,Energy_envelope_Central_moment_3rd_order.3,Energy_envelope_Central_moment_3rd_order.4,Energy_envelope_Central_moment_3rd_order.5,Energy_envelope_Central_moment_3rd_order.6,Energy_envelope_Central_moment_3rd_order.7,Energy_envelope_Central_moment_3rd_order.8,Energy_envelope_Central_moment_3rd_order.9,Energy_envelope_Central_moment_3rd_order.10,Energy_envelope_Central_moment_3rd_order
8654260751228013.0,-323.3684210526317,4.048595530932736e+18,9.680038987679872e+20,16384.0,-725.3333333333333,0.0,-142215635940649.72,2.3442822369853388e+16,-1.6620340459049606e+16,20483919148270.59,3.519450776732144e+18
-2060333863638140.8,-1670.7368421052631,3.0364466481994537e+18,4.833165818581449e+20,1.872289585254581e+20,0.0,128.0,124037670603471.88,3.5727178539508e+17,-1.4246006107756804e+16,1.1061091736277176e+19,6.255781821565196e+20
9.853560668296403e+16,-3018.105263157895,2.024297765466172e+18,1.5345107937629826e+23,1.4293470717068651e+22,1.1902230322098137e+20,6580284932353994.0,70084259410981.76,-2.787874230053973e+16,-1.1871671756464004e+16,0.0,4.949338650018571e+18
-6221297890284658.0,-4365.473684210527,1.0121488827328892e+18,2.735775299571568e+18,1.0675394515809802e+16,1.2811467637033502e+21,0.0,-7523413923940.771,4.259940080961039e+17,-9497337405171204.0,1.31233476839082e+20,5.547953845377084e+18
-4.175775803959939e+16,-5712.842105263158,-393216.0,3.246871638531971e+22,-9082862123957184.0,1.1636055459908074e+16,-3.977520134032826e+16,4.398218296331367e+16,5.853485038215846e+17,-7123003053878404.0,5613127800865092.0,6.266333235155301e+18
-1.850489314590092e+16,-7060.21052631579,-1.1558425473356251e+19,1.2339543469185062e+23,0.0,5480202504264235.0,-2.6516800893552144e+16,-17803125712736.812,2.145056957791179e+17,-4748668702585604.0,2.5910618108282487e+19,3.3709338703799813e+18
8951292608547459.0,-8407.578947368422,-1.0274155976316668e+19,7.693045856289847e+17,3.759486704999196e+17,4.38906568802526e+17,-1.3258400446776032e+16,3.0315936255695585e+19,1.3914260926365402e+17,-2374334351292804.0,3.093601883845792e+20,2.81758627206838e+18
1.241757708175735e+18,-9754.947368421052,-8.989886479277085e+18,4.789932904679534e+20,1.3424736665627308e+18,1.007209955165536e+20,80.0,2862460908547171.5,-1.7683237239132703e+18,0.0,2.2132351886338333e+17,1.0324682257355176e+18
2.9067087673534628e+16,-11102.315789473683,-7.7056169822375e+18,1.1367042589117006e+17,-1.7423818398498092e+18,1.533973845645675e+23,1.4810080216986746e+17,-795184767711233.0,1.994778021885092e+18,192.0,3496864412383427.0,8.300854667069138e+17
7.692436331647917e+16,-12449.684210526317,-6.421347485197917e+18,1.3619146225184928e+17,6.710781365060608e+17,7.391338652389011e+21,2.962016043397348e+17,-1662418963593991.8,-9.0255307583832e+16,384.0,4702789763506790.0,1.2153598531739963e+18
4.297759445391015e+17,-13797.052631578948,-5.137077988158334e+18,2.9905717091982183e+21,4.864526213550891e+17,7.302074944181393e+21,2.4683467028311232e+17,7.539602136787288e+16,1.3307403049817066e+17,345.6,2149171788825504.8,1.5258690136120858e+18
9.726036085762344e+16,-15144.42105263158,-3.8528084911187497e+18,2.2046076910748127e+22,-5.021186126236009e+17,7.159023319553324e+20,1.9746773622648986e+17,2231853419228154.5,1.928532447581816e+21,307.2,3279572156350154.5,4.997143682690098e+19
5988550826130844.0,-16491.789473684214,-2.5685389940791665e+18,3.100236497447478e+22,-1.3400477344461133e+18,1.050426761979013e+18,1.481008021698674e+17,435723241298221.6,2.8323000169765493e+20,268.8,-158766652241128.78,4.155004631497331e+17
4.19589914815153e+16,-17839.157894736843,-1.2842694970395832e+18,3.990515366352936e+18,7.39333092382311e+17,5.923969712183645e+21,9.873386811324493e+16,1.6355998885240895e+21,1.8915112841915927e+21,230.4,472091697161649.3,1.237159541702451e+18
3.0562788228441624e+16,-19186.52631578948,0.0,2.11242703948216e+20,-2.4975493601763843e+17,8.669659643914278e+19,4.936693405662246e+16,-1005457630226982.0,2.6797195502800058e+17,192.0,1.3197903584875466e+16,2.2988197185342016e+18
5.964198924079067e+16,-20533.894736842107,3112413143815420.0,1.4625105669528397e+21,4.167463264086439e+18,8.475593819074064e+19,0.0,4.222169431411488e+19,5.053089402181281e+16,153.60000000000002,1012502631984396.8,6.963047802776069e+17
-6537043781604360.0,-21881.26315789474,6224826287630840.0,1.354233519237422e+17,3.477617542040297e+18,7.885015193475689e+18,0.0,2.0110101692875776e+16,19281793330272.0,115.2,2335675179124386.0,8.978640818391107e+17
-1.5882476047706942e+16,-23228.63157894737,9337239431446260.0,4.528146585197468e+18,-2.280872997360587e+18,7.545622860996381e+17,0.0,1.1630796167284118e+21,-1373513827654194.8,76.80000000000001,2.553708887708359e+16,7.77615322392268e+17
-5733583251634482.0,-24576.0,1.244965257526168e+16,1.376091284832896e+16,-6.271613471115467e+18,-4.543947412174313e+18,0.0,1.4068441386232817e+18,-7890339191081.692,38.400000000000034,8.903597014926314e+17,5.040743554092509e+17
-1.0026686662825448e+16,-22376.727272727272,1.55620657190771e+16,2.269580703862991e+17,5.081046650375317e+19,-2.2998579499307462e+17,0.0,2.098355492369132e+21,-308330610322512.4,0.0,5.493320307942838e+21,5.056894608822412e+17
3.3310636115339085e+17,-20177.454545454544,1.867447886289252e+16,8.027775780962762e+18,-5.270936077109537e+18,1.401986588702978e+17,-1861.8181818181813,5.732253776582127e+19,1556442102081052.5,0.0,1.803840920075494e+21,5.26438117372464e+17
1.3846500164643416e+17,-17978.181818181816,2.178689200670794e+16,1.1210134016455054e+21,-4.455829302111712e+18,-3.0417181397858976e+16,-3723.636363636364,1.2098663629510658e+22,434124832938100.3,0.0,5.266910802445436e+17,1.0127169975417084e+18
3.6172687570965824e+17,-15778.90909090909,2.489930515052336e+16,-6.871113164612517e+17,-7.580548338275815e+18,-8386276402981210.0,-5585.454545454545,6.568493983624568e+21,60398621275814.66,2.443411391610991e+20,3149691138674530.0,1.1902688460359534e+18
-1285801007264918.5,-13579.636363636362,2.801171829433878e+16,-1.715232399628588e+17,-6.402786480490102e+18,1.107628534489354e+19,-7447.272727272727,3.3972314023731087e+21,-6775333660010782.0,1.2217056958054955e+20,147988733880226.16,3.5534157466810714e+17
1.5782522339453046e+17,-11380.363636363636,3.11241314381542e+16,3.744425915534868e+18,1.4794273045454756e+20,-6120373662231418.0,-9309.090909090908,-1.1557920930734312e+16,-5493162388291805.0,-3328.0,41992361851516.414,3.1875928402545555e+17
4711349442585853.0,-9181.090909090908,3.423654458196962e+16,9.712748509878236e+17,-1.3522200511022303e+19,-9.239233346312658e+16,-11170.90909090909,-5.232506978896857e+16,104816449632116.72,-8.708277665449503e+21,4349538753194.375,3.638164954858424e+17
149790257477043.56,-6981.81818181818,3.734895772578504e+16,2.0096194569660448e+17,-1.24795883206291e+18,5.349431733409223e+20,-13032.727272727272,1.558666923954743e+17,3481147813035.625,-1.7416555330899003e+22,562517777559255.4,3.7214238236016006e+17
