Energy_envelope_Shape_factor,Energy_envelope_Shape_factor.1,Energy_envelope_Shape_factor.2,Energy_envelope_Shape_factor.3,Energy_envelope_Shape_factor.4,Energy_envelope_Shape_factor.5,Energy_envelope_Shape_factor.6,Energy_envelope_Shape_factor.7,Energy_envelope_Shape_factor.8,Energy_envelope_Shape_factor.9,Energy_envelope_Shape_factor.10,Energy_envelope_Shape_factor
1.0018506617051306,1.1581854153295603,1.187469190013262,1.0000235249177505,1.00215988130405,1.0043110881109505,1.1639318378881058,1.000025322413171,1.0187138832806977,1.0518846987958956,3.4933970606318905,1.1846593996616857
1.0015098244008835,1.1403847928826387,1.196195042758498,1.529082128781741,1.0023200895776267,1.0058345894474627,1.1713972978326994,1.0000226359790914,1.0209192804639913,1.0554488975935412,1.0438826753998658,1.2609343417848822
1.000338236262368,1.122584170435717,1.2049208955037338,1.1375258844893277,1.0035542293186035,1.0007559405790565,1.3019321345477972,1.0000442866155408,1.0433080148963518,1.059013096391187,1.024836955953751,1.1852650565465546
1.0006381881693336,1.1047835479887946,1.2136467482489697,1.1369727412870283,1.0043641955131235,1.0006846664559943,1.237762733011722,1.0000717352216362,1.180901811554241,1.071954300545861,1.1221654949546267,1.1706931900016506
1.0022549082118972,1.0869829255418728,1.2260173425923202,1.604438417838596,1.006454972641018,1.005071901385732,1.1735933314756466,1.0000297817275297,1.0798360963849478,1.0848955047005346,1.2949895015039756,1.162327169084354
1.001776348030483,1.0691823030949508,1.2383879369356707,1.1345971749128547,1.008545749768913,1.039174752809854,1.3211098948375344,1.0000240382461634,1.0237708084185209,1.077964932691864,1.0634731167237956,1.147695846676431
1.1004159266315905,1.051381680648029,1.250758531279021,1.4254235372553845,1.0106365268968076,1.0179578567607857,1.4686264581994222,1.000034030792118,1.277626077538771,1.0710343606831936,1.0347229238328544,1.133205851852103
1.014384030101736,1.033581058201107,1.2631291256223716,1.2989669878504884,1.024009498166494,1.0159590262456597,1.1398253360746369,1.000224668561884,1.079201099610847,1.0641037886745233,1.0442200554789831,1.134199117211082
1.0002558570724094,1.026205579191563,1.275499719965722,1.308929413986239,1.0181215389956588,1.0688271868946118,1.0906277156859552,1.2110603257466284,1.0383075624178493,1.0571732166658527,1.3245410657503542,1.132250188778884
1.0036355089474551,1.0359084729448964,1.2878703143090726,1.531379317825283,1.0257444893873011,1.121695347543564,1.1449397406661503,1.0001266884580229,1.018494802417713,1.0502426446571822,1.055901766851705,1.153355375393395
1.0012422724392018,1.04561136669823,1.3002409086524231,1.4559901719778034,1.10607859655874,1.174563508192516,1.335494798698417,1.0000511753281955,1.0370986714725594,1.043312072648512,1.318358088238375,1.4168841734754274
1.0091070463140257,1.0553142604515635,1.3126115029957734,1.6703045579847542,1.7418256891521509,1.174913085975687,1.065057862248575,1.0000498853860076,1.0221059195888873,1.0363815006398414,1.082092713680256,1.1564566491288415
1.0169789210491955,1.0650171542048972,1.324982097339124,1.0143912921422875,1.0021955189665137,1.529167622254059,1.1380328444524923,1.0000335300277103,1.0500858509544604,1.0294509286311708,1.864358181369268,1.158645686405335
1.0276680994158105,1.0747200479582306,1.3373526916824745,1.5248209875839556,1.0021378308348867,1.0050356897100574,1.070292486258205,1.001240358449332,1.0544862396447368,1.0225203566225003,1.1770327210803158,1.1466384487050527
1.0373413034669203,1.0844229417115645,1.095111639608919,2.474210115719816,1.001861563853651,1.0052634707373476,1.163530607726953,1.0000389908391325,1.0408729369810623,1.0155897846138298,1.775293582678347,1.1268327752405023
1.028019788537185,1.0941258354648975,1.0923777260786076,1.26028737441354,1.0068793841316452,1.012936755821586,1.256768729195701,1.0300141367362077,1.0568460674545976,1.0086592126051594,1.7878121638958302,1.136492481031386
1.0564493867375295,1.1038287292182314,1.0896438125482963,2.370956787219852,1.0179402275940863,1.0924120012551557,1.350006850664449,1.000448884087187,1.095925511466113,1.001728640596489,1.1825751179555375,1.135511079615584
1.0159426589601674,1.1135316229715648,1.0869098990179848,1.339772060064762,1.012360907148508,1.6873002338334326,1.3230741562926842,1.0001739640885423,1.1777755826086016,1.1799914204933215,1.0645714155230888,1.109063567841698
1.028065738903444,1.1232345167248985,1.0841759854876736,1.1127665369441118,1.0052338083540933,1.5343689392291122,1.2961414619209195,1.0002581274604452,1.0730458792915123,1.358254200390154,1.0648765453961508,1.1120653293583165
1.049303677173821,1.132937410478232,1.081442071957362,2.576638950763249,1.007176817899628,1.7738487215288472,1.2580026232789994,1.0021861178402447,1.1596972892798716,1.3241884683959595,1.1159622270853686,1.1273679131062364
1.0355262891426666,1.1426403042315656,1.0787081584270508,2.378668192227228,1.0251530316933797,1.1860776794698673,1.2198637846370797,1.000242304268322,1.453263300420709,1.2901227364017651,1.1869881603546584,1.171284475785503
1.0557586793277192,1.152343197984899,1.075974244896739,2.8802128524363897,1.0342209738116883,1.027759436373411,1.181724945995159,1.000760097552783,1.38271115039317,1.256057004407571,1.151485157631165,1.1147664355980438
1.0980935075997411,1.1620460917382327,1.073240331366428,1.8999865368461093,1.0375865476557589,1.2641674296219358,1.1435861073532392,1.446827256348418,1.4878464719842683,1.2219912724133766,1.2578496976067697,1.1179366478457378
1.0856641197377697,1.171748985491566,1.0705064178361166,3.1313987151939022,1.0274047563384712,1.0827847612109414,1.1054472687113193,1.001547827393175,1.01800022196945,1.1879255404191822,1.3055597907319063,1.1341798671184715
1.0759429508771852,1.1814518792448998,1.0684228419518331,3.188511612480046,1.0213291317478472,1.0567925410503014,1.0673084300693991,1.0612725883915517,1.005686844934653,1.153859808424988,1.077775136446129,1.127041589799913
1.0919645881410478,1.1911547729982332,1.0663392660675497,1.1089218514561003,1.0284700407309133,1.0997797603426087,1.0518917317297116,1.0027429731448234,1.0042706014408465,1.1197940764307937,1.1460394429116405,1.1265511212205743
1.106459382410291,1.200857666751567,1.0642556901832665,1.3312739908274176,1.0384315218413664,1.1076051258503306,1.036475033390024,1.559889376112304,1.001536071864605,1.0857283444365993,1.2198556691615223,1.1313150707511337
1.128765801874278,1.2105605605049004,1.0621721142989828,1.023674931809634,1.0678963981176364,1.0646626534577852,1.0210583350503364,1.1414690993470216,1.0007865257245483,1.0516626124424049,1.3394429295921568,1.1296257550357895
1.1379542046674866,1.1987059519454586,1.0600885384146994,1.0251293529027043,1.086012745398734,1.018475769617851,1.0056416367106489,1.694878850346028,1.000338291764707,1.0175968804482105,1.903193877625391,1.135849667864246
1.1767032380765776,1.1868513433860168,1.058004962530416,1.058189925877841,1.0666895080603245,1.0127347481310194,1.012493067649059,1.261189885210083,1.002599770708006,1.0066708794038948,2.2126183951918144,1.135398654569267
1.131875228160664,1.174996734826575,1.0559213866461326,1.0917571474934713,1.0492304174893343,1.0074748377394622,1.0193444985874691,1.6948868397501835,1.0019057930402595,1.0000490278674237,1.3754360746263952,1.130416831235516
1.1577688400294053,1.163142126267133,1.0538378107618491,1.014142369448563,1.0597855604480089,1.1173709651238897,1.0261959295258796,1.5223952682443915,1.0011941993262332,1.183145408665635,1.1408131380054425,1.1248814308092647
1.0686574055540337,1.1512875177076916,1.0517542348775657,1.0051390969347067,1.054360574370981,1.0820668134492333,1.0330473604642898,1.570722139198944,1.0170809899449618,1.0943411157746477,1.0826975764345523,1.095933771485742
1.076879435774676,1.1394329091482498,1.049670658993282,1.0324746290196165,1.0975547706915576,1.0050717783226666,1.0398987914027,1.0030159100664349,1.012547430695916,1.0055368228836603,1.1668784933408456,1.0967640553968727
