Energy_envelope_Root_standard_squared,Energy_envelope_Root_standard_squared.1,Energy_envelope_Root_standard_squared.2,Energy_envelope_Root_standard_squared.3,Energy_envelope_Root_standard_squared.4,Energy_envelope_Root_standard_squared.5,Energy_envelope_Root_standard_squared.6,Energy_envelope_Root_standard_squared.7,Energy_envelope_Root_standard_squared.8,Energy_envelope_Root_standard_squared.9,Energy_envelope_Root_standard_squared.10,Energy_envelope_Root_standard_squared
796356.1797702678,1888547.0191069243,3214168.2087744274,,443266666.5148816,141283216.61302906,2358920.2954232944,59724886.31069282,2881272.018619729,21211018.734689582,4666535.064446854,64782167.27444153
2988700.645352431,1850099.629426696,6212540.93401369,,57337571.63272949,21032965.37547652,2058195.7539710803,59011751.07450734,4036695.6217377614,39493027.61815498,5639549.609480958,54706115.88392823
2048123.959465748,1811652.239746468,9210913.659252953,,,26015812.127429534,1757471.212518867,126002594.73956367,2497215.65900038,35201178.868321486,4331357.727145043,54987955.22366704
947685.7067777992,1698079.7652007514,12209286.384492217,,,20654169.34843059,6322152.637240899,84461340.95826344,1522318.227567094,83447257.38621458,6431271.546676767,53684452.37281619
1996464.23128372,1584507.290655035,15207659.109731477,,,31797080.780781075,10886834.06196293,106462213.57368957,758744.3148346693,56663844.29406805,7248464.156706367,59706674.31405444
1126197.0947844435,6012588.59210738,18206031.83497074,,,22045410.305176847,15451515.486684963,145195975.48096576,734934.4638492211,22102355.67768428,8478594.138177846,55395357.48375971
896160.7123331877,783246.2742138455,34429275.55024227,,,22402443.30902383,20016196.911407,174268691.94677585,711124.6128637728,25138646.84172462,6981406.520986624,55900701.21012024
3216367.733133405,1057624.2445069868,27230439.41775386,,,21591062.70154914,24580878.336129025,176585368.1467645,2005716.6006646112,13500805.386658063,11023606.720736848,67333683.4841278
2346960.337580977,1022417.0722635436,20031603.285265453,,,23413880.81801298,23887846.574644502,184812952.04182312,2959253.7220290643,13497355.487360694,4445222.911884261,52828610.56503047
3646247.772518625,987209.9000201008,12832767.152777046,,,18162203.086140364,23194814.813159987,159132689.50910527,3503113.628942251,13493905.588063322,7081611.608107982,58922527.77017832
7592220.742661421,952002.7277766576,5633931.020288641,,,15236035.2661238,22501783.051675472,177557208.70749328,4379671.449684066,13410989.729719909,2267735.7130551105,76285552.45067595
