Energy_envelope_Crest_factor,Energy_envelope_Crest_factor.1,Energy_envelope_Crest_factor.2,Energy_envelope_Crest_factor.3,Energy_envelope_Crest_factor.4,Energy_envelope_Crest_factor.5,Energy_envelope_Crest_factor.6,Energy_envelope_Crest_factor.7,Energy_envelope_Crest_factor.8,Energy_envelope_Crest_factor.9,Energy_envelope_Crest_factor.10,Energy_envelope_Crest_factor
2.5980571053219075,1.401027467675805,1.295066694871716,2.37626625025228,1.1113137477141668,9.89636776017169,1.37690264531481,1.1598060148986078,2.833325598926185,1.194590413964762,6.491271994218918,3.1404578199990003
1.991939731533925,1.3995455072125935,1.2181228459958071,1.4772417617089972,1.0543641095291458,1.2279298241493315,1.399909211204999,1.347123354072863,1.2912697658047567,1.2105375960481577,1.2935636018757186,2.753579700255796
2.00225981684688,1.398063546749382,1.6086053906861264,1.3756966871353211,1.0628711979931615,1.7520179865143166,1.9427847751426304,1.1768857761288916,1.4176976446231306,1.2264847781315529,1.4254209193746894,3.176747268367847
1.132128217254049,1.3965815862861706,1.2554440928130266,6.010813208487819,1.074702083035944,1.1183494666856997,1.903409150812688,1.130619911026522,2.364542116007553,1.242431960214948,1.8551423447706488,5.740160930211729
1.2927836599119746,1.395099625822959,1.3490361033052716,1.3746618732880018,1.0693795757483435,1.2550962807931016,1.8640335264827448,1.0239802334946,1.2273785835801845,1.2583791422983437,3.465635359215221,5.299618373257987
1.527373093429043,1.3792126395804067,1.3884690345806132,1.6126507909476588,1.064057068460743,1.120062858359799,1.8246579021528024,1.5173683875731514,1.167452697690584,1.2743263243817389,9.986283401648478,3.900728695604883
1.087736705464223,1.3633256533378544,1.4279019658559549,1.6346455025368436,1.0587345611731431,1.0757863704890824,1.78528227782286,1.0258879644321135,1.1640303350851822,1.2902735064651345,1.7496935132946625,3.656994532239061
1.1620573266955223,1.347438667095302,1.4673348971312965,2.229497956202184,1.0637588503974549,1.1412750596793355,1.7459066534929173,1.0217656286387642,1.1606079724797806,1.3062206885485297,5.1127439991270185,2.922159360552808
1.586387702416244,1.3315516808527497,1.506767828406638,1.0068356428801155,1.0687831396217669,1.1607617681585845,1.550369419648936,1.034622103435491,1.3511277433296016,1.3221678706319249,9.224870044101952,3.2521702415150093
1.479005389870565,1.3156646946101973,1.5462007596819798,1.9319162142089423,1.0738074288460786,1.1802484766378334,1.3548321858049548,1.0315589935263925,1.2389242545700327,1.3381150527153205,1.7582327394793065,13.640701550875294
1.119114626016952,1.2997777083676447,1.5856336909573214,1.5723570495992454,1.133582939282768,1.0381055175318823,3.243059398228252,1.0429078444417674,1.178084106319708,1.3540622347987157,1.7929630443840423,8.017802629758998
1.0958408034451803,1.2838907221250924,1.625066622232663,1.547916972609558,1.0887761032926973,1.0420360341111934,2.3118234206461943,1.133768651433307,2.058343033389181,1.369492424460705,1.3864532248550845,2.689362961001296
