Energy_envelope_Impulse_factor,Energy_envelope_Impulse_factor.1,Energy_envelope_Impulse_factor.2,Energy_envelope_Impulse_factor.3,Energy_envelope_Impulse_factor.4,Energy_envelope_Impulse_factor.5,Energy_envelope_Impulse_factor.6,Energy_envelope_Impulse_factor.7,Energy_envelope_Impulse_factor.8,Energy_envelope_Impulse_factor.9,Energy_envelope_Impulse_factor.10,Energy_envelope_Impulse_factor
2.337971147396769,1.7655384740735356,1.2787146085675594,1.5968268173036977,1.0549430039362249,1.2407314697167349,1.7492920764548523,1.347525391139303,1.3223928374337508,1.2462131001590488,1.306907440416275,3.3034391306503195
2.065977847236385,1.748731851522472,1.941160340272262,1.4841600253983511,1.0639123129993624,1.7625818367472708,2.747285938013032,1.1770492943232738,1.6366018103573472,1.2670749379169943,1.449229924873082,3.841213566704556
1.133471170058525,1.7319252289714089,1.4910471967382732,10.737202581758666,1.0763620098831868,1.1201388401398114,2.601645219168912,1.130744689645031,2.559862233822041,1.2879367756749398,1.8969006506531496,6.638951496991382
1.2952465382306295,1.7151186064203452,1.5548528473487635,1.6108216686660075,1.0711353619505677,1.2587187639500328,2.4560045003247923,1.0240286855953435,1.289966557705513,1.3087986134328853,3.574494673154959,5.929797007502157
1.531818261241935,1.6738644766530248,1.6144819865504556,1.7703495912473344,1.0659087140179484,1.12940151467958,2.3103637814806723,1.518593365530634,1.1753727444932185,1.3296604511908308,13.838827059510033,4.633718046437504
1.0889767488494708,1.6326103468857045,1.6741111257521477,1.8963635945052928,1.0606820660853291,1.0784298810303234,2.1647230626365523,1.0259072021396651,1.1763953795987765,1.3505222889487762,1.8503785936966155,4.30330792989761
1.1624380380003765,1.5913562171183842,1.7337402649538398,3.002682733705562,1.0658876301469271,1.1444564629416936,2.019082343792433,1.0217931695078266,1.1774180147043338,1.3713841267067215,6.076281569248667,3.432446839995385
1.589323569386596,1.5501020873510638,1.7933694041555317,1.0068593286058023,1.071093194208525,1.165795602443351,1.8030645526305635,1.03464830256387,1.3764125902155842,1.3922459644646672,32.226133896776936,3.85271404591077
1.48123842829723,1.5088479575837437,1.852998543357224,2.954058557450572,1.076298758270123,1.1871347419450085,1.587046761468694,1.0315823438742011,1.2648416585250244,1.413107802222613,1.8353886960632937,17.20002903153696
1.1194931511652175,1.4675938278164231,1.912627682558916,1.788596843578411,1.1376119530006357,1.038890263617927,4.222243244800603,1.0429540313005186,1.2291045903453572,1.4339696399805582,1.837494788544112,9.503221287340413
1.096540156081412,1.4263396980491028,1.972256821760608,1.759939403632607,1.0935277350774837,1.0427494812296867,2.921245730749844,1.1338499825788018,2.430701016929334,1.4682329792001914,1.555829969300944,3.1484189038868915
1.135397698278611,1.3850855682817824,1.9638293502619228,3.696546543245952,1.1543298740697416,1.1506725585187751,1.620248216699085,1.0597447934416953,1.666310267031642,1.5024963184198246,3.0444247100117265,3.0474392707944014
1.0810286650467928,1.343831438514462,1.9554018787632377,1.5360137585176623,1.2151320130619998,1.385157924468555,3.255823698372976,1.063046143159045,1.4504677614878052,1.4655236297622976,2.4855076870355206,4.069024416490053
2.14374709225246,1.3025773087471415,1.9469744072645527,2.582761805861768,1.2759341520542578,1.190363331923488,4.891399180046866,1.0219558018848625,2.3448634558663626,1.4285509411047703,3.124030386988334,3.184919580973765
2.1837310881725123,1.2613231789798214,1.938546935765868,2.5920093973257976,1.3111922845425,1.1793676197367533,1.9966075837205564,1.145541541619673,1.6474265774931691,1.391578252447243,2.7497120849553167,3.655977215690468
1.0482189619968896,1.2304297957380754,1.9301194642671824,2.919135118566027,1.1912366810182848,1.3249505509352837,1.5244704687289188,11.876631694779656,1.462719704205254,1.354605563789716,4.3054720983545725,4.982132230614204
1.6166314867501452,1.254209490510762,1.9216919927684968,3.53263716073404,1.228367592947018,1.4705334821338134,1.5575724255705905,1.0806437709249923,1.242447117874171,1.317632875132189,1.5295582903919196,4.691811242501123
1.323627744811411,1.277989185283449,1.913264521269812,5.529968521894388,1.8973000902441344,1.6161164133323436,1.8851815392056737,1.0693138688469912,1.5261669044787842,1.2806601864746618,2.839671621789861,31.23055530535486
2.140134815501963,1.3017688800561358,1.904837049771127,4.931136834366508,8.37571687188483,1.8387630560045576,1.5175995470433037,1.0411191732693177,1.2889721234792304,1.2436874978171346,1.413430333913588,3.311693856241454
2.067445858589524,1.3255485748288227,1.896409578272442,1.2697905839164558,1.088271982459482,9.127311910452985,1.5432483364471818,1.071411379049256,1.4492051647897362,1.2067148091596076,5.856523550043241,3.966457424205831
2.0390516139457624,1.3493282696015094,1.8879821067737568,4.5750636286598265,1.0669394096848028,1.1932290784389243,1.3549551019512454,1.6726769801142545,1.540330193449716,1.1697421205020806,2.728018146492391,4.951507949792643
2.6810173471161995,1.373107964374196,1.477687448693075,19.260058137132493,1.0610458280907362,1.1703480728299238,1.5389460862815088,1.050435556562105,1.4577230670865802,1.1327694318445534,5.661169279293842,3.14808923274477
2.427932831521128,1.396887659146883,1.4670642336934243,4.524937128296469,1.1810976637533055,1.3175816660409407,1.722937070611772,4.979359838520789,1.485901377759278,1.095796743187026,6.972193026953623,2.777369515808267
