Energy_envelope_Root_mean_squared,Energy_envelope_Root_mean_squared.1,Energy_envelope_Root_mean_squared.2,Energy_envelope_Root_mean_squared.3,Energy_envelope_Root_mean_squared.4,Energy_envelope_Root_mean_squared.5,Energy_envelope_Root_mean_squared.6,Energy_envelope_Root_mean_squared.7,Energy_envelope_Root_mean_squared.8,Energy_envelope_Root_mean_squared.9,Energy_envelope_Root_mean_squared.10,Energy_envelope_Root_mean_squared
5629003.6508231815,2678847.5611133305,1975922.1835819285,17052859.656638272,7212742.687564568,5425554.424583015,37532225.8932427,7203132.72338258,3755284.666072204,2417996.943572119,677821.652698783,4169502.9395891954
4619834.206648915,2601089.9109044573,2361429.107463883,41403164.601781696,7280437.259210291,4794176.654224374,23443625.061900645,7077771.882742225,3456769.165219837,2361614.9401755594,400261.938807498,4181220.176833701
4133497.053817468,2523332.260695584,2746936.031345837,40828046.39122742,7324692.425353833,4982822.493606293,9355024.230558584,6931764.07773869,3158253.66436747,2305232.9367790003,489058.6319502778,3697172.958059492
3841515.862553096,2445574.6104867104,3132442.955227791,149972107.77727732,7368947.591497373,5167893.987729713,11569099.528612178,6786320.389962442,3575733.833698259,2248850.9333824413,8401425.90304011,3267299.2164374352
3588282.559743653,2367816.960277837,3517949.879109745,35514646.912471786,7413202.757640914,5352965.481853135,13783174.82666577,6659266.317981089,3024035.514432066,2192468.9299858822,770390.3563719807,4018668.5486130174
3479599.789499294,2290059.310068964,3903456.8029916994,47840064.94831378,7734176.580260377,4980310.164509153,3544558.2813324854,6514998.461982825,2743006.211635449,2136086.926589323,536888.762407042,3971762.786499848
3282201.6249391823,2212301.6598600904,4288963.726873653,64019740.032060005,8157321.393549719,5129808.841633512,8800381.646023437,6414125.525204391,4408313.465665315,1954446.1821880632,335644.7004059625,3305496.427856474
3040782.810108809,2134544.0096512167,5808044.902545229,75598375.4896842,8381997.66695653,5450263.229873297,14056205.010714388,6327599.302923741,5538628.803755363,1772805.437786803,1858314.091510925,3118294.656166931
2799125.22218502,2056786.3594423432,7327126.078216804,6885776.724542998,8606673.940363342,5959207.287153562,9905858.036237892,6239546.598904992,3011431.91010338,1707039.3663357592,543421.3841117006,3268920.1954431734
3720343.470904872,1979028.7092334696,8846207.25388838,68435593.80161795,8831350.213770153,5680991.971488468,5755511.061761396,6132373.833150483,9592887.792230442,1641273.2948847152,423116.3722016767,3105872.5729779983
3356012.030289484,1901271.0590245964,10365288.429559955,20602646.68855769,9449960.077377591,7016962.069333864,1772909.144117847,6015185.936812138,4129810.688388005,1575507.2234336715,251879.74412914112,3569795.4416972795
3091868.350523025,5145260.437657201,11884369.605231533,8314857.920772521,9975237.817726675,7474767.587692561,1533030.756185873,7814579.450814513,3565443.35181602,1509741.1519826276,174131.28886281868,3520697.887404708
2977914.627452356,5251420.555862246,13403450.780903108,12278962.9440407,10817944.169443736,7932573.106051257,1257438.268295345,5998366.5142259495,3363619.004367813,1443975.0805315836,470253.2495906125,3669122.319979756
2782254.1405131603,5357580.674067292,14922531.956574684,7366901.243046199,15587550.660466876,8390378.624409953,1277602.2222069104,5895319.713265529,3189816.169839485,1378209.0090805397,3143168.864210042,4674215.295485116
