RMS_envelope_Clearance_factor,RMS_envelope_Clearance_factor.1,RMS_envelope_Clearance_factor.2,RMS_envelope_Clearance_factor.3,RMS_envelope_Clearance_factor.4,RMS_envelope_Clearance_factor.5,RMS_envelope_Clearance_factor.6,RMS_envelope_Clearance_factor.7,RMS_envelope_Clearance_factor.8,RMS_envelope_Clearance_factor.9,RMS_envelope_Clearance_factor.10,RMS_envelope_Clearance_factor
1.386428884778533,1.0572578179114749,1.3924749738667994,1.3537908065057591,1.4655938774302528,1.6192927307405494,1.0663875071382969,1.2410156627661488,1.2933721613536906,1.0173221205644971,2.027097261203646,1.6732552255824076
1.366941255948353,1.057302536691792,1.4217385876557274,1.3094535003243315,1.4448247254640725,1.2745975208627829,1.0857361537764494,1.2661943423339677,1.832093477139109,1.011335927487598,2.2467494865319466,1.6797375474568383
1.3167001562956246,1.057347255472109,1.451002201444655,1.3881894166668136,1.5376182353174468,1.49288825779763,1.1050848004146017,1.2850603613851832,1.4937139413195213,1.0223726905653594,2.462211434033724,1.9548364479654008
1.3484723159257448,1.0573919742524265,1.480265815233583,1.3360942703704313,1.497105827321682,1.5288065320533704,1.124433447052754,1.0887582664140916,1.239224485104962,1.0334094536431206,2.30499211750732,1.7625672808179085
1.3670677187758984,1.0574366930327432,1.509529429022511,1.228889194124452,1.4722776523813783,1.6170332095385045,1.1437820936909062,1.2066396670300863,1.9509349088677568,1.0324343200811137,2.1102289044488955,1.827262087073218
1.2870484923504275,1.0574814118130604,1.5387930428114387,1.3897455748080236,1.5035908878276354,1.7052563003985404,1.1631307403290585,1.2978067299552172,1.617441593951348,1.031459186519106,1.7865144079680968,1.8041286856233285
1.2986076665451338,1.0575261305933776,1.5680566566003666,1.7422253646905903,1.4786492756872154,1.9103453869348108,1.182479386967211,1.2590696773835874,1.5061966441248482,1.0304840529570989,2.5124044795144385,1.9645419310947283
1.3145638994871671,1.0575708493736946,1.5973202703892944,1.595862529416871,1.6016011387738485,1.680413279076051,1.2018280336053633,1.2203326248119577,1.388882905090585,1.0295089193950917,1.5804118225041592,1.719582005020064
1.2657527106627062,1.0576155681540118,1.6265838841782223,1.444536415855918,1.4338262718735142,1.5109629090345378,1.2211766802435156,1.285136136397742,1.867643434377683,1.0285337858330843,1.2408138540863785,1.8740594528758936
1.303309169185238,1.0647158718912342,1.6558474979671505,1.3574349270828534,1.6370234968581847,1.6419703182239738,1.2405253268816678,1.4575761496905657,1.487045483215836,1.0275586522710771,1.4669122406713428,2.0474809987559723
1.2794110495736823,1.0718161756284563,1.685111111756078,1.537413418142093,1.541726468217161,1.624385889433977,1.235780446269671,1.428637881268864,1.1934671600214108,1.02658351870907,1.3420279211337098,1.990004155960457
1.2798026158459703,1.078916479365679,1.714374725545006,1.406248302847042,1.539003781074644,1.5142186213786577,1.2310355656576748,1.3526994576803046,1.3293426500392025,1.0256083851470628,1.3277498912645294,1.790502150889259
1.2741855272006737,1.0860167831029013,1.6525269742461313,1.391932335996869,1.53494077200925,1.4913656607820638,1.2262906850456785,1.168395583769983,1.99299431442692,1.0246332515850556,1.3409796708310149,1.7919779607931
1.3311606896143773,1.0931170868401234,1.5906792229472566,1.469655217378174,1.580166876494102,1.4867744417814837,1.2215458044336818,1.8160570858553848,1.313265705709897,1.0236581180230482,1.3763613053412695,1.7072851299859944
1.380488287622894,1.1002173905773458,1.5288314716483815,1.4741320339316373,1.4772844381183134,1.3891565836376587,1.2168009238216853,1.5638620444488065,1.0753902689291666,1.022682984461041,1.5169096794811563,1.6491049990142086
1.436666844851615,1.1073176943145682,1.466983720349507,1.5018683443850225,1.7063166788236297,1.5028985797643268,1.2120560432096887,1.2884043658139168,1.4311308854088685,1.0189067858994931,1.4460789958111415,1.657418439096771
1.4098215273464574,1.1144179980517903,1.4051359690506324,1.4546671423251902,1.5336298937324633,1.6164222889220108,1.169705611178989,1.0016435562111914,1.5269300276359856,1.0260126724474516,1.4153652482173236,1.7500665022815454
1.4556746795522644,1.121518301789013,1.3432882177517578,1.5734967845160546,1.5561717809857158,1.6248555939406473,1.040324711815101,1.2065565725006402,1.1024564171349889,1.0331185589954102,1.332177304406406,1.707975034661548
