Energy_envelope_Root_amplitude,Energy_envelope_Root_amplitude.1,Energy_envelope_Root_amplitude.2,Energy_envelope_Root_amplitude.3,Energy_envelope_Root_amplitude.4,Energy_envelope_Root_amplitude.5,Energy_envelope_Root_amplitude.6,Energy_envelope_Root_amplitude.7,Energy_envelope_Root_amplitude.8,Energy_envelope_Root_amplitude.9,Energy_envelope_Root_amplitude.10,Energy_envelope_Root_amplitude
3830501.722425598,1869433.4805385144,2336206.246777608,149966815.73802176,7345088.8926101085,5134506.677339008,8774427.95361156,6786062.769343033,3478781.5395496804,2087031.635298609,1329937.272762895,2485225.282058565
3580213.5741426167,1860591.370272013,2611491.667633056,16079832.691632688,7387446.506924089,5306883.166658483,10091513.70504327,6659040.267299835,2928839.966606004,2020112.791442523,722479.9583927294,2823414.089358693
3477834.152236874,1851749.260005512,2886777.088488504,38137459.50360881,7693170.954554437,4974665.779437939,2341788.6749633146,6514565.637552048,2562069.343738774,1953193.9475864368,517989.1293281174,3040543.971938622
3279050.7902467777,1842907.1497390096,3162062.509343951,50966328.90454978,8104075.526529531,5124536.323825303,6312561.865479201,6413432.65455982,3210588.817130824,1753644.2175426092,273003.1571222157,2557449.62753146
3030466.629881389,1834065.0394725085,3909079.741539523,31144277.84457605,8300189.575721255,5408655.929217179,10283335.055995086,6327316.89207063,4870288.823341352,1554094.4874987814,1228879.0895513832,2440923.747011571
2791606.141582256,1825222.9292060072,4656096.973735094,5596176.943078115,8496303.624912977,5607488.904849284,6716002.604040051,6239321.4392473865,2908489.5212685163,1506342.033793258,495976.8323893461,2600753.395764589
3223178.9981762245,1816380.8189395056,5403114.205930666,31264953.07248325,8692417.674104702,5529747.416652011,3148670.152085015,6132060.813224424,6204544.471222561,1458589.5800877344,403905.9956678441,2515674.1219053483
3279447.659478495,1807538.7086730043,6150131.438126238,12498877.652038757,9122981.92360237,6850730.945263339,1431411.613616876,6013138.350833311,3667169.3490754776,1410837.126382211,235428.4279248581,2891821.1819388308
3090675.2863531583,4946404.85907129,6897148.67032181,4916264.536949155,9707275.320870075,6695476.964691701,1333625.622706115,6233880.105421863,3366316.261146581,1363084.6726766876,115433.28408360745,2844809.140577168
2961486.296607667,4955600.095449239,7644165.902517381,5595307.132303398,10407086.839482674,6540222.984120064,1004975.7534737566,5997226.043011292,3271570.872091143,1315332.2189711642,431462.9198271897,2877824.440309649
2777020.3933605542,4964795.331827187,8391183.134712953,4258154.9332406,13335364.847676337,6384969.003548427,700864.3073060433,5894867.594789011,3020035.8640312413,1267579.7652656408,2037925.3314168632,2936950.8485815544
2550133.152030368,4973990.568205136,9138200.366908524,23255357.266901568,8640629.141340243,9254617.426352637,955073.181087384,5799253.495129221,2553051.711407721,1219827.3115601172,5978792.373588495,3535423.140536582
2329288.757542288,4983185.804583084,9885217.599104095,11198694.05923119,8539103.826003423,4692330.101978989,972962.1332025108,5675630.239034272,2643167.113629924,1172074.8578545938,1606522.2767578615,3520811.4745870507
2151240.01779197,4992381.040961033,10632234.831299668,16966283.81405459,8966989.419717109,5162413.211360869,1020221.2975847044,5566237.380140395,3310988.505847222,1124322.4041490704,267343.9428815048,3916596.2560095154
1928964.9381378705,5001576.277338981,6574648.283143679,8038665.808944016,9379583.682569982,5945138.430038009,845858.1225249458,5516420.104938462,2560476.408915485,1076569.9504435468,1029908.8459948464,4287963.817725973
1742968.709142776,5010771.51371693,6140253.397215132,925177.7021014116,10393214.595221013,6594088.84278606,671494.9474651872,5423364.905892755,2126107.684771927,1028817.4967380234,2335871.277190629,3987214.518495222
