Duration_envelope_Central_moment_6th_order,Duration_envelope_Central_moment_6th_order.1,Duration_envelope_Central_moment_6th_order.2,Duration_envelope_Central_moment_6th_order.3,Duration_envelope_Central_moment_6th_order.4,Duration_envelope_Central_moment_6th_order.5,Duration_envelope_Central_moment_6th_order.6,Duration_envelope_Central_moment_6th_order.7,Duration_envelope_Central_moment_6th_order.8,Duration_envelope_Central_moment_6th_order.9,Duration_envelope_Central_moment_6th_order.10,Duration_envelope_Central_moment_6th_order
511868793430286.1,17078766662858.586,437364250813.5613,338282406916616.2,243076411385451.3,41849934636496.32,208229259718154.4,7683733116344.615,1353160614273.3704,32985495279743.97,16582747913457.014,489053777193195.2
105062424676573.9,11460261124873.18,12409826305.939238,15209592955304.104,14115068.998552611,6094417870206853.0,7.932947480929755e+16,745590925676.9552,828687941151357.2,29407791573111.24,14661971115844.717,398750368443382.1
4853236125681.0205,5841755586887.766,384626954.0959425,3161906103210502.0,8293036013.408837,318453456070525.06,6.34867030648685e+16,4159801355841.0366,178256706175225.4,25830087866478.508,12115250794597.002,479650738592944.5
4029098242365.0825,223250048902.3621,1094167614315.9264,2803490224118.852,5815122296.931919,3137056385836.841,4.764393132043946e+16,560021789680.9625,86682654685890.39,22252384159845.777,5707081525236.263,227121422420369.28
2728577928592.957,213090420847.6116,939570994136.3126,2230926445189867.5,3337208580.455002,33402533573.131348,3.1801159576010416e+16,14373394227729.816,18044741165510.24,18674680453213.047,103869241480571.62,1419575294851509.5
25540889858429.41,202930792792.86105,784974373956.6987,4666374768128652.0,859294863.9780836,71956316907747.86,1.5958387831581368e+16,1120696205875.3928,25545541065006.46,15096976746580.32,40186720308676.48,865160678982813.5
667166459145.8107,192771164738.11047,630377753777.085,9924718513782766.0,574729484.3169246,257570339994296.8,115616087152320.58,1219272078716.057,33046340964502.68,11519273039947.594,36529635308191.2,949736451419259.4
5824373252569.585,182611536683.35992,475781133597.4712,341599640706.68115,290164104.6557654,158861405371367.25,76057063884250.31,949901782227.1112,25326018838390.586,7941569333314.859,1006751579645305.6,758896812161848.8
85943890341377.52,172451908628.60938,321184513417.8574,350582125005678.3,5598724.994606346,60152470748437.67,36498040616180.06,1735569138952.7922,85891572790285.1,4363865626682.133,35508271752598.5,1218441741215489.2
4423441172307.399,162292280573.85883,166587893238.24353,680814371995481.1,3826463107.486889,1753593115422.4224,157443898396474.75,252660960593.9272,10310473497180.26,786161920049.399,390090212749.8325,2073615308142939.2
40453780470131.59,152132652519.10828,11991273058.629911,8638302930342891.0,718557148.7051725,54971525216.2611,133530133691335.62,4206852445849.783,722224766512298.9,245239195685387.2,2472991896587.892,1709785884358606.0
15594681565946.834,141973024464.35773,1846530508194.266,1.643202532715676e+17,42261193220.54917,6456159205478.153,109616368986196.5,5454085343790.445,518811172602670.5,489692229450725.0,224636203296837.7,287956851208868.44
1008520117863.2184,131813396409.60718,3681069743329.9023,1892916877334.3884,83803829292.39317,304221627197145.7,274167776719341.03,7046306617216.203,13673173613270.06,448890003696625.6,13215056994586.154,1880500987017398.0
12545735120005.3,121653768354.85664,5515608978465.538,2.598102688457732e+16,125346465364.23718,671593876142.488,438719184452485.6,15318547045444.314,1095481787919027.6,408087777942526.1,5271320174721.209,1522957895086516.2
91761650186166.94,111494140300.10608,7350148213601.175,1375461402231276.5,88550808462905.64,161462517595.1579,183950495040582.56,18469059797002.883,1001089512182612.4,367285552188426.7,746749704396.5094,1252266128746145.0
10339751072916.822,37616781846.11144,9184687448736.812,2052931971773108.5,4972224461976.939,108150814905.66742,162819501943245.06,153498801350048.53,214120085689252.1,326483326434327.25,11861511460194.518,936243003246629.0
325908907588220.9,1173552212541.9614,11019226683872.447,3968257201922261.0,21474975863.23241,54839112216.17694,15278343421.003525,5022203969323.284,44605309464553.27,285681100680227.8,137774180908032.9,1392141624314088.5
5736342024800.03,2309487643237.8115,12853765919008.084,247419334952473.7,145604260747622.94,1527409526.686476,2005398612071.412,6587230008724.806,396234004947416.0,244878874926128.4,472049192368926.7,2073415769230596.8
14111430946767.408,3445423073933.6616,14688305154143.72,1.6391818241198016e+16,6320685463883072.0,250149742083325.6,75021325173609.17,2622355177025.893,94342527883539.8,204076649172028.9,3426184.47401627,6855528149863231.0
14661430073309.516,4581358504629.512,16522844389279.355,1356042202248204.2,2083338770651.2969,8.117363641352686e+16,727888267.1945456,406578414324.00464,10333817092775.195,163274423417929.5,1038302729730296.8,3106687166676480.0
39851763115528.63,5717293935325.361,18357383624414.992,3.959972762597882e+16,4170538084391.557,2936545089184.448,5452586467614.817,19506792231987.383,6919916093287.539,122472197663830.06,25429711086077.715,3387240829734684.5
3249046782851.389,6853229366021.212,8417893846.545215,6.327423037000863e+16,8112514085.651155,14648440629902.54,3647703212777.207,345839860732.05536,51958772151238.65,81669971909730.62,407919366827281.0,3839967291081241.5
47826812360408.23,7989164796717.0625,13841345811.095606,120859973379957.06,252867280142278.0,393698275428.75256,1842819957939.5967,39180208653821.125,192356699936.50723,40867746155631.19,2654446154300104.0,4086277992745597.5
32612265961721.83,9125100227412.912,19264797775.646,1161336771105786.2,286736890200752.6,44570393194439.62,37936703101.98585,10295631873649.191,531056660888230.3,65520401531.721344,49152172937783.36,8094690604385722.0
7219499735836.813,10261035658108.762,24688249740.19639,962447105782330.6,537064299381.9837,8.896176229420502e+17,742459005882576.5,85439516895352.97,586110129495593.2,9368642747140.371,2375250283703.8643,2159672813018398.0
79371225545778.88,11396971088804.611,30111701704.74678,136988319593016.0,15444790121652.07,2919363765040284.5,1484880075062051.0,27564762083540.91,328036991855026.25,18671765092749.023,49541520321325.54,4897553500419087.0
208537084255353.12,12532906519500.465,35535153669.29717,1580585892388327.8,709555475490.4703,858103428625001.4,1237427552421149.0,11051933024872.176,43103475679023.97,17816289795289.367,52565371683312.95,8737470218372035.0
