Counts_envelope_Central_moment_3rd_order,Counts_envelope_Central_moment_3rd_order.1,Counts_envelope_Central_moment_3rd_order.2,Counts_envelope_Central_moment_3rd_order.3,Counts_envelope_Central_moment_3rd_order.4,Counts_envelope_Central_moment_3rd_order.5,Counts_envelope_Central_moment_3rd_order.6,Counts_envelope_Central_moment_3rd_order.7,Counts_envelope_Central_moment_3rd_order.8,Counts_envelope_Central_moment_3rd_order.9,Counts_envelope_Central_moment_3rd_order.10,Counts_envelope_Central_moment_3rd_order
476.7228965849656,-1.453382868600205e-13,-885.6115160861634,45962.726986474416,-99.85796993864456,0.0,55121.3320948483,622.4299971984855,-390.9216648543346,-6337.488286930447,1886.909747098124,3228.2623157929856
629.8645324094373,-2.160695864652305e-13,-734.6114470766825,36951.04733363933,1.2079226507921708e-13,-4386.303312928766,27949.301217986576,-144.1042104106135,38.03277804113668,-4991.562000847833,-1709.76837445976,4888.188303455164
263.00561133642327,-2.868008860704405e-13,-583.6113780672014,28647.998955859865,-1.5242955584695628,-8855.17976701982,777.2703411248586,-123.5027710450548,466.9872209366079,-3645.635714765216,-618.8853186416769,3307.141912853751
358.439011268127,-3.5753218567565053e-13,-432.6113090577204,0.0,-3.0485911169392463,-6997.329281597797,-795.1596167219735,-70.55765453863275,-1307.605274534165,-2299.7094286825995,499.2884716255726,3397.9288871221097
2250.7525456714347,-4.2826348528086054e-13,-281.61124004823944,90.29249529799016,-4.57288667540893,-5139.478796175774,-2367.589574568806,-32.32235439771114,8506.945530941664,-953.7831425999866,-2676.1351820637906,4894.749677020216
612.631987015582,-4.989947848860704e-13,-130.61117103875836,-7579.980530022692,7.615158353735217,-2.501110429875553e-12,10033.464449614065,61.27200440465107,-1040.3166333170263,392.1431434826295,850.5028574217449,8064.194250364705
1075.6383790229638,-5.69726084491281e-13,20.388897970722507,106648.59635428824,-1.1013412404281553e-13,-121.95530325719244,-1314.765039810889,-334.5290668437008,7979.58797547086,-3197.340160931079,-24.25639082559021,5715.266231349298
3223.80160244537,-6.404573840964903e-13,18.350008173650664,628211.0566995116,17.44466285621923,-654.2426957948691,-12662.99452923584,-470.0788303194653,-18085.531025497912,-6786.823465344787,139.70630725747466,3271.9123180268243
185.07732346548704,-7.111886837017003e-13,16.311118376578825,0.0,34.88932571243858,-5422.6729985723805,2514.0761041516616,-599.9122273199256,1044.912030252509,-6221.254843232721,2068.953576746253,6696.294445148357
2195.055414370583,-7.81919983306911e-13,14.272228579506985,87886.30402363218,52.33398856865792,0.0,17691.146737539166,-1313.63890920076,9284.66121649971,-5655.686221120656,694.2668762400373,4472.822788930142
4169.409987455663,-8.526512829121202e-13,12.23333878243514,35939.86444464593,-6996.58846026309,0.0,13757.426340829768,-1457.3965704989614,13014.091399102655,-5090.11759900859,169.6142180326055,2610.595195348853
-549.9421350803544,9.379164112033322e-13,10.194448985363298,2461.493552045631,-3.183231456205249e-12,6.868579779014301e-14,-133.0128641461688,417.2475571853335,-13087.168957373522,-4524.548976896525,4982.267719184883,-289.00837158625194
1850.015267397012,5.056072519724505e-13,8.155559188291457,31321.806878971227,1.8189894035458565e-12,1.3737159558028605e-13,-1.1368683772161605e-12,-405.5875261531127,-5102.519449052855,-3958.98035478446,-2278.4935562486257,1284.7317484080154
1200.7887978551726,7.329809274156819e-14,6.116669391219617,12257.44168799134,-4848.31615315082,2.0605739337042905e-13,2.486899575160351e-13,-587.2675720985767,20823.55717203173,-3393.4117326723936,15192.77298514746,-2476.8140772020497
2008.168169257,-3.59011066489314e-13,4.077779594147774,52515.85343072607,18113.984273409314,266.71711591669373,8130.987965308322,-300.8285940687676,-18387.169201561428,-2827.843110560328,-1.2505552149377765e-12,3898.174653092774
1661.1512574803912,-7.91320225720196e-13,2.038889797075932,5243.649888387241,-270.8720469752272,25284.94691482757,0.0,-31.621174548780104,1192.4991963836928,-2262.2744884482627,8207.986772149314,-1284.0842490849654
