Duration_envelope_Root_amplitude,Duration_envelope_Root_amplitude.1,Duration_envelope_Root_amplitude.2,Duration_envelope_Root_amplitude.3,Duration_envelope_Root_amplitude.4,Duration_envelope_Root_amplitude.5,Duration_envelope_Root_amplitude.6,Duration_envelope_Root_amplitude.7,Duration_envelope_Root_amplitude.8,Duration_envelope_Root_amplitude.9,Duration_envelope_Root_amplitude.10,Duration_envelope_Root_amplitude
564.0494391968822,238.71423957701057,368.6385704812794,281.81647206821526,149.47633919162053,216.98488548928032,643.3504243050207,393.2757417077431,882.8590705526697,592.710095778429,322.8900924175851,650.6503821001243
423.1706852244085,220.65239958139,329.720303951589,577.8913563281732,179.51927236451806,289.2806056480884,621.3600044805314,363.7082491815239,607.2249402459624,581.6830187335958,339.5767655055921,638.3815851718745
355.2353582656725,202.59055958576943,337.7438774429368,807.3300200731692,184.66143599418191,321.46974433628867,599.3695846560422,368.1497566320831,607.7470552097196,570.6559416887625,339.1774620750191,573.5387602118428
319.9918644482769,211.73612756288588,332.32379050047297,421.4329257944352,189.8035996238457,409.5900226911908,577.3791648315529,365.857976563843,615.8267762759899,559.6288646439292,202.19713918542445,573.2663001552527
309.4856259659651,220.8816955400023,326.9037035580091,582.5501298309072,194.9457632535096,406.5606267548484,555.3887450070637,365.332522244329,606.3883418810082,548.6017875990959,260.93535903907554,570.063279590927
237.5148072446497,230.0272635171188,321.48361661554526,504.9159268214948,205.72077818320355,423.78310613151416,533.3983251825744,358.9241559348276,596.9499074860264,537.5747105542627,262.4398885942969,576.8515928235207
271.66561220897177,239.1728314942352,316.0635296730814,1319.3283516909294,216.4957931128976,386.8731237234964,612.5700396959389,361.7738079425584,703.9260917055689,526.5476335094294,412.5794250080476,555.7078490906746
319.70328467794604,248.31839947135165,310.64344273061755,421.24007063801633,227.27080804259148,349.9631413154786,691.7417542093035,331.8145816359763,636.9009334265525,515.5205564645961,432.13918031045193,558.3353253486719
277.0050554975821,257.4639674484681,305.2233557881537,917.379843977478,279.53003080674,472.46294244384745,205.7270368279923,327.44378572579683,368.3260997320961,504.4934794197629,264.2118738379431,590.0761316778464
231.2007064617188,266.60953542558457,299.80326884568984,675.4540327679441,359.013656686924,364.0874953182084,563.671887491596,350.6806154381552,487.5895235919908,473.9112083929599,193.9217524960741,568.2974846340912
