Energy_envelope_Central_moment_5th_order,Energy_envelope_Central_moment_5th_order.1,Energy_envelope_Central_moment_5th_order.2,Energy_envelope_Central_moment_5th_order.3,Energy_envelope_Central_moment_5th_order.4,Energy_envelope_Central_moment_5th_order.5,Energy_envelope_Central_moment_5th_order.6,Energy_envelope_Central_moment_5th_order.7,Energy_envelope_Central_moment_5th_order.8,Energy_envelope_Central_moment_5th_order.9,Energy_envelope_Central_moment_5th_order.10,Energy_envelope_Central_moment_5th_order
5.131602750060456e+28,-13993784353512.729,1.066854626282782e+32,4.649652921871969e+37,1.1989846799303578e+27,1.804952107372157e+29,-2.631786462481316e+34,8.132079055099548e+23,-1.0489104808891304e+29,2.4816105046283144e+28,4.9466242873558544e+27,1.207235888372533e+35
1.2889437260349683e+23,-16792541224215.271,1.2807001073746791e+32,-1.4797406064013933e+36,9.80729213006732e+28,0.0,1.217584818688966e+33,-2.0926242053224923e+24,-5.109567217319228e+29,2.6701518240803114e+28,4.862421951766782e+26,6.165676979499568e+33
-8.36190444856634e+25,-19591298094917.816,1.4945455884665765e+32,-1.193131311582519e+37,-774056185954304.0,-1.1774072174496862e+26,-1.2461186921957989e+34,-6.935955269032955e+26,3.455511213866628e+32,-3.481734298303732e+27,-1.1607046895595784e+26,5.921273420776548e+31
-4.967504921499932e+26,-22390054965620.363,1.3450910296197712e+32,4.077475152405249e+39,1.7532833211210878e+30,-7.939277601950256e+28,-2.6139958662604943e+34,1.253098512794581e+25,-3.204967309725272e+31,-3.3664986837410578e+28,1.8281764154571229e+31,3.875619224148604e+31
-6.315080149377631e+26,-25188811836322.91,1.195636470772966e+32,1.080863910568919e+17,3.506566642242177e+30,-1.807516792291492e+31,6.212033519367862e+33,-7.06231160539979e+24,5.463631388803141e+29,-3.0859571267626363e+28,5.061065483791027e+27,5.561490589872633e+31
6.963407422843777e+31,-27987568707025.453,1.0461819119261608e+32,3.657060029870084e+38,5.259849963363265e+30,0.0,3.856402570134067e+34,2.6877196033421623e+22,1.4964710011852849e+34,-2.805415569784215e+28,4.196074439344167e+27,1.838478219543276e+31
6.744772185089826e+30,-30786325577728.0,8.967273530793555e+31,1.0277767219980142e+36,6.059738028396204e+31,-5629499534213120.0,4.748606793384948e+29,-7.727775781611338e+27,1.0501400841314063e+31,-2.5248740128057933e+28,5.431524050824911e+25,8.571688105165298e+31
-4.539154071803371e+25,2111062325329920.0,7.472727942325503e+31,1.5680868363105709e+34,-5.62949953421312e+16,-3752999689475413.0,-1.2355092642347637e+28,4.217225416681833e+36,5.797715469176118e+29,-2.244332455827372e+28,5.557751674857781e+26,1.3262825603733876e+32
2.5804554829201323e+28,-3.213259076239015e+16,5.978182353857452e+31,3.987938326083566e+35,1.5312238733059686e+17,-1876499844737706.5,0.0,-1.4563503801123293e+26,1.43730589702174e+28,-1.9637908988489504e+28,-2.701034832425477e+25,2.4037349029909502e+32
-1.886676063514971e+27,-6.637624385011022e+16,4.483636765389399e+31,2.459671305856758e+35,4.1318604613434273e+34,0.0,140737488355328.0,1.9591668709445057e+25,1.2299093029059098e+30,-1.6832493418705289e+28,2.299810669979117e+32,4.936446591502098e+36
