Rise-Time_envelope_Central_moment_6th_order,Rise-Time_envelope_Central_moment_6th_order.1,Rise-Time_envelope_Central_moment_6th_order.2,Rise-Time_envelope_Central_moment_6th_order.3,Rise-Time_envelope_Central_moment_6th_order.4,Rise-Time_envelope_Central_moment_6th_order.5,Rise-Time_envelope_Central_moment_6th_order.6,Rise-Time_envelope_Central_moment_6th_order.7,Rise-Time_envelope_Central_moment_6th_order.8,Rise-Time_envelope_Central_moment_6th_order.9,Rise-Time_envelope_Central_moment_6th_order.10,Rise-Time_envelope_Central_moment_6th_order
367086920503.1682,16179381.076980771,36888581762.11884,28597831112353.1,1022543.001231544,11788543.049255837,984300220978.0366,3450638100.0798755,2990234.647118041,84969350650.89227,63697585663.14632,167297212859888.8
20605289155460.133,31729191.74212505,30740717284.82513,222331555.0414448,1109289.9151626597,21510417803.494827,493463939407.3557,4104685574.530633,745395099.1215346,68363164019.56473,2194287546284.8723,145860835700681.47
218405658.44269428,47279002.40726932,24592852807.53144,1085195052.2864342,739537.4004738573,2134115744.1800325,2627657836.6747155,3922282539.087456,1487799963.595951,51756977388.23715,187559412902.7828,223401820036400.03
2320772546.435096,62828813.0724136,18444988330.23773,10890448.11642774,369784.885785055,1465183289.0422552,1358019939.696767,188702372400.8546,132953879.68622927,35150790756.90961,5876496194288.171,138349629835994.95
1555914017.0217576,78378623.73755789,12297123852.94403,725722.2603847433,32.37109625265197,796250833.9044777,88382042.7188187,5004533355.487517,578865858.6593173,18544604125.58206,2447836487912.505,403520963562173.4
1352919369.7215612,93928434.40270215,6149259375.650322,44003800.82289898,46205785.4175218,22558537.75373129,158076178.9070182,2074301547.981037,734517277.8137078,1938417494.2545283,13794476.044162288,107056821318130.48
1397931420433.4993,109478245.06784642,1394898.3566227944,743670878.6686481,26.273083664014983,43527390.581911646,79644959.19264694,14167421412.853329,286560328168.0377,969208818.7211254,1327053026.2423177,503511609423943.7
504285112.7466901,125028055.73299073,1276788.07090534,138553724.6882292,741347748.5333923,65498404.22755443,1213739.478275647,112505747162.43938,2885336183.3011885,143.18772241417864,5487282240.539809,47018369554502.31
483558245.51836616,140577866.39813498,1158677.785187886,457446201.96556985,1482695470.793701,2093237455.596008,288000695.2707904,1265898381143.2234,1513590257.9044263,1823101.826898052,87583601.55894981,375667460169829.75
1000552658.197368,156127677.06327927,1040567.4994704316,715647275.5622838,2224043193.0540094,251176303.447294,574787651.0633051,2519117988116.417,24024876.350382097,3646060.46607369,256034022.40393904,143312434042091.53
11394140870994.623,171677487.72842354,922457.2137529772,3960905241.586768,992620829.4267044,29322414.76136504,20210989885.363045,204950798914.0067,17217488.41655466,5469019.105249328,44456891871.95071,631275180678665.9
1393454234.3225887,639669.3180007437,804346.9280355228,150846174465.58316,28116581.46653413,19549112.140536346,27210324.79619852,1336985025.850421,873496307.6630173,7291977.744424965,793487903.5628622,102241732044255.12
9120320629309.164,4739596457.848334,686236.6423180685,338915225.5361257,2327730.684844956,9775809.519707654,304028624.30635035,4376856945.75759,22719463.755925577,9114936.383600604,768929338437.5897,62374100332208.95
264542188.01990905,9478553246.378668,568126.3566006141,5266753269848.216,5065111280.357971,2506.8988789573145,101.44977744197568,178280726.2814732,1247104836.6923678,10937895.022776242,2223645314.504268,529088584147623.1
