Energy_envelope_Standard_deviation,Energy_envelope_Standard_deviation.1,Energy_envelope_Standard_deviation.2,Energy_envelope_Standard_deviation.3,Energy_envelope_Standard_deviation.4,Energy_envelope_Standard_deviation.5,Energy_envelope_Standard_deviation.6,Energy_envelope_Standard_deviation.7,Energy_envelope_Standard_deviation.8,Energy_envelope_Standard_deviation.9,Energy_envelope_Standard_deviation.10,Energy_envelope_Standard_deviation
138552.98261273475,1458625.2186205382,9783089.08498128,5354481.938393132,6661055.610244305,4401166.857743487,846809.6638398705,59639.77692092354,845533.4412937796,372618.2099404258,2048247.947315249,3311387.353461363
346555.51700097043,1610265.412330333,10833485.533337412,43437262.3613103,15272642.26305721,6304178.335987632,362590.9503471914,57928.19410554506,546134.8135654206,320141.8805136141,2587561.235071807,2276760.942799189
435246.77927228383,1761905.606040127,11883881.981693543,1920389.8927146264,566776.0227183318,6196428.932247317,574655.4555897417,46479.02148254855,867681.5531030815,267665.5510868023,3876841.3477365337,2287652.454279721
517663.7804782052,1913545.7997499213,12934278.430049673,25922614.566357344,587281.7505769895,520047.4132423125,406963.86328078806,277506.38677721587,1139166.1473579723,215189.2216599905,183859.96195050835,2425832.764341034
543347.5594847051,2065185.993459716,3122195.456449395,28683337.67984762,573118.8966624178,612399.1784407588,482790.4399519347,48715.40628111999,754648.4188478361,162712.89223317883,2322793.9854030884,2426416.677594435
421762.58167324966,2216826.18716951,2892887.82382923,826608.9493960328,1225402.869668605,1070947.23272071,558617.0166230813,1349872.0051396452,748549.5693139648,110236.56280636706,4686061.549110895,2363508.9427522314
583200.9223593783,2368466.3808793044,2663580.1912090653,4635700.836198501,1876306.554474904,4153018.09845318,634443.593294228,161824.2243259238,1177378.4771384625,57760.23337955528,496379.4061075964,2102776.2202689187
251652.42273144072,2520106.574589099,2434272.5585889,338201.4838683084,1354990.229488565,43151327.51584518,628100.4920926321,98779.06297949456,1630906.2850406435,585609.9468002593,204042.8639827267,1637690.0887596055
297247.79280081,2671746.768298893,2204964.9259687355,442165.2349809833,1009730.180450684,13744810.21003106,621757.3908910363,118978.31699343122,816434.7242549756,1113459.6602209632,146369.70760246244,1798071.7170417658
365811.8637440953,2823386.962008688,1975657.2933485704,7618430.954398453,1008032.3874397682,14330321.38136192,638345.8148396855,340272.6589647341,620950.4127944652,1197273.0223770458,118238.32687328188,1824244.533274881
262479.9756520074,2975027.155718482,1746349.6607284057,17439233.443123896,1740709.094548837,4275435.908588622,654934.2387883348,109792.83539850947,10322330.70570374,1281086.3845331282,153786.11326523905,2144721.7778391466
302366.8421398165,3126667.349428276,1517042.0281082406,18271260.53550903,1963663.3934663667,2332848.289623743,671522.662736984,187065.4820990212,7577514.3837577775,1364899.7466892109,102574.35178624003,1518377.6593993742
363272.6650336945,3278307.54313807,1287734.3954880757,871266.4312683021,1884469.0186198363,8058142.579022258,688111.0866856332,5801687.20474934,9370013.98378422,1448713.1088452935,119490.96286550949,1389202.8036341334
346197.0514091874,3429947.7368478645,1058426.7628679108,3049233.7020833166,1651170.835006034,5342939.233607632,704699.5106342825,259700.0009552995,762930.071616438,1532526.471001376,233510.899121624,1573599.338742427
254343.5663778467,3581587.930557659,1028822.1571649868,5599863.068502559,1846684.2217894136,2992483.755576693,721287.9345829317,1594746.0219812808,322602.9612764757,1616339.8331574586,103012.7150801318,1467567.6045732065
282044.0877441284,3733228.124267453,999217.5514620624,420072.2813124948,1979187.579796745,3777612.768679712,566555.6763558036,300342.85163886426,211012.5275336844,1700153.1953135412,249626.4160453107,1408708.243163393
328926.80176253524,3884868.317977248,969612.9457591384,1157384.0313504983,2035520.1319017035,2816376.7651625634,411823.41812867566,4631973.010088992,106737.3286043335,1783966.5574696236,461541.2065095205,1431760.0351792856
340442.16811473813,4036508.511687042,940008.3400562142,330957.80163470446,2604202.4290982382,1889463.93792118,257091.15990154765,958381.3870679644,76623.30379548292,1867779.9196257065,1247976.777171837,1363272.9004233498
361383.98445180303,3768572.214159496,910403.7343532902,657950.3999328966,2944607.448809343,883524.8926825124,102358.90167441964,10527808.222623687,48233.16222065948,1951593.281781789,13413243.689581266,1172674.306319746
448854.0520770971,3500635.9166319496,880799.128650366,2226420.2632994098,2396188.453111114,567311.9949471733,416105.4352027126,3802086.766311909,136221.15251731777,531133.0134863667,8774800.5870929,1231545.519204076
397154.7812376014,3232699.619104403,851194.5229474418,9121874.680205029,2224249.3826242373,345171.53155258595,729851.9687310056,19412214.39076668,107488.62883305534,81166.10938794352,718905.7707287458,1217651.8193846245
399054.0127445647,2964763.321576857,821589.9172445177,1961834.3977464847,2575534.146397563,574239.0398902721,1043598.5022592983,15899013.889797583,77212.10779777268,21936097.88483661,168252.41924639788,1281182.3659948169
242035.99225255905,2696827.0240493105,791985.3115415936,846570.8521051562,2291468.813769955,1759630.1152096854,1357345.0357875917,9640889.560933763,291143.4654270247,11518187.380431518,69108.30272741184,1038571.7684672516
304384.87607683864,2428890.726521764,762380.7058386694,1601242.9858351485,3459603.2162238867,305348.2815784039,1671091.5693158845,257839.0627819748,236200.08141846405,1100276.8760264246,40424.87297909903,1018748.8533334554
136483.10371755512,2160954.428994218,732776.1001357452,805706.1908834744,2995570.426125853,384830.9914616065,1984838.1028441773,592143.4234469722,46802.83527214289,6621424.685581813,31619.6506216606,1017555.3087395508
127814.51119216418,1893018.131466672,703171.4944328212,721127.563976543,3084773.727994452,3110297.685658596,2298584.6363724703,1641012.2098982628,46924.53617134279,12142572.4951372,73071.88546024417,965732.6514088364
181148.8401030505,1625081.8339391248,673566.8887298971,2150593.588267709,2931956.147820749,303497.137101195,2612331.169900764,2441007.507438231,223618.75044397856,17663720.30469259,92591.40560094906,984445.9058037116
112872.9751937651,1357145.5364115788,643962.2830269729,1597804.5567979957,3453585.858950799,182625.408631486,2926077.7034290563,3241002.804978199,17198.18876591834,23184868.114247978,96851.65486982052,965572.2181322832
88862.18245203019,1089209.2388840322,614357.6773240487,479141.01616520615,4136624.245132888,140163.38734393788,3239824.2369573493,2244025.875753674,63589.28208753086,28706015.923803367,91092.18472134644,989992.3770968536
84650.6839320358,1072802.604574764,584753.0716211246,314479.7768530869,9478418.740754563,134096.94297951122,3553570.770485642,2742429.143898724,227081.67068357609,34227163.73335875,31772.5265661574,1004649.3401769378
72730.24307092365,1056395.9702654958,555148.4659182006,4679500.935347261,4438681.353401139,148215.61092749325,3108781.55238823,1749490.284008676,18801.335301109124,39748311.54291414,340764.0342968469,985288.810161672
78431.21797174924,1039989.3359562276,525543.8602152764,263017.6643671118,3849189.9547041,113777.12899955084,2663992.3342908183,1250705.5576874488,55376.28585346554,45269459.352469526,39493.38137949968,1020050.91519426
409576.83229783847,1023582.7016469594,618664.8775623292,3515421.8533936366,3624963.69443705,196247.34244195424,2219203.1161934063,1468684.067377936,87395.78341530096,50790607.16202492,22083.594350870648,1149541.2701911605
215878.32730184065,1007176.0673376912,711785.8949093819,397527.6629670189,3170174.9562120554,162297.28797644842,1774413.8980959945,367719.0194197858,32169.04322921054,56311754.971580304,18169.388473628394,987072.4688848512
106425.19355011937,990769.433028423,804906.9122564346,300259.5254715569,2890035.400674941,211024.67034180925,1329624.6799985827,2647450.858902649,20863.013013103395,61832902.78113569,16735.71549994353,966289.1263209124
132844.26158185303,974362.7987191548,898027.9296034874,675628.1907446033,2737088.5411029886,228579.81045972387,884835.4619011708,5586115.737833459,24046.05314354349,13081092.755626556,22717.86910009776,1090792.5901968011
153366.77474903045,957956.1644098866,991148.9469505402,163063.6697844893,2873109.192445762,430614.2483526148,1298776.4937566062,2978956.26189335,86135.74815409507,9929092.711134989,133519.60732232535,908212.0722259502
276074.99861093384,941549.5301006184,1084269.9642975929,361069.6167584359,2443897.288295392,598299.3941147403,678314.639357051,3209957.0804360844,220578.71761151985,6777092.666643419,178516.88389205877,890470.5173836041
156534.5065745728,925142.8957913502,1177390.9816446458,836400.4349909547,5115632.985120173,695575.602408119,1197543.8906895705,3114217.2996157017,888499.4311363294,5974722.077152953,146105.64883122503,1030128.823492549
336744.61738628126,908736.261482082,1270511.9989916985,745698.0380190894,5273929.490989704,709404.772776912,784617.0431409827,2412288.353558554,237753.7724023233,5172351.487662487,147195.57673310355,1120695.9609447345
243957.2883723497,892329.6271728138,1363633.0163387512,115854.8209182926,2803914.368997215,473173.2383515265,900703.3290092344,1686524.929476336,604633.0841203695,4369980.898172021,39395.29772849252,1121915.1981281205
338382.97519412625,875922.9928635457,888475.9224507995,33359.70573220491,2576128.7088961047,5128525.090248497,1016789.614877486,1342379.539280113,177250.51099654456,3567610.308681554,311783.5364777878,1062439.4106793536
891596.5063637333,859516.3585542773,769890.5046091913,38836.62357607673,2496018.6111056134,877690.3779536315,3588586.611460641,1804787.8684649616,39079.40950989886,1826978.5786215155,67874.47876527616,1136053.5644557455
497065.2244139501,843109.7242450092,651305.0867675832,63226.50825309539,2616887.151693948,980900.5392403204,2767675.231546301,1475562.6567578693,54831.97828645056,86346.84856147645,116408.14841570905,1131429.1879914815
604795.8341942936,826703.0899357409,1201338.3157683262,946742.987402214,2395075.887337991,825008.0128113554,1946763.8516319608,2086909.1401055288,63611.63007087805,1030513.8012207508,85982.99370844067,1245555.3378968942
463687.3720435384,810296.4556264728,13239979.941938551,540337.6182925819,2780242.9630666943,11340079.61611629,1125852.4717176207,2514265.521235747,70663.22647097992,9507976.895411324,104964.44940979824,1095439.5446049666
