RMS_envelope_Impulse_factor,RMS_envelope_Impulse_factor.1,RMS_envelope_Impulse_factor.2,RMS_envelope_Impulse_factor.3,RMS_envelope_Impulse_factor.4,RMS_envelope_Impulse_factor.5,RMS_envelope_Impulse_factor.6,RMS_envelope_Impulse_factor.7,RMS_envelope_Impulse_factor.8,RMS_envelope_Impulse_factor.9,RMS_envelope_Impulse_factor.10,RMS_envelope_Impulse_factor
1.4574097614460304,1.0395316950639262,1.3101482511190825,1.2565128909482983,1.0222206413541424,1.2006088494858147,1.078680940066042,1.5236806402890222,1.0052605124871146,1.0050324391320289,1.0867788737628266,1.5232950812322843
1.333215121654752,1.0351745756102888,1.2964244775771565,1.3535904281670084,1.018002748598007,1.4314526701437946,1.0560027726310817,1.6448213131817475,1.056994727679042,1.0299718296971827,1.1157754824787305,1.4385520378334555
1.3081353902307942,1.0308174561566512,1.2684623317611263,1.4548581628698078,1.0302655047625395,1.174015557945212,1.0333246051961211,1.9810087726997296,1.1604219718755058,1.0549112202623363,1.2008977551187865,1.4277375983738718
1.444372141413905,1.0264603367030138,1.240500185945096,1.169636366608738,1.0425282609270718,1.546298781827458,1.1755992072876178,1.5640241762172282,1.1746523685719563,1.0536081990909727,1.1878868270956957,1.517781609228279
1.350748888808159,1.0221032172493765,1.212538040129066,1.2391755364150068,1.0547910170916044,1.488738022211976,1.3178738093791145,1.4106969444383788,1.1172921846802857,1.052305177919609,1.405768212263498,1.518802435595306
1.3150355482016622,1.0177460977957389,1.1845758943130358,1.266070636139664,1.0802669553548576,1.2192903423311685,1.154423252510641,1.6235988561740011,1.0987338520134915,1.0510021567482457,1.1276006795842088,1.582142509560738
1.136405989877194,1.1844729596143846,1.1566137484970058,1.4716585081437783,1.0937778530003333,1.1840007185765948,1.2463186580470869,1.6020522335194416,1.22328934645031,1.0496991355768817,1.2501141681239702,1.6717972111142656
1.2189134039210336,1.1777262634929695,1.1286516026809754,1.4447694141177445,1.0696478593259433,1.148711094822021,1.0620477959295211,1.636143433590767,1.269367013833656,1.048396114405518,1.4268311540800926,1.3056621804033663
1.4081662870277845,1.1709795673715548,1.1006894568649457,1.286355910446292,1.1654092202428643,1.1134214710674473,1.11721779910034,1.6658263552160788,1.1951094800298552,1.0470930932341544,1.2226137314385617,1.372505277146743
1.1979042230317476,1.16423287125014,1.0727273110489153,1.2397505988953867,1.2755895136803603,1.453091508759078,1.066149479820054,1.666491845955692,1.091214156298579,1.0457900720627908,1.2177888930778744,1.3424740085551332
1.3822941527195325,1.157486175128725,1.044765165232885,1.3558253855893647,1.045797611939774,1.2415134973364632,1.0682795095247934,1.655227504087214,1.0830758759744288,1.0444870508914272,1.5351698759459145,1.3636129116685238
1.616002003285888,1.1507394790073102,1.016803019416855,1.277840422824286,1.105648298213925,1.2500548667526068,1.1433931627910394,1.649587397464507,1.1406635173926638,1.0431840297200634,1.955815160479614,1.335349083453029
